,Unnamed: 0.1,Unnamed: 0,Title,Company,Location,Type,Salary,Contract_type,Job Description,JobType,Skill
0,0,0,Business Analyst.,BCVS group inc.,"California, KY 41007",Onsite,From $30 ,ct,"Hello, Hope you all are doing great We are looking for Business Analyst. Please go through the job description. Job Description • Learn business processes related to the complex accounting application • Gather business and technical requirements for application modifications and enhancements • Assist in the testing process through the development of test cases and data • Document business process and/or program changes • Works on multiple applications. • Develops innovative and creative output based on interpretation and analysis. • Provides design and documentation at an application or function capability level. • Support Senior BA and Project Manager in meeting team objectives,preparation of project estimates and plans. Qualifications and Skills • Excellent Writing and Communication Skills. • Bachelor’s/Mater’degree in computer science, Information Management, or related field. prakash, 12:32 Naga+Vijaya+BA.docx This file is no longer available for download. Learn more SandhyaShrestha.pdf This file is no longer available for download. Learn more Israth+Haque+BA+Resume.docx This file is no longer available for download. Learn more Aaisha+Nawaz+BA+Resume.docx This file is no longer available for download. Learn more Chaitra+CA.docx This file is no longer available for download. Learn more Resume+BI+Sreya.docx This file is no longer available for download. Learn more
Job Types: Full-time, Contract
Salary: From $30.00 per hour
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
California, KY 41007: Reliably commute or planning to relocate before starting work (Required)
Experience:
SQL: 1 year (Preferred)
Work Location: One location",Business Analyst,[]
1,1,1,Business Intelligence Analyst,Vetro Tech Inc,"Seattle, WA",Remote,"$83,000 - $94,000 ",r - Full-time,"We are seeking a skilled Business Intelligence Analyst to create data-driven strategies that improve our company's processes and increase our market share. You will be working with a team to mine data, develop analytics tools, and report back on your findings and solutions.
To be successful as a Business Intelligence Analyst, you should have a passion for data and a highly analytical mind. Top candidates will also have good written and verbal communication skills in order to effectively explain the strategies you want to implement.
Business Intelligence Analyst Responsibilities:
Consulting with management and relevant stakeholders to define goals.
Researching, developing and implementing data-gathering methods.
Analyzing and synthesizing data.
Reporting back on your findings and suggesting solutions.
Collaborating with coworkers and management to implement improvements.
Evaluating the effectiveness of implemented strategies.
Business Intelligence Analyst Requirements:
Bachelor's Degree in computer science, statistics, business studies, or related field.
Proven experience with programming for data analysis.
Firm understanding of statistics and databases.
Expert problem-solving and analytical skills.
Strong communication skills.
Ability to work in a fast-paced, deadline-driven environment.
Collaborative mindset.
Job Type: Full-time
Salary: $83,000.00 - $94,000.00 per year
Compensation package:
Bonus pay
Signing bonus
Experience level:
1 year
Schedule:
Monday to Friday
Work Location: Remote
Speak with the employer
+91 6149150409",Business Analyst,"['database', 'communication']"
2,2,2,Business Analyst (Remote),Everside Health,"Denver, CO 80202",Remote,"$70,000 - $95,000 ",r - Full-time,"GENERAL PURPOSE OF THE JOB
Data is a core pillar of Everside Health and plays an integral role in delivering first-class healthcare services to our patient population. We utilize a wide variety of data and analytic tools to produce valuable insights that drive better patient outcomes.
As a Business Analyst, you will collaborate with stakeholders, product owners, and engineers to synthesize, articulate, and document business objectives. You will serve as the conduit between the business and engineers to ensure alignment, collaboration, and value delivery in our data processes and products. The role requires the use of Agile methodology best practices to understand and define business requirements, create and groom user stories, and translate requirements into technical design. To be successful in this role, you will need strong interpersonal, collaborative, and communication skills to understand and communicate business needs, assess solutions, and document detailed requirements.
COMPANY OVERVIEW
Everside Health is a national on-site, near-site and virtual primary care provider on a mission to fix America’s broken healthcare delivery model. We are technology-driven and care-obsessed. With our expanding reach, scale, and expertise, we truly make an impact on a national level by serving more clients and improving the health of more people, all while achieving the goal of reducing the total cost of healthcare for employers and organizations. That’s why we exist – and our relentless focus through care delivery access, technology, transparency, and relationships drives us every day.
ESSENTIAL DUTIES & RESPONSIBILITIES
Understands and considers the business and Data Engineering needs to ensure quality products and related operational workflows meet desired business objectives.
Collaborates with stakeholders and users to synthesize, articulate, and document business and system requirements.
Works with Data Engineers, Architects, and IT personnel on the technical design and development process to ensure business requirements are understood and delivered.
Assists in the creation and enhancement of systems design; including data models, data migration rules, business rules, and other deliverables associated with the development life cycle.
Develops epics and stories with the Data Engineering manager or product owner to support the development and implementation of new systems and the enhancement of existing systems
Develops and implements communication plans for all stakeholder groups and manages customer and stakeholder expectations.
Collaborates with key stakeholders to develop training and knowledge-based materials and trains peers, end-users, and other IT team members.
REQUIRED QUALIFICATIONS
Bachelor’s degree
3+ years of experience working as a Business Analyst
2+ years of experience working with healthcare data
Proficient in writing SQL queries
Excellent written, verbal, and presentation skills
Experience following Agile Scrum product methodologies
Experience providing business analyst support in a Data Engineering or Analytics environment
Experience working with healthcare payer data and EMR systems
Experience with project management tools such as Azure Devops
Knowledge of Salesforce
Pay Range: $70,000 - $95,000/yr
The actual offer may vary dependent upon geographic location and the candidate’s years of experience and/or skill level.",Business Analyst,"['project management', 'communication']"
3,3,3,Business Analyst,Sparibis,"Dallas, TX",Onsite,N,r - Full-time,"Location: Allen, TX 75013; 100% Remote until COVID restrictions removed then Hybrid Schedule

Years' Experience: 7+ Years

Education: Bachelor's degree or equivalent experience

Key Skills:
Prior IT Business Analysis experience or experience as a user of IT applications with specific business knowledge with Web and Mobile App development is desirable.
Prior experience with software delivery, project management, requirements gathering desired.
Responsibilities

Experience with Agile methodology, writing user stories, managing scrum calls, prioritizing backlog, etc.
Elicit functional and non-functional requirements and document in the form of epics, stories, wireframes, business rules, and acceptance criteria.
Develop use cases and process flows and ensure documentation conforms to SLC/PMO standards.
Facilitate the ongoing backlog grooming process, supporting the Product Owner to define value, priority, and select scope for upcoming releases and sprints.
Collaborate with Product Owner, Business Users, and Technical Team to write and elaborate user stories to include acceptance criteria and business rules per the team's “Definition of Ready”
Ensure stories meet quality criteria; for example: unambiguous, complete, consistent, deterministic, and testable.
Ensure stories are ""Ready"" for upcoming sprints.
Establish a requirements management strategy for the team, which describes process for elicitation, documentation standards and format, tools, meeting cadence, backlog grooming process, review & approval process, change process, and communications processes.
Analyze new requests from stakeholders and determine if the request is a defect, new story, a modification to an existing story, or already covered in an existing story. Update the backlog and stories as appropriate.
Maintain an overall view and perspective on the “big picture” and understanding how the parts of the project fit together to provide the overall solution.
Works with QA to develop and execute test plans based on appropriate coverage for the functionality being delivered.
Clarify questions/defects during testing process to ensure project requirements are met: Identify and assess potential scope creep.
Qualifications

7+ years of related experience as IT or Business Analysis that includes researching, testing, documenting and/or maintaining applications or using applications in a business setting.
Experience working as part of Agile teams.
Experience as a scrum master would be a plus.
Digitally savvy, with a passion for innovative and quality digital products.
Excellent communication skills; both oral and written.
Skilled in various business analysis techniques including feature decomposition, context diagrams, stakeholder analysis, state diagrams, wireframes, functional requirements, non-functional requirements, use cases, business process definition, user stories, and backlog management.
Excellent communication skills; both oral and written.
Scrum Master or Product Owner certification a plus.
Business Analysis Certification from IIBA or PMI a plus.
About Sparibis

Sparibis LLC is a professional solution firm that Clients rely on to access the best talent to drive their business success.

Sparibis is an equal opportunity employer that values diversity at all levels. All individuals, regardless of personal characteristics, are encouraged to apply.",Business Analyst,"['project management', 'communication']"
4,4,4,Business Analyst,Cloud Shift Technologies LLC,"Columbus, OH",Remote,$60 - $65 ,ct,"Business Analyst
Job ID: 706588
Columbus, OH
Client: Ohio Department of Education
Remote, but want to see candidates that are residents of Ohio
Contractor will be required to travel to Columbus to pick up equipment regardless of their location. Vendors will not be able to pick up equipment on their behalf.
Project Name: Child and Adult Care Food Program (CACFP) Statewide Online Application
Position Description
The candidate will be working with the business (Office of Nutrition) to elicit requirements, and with the Project Management and Information Technology Office teams to review and document project requirements.
1. Create a detailed business analysis, outlining problems, opportunities, and solutions. – 70%
2. Translate requirements into epics, features, user stories, and tasks in Azure DevOps – 20%
3. Attend meetings – 10%
Minimum Qualifications:
A bachelor’s degree in business or related field
Minimum of 5 years of IT experience
Minimum of 5 years of experience in the role of business analyst and using Agile methodology
Minimum of 5 years of experience performing detailed requirements analysis
Minimum of 5 years translating business requirements into detailed system requirements and technical design specifications
Minimum of 5 years of experience documenting processes?
Minimum of 5 years of experience creating user stories
Minimum of 5 years of experience documenting requirements
Minimum of 5 years of experience leading requirements gathering sessions?
Minimum of 5 years of experience documenting requirements in Azure DevOps
Exceptional analytical and conceptual thinking skills
Excellent communication and people skills, capable of communicating with highly technical teams
The ability to influence stakeholders and work closely with them to find acceptable solutions
Advanced technical skills
Excellent documentation skills
Experience creating detailed reports and giving presentations
Excellent planning, organizational, and time management skills
A history of leading and supporting successful projects
Preferred Qualifications:
• Certified Business Analysis Professional (CBAP)
Job Type: Contract
Pay: $60.00 - $65.00 per hour
Experience level:
10 years
11+ years
8 years
9 years
Schedule:
8 hour shift
Work Location: Remote
Speak with the employer
+91 9199755433",Business Analyst,['communication']
5,5,5,Junior Business Analyst,Dow Jones,"Princeton, NJ 08544",Onsite,N,ct,"Job Description:
Job: Junior Business Analyst
Location: Princeton
Reports to: Shannon Malloy
Experience: 0-1 Year
Union: only if required
Responsibilities:
Support the VP, Strategy and Planning for DJ Newswires and broader team
Create purchase orders and process invoices
Business Analysis; e.g. to understand the sales pipeline, wins/losses, product revenue, newsfeed distribution, using Tableau and spreadsheets
P&L Analysis; investigate details related to management of expenses
Work with Billing team and other groups to ensure reconciliation of feeds and communications charges to billing are accurate and timely
Budget Planning; coordinate working in conjunction with Finance
Competitive Analysis; understand and document the competitive landscape; coordinate team research needs
RFP response support; coordinate repository of RFP questions and answers using RFP software
Support the royalty payment process by tracking the number of unit sales of products like Top Stories with Images, Calendar, etc.
Support the proper internal revenue allocation process when products like Calendar Live and WSJ.com are bundled
Perform ad hoc analysis as required
Skills:
Strong Excel / Google Sheets experience
PowerPoint / Google Slides experience
Good written and oral communications skills
Dow Jones , Making Careers Newsworthy
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets .
Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, please reach out to us at TalentResourceTeam@dowjones.com. Please put “Reasonable Accommodation"" in the subject line.
Business Area: PIB - OFFICE
Job Category: Business Operations Group
Union Status:
Union role
Since 1882, Dow Jones has been finding new ways to bring information to the world’s top business entities. Beginning as a niche news agency in an obscure Wall Street basement, Dow Jones has grown to be a worldwide news and information powerhouse, with prestigious brands including The Wall Street Journal, Dow Jones Newswires, Factiva, Barron’s, MarketWatch and Financial News.
This longevity and success is due to a relentless pursuit of accuracy, depth and innovation, enhanced by the wisdom of past experience and a solid grasp on the future ahead. More than its individual brands, Dow Jones is a modern gateway to intelligence, with innovative technology, advanced data feeds, integrated solutions, expert research, award-winning journalism and customizable apps and delivery systems to bring the information that matters most to customers, when and where they need it, every day.
If you are a current employee at Dow Jones, do not apply here. Please go to the Career section on your Workday homepage and view ""Find Jobs - Dow Jones."" Thank you.
Req ID: 36269",Business Analyst,['communication']
6,6,6,Business Analyst,Point-of-Rental Software,Remote,Remote,Full-time,Full-time,"Point of Rental is seeking a Business Analyst to join our team and play an integral role in shaping the future of our strategy and product offerings. Named to the Inc. 5000 list of fastest growing companies in America in three of the last four years, Point of Rental Software provides smart, scalable rental and inventory management software to over 4,800 business locations of all sizes and industries.
Responsibilities will include requirement analysis, market research, participation in product design and tactical decisions made in conjunction with our various Product Managers and Product Owners regarding product development, promotion, and distribution.
Duties & Responsibilities
Partner with Product Managers to join or lead projects including:
Develop and prioritize business cases for new products and offerings.
Customer feedback interviews and market engagement activities.
Analyze market and competition data.
Working in all aspects of ideation, development, launch, improvement of product offerings
Objective evaluation of current offerings based on data and KPIs.
Translating market requirements to a format of user stories.
Keeping up to date product specifications for knowledge sharing between teams and requirements reuse.
Collaborate with Designers and Product Owners on requirements, mockups and user validation on potential solutions.
Coordinate with respective teams regarding product launch including release notes, internal and external training materials.
Track product performance across revenue, profitability, customer satisfaction and attrition, and identify areas of improvement.
Qualifications and Skills
2-3 years experience with the business aspects of the Rental industry, or software product experience
Strategic thinking: we have many great ideas, but need to focus on only the best opportunities. Business acumen to take a thesis, validate it in the market, assess the return on investment, and evangelize the most strategic.
Analytical skills: collecting data from various sources, processing for opportunities to improve our offerings.
Communication: written and verbal communication skills with both non-technical and technical personas.
Location: US Remote/Hybrid
The Product Team at Point of Rental is generally remote with hybrid work in our Dallas/Ft-Worth office. We use the office as a tool to workshop and collaborate with our team and stakeholders but most time is spent remote. Travel to Dallas/Ft-Worth at least once per quarter will be required.
Job Type: Full-Time, exempt. Base salary, health benefits, 401K matching, and profit-sharing.
PoR is an Equal Employment Opportunity employer and does not discriminate in hiring or employment practices. All qualified applicants will receive consideration without regard to race, color, sex, religion, national origin, citizenship, military service, veteran status, disability, genetic information, age, and any other characteristic protected by federal, state, or local laws. PofR is committed to providing equal opportunity for all and reasonable arrangements for individuals with disabilities in employment. To request any special arrangements, please contact Human Resources.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Day shift
Monday to Friday
Work Location: Remote

Health insurance",Business Analyst,['communication']
7,7,7,Business Analyst,Cyquent,"Linthicum Heights, MD",Onsite,$75 - $85 ,n hour,"Title: Business Analyst
Location: Linthicum Heights, MD
Duration: Long-Term
Job description:
8+ years of experience as a Business Analyst on software projects in supporting requirement analysis, documenting functional and technical requirements, data analysis
Creating BRD and FRD using MS Visio or similar tools .
3+ years of experience working with MMIS ( Medicare management Information systems) in public sector is highly preferred.
8+ of experience in using MS Office (Word, Excel, PowerPoint, Visio).
5+ years of experience in Agile environment writing user stores, acceptance criteria and experience with Jira or a similar tool
Strong ability to communicate effectively with technical and non-technical team and users.
Able to triage change requests, incidents during all phases of design, development, testing and training.
Bachelor of Science/MS/PhD Degree in Computer Science, Engineering, Finance or Related Field (or equivalent expertise)
Strong analytical and creative problem solving skills
Excellent communication skills",Business Analyst,['communication']
8,8,8,Business Analyst,Rapid Technologies,"Des Moines, IA",Onsite,$50 - $55 ,ct,"Title: Business Analyst
Location : Des Moines, IA, United States
Position Type: Contract
Responsibilities of the Business Analyst role :
Working directly with business and technical teams to gather and document requirements for various Iowa HHS systems and programs.
Creating, presenting and maintaining user stories, acceptance criteria, and design documents in HHS defined systems.
Documenting, tracing, maintaining, prioritizing, and assessing changes to business practices, workflows, and associated system processes.
Working closely with key decision makers, system owners, and end users, in support of core activities and critical business objectives.
Conducting research to query data, analyze problems, and determine solutions, such as the installation of alternate methods and procedures, implementing changes in processing methods, or the redesign of products or services.
Consistently updating project information, statuses, risks, issues, and timelines for reporting purposes.
Working within an agile methodology framework with a focus on delivering value while adjusting rapidly to produce the most effective outcome.
Working closely with stakeholders, product owners, end users, developers, and project team members to help drive projects to successful completion.
A successful candidate for this role is expected to possess the following skills and experience:
Excellent interpersonal, verbal and written communication skills and the ability to interact with a diverse group of team members, including executives, managers, IT professionals, and subject matter experts.
Experience in process mapping, group facilitation, data gathering and analysis, and all phases of a project life cycle (requirements, design, development, testing, deployment, documentation, training, and measuring effectiveness.)
Experience delivering software as part of an Agile delivery team.
Strong ability to work effectively and autonomously against deadlines and potential priority shifts.
Proficient in Microsoft Office Suite including Excel, Word, PowerPoint, Project, and Visio.
Experience with requirement gathering software such as Azure DevOps, TFS, Jira, or RTC.
Ability to analyze business strategies and user needs, document specifications, and translate business objectives into proper system requirements and specifications.
Guide stakeholders through business case development for new applications/functionality, including cost benefit analysis, risks and issues, and impact analysis.
Ability to recognize value through benefit realization, avoidance of cost, new opportunities, and organizational modernization.
Experience with continuous process improvement via underlying technologies and system support.
Strong ability to break down complex concepts into smaller, simply defined tasks, while maintaining a focus on end-to-end business processes.
Work closely with other Business Units to identify and deliver Enterprise value.
Skilled at consulting with executive-level stakeholders to define business needs or problems.
Experience providing consulting services to governmental entities is a plus.
Job Type: Contract
Salary: $50.00 - $55.00 per hour
Experience level:
7 years
Schedule:
8 hour shift
Ability to commute/relocate:
Des Moines, IA: Reliably commute or planning to relocate before starting work (Required)
Experience:
SQL: 3 years (Preferred)
QA/QC: 2 years (Required)
Azure: 2 years (Required)
Jira: 1 year (Required)
Work Location: One location",Business Analyst,"['agile', 'communication']"
9,9,9,"Technical Business Analyst (SQL, Excel)",DSMH LLC,"Chicago, IL 60661",Onsite,$55 - $60 ,ct,"Position’s Contributions to Work Group:
- The Digital Analytics Business Data Analyst will have responsibility to support multiple Aftermarket part Digital Products. This responsibility includes investigation of various customer questions about the products as well as coordinating with multiple projects that are making requests while ensuring the applications maintain the highest quality Day to day tasks will vary between attending meetings to discuss business strategy topics, meeting with customers to answer product questions/deliver product training, working with team members to investigate and solve technical product issues, and analyzing big data to provide specific customer insights.
Typical Job Responsibilities include: ● Responsible to lead applications projects and prioritize incoming requests for the team● Ability to analyze data issues in the Digital Products, and summarize findings to various levels of management● Provides application/technical leadership, guidance, and assistance to other team members including participating in the reviews of
functional and technical designs to identify areas of risk and/or missing requirements.● Create and provide team metrics and reporting on the various activities occurring within the application● Communicate applications changes to various stakeholders and represent the team’s status back to the various projects requesting work.● Coordinate integrated testing and customer acceptance testing of components that requires careful planning and execution to ensure timely, quality results.● Escalate and resolve issues that the team encounters that may prohibit their success. This could be to a variety of different roles. It may be to a project manager that requires work from the team, or other leaders.● Assists customers with documentation, training and usability efforts.● Be the liaison for the team for Integrates processes across functional organizations.● Participate in technology evaluation and recommendations.●
Participate in the development and alignment of the IT roadmaps to IT and Business strategy
Interaction with team:
- Typical customers include employees within multiple business processes or functions. In addition, this person may have direct relationships with IT
Work environment:
- Mostly remote, working with a worldwide team. Team meets in either US
or Geneva about once a quarter.
Education; Experience Required:
- ● Bachelor’s degree in a relevant field (analytics, technical, IT, physics, etc)● 8+ years of relevant work experience
Technical Skills
(Required)
- 3+ years experience working with SQL
- Excellent knowledge of Excel and PowerPoint
- 3+ years Project management experience
- experience create innovative solutions to solve business problems
- 5+ years stakeholder management
- Experience in a dealer facing role
(Desired)
- ● 1+ years of experience in design and prototyping dynamic views and visualizations for large and complex data sets in Tableau and/or Power BI
- ● Working knowledge of one or more programming languages (Python preferred)
- ● Experience with data structures using SQL
- ● Strong knowledge of SQL, DevOps, Excel, Alteryx, Snowflake is a plus
- ● Knowledge of Aftermarket industry
Soft Skills
(Required)
- ● Strong communication &amp; presentation skills
- ● Self-starter and driven while working well in team environment
- ● Strong attention to detail in order to spot inaccuracies in coding or data
Job Type: Contract
Pay: $55.00 - $60.00 per hour
Schedule:
Monday to Friday
Work Location: One location",Business Analyst,['communication']
