,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Finance Manager,Piemonte Chevrolet,"770 Dundee Ave, Dundee, IL 60118",Onsite,"$120,000 - $200,000 ",r - Full-time,"Job Title: Business Manager
Summary
Reports the financial condition of the dealership, develops controls necessary for the proper conduct of the business, maintains accurate records and establishes and maintains data processing systems to accomplish the dealership's objectives.
Essential Duties
Prepares a complete financial statement monthly according to dealership guidelines and the manufacturer's format and time frame.
Interprets and analyzes the financial statement continually.
Keeps the general manager and dealer informed about trends and the cash needs of the business.
Develops and maintains an effective cash management system.
Approves adjustments to inventory accounts.
Prepares short and long-term profit projections for the dealership.
Meets with each department manager once a month to review the financial statement, pointing out any conditions that should be improved.
Administers payroll policies.
Purchases property and liability insurance.
Prepares and processes all insurance claims.
Coordinates annual audit (or review) and physical inventory.
Maintains loss reserves for contingent liabilities and trade receivables.
Establishes and administers a loss review program
Automates all possible systems and establishes controls.
Coordinates with outside computer companies on computer performance and utilization.
Administers employee benefit programs.
Assists the dealer in formulating policy and publishes the dealership's policy statements and/or employee handbook.
Maintains a personnel folder on each dealership employee.
Prepares a daily management report.
Maintains a professional appearance.
Attends managers meetings as requested.
Other duties as assigned
Qualifications
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Education and/or Experience
Bachelor's degree (B.A.) from four-year college or university; or one to two years related experience and/or training; or equivalent combination of education and experience.
Two to four years related experience and/or training; or equivalent combination of education and experience
Four to ten years related experience and/or training; or equivalent combination of education and experience.
Language Skills
Ability to read and comprehend simple instructions, short correspondence, and memos. Ability to write simple correspondence. Ability to effectively present information in one-on-one and small group situations to customers, clients and other employees of the organization.
Ability to read and interpret documents such as safety rules, operating and maintenance instructions and procedure manuals. Ability to write routine reports and correspondence. Ability to speak effectively before groups of customers or employees of organization.
Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Ability to write reports, business correspondence, and procedure manuals. Ability to effectively present information and respond to questions from groups of managers, clients, customers, and the general public.
Ability to read, analyze, and interpret common scientific and technical journals, financial reports, and legal documents. Ability to respond to common inquiries or complaints from customers, regulatory agencies, or members of the business community. Ability to write speeches and articles for publication that conform to prescribed style and format. Ability to effectively present information to top management, public groups, and/or boards of directors.
Ability to read, analyze, and interpret the most complex documents. Ability to respond effectively to the most sensitive inquiries or complaints. Ability to write speeches and articles using original or innovative techniques or style. Ability to make effective and persuasive speeches and presentations on controversial or complex topics to top management, public groups, and/or boards of directors.
Mathematical Skills
Ability to add, subtract, multiply and divide in all units of measure, using whole numbers, common fractions and decimals. Ability to compute rate, ratio and percent and to draw and interpret bar graphs.
Ability to calculate figures and amounts such as discounts, interest, commissions, proportions, percentages, area, circumference and volume. Ability to apply concepts of basic algebra and geometry.
Ability to work with mathematical concepts such as probability and statistical inference, and fundamentals of plane and solid geometry and trigonometry. Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations.
Job Title: Business Manager
Job Type: Full-time
Pay: $120,000.00 - $200,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
12 hour shift
8 hour shift
Supplemental pay types:
Bonus pay
Commission pay
Ability to commute/relocate:
Dundee, IL 60118: Reliably commute or planning to relocate before starting work (Required)
Experience:
Finance Management: 3 years (Required)
Work Location: One location

Health insurance"
1,Investment Banking Associate,Evergreen Advisors,"10440 Little Patuxent Parkway, Columbia, MD 21044",Onsite,"From $100,000 ",r - Full-time,"Evergreen Advisors Capital is seeking to hire an experienced, highly motivated Investment Banking Associate for our metro Baltimore practice. Evergreen Advisors is a leading investment bank and corporate advisory firm focused on assisting emerging growth and middle-market companies in the areas of corporate finance, growth and exit strategies, valuations and advisory services.
Primary Responsibilities:
Supporting senior bankers on originating and executing a variety of middle market M&A and financing transactions.
Conducting and reviewing research and analysis related to deal origination, structuring and execution.
Preparing initial client pitches containing positioning, transaction rationale, and valuation analyses.
Analyzing detailed corporate and financial information.
Building and reviewing financial models and analyses to illustrate proposed transaction structures and valuations.
Preparing and reviewing confidential information memoranda, management presentations and other marketing documents associated with executing M & A and financing transactions.
Conducting in-depth industry, business, and financial due diligence.
Leverage and help develop Evergreen’s existing network in the Baltimore-Washington Metro Area with contacts, clients, and prospects.
Mentor and develop staff
Requirements:
Minimum of 3-5 years’ experience at a middle-market investment bank with demonstrable M&A and financing execution experience
Strong technical, written and verbal communication skills
Resourceful self-starter, able to work autonomously and as team player
FINRA Series SIE, 79 , and 63 certification
Relocation assistance is not available for this position at this time
Must be authorized to work in the U.S
What We Provide:
Outstanding Benefits including health insurance, dental, vision, 401K with Employer Match, and a multitude of supplemental benefits
Professional development, growth opportunities, and mentorship from senior leaders
Challenging yet supportive work environment
Opportunity for advancement in an inclusive growth-focused environment
A team recognized for excellence
Job Type: Full-time
Pay: From $100,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Retirement plan
Vision insurance
Physical setting:
Office
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Columbia, MD 21044: Reliably commute or planning to relocate before starting work (Required)
Experience:
M&A: 2 years (Required)
License/Certification:
Series 79 (Required)
Work Location: One location

Health insurance"
2,Experienced Automotive Sales Manager with F&I background,Crenshaw Hyundai,"330 Huffman Mill Road, Burlington, NC 27215",Onsite,"$6,000 - $10,000 ", month - Full-time,"We have an opening in our Management Team at Crenshaw Hyundai in Burlington, NC. We’re currently growing our team and looking for an energetic, hands-on, self-driven Sales Manager with extensive Sales and Finance experience. We are looking for a LONG term hire with the ability to drive sales, train, and have fun selling cars!!!
Qualifications/Responsibilities:
- Preferred knowledge of vAuto, eLeads, Dealertrack, etc..
- Excellent communication skills; both verbal and written.
- Possess a valid driver’s license and acceptable drive record.
- High energy; ability to motivate and encourage your peers and teammates.
- Hire,TRAIN and build a successful and driven Sales Team.
The right candidate should have new inventory control skills. The candidate should also have excellent training, desking and internet sales process success and use current technologies to achieve sales goals. A STRONG F&I background is preferred. Ideally would be versed in SUBPRIME deals and be able to assist in building that up.
Benefits :
Our offerings include:
Medical, Dental and Vision Plans
Short and Long Term Disability
Paid Vacations
401(k) Retirement Plan
Closed Sundays for time with family
Opportunity to advance
Crenshaw Hyundai is an equal opportunity employer and a drug-free workplace. A criminal history background check will be conducted on the final candidate prior to beginning employment.
Apply now and build a rewarding career at Crenshaw Hyundai!
Work Remotely
No
Job Type: Full-time
Pay: $6,000.00 - $10,000.00 per month
Benefits:
401(k)
Dental insurance
Health insurance
Vision insurance
Schedule:
10 hour shift
12 hour shift
Weekend availability
Supplemental pay types:
Bonus pay
Commission pay
Ability to commute/relocate:
Burlington, NC 27215: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location

Health insurance"
3,F&I Manager,Confidential,"Confidential in West Springfield, MA 01089",Onsite,"$80,000 - $150,000 ",r - Full-time,"Job description
Highline F&I manager, CDK, DealerTrack a plus. Growing dealership with many opportunities for advancement! We need add an F & I Manager to our busy showroom to continue to achieve our high standards of customer satisfaction. If you are interested in the a great career with a dynamic organization, this is the place for you.
Job Description for the F & I Manager
As the F&I Manager you will play a vital role in helping us achieve our standards of excellence, ensuring the highest level of customer satisfaction and vehicle sales. If you project positive energy and enjoy being part of a winning sales organization.
The F & I Manger will be receive thorough product and sales training coupled with excellent compensation ( base plus commission ) and full benefits (health, dental, life, disability and 401(k)). Contact us for more information and confidential interview. Are you...
An F&I Manager looking for a company that rewards employees for a job well done?
Detail oriented?
Have good customer service skills?
Well spoken?
A people person?
Motivated?
We offer our F & I Managers:
Salary plus commission
“Best in class"" Training
Career growth into management
Job Requirements of the F & I Manager
Must have a track record of success as an F&I Manager.
Meticulous paperwork.
Job Type: Full-time
Pay: $80,000.00 - $150,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Referral program
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Weekend availability
Supplemental pay types:
Commission pay
Ability to commute/relocate:
West Springfield, MA 01089: Reliably commute or planning to relocate before starting work (Required)
Experience:
Dealership experience: 1 year (Required)
F&I Manager: 1 year (Required)
Work Location: In person

Health insurance"
4,Investment Banking Associate,Q Advisors,"Denver, CO 80202",Hybrid remote,"$140,000 - $175,000 ",r - Full-time,"Overview:
Q Advisors is actively seeking an Associate to support corporate finance transactions within Technology, Media, and Telecom (“TMT”) industry sectors. The Associate will play an integral role across all phases of deal execution and a broad range of transaction types including mergers and acquisitions, debt and equity financings, and numerous other financial advisory mandates.
The ideal candidate has exceptional interpersonal and communication skills, strong financial modeling, and analytical capabilities, as well as a thorough understanding of corporate accounting and financial reporting. The individual must excel in a team environment with the ability to effectively oversee Analysts while supporting senior bankers and deal execution across the entire transaction life cycle.
Primary Responsibilities:
Supports senior bankers in the execution of all projects and processes, including business development, equity and debt financings, M&A transactions, and other advisory mandates
Drafts pitch and deal materials, including information memorandums, management presentations, financial models, and analyses, among others
Performs financial valuation and analyses, provides oversight and framework for deal financial modeling, and conducts due diligence
Supervises and reviews all Analyst work material while providing guidance as it relates to construction, organization, and prioritization
Interacts directly with client senior executive teams and provides a lead role in deal organization, process tracking and due diligence
Assists senior bankers in outreach during the marketing phase of the process, including significant direct interaction with private equity firms, lenders, and strategic buyers
Qualifications:
A minimum of two years of M&A advisory / investment banking experience, including experience as an Investment Banking Analyst and / or Associate
Strong work ethic and passion for investment banking
Deep analytical and accounting proficiency; skilled in modeling and financial analysis
Superior verbal and written communications skills
Excellent organizational skills and attention to detail
Demonstrated leadership capabilities
Exceptional Microsoft Office Skills (Excel, PowerPoint, Word)
FINRA Series 79 or Series 7 license highly preferred
* Minimum annual compensation: $140 - $175k
* Compensation dependent on experience and performance
Individuals must be fully vaccinated upon commencing employment, subject to legally required exemptions.
Job Type: Full-time
Pay: $140,000.00 - $175,000.00 per year
Benefits:
401(k)
Health insurance
Paid time off
Schedule:
Monday to Friday
Weekend availability
Supplemental pay types:
Bonus pay
COVID-19 considerations:
Individuals must be fully vaccinated upon commencing employment, subject to legally required exemptions.
Ability to commute/relocate:
Denver, CO 80202: Reliably commute or planning to relocate before starting work (Required)
Experience:
Investment banking: 1 year (Required)
Work Location: Hybrid remote in Denver, CO 80202

Health insurance"
5,Investment Banking Associate,Global Middle Market Investment Bank,"Global Middle Market Investment Bank in Washington, DC 20524",Onsite,"$150,000 - $200,000 ",r - Full-time,"Our client, a Global Boutique Investment Bank is seeking a newly opened role for an Experienced Investment Banking Associate for the growing Washington, DC team.
The experienced Associate will be responsible for supporting day-to-day M&A, capital raising, restructuring, and financial advisory deal processes and projects. The firm’s Associates have a deep understanding of the deal process and can effectively run many aspects of the transaction process alongside senior bankers.
Our client is unique as it is highly focused on advancing its employees’ career goals while providing consistent transparent feedback fostering personal and professional growth. The bank is well known for cross border M&A as part of a larger global platform with offices around the globe and the balance sheet of its parent, one of the largest financial institutions in Asia.
The Washington, DC office has industry focus of Aerospace & Defense, Government, TMT, CyberSecurity and Education. In 2021, 3 out of the 5 highest paid bankers were in the DC office. The CEO of the bank sits in the DC office as well.
Please reach out if interested or share with peers, colleagues and relevant friends considering new opportunities.
Job Type: Full-time
Pay: $150,000.00 - $200,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible spending account
Health insurance
Health savings account
Paid time off
Professional development assistance
Relocation assistance
Vision insurance
Physical setting:
Office
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Washington, DC 20524: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location

Health insurance"
6,Investment Banking Associate - Public Finance,Piper Sandler,"1200 17th St, Denver, CO 80202",Onsite,"$100,000 ",r - Full-time,"At Piper Sandler, we connect capital with opportunity to build a better future.
We believe diverse teams with unique backgrounds, skills and experiences yield more innovative solutions. Our mission is to recruit, develop, retain and engage a diverse, high-performing team. Our business enables bright, committed people working in partnership within an environment that allows each person to achieve at a high level. We commit to encouraging and valuing inclusivity because every partner brings unique perspectives that help us better serve our clients.
We are currently looking for a Banking Associate in Denver, Colorado.
The Special District Group is a team of bankers and associates dedicated to raising capital for public infrastructure for new development or redevelopment. We are actively growing into markets with a demand for public infrastructure. We are seeking a junior banker to support and be a member of our team working in our Denver office. The position is a junior banking role on our Special District Group team and allows for the opportunity for career growth over time into a more senior position. The junior banker will provide extensive support and assist in providing investment banking advice to clients in the public sector.
Duties:
Assist in the preparation of high-quality, persuasive proposals to provide investment banking services to potential clients (RFP Responses).
Assist in the preparation of bond documents to include Credit Summaries, Offering Memorandum, Closing Memos, Pricing Materials, Credit Presentations, and Insurance Applications.
Research issuer financial information using public and internal resources.
Research industry and financial market trends, running data queries and analyzing such data.
Assist in the quantitative and qualitative preparation and presentation of internal credit memos and external publications.
Work with outside vendors to obtain aerial photos of projects
Develop and maintain complex spreadsheets and databases.
Monitor and track activities of credit rating agencies in target sectors and keep database of relevant or potentially relevant credit reports for future access. Brief bankers on important, relevant, examples and overall trends.
Perform any other duties and special projects as assigned.
Qualifications:
Previous experience in real estate development and/or public finance
Bachelor’s Degree preferred
Strong communication and professional presence with clients
Well organized, attention to detail and able to manage multiple projects under pressure
Successful candidates will be highly self-motivated
Excellent analytical and quantitative skills with good understanding of financial markets
Advanced user of Excel, PowerPoint, and Word
As a leading investment bank, we enable growth and success for our clients through deep sector expertise, candid advice and a differentiated, highly productive culture.
Our public finance group provides underwriting and financial advisory services to state & local governments and not-for-profit entities. Supported by a broad national platform, our expert teams leverage localized knowledge to facilitate the issuance of taxable and tax-exempt debt across a range of sectors including state & local government, charter schools, cultural & social service nonprofits, healthcare, higher education, hospitality, project finance, K-12 school districts, senior living, special district group, and transportation. Learn more about out public finance team here.
Piper Sandler values a strong culture dedicated to the emotional and physical well-being of our employees. Learn more about our commitment to our employee’s health and well-being. Learn more about our benefits program and how we are here for our employees and their families today, tomorrow and beyond.
All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity, national origin, disability, age, marital status, status as a protected veteran or status with regard to public assistance.
The anticipated starting salary for Colorado-based individuals expressing interest in this position is $100,000 per year; this position is eligible for a annual incentive compensation.
LI-KM1"
7,Associate Project Finance Investment Banking,MUFG,"1251 Avenue Of The Americas, New York, NY 10020",Onsite,"$150,000 - $175,000 ",r - Full-time,"Do you want your voice heard and your actions to count?
Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 6th largest financial group in the world. Across the globe, we’re 160,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, building long-term relationships, serving society, and fostering shared and sustainable growth for a better world.
With a vision to be the world’s most trusted financial group, it’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. This means investing in talent, technologies, and tools that empower you to own your career.
Join MUFG, where being inspired is expected and making a meaningful impact is rewarded.
Job Summary / Responsibilities:
Conduct detailed analysis and due diligence for new opportunities in Latin America and North America in the power, natural resources and infrastructure sectors
Reviewing market studies, engineering reports, financial models, financial statements, customer financial information, project contracts, and legal analyses
Review information about project assets, development plans, and commercial arrangements
Model complex financial projections in Microsoft Excel, including cash flows, debt financing, and tax structures
Analyze credit documentation, term sheets, and work with Bank products (Loans, Interest Rates Swaps, Foreign Exchange and Bonds) to meet client needs and objectives
Analyze, understand, and negotiate covenants in financing documentation, including those pertaining to maintenance of financial ratios, financial reporting of financial and operating results
Prepare detailed documentation summarizing opportunity analysis, including expected financial results and risk analysis for senior management and control functions
Support Project Finance deals and transactions from origination and diligence through to closing and liaising with the Portfolio Group by applying in-depth knowledge of the project finance market, credit analysis and administration
Advise clients on matters pertaining to commercial and financial structure, and operating requirements in order to achieve suitability for non-recourse debt financing
Preparing marketing materials using Microsoft Powerpoint and Word relevant to opportunities in the power, natural resources and infrastructure sectors
Analyzing new transactions and preparing credit applications to be delivered to the internal credit team that include analysis of financial conditions and projections for review and approval
Oversee and manage internal processes required for compliance and execution, including KYC, profitability analysis, committee approvals, legal due diligence, and closing checklists

Requirements:
A Bachelor’s Degree in Finance, Accounting, Economics, Business Administration, Commerce, Engineering, or another relevant field
A minimum of 3 years of related Accounting or Financial Services work experience; preferably with specific experience in project finance
Ideally some experience with project finance transactions in the power, natural resources, or transportation infrastructure sectors
The typical base pay range for this role is between $150K - $175K depending on job-related knowledge, skills, experience and location. This role may also be eligible for certain discretionary performance-based bonus and/or incentive compensation. Additionally, our Total Rewards program provides colleagues with a competitive benefits package (in accordance with the eligibility requirements and respective terms of each) that includes comprehensive health and wellness benefits, retirement plans, educational assistance and training programs, income replacement for qualified employees with disabilities, paid maternity and parental bonding leave, and paid vacation, sick days, and holidays. For more information on our Total Rewards package, please click the link below.
MUFG Benefits Summary
The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities duties and skills required of personnel so classified.
We are proud to be an Equal Opportunity/Affirmative Action Employer and committed to leveraging the diverse backgrounds, perspectives and experience of our workforce to create opportunities for our colleagues and our business. We do not discriminate on the basis of race, color, national origin, religion, gender expression, gender identity, sex, age, ancestry, marital status, protected veteran and military status, disability, medical condition, sexual orientation, genetic information, or any other status of an individual or that individual’s associates or relatives that is protected under applicable federal, state, or local law.
#LI-Onsite"
8,Investment Banking Analyst,The Dak Group,"195 State Rt 17 S, Rochelle Park, NJ 07662",Onsite,Full-time,Full-time,"About Us
The DAK Group, founded in 1984, is a boutique investment bank based in Rochelle Park, NJ with an exclusive focus on mergers and acquisitions serving the middle market. We work closely with entrepreneurs, family business owners, private equity firms and other mid-market stakeholders to navigate options for growth and expansions, as well as pursue successful exit strategies. We provide clients with sell-side/buy-side transaction services, strategic advisory, financial and restructuring advice, business valuations and fairness opinions. The DAK Group is comprised of senior investment bankers with extensive industry and technical expertise who provide hands-on corporate finance and deal-making specialization to every engagement.
If you’d like to join our team, please submit your resume to careers@dakgroup.com."
9,2023 Global Investment Banking Summer Analyst - New York,Royal Bank of Canada,"New York, NY 10281",Onsite,Full-time,Full-time,"Come Work with Us!

At RBC, our culture is deeply supportive and rich in opportunity and reward. You will help our clients thrive and our communities prosper, empowered by a spirit of shared purpose.

Whether you’re helping clients find new opportunities, developing new technology, or providing expert advice to internal partners, you will be doing work that matters in the world, in an environment built on teamwork, service, responsibility, diversity, and integrity.
Job Title
2023 Global Investment Banking Summer Analyst - New York
Job Description
What is the opportunity?
RBC Capital Markets is a premier investment bank that provides a focused set of products and services to corporations, institutional investors and governments around the world. With more than 7,100 professionals, we operate out of 70 offices in 15 countries across North America, the U.K., Europe, and the Asia-Pacific region.
We work with clients in over 100 countries around the world to deliver the expertise and execution required to raise capital, access markets, mitigate risk and acquire or dispose of assets. We are consistently ranked among the largest global investment banks according to Bloomberg and Dealogic.
RBC Capital Markets is part of a leading provider of financial services, Royal Bank of Canada (RBC). Operating since 1869, RBC is one of the top 15 largest banks in the world and the fifth largest in North America, as measured by market capitalization. With a strong capital base and consistent financial performance, RBC is among a small group of highly rated global banks.
U.S. Summer Analyst Program
Each year, we invite high-performing, rising college seniors to join our Global Investment Banking (GIB) platform for a 10-week U.S. Summer Analyst Program. The program offers Summer Analysts an opportunity to work alongside our investment bankers on a variety of live transactions as well as client-facing business development initiatives.
What will you do?
GIB provides a complete suite of strategic advisory services, as well as equity and debt capital raising capabilities for leading corporations, institutions and governments. RBC Capital Markets’ investment banking platform focuses on nine core industries and seven product groups.
Industries:
Communications, Media and Entertainment (CME)
Consumer/Retail
Energy
Financial Services (FIG)
Healthcare
Industrials/Automotive
Power & Utilities/Infrastructure
Real Estate
Technology
Product Groups:
Convertibles
Equity Capital Markets (ECM)
Financial Sponsors
Leveraged Finance Capital Markets
Mergers & Acquisitions (M&A)
Alternative Investors
Private Placements
As a GIB Summer Analyst you will spend your time:
Developing and preserving complex financial models
Creating pitch books and other client materials
Generating and maintaining financial models and analysis
Conducting research to analyze market trends
Supporting live deals and major transactions
What do you need to succeed?
In selecting Analysts, we look for the following:
Undergraduate students in their penultimate year of study at an accredited four-year college or university
Excellent written & verbal communication skills
Familiarity with computer applications such as MS Outlook, Word, and Excel
Ability to manage multiple competing priorities and thrive in a fast-paced and challenging environment
Value and possess strong competency in the following behaviors: Collaboration, Relationship Building, Communication, Integrity and Operating with Diverse and Inclusive Mindset
Well-rounded set of interests and extra-curricular activities beyond academics
What’s in it for you?
We thrive on the challenge to be our best, think progressively, continue our growth, and deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our individual/collective potential, making a difference to our communities, and achieving success that is mutual.
From this experience you would gain:
A strong foundation in fundamental investment banking skills such as financial modeling and analysis, transaction execution and negotiation, and in-depth industry/product knowledge
A better understanding of RBC’s products and services
The support of a mentor (typically a full-time Analyst)
An opportunity to network and discuss career opportunities through a number of social events
The good-faith expected salary range for the above position is $100,000 depending on factors including but not limited to the candidate’s experience, skills, registration status; market conditions; and business needs. RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:
Drives RBC’s high performance culture
Enables collective achievement of our strategic goals
Generates sustainable shareholder returns and above market shareholder value
Job Summary
Address:
New York, New York, United States of America
City:
USA-NY-NEW YORK
Country:
United States of America
Work hours/week:
40
Employment Type:
Full time
Platform:
Human Resources
Job Type:
Student/Coop (Fixed Term)
Pay Type:
Salaried
Posted Date:
2022-03-30
Application Deadline:
2023-03-24
Inclusion and Equal Opportunity Employment
At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.

We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.
Join our Talent Community

Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers."
