,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Construction Manager,Associa,"Boston, MA 02210",Remote,N,NaN,"Construction Management

Requirements:
Construction Management experience required"
1,Construction Superintendent,"Curtis Construction Company, Inc.","Stoughton, MA 02072",Onsite,"$60,000 - $130,000 ",r - Full-time,"Greater Boston based General Contractor is seeking an experienced Construction Superintendent to join their team. Qualified candidate should have a minimum 5 years’ experience as a jobsite superintendent including experience with multi-unit residential, occupied apartment rehabs, and adaptive reuse projects. The Construction Superintendent will be responsible for providing leadership to the subcontractor workforce by overseeing field operations, site safety, logistics, scheduling and overall project productivity.
Responsibilities of Position:
Manage the day-to-day jobsite activities and operations for the construction of the project.
Responsible for project quality control.
Provide leadership to the subcontractor workforce.
Review the plans and specifications for the project and oversee adherence.
Prepare, manage and update the project schedule including determining the sequence for work and scheduling all material deliveries.
Conduct weekly safety meetings to ensure that safety measures are understood and being followed.
Address any safety issues on the jobsite as they arise and report any incidents to all appropriate parties.
Complete any necessary paperwork responsibilities including daily records of field activity.
Manage site logistics, coordinate site visit inspection requests.
Requirements of Position:
Minimum 10 years’ experience on projects ranging from $500,000 to $10,000,000.
Valid Massachusetts Construction Supervisor's License.
Knowledge in construction safety and OSHA requirements.
Proficiency in ProCore CM software
Excellent communication skills a must.
Organized with attention to detail
Strong leadership skills and the ability to manage, delegate and mentor.
Strong work ethic, team oriented, ability to multi-task, problem-solve and make decisions.
Ability to work well with clients and the overall team.
Experience with Lead and Asbestos abatement is a plus.
Experience on LEED certified projects is a plus.
Job Type: Full-time
Pay: $60,000.00 - $130,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Schedule:
8 hour shift
Experience:
Construction Experience: 5 years (Required)
License/Certification:
Driver's License (Required)
Work Location: In person

Health insurance"
2,Regional Construction Manager,Chipotle Mexican Grill,"Atlanta, GA 30309",Onsite,"$89,000 - $161,000 ",r,"Regional Construction Manager
Description

CULTIVATING A BETTER WORLD
Food served fast does not have to be a typical fast-food experience. Chipotle has always done things differently, both in and out of our restaurants. We are changing the face of fast food, starting conversations, and directly supporting efforts to shift the future of farming and food. We hope you will join us as we continue to learn, evolve, and shape what comes next on our mission to make better food accessible to everyone.

THE OPPORTUNITY
The Construction Manager (CM) role is responsible for managing multiple general contractors across several geographic markets and is instrumental in the successful completion and turnover of restaurants built to Chipotle’s high standards. By conducting frequent, onsite, quality assurance evaluation of vendors, the CM ensures that all work is carried out efficiently and with utmost skill - while within financial and timeline forecasts. The CM works effectively with architects, engineers, and landlords throughout this process and ensures that construction design standards and lease terms are accurately being delivered. The CM works with the local Facilities team members to coordinate punch walks, 90-day walks, and 1 year walks as well as communicates appropriately regarding new construction projects with their regional Ops team, Real Estate, Design, Lease Admin, Property Management, and Finance. The CM is responsible for managing communicating with General Contractors (GCs) and Sub-Contractors (Subs) regarding expectations and quality control for their region as well as the Chipotle vision statement.

WHAT YOU’LL DO
In addition to following Chipotle’s policies and procedures, principal accountabilities include, but are not limited to:
Managing 4 to 8 GCs in the construction of new Chipotle restaurants to meet time commitments and ensuring GC resources are meeting/exceeding budget requirements for new construction
Implementing procedures and managing the processes for the successful utilization of outsource GCs, Subs, suppliers, and vendors; and ensuring proper interpretation and implementation of such procedures and processes
Instituting and conducting performance evaluations of outsource GCs, Subs, suppliers, and vendors engaged in the new construction process
Overseeing pre-construction landlord delivery progress, negotiating with Triad support substandard premises delivery (PDR) conditions, and resolving all issues related to the restaurant for 90 days post turnover. Scheduling/coordinating 90-day walks within their respective regions
Identifying, qualifying, and training outsource GCs to service all active markets within their respective regions
Negotiating scope and fees of services with GCs to meet company new construction budget forecasts/initiatives
Promoting brand identity by assuring quality of fit and finish, adherence to specifications and standards, compliance with required construction timeframes and approved budgets; and assisting in pre-opening marketing effort
Ensuring high standards for GC’s by implementing and managing best practices and other programs to improve overall construction discipline and better understand/track GC construction cost trends
Engaging in clear, consistent communications with Restaurant Support Center, Operations, restaurant staff, landlords, and other Development staff on a frequent basis: demonstrating respect for all disciplines and individuals by showing appreciation for their efforts and contributions
Ensuring the compliance of outside vendors regarding billing, payments, submittal of required documents, and all construction related documentation during the course of projects

WHAT YOU’LL BRING TO THE TABLE
EDUCATION
Required: High school diploma or GED
Preferred: BA / BS from 4-year University

WORK EXPERIENCE
# of Years: 5-8
Type/Description: Construction experience with restaurants focusing on end cap and ground up development

SUPERVISORY EXPERIENCE
# of Years: 3-5 years
OTHER SPECIALIZED SKILLS & ABILITIES
Required: Be able to travel extensively as required
Preferred: Be able to identify top performers, develop great leaders, ensure high standards, and remove obstacles

ESSENTIAL JOB FUNCTIONS
Required: Be knowledgeable of and have the ability to use a PC to access common programs used on a regular basis such as Excel, Word, Reporting Services, Workflow, and Tririga

WHO WE ARE
Chipotle Mexican Grill, Inc. (NYSE: CMG) is cultivating a better world by serving responsibly sourced, classically-cooked, real food with wholesome ingredients without artificial colors, flavors or preservatives. Chipotle had over 2,850 restaurants as of June 30, 2021, in the United States, Canada, the United Kingdom, France and Germany and is the only restaurant company of its size that owns and operates all its restaurants. Chipotle is ranked on the Fortune 500 and is recognized on the 2021 lists for Forbes' America's Best Employers and Fortune's Most Admired Companies. With nearly 102,000 employees passionate about providing a great guest experience, Chipotle is a longtime leader and innovator in the food industry. Chipotle is committed to making its food more accessible to everyone while continuing to be a brand with a demonstrated purpose as it leads the way in digital, technology and sustainable business practices. For more information or to place an order online, visit WWW.CHIPOTLE.COM.

PAY TRANSPARENCY
A reasonable estimate of the current base salary range for this position is $89,000 to $161,000. You are also eligible for annual cash bonuses and equity awards based upon performance and other factors. Actual compensation offered may vary depending on skill level, experience, and/or education. Chipotle offers a competitive total rewards package, which includes medical, dental, and vision insurance, 401k, sick leave, vacation time, and much more. Visit https://jobs.chipotle.com/benefits
Chipotle Mexican Grill is an equal opportunity employer that values diversity at all levels. As a people-first company rooted in values, our purpose extends beyond serving nutritious food using real ingredients. It means hiring world-class individuals and fostering a culture that champions diversity, ensures equity, and celebrates inclusion. All qualified applicants, regardless of personal characteristics, are encouraged to apply.
To request a reasonable accommodation to complete an application, job interview, and/or to otherwise participate in the hiring process, please contact ADAaccommodations@chipotle.com if you need assistance or an accommodation due to a disability.

Primary Location : GA-Atlanta-(GA)-3284 - 1010 Midtown-(03284)
Work Locations : 3284 - 1010 Midtown-(03284) 1080 Peachtree Street NE Suite 13C Atlanta 30309
Job : Design & Development
Job Posting : Mar 14, 2023, 11:38:32 AM
Job Number: 23007568"
3,Construction Project Manager,Perfetto Contracting Co Inc,"Brooklyn, NY",Onsite,"$170,000 - $200,000 ",r - Full-time,"Innovating infrastructure one project at a time. At Perfetto Contracting Co Inc we pride ourselves on our commitment to quality public works throughout the New York Tri-State area. Perfetto is a leader in premier heavy civil construction in the greater New York City area. Perfetto's commitment to this vision keeps them on the cutting edge of technology and protocol so that they can continue to deliver the most important projects in infrastructure. PCC has serviced the tri-state area in sewer, water mains, roadwork, and site work for over 25 years. PCC's clients include New York State and City agencies such as the DOT, DEP, DDC, DPR, EDC, and SCA, among others.
Perfetto is seeking an experienced Project Manager that has strong Heavy civil experience.
Project manager for Bridge including BOTH civil and Structural (Public and Private agencies)
Responsibilities for Construction Project Manager
Determine and define the scope of work and deliverables
Predict resources needed to complete the project
Obtain necessary permits, approvals, and other regulatory prerequisites
Draft and submit a budget based on the scope of work and resource requirements
Manage costs in order to meet budget
Provide direction over contracts and subcontracts
Manage construction schedule and activities
Issue progress updates as needed regarding costs and timelines
Ensure work is done in compliance with all relevant building and safety codes
Select and manage subcontractor and supplier relationships
Coordinate efforts across the entire project between architects, designers, engineers, and subcontractors
Qualifications for Construction Project Manager
Bachelor's degree in Construction, Construction Management, or Civil Engineering
P.E. a plus
10 year's heavy civil experience as a Project Manager (at least 5 years in this senior role)
Prior experience working on NYCDOT projects
Prior bridge and roadway experience
Comfortable reading and understanding blueprints and drawings
Proficient in Microsoft Office and general computer software
Demonstrated knowledge of construction, engineering, and architecture principles
Ability to budget, schedule, negotiate, and control costs
A high degree of familiarity with contract and subcontract documents, terms, and conditions
Strong leadership, team building, and management skills
Base Salary:
$170,000-$200,000
Perfetto is an Equal Opportunity Employer
PCC offers a competitive salary commensurate with experience, a comprehensive benefits package, and opportunities for training and advancement.
Job Type: Full-time
Pay: $170,000.00 - $200,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Ability to commute/relocate:
Brooklyn, NY: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Do you have at least 10 years of heavy civil experience as a Project Manager? (At least 5 years in this senior role)
Do you have Bridge experience? (Both Civil and Structural)
Work Location: In person

Health insurance"
4,Construction Project Manager,Nuvance Health,"Danbury, CT 06810",Onsite,$32.64 - $65.01 ,n hour - Full-time,"Nuvance Health has a network of convenient hospital and outpatient locations — Danbury Hospital, New Milford Hospital, Norwalk Hospital and Sharon Hospital in Connecticut, and Northern Dutchess Hospital, Putnam Hospital Center and Vassar Brothers Medical Center in New York — plus multiple primary and specialty care physician practices locations, including The Heart Center, a leading provider of cardiology care, and two urgent care offices. Non-acute care is offered through various affiliates, including the Thompson House for rehabilitation and skilled nursing services, and the Home Care organizations.

Summary:
To coordinate the approved planning, design and construction activities required for the Hospital to carry out its immediate and long range plans. To monitor or project feasibility, cost and quality. To act as liaison between Hospital Administration and all parties involved.

Responsibilities:
1. Actively participates in design budget and construction with architects, engineers, contractors & users from schematic design through construction documents using the team approach concept.

2. Monitors/controls onsite & offsite construction projects as assigned by the Vice President of Facilities. Includes review of quality of construction, meeting deadlines, coordination of team of owner architect & contractors & meeting budget.

3. Determines efficiency & develops processes produce cost effective utilization of resources. During construction process, includes constant interaction with users to understand needs for them to treat patients &/or perform business functions.

4. Assembles monitor and maintain records required by regulators, agencies, state & local building departments, planning & zoning & health officials in order to receive CON approvals, permits, certificates of occupancy, hospital license etc.

5. Gathers and analyzes data, produce cost reports for Administration. Reviews & processes change orders & requisitions for payment. Recommends program changes when appropriate.

6. Ensures quality and consistency of services provided to the Hospital through systematic review of contracts, estimates construction documents & specifications.

7. Coordinates furniture and equipment specifications & technical requirements for incorporation with construction documents & place orders & coordinate installation with supplies & users.

8. Fulfills all compliance responsibilities related to the position.

9. Performs other duties as assigned.

Other information:
Required: Must be familiar with all aspects of construction trade disciplines.

Minimum Experience: seven years or more

Desired: Bachelors degree preferred.

Location: Danbury-24 Hospital Ave

Work Type: Full-Time

Standard Hours: 40.00

FTE: 1.000000

Work Schedule: Day 10

Work Shift: days

Org Unit: 244

Department: Design And Construction

Exempt: Yes

Grade: S11

Salary Range:
$32.6400 - $65.0100 Hourly

Education:
Essential:
Associate's Level Degree
Working conditions:
Essential:
Little or no manual skills / motor coord & finger dexterity
Little or no potential for occupational risk
Sedentary/light effort. May exert up to 10 lbs. force
Some exposure to dirt, odors, noise, human waste, etc.
EOE, including disability/vets.

We will endeavor to make a reasonable accommodation to the known physical or mental limitations of a qualified applicant with a disability unless the accommodation would impose an undue hardship on the operation of our business. If you believe you require such assistance to complete this form or to participate in an interview, please contact Human Resources at 203-739-7330 (for reasonable accommodation requests only). Please provide all information requested to assure that you are considered for current or future opportunities."
5,Construction Manager,Chipotle Mexican Grill,"Denver, CO 80210",Onsite,"$89,000 - $161,000 ",r,"Construction Manager
Description

CULTIVATING A BETTER WORLD
Food served fast does not have to be a typical fast-food experience. Chipotle has always done things differently, both in and out of our restaurants. We are changing the face of fast food, starting conversations, and directly supporting efforts to shift the future of farming and food. We hope you will join us as we continue to learn, evolve, and shape what comes next on our mission to make better food accessible to everyone.

THE OPPORTUNITY
The Construction Manager (CM) role is responsible for managing multiple general contractors across several geographic markets and is instrumental in the successful completion and turnover of restaurants built to Chipotle’s high standards. By conducting frequent, onsite, quality assurance evaluation of vendors, the CM ensures that all work is carried out efficiently and with utmost skill - while within financial and timeline forecasts. The CM works effectively with architects, engineers, and landlords throughout this process and ensures that construction design standards and lease terms are accurately being delivered. The CM works with the local Facilities team members to coordinate punch walks, 90-day walks, and 1 year walks as well as communicates appropriately regarding new construction projects with their regional Ops team, Real Estate, Design, Lease Admin, Property Management, and Finance. The CM is responsible for managing communicating with General Contractors (GCs) and Sub-Contractors (Subs) regarding expectations and quality control for their region as well as the Chipotle vision statement.

WHAT YOU’LL DO
In addition to following Chipotle’s policies and procedures, principal accountabilities include, but are not limited to:
Managing 4 to 8 GCs in the construction of new Chipotle restaurants to meet time commitments and ensuring GC resources are meeting/exceeding budget requirements for new construction
Implementing procedures and managing the processes for the successful utilization of outsource GCs, Subs, suppliers, and vendors; and ensuring proper interpretation and implementation of such procedures and processes
Instituting and conducting performance evaluations of outsource GCs, Subs, suppliers, and vendors engaged in the new construction process
Overseeing pre-construction landlord delivery progress, negotiating with Triad support substandard premises delivery (PDR) conditions, and resolving all issues related to the restaurant for 90 days post turnover. Scheduling/coordinating 90-day walks within their respective regions
Identifying, qualifying, and training outsource GCs to service all active markets within their respective regions
Negotiating scope and fees of services with GCs to meet company new construction budget forecasts/initiatives
Promoting brand identity by assuring quality of fit and finish, adherence to specifications and standards, compliance with required construction timeframes and approved budgets; and assisting in pre-opening marketing effort
Ensuring high standards for GC’s by implementing and managing best practices and other programs to improve overall construction discipline and better understand/track GC construction cost trends
Engaging in clear, consistent communications with Restaurant Support Center, Operations, restaurant staff, landlords, and other Development staff on a frequent basis: demonstrating respect for all disciplines and individuals by showing appreciation for their efforts and contributions
Ensuring the compliance of outside vendors regarding billing, payments, submittal of required documents, and all construction related documentation during the course of projects

WHAT YOU’LL BRING TO THE TABLE
EDUCATION
Required: High school diploma or GED
Preferred: BA / BS from 4-year University

WORK EXPERIENCE
# of Years: 5-8
Type/Description: Construction experience with restaurants focusing on end cap and ground up development

SUPERVISORY EXPERIENCE
# of Years: 3-5 years
OTHER SPECIALIZED SKILLS & ABILITIES
Required: Be able to travel extensively as required
Preferred: Be able to identify top performers, develop great leaders, ensure high standards, and remove obstacles

ESSENTIAL JOB FUNCTIONS
Required: Be knowledgeable of and have the ability to use a PC to access common programs used on a regular basis such as Excel, Word, Reporting Services, Workflow, and Tririga

WHO WE ARE
Chipotle Mexican Grill, Inc. (NYSE: CMG) is cultivating a better world by serving responsibly sourced, classically-cooked, real food with wholesome ingredients without artificial colors, flavors or preservatives. Chipotle had over 2,850 restaurants as of June 30, 2021, in the United States, Canada, the United Kingdom, France and Germany and is the only restaurant company of its size that owns and operates all its restaurants. Chipotle is ranked on the Fortune 500 and is recognized on the 2021 lists for Forbes' America's Best Employers and Fortune's Most Admired Companies. With nearly 102,000 employees passionate about providing a great guest experience, Chipotle is a longtime leader and innovator in the food industry. Chipotle is committed to making its food more accessible to everyone while continuing to be a brand with a demonstrated purpose as it leads the way in digital, technology and sustainable business practices. For more information or to place an order online, visit WWW.CHIPOTLE.COM.

PAY TRANSPARENCY
A reasonable estimate of the current base salary range for this position is $89,000 to $161,000. You are also eligible for annual cash bonuses and equity awards based upon performance and other factors. Actual compensation offered may vary depending on skill level, experience, and/or education. Chipotle offers a competitive total rewards package, which includes medical, dental, and vision insurance, 401k, sick leave, vacation time, and much more. Visit https://jobs.chipotle.com/benefits
Chipotle Mexican Grill is an equal opportunity employer that values diversity at all levels. As a people-first company rooted in values, our purpose extends beyond serving nutritious food using real ingredients. It means hiring world-class individuals and fostering a culture that champions diversity, ensures equity, and celebrates inclusion. All qualified applicants, regardless of personal characteristics, are encouraged to apply.
To request a reasonable accommodation to complete an application, job interview, and/or to otherwise participate in the hiring process, please contact ADAaccommodations@chipotle.com if you need assistance or an accommodation due to a disability.

Primary Location : CO-Denver-(CO)-0001 - Evans-(00001)
Work Locations : 0001 - Evans-(00001) 1644 E. Evans Denver 80210
Job : Design & Development
Job Posting : Mar 9, 2023, 2:05:02 PM
Job Number: 23007101"
6,"Construction Management Trainee- Huntsville, Alabama","Rogers Group, Inc.","Huntsville, AL 35805",Onsite,"$65,000 ",r - Full-time,"Rogers Group is currently seeking a CONSTRUCTION MANAGEMENT TRAINEE for our Aggregate Management Development Program located in Huntsville, AL. The objective of the RGI Management Development Program is to bring in new college-level graduates who are unfamiliar with the aggregate/construction industry and develop them “from the ground up” to understand the fundamentals and culture of Rogers Group. The RGI Management Development Program is up to a two-year training program. The goal is to comprehensively prepare candidates to transition into leadership positions within RGI.
***Starting salary $65,000 based on education and experience
The successful candidate for this role will have an uncompromising focus on safety, ethics, and quality. Responsibilities include but are not limited to:
Working with mentor(s), area leaders, and corporate leaders to progress through defined competencies as part of the Management Development Program
Learning and understanding our safety culture and implementing all of Rogers Group’s safety principles without compromise
Developing knowledge of the fundamentals and structure of Rogers Group and how all aspects of the business work together
Learning MSHA regulations and participating in inspections and compliance
Developing knowledge and skills in front-line leadership and management
Those in this role may be called upon at the discretion of the supervisor in charge to perform any other duties and/or to assist with other areas as necessary
Qualifications:
Recent graduate (less than one year) of an accredited university
Minimum of a four-year/bachelor’s degree in construction management or related field
New to the construction industry (asphalt, road building, etc.) less than one year of experience post-graduation, not including internships with Rogers Group or a similar company)
Willing to relocate for future promotional and/or developmental opportunities
As a Rogers Group employee, you will have access to our competitive company perks, including:
Group insurance options plus Health Savings Account with annual company contribution
Company paid life insurance, disability insurance, and more
401(k) with company contribution and match
Paid holidays and vacations
Career growth and advancement opportunities
RGI EEO Statement
An Equal Opportunity Employer seeking candidates without regard to age, race, national origin, gender, disability, veteran status, gender identity, sexual orientation, or any other protected status.
All applications are accepted online at www.rogersgroupinc.com"
7,Project Manager - Construction (Hawaii),Burns & McDonnell,"Honolulu, HI",Onsite,"$220,000 - $428,000 ",r - Full-time,"Description
The Project Manager is responsible for managing and overseeing all aspects of work on assigned projects. This includes project safety, coordinating the design efforts of multi-discipline design teams, managing schedules and budgets, developing cost and technical proposals, contract negotiation, risk identification and management, client development, managing client expectations and overall client satisfaction.
Manage and oversee all aspects of multi-discipline engineering projects from concept to completion including overall safety, siting, environmental, permitting, planning, estimating, engineering, right-of-way acquisition, project controls, bid phase services, procurement, constructability reviews, material management, and closeout.
Develop and monitor project schedules, manage scope, and control project costs.
Serve as the primary point of contact with clients regarding efforts such as client coordination, strategic planning, master scope management, budget finances, subcontracting, project staffing, environmental compliance, facility support and schedule attainment.
Participate in and potentially lead internal and external project risk reviews. Consult with Legal Department as required.
Manage internal project financials, providing detailed, accurate project cost forecasts and accruals to client(s) and Global Practice leadership.
Establish project teams, coordinate activities of multiple disciplines, and ensure the efficient, cost-effective utilization of staff.
Manage all aspects of project communication.
Identify opportunities and manage team efforts for submittals, proposals, presentations, contract negotiation, and related activities.
Leverage existing client relationships, create new client relationships and focus on repeat work within each client account.
Provide mentorship as well as formal and informal training for the project team.
Provide performance feedback for project team members as appropriate.
Develop and implement project policies and procedures, establish project controls systems, and implement the project execution plan.
Work closely with the project team to ensure deliverables and services are being provided to the client’s satisfaction and that projects are following internal QA/QC guidelines.
Report regularly on progress, cost and schedule metrics, procurement issues, safety or environmental concerns, design questions, potential impacts, and any issues requiring additional support
All other duties as assigned.
Qualifications
Bachelor's degree in engineering or related field from an accredited program.
Minimum of 7 years of related experience in design engineering, including 3 or more years of experience managing engineering projects. Completion of a master's degree in a related field may be substituted for one year of experience.
Demonstrated success in project management.
Proven ability to develop business and establish relationships with clients.
Strong analytical and problem-solving skills. This position requires an individual capable of applying intensive and diversified knowledge of principles and practices to broad areas of assignments.
Must be capable of devising new approaches to problems encountered.
Ability to handle large volumes of work and multi-task in a fast-paced environment.
Excellent written and verbal communication skills and strong interpersonal skills. Must have the ability to clearly and effectively present complex information to all levels of employees, management, and clients.
Ability to influence, lead and manage change thoughtfully and positively.
Excellent computer skills and proficiency in Microsoft Office (Word, Excel, Outlook, and PowerPoint).
Strong experience with document control, scheduling, cost control and project management software.
Previous consulting experience preferred.
Professional Registration preferred.
Compensation:
$220,000 - $428,000
The expected compensation range for this position is displayed in compliance with all local/state regulations. The expected compensation range for this position is based on a number of factors, including but not limited to: individual education, qualifications, prior work experience and work location. The total annual compensation package will consist of a base salary and eligibility to participate in our discretionary year-end incentive bonus program.
Benefits
Our extensive benefits package takes care of you so that you can focus on doing great work. From insurance and disability to time off and wellness programs, we provide the tools to meet your needs. As part of being 100% employee-owned, eligible employees participate in our Employee Stock Ownership Plan (ESOP) in addition to our 401(k) retirement program. For more information, please visit the Benefits & Wellness page.
EEO/Minorities/Females/Disabled/Veterans
Job Project Management
Primary Location US-HI-Honolulu
Schedule: Full-time
Travel: Yes, 75 % of the Time
Req ID: 231062 Job Hire Type Experienced
\#LI-KJ \#CDB"
8,Construction Manager,Black & Veatch Corporation,"San Diego, CA",Onsite,"$178,000 - $220,000 ",r - Full-time,"Together, we own our company, our future, and our shared success.

As an employee-owned company, our people are Black & Veatch. We put them at the center of everything we do and empower them to grow, explore new possibilities and use their diverse talents and perspectives to solve humanity's biggest challenges in an ever-evolving world. With over 100 years of innovation in sustainable infrastructure and our expertise in engineering, procurement, consulting and construction, together we are building a world of difference.

Company : Black & Veatch Corporation
Req Id : 95596
Opportunity Type : Staff
Relocation eligible : Yes
Full time/Part time : Full-Time
Project Only Hire : No
Visa Sponsorship Available: No
Job Summary
Responsible for successful execution of the construction and start-up of the project. Provides leadership to the project staff and all organizations on site. Directs staff in the daily/weekly planning process. Functions as a representative for Black & Veatch in all interactions involving the Owner and Contract. Implements Black & Veatch standards and procedures, develops project specific procedures and allocates resources, and makes decisions in support of project strategies.
Key Responsibilities
Responsible for updating and completing the Construction Execution Plan.
Reviews and refines the plan as the project progresses.
Directs overall construction effort including coordination of erection activities, suppliers, direct hire craft labor, subcontractors, startup and testing activities, and the owner.
Directs implementation of the Construction Processes and Procedures Manual (CPPM) and insures requests for deviations are submitted when necessary.
Manages overall construction and startup cost to meet established budgets.
Reviews, analyzes, and reports monthly on project construction budget, schedule, and quality performance and takes appropriate action to return the project to plan.
Directs implementation of established project controls processes and procedures including Installation Work Packaging (IWP) through Package Manager software tool.
Coordinates with leadership to negotiate and implement appropriate labor agreements.
Establishes and maintains relationships and develops a high level of trust and credibility with clients, owners, alliance partners, craft labor, subcontractors, and suppliers.
Leads the site management team.
Directs implementation of project construction Safety & Health and Loss Control procedures and is responsible for ensuring that the project meets the agreed safety targets.
Directs implementation of project quality assurance procedures and is responsible for ensuring that the established level of quality is achieved.
Directs implementation of project commissioning and testing plan and is responsible for ensuring that the necessary resources are provided to commissioning.
Directs implementation of project field materials management procedures.
Approves field purchases, equipment rentals, extra work authorizations, subcontractor progress and final payments, B&V professional time sheets, and B&V professional expense reimbursements.
Directs change order management for subcontracts.
Coordinates with project manager to identify and execute change orders to contract with owner.
Directs the resolution of all back charges, collection of conformed to construction records, and other contract closeout activities.
Establishes project field staffing needs and coordinates with Project Manager and construction department to staff project field office.
Mentors project field staff, promotes internal and external team building, and maintains morale.
Adheres to Safety, Quality, Ethical Standards, Lessons Learned, and Performance Management programs in accordance with C&P Policies, Standards, Guides, and Contractual commitments.
Is responsible for producing and implementing site specific procedures as required. Identifies and assesses improvement opportunities which will add value.
Champions implementation of LEAN concepts and continuous improvement efforts.
Assesses and supports the change management effects associated with the implementation of improvements.
Proactively supports, encourages and facilitates staff to engage in continuous improvement activities.
Acts as project manager with responsibilities for the management of a multi discipline project team.
Management Responsibilities
Supervises work of others. Responsible for hiring, discipline, and pay administration of their subordinates.
Minimum Qualifications
Bachelor’s degree required with 10+ years experience on similar projects in construction management role with a minimum of 3 years of experience as a Project Field Manager.
No degree required with 15+ years experience with 5+ years in a construction management role on smaller projects or 3 years as a Project Field Manager.

All applicants must be able to complete pre-employment onboarding requirements (if selected) which may include any/all of the following: criminal/civil background check, drug screen, and motor vehicle records search, in compliance with any applicable laws and regulations.
Certifications
Work Environment/Physical Demands
Physical Demands:
Lift and carry heavy items weighing up to 50 pounds.
Stand, Kneel, Bend, Stoop, Move, and Walk long distances in and around confined, cluttered places, and uneven areas.
See and hear naturally or with correction.
Full range of motion and flexibility consistent with requirements of the job duties.
Requires using hands to handle, control, or feel objects, tools or controls according to a set procedure.
Requires repetitive movement.
May require work above 5 feet in height.
Climb and maintain balance on steel framework, stairs, ladders and scaffolds.
Work up to a 12 hour shift doing hard physical labor in varying temperature extremes and other outside conditions.
Work Environment:
Typical construction site environment:
Requires working in cramped work spaces and getting into awkward positions.
Requires working in very hot (above 90 F degrees) or very cold (below 32F degrees) temperatures and exposure to inclement weather such as dust, wind, snow, rain, etc.
Requires working in extremely bright or low lighting conditions
Includes exposure to sounds and noise levels that are distracting or uncomfortable.
Work around hazardous equipment.
Typical office environment.
This position is considered a safety sensitive position.
Competencies
Collaborates
Communicates effectively
Courage
Directs work
Instills trust
Interpersonal savvy
Organizational savvy
Salary Plan
CNS: Construction Services
Job Grade
009

Black & Veatch endeavors to make www.bv.com/careers accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process because of a disability, please contact the Employee Relations Department at +1-913-359-1622 or via our accommodations request form. This contact information is for disability accommodation requests only; you may not use this contact information to inquire about the status of applications. General inquiries about the status of applications will not be returned.

Black & Veatch is committed to being an employer of choice by creating a valuable work experience that keeps our people engaged, productive, safe and healthy.

Our comprehensive benefits portfolio is a key component of this commitment and offers and array of health care benefits including but not limited to medical, dental and vision insurances along with disability and a robust wellness program.

To support a healthy work-life balance, we offer flexible work schedules, paid vacation and holiday time, sick time and dependent sick time.

A variety of additional benefits are available to our professionals, including a company matched 401k plan, adoption reimbursement, vendor discounts, an employment referral program, AD&D insurance, pre-taxed accounts, voluntary legal plan and the B&V Credit Union. Professionals may also be eligible for a performance-based bonus program.

We are proud to be a 100 percent ESOP-owned company. As employee-owners, our professionals are empowered to drive not only their personal growth, but the company's long-term achievements - and they share in the financial rewards of that success through stock ownership.

By valuing diverse voices and perspectives, we cultivate an authentically inclusive environment for professionals and are able to provide innovative and effective solutions for clients.

Black & Veatch Holding Company, its subsidiaries and its affiliated companies, complies with all Equal Employment Opportunity (EEO) affirmative action laws and regulations. Black & Veatch does not discriminate on the basis of age, race, religion, color, sex, national origin, marital status, genetic information, sexual orientation, gender Identity and expression, disability, veteran status, pregnancy status or other status protected by law.

Notice to External Search Firms: Black & Veatch does not accept unsolicited resumes and will not be obligated to pay a placement fee for unsolicited resumes. Black & Veatch Talent Acquisition engages with search firms directly for hiring needs.

In accordance with local law, the following compensation range is applicable for the job and location associated with this requisition: $178,000.00 - $220,000.00"
9,Construction Manager - Bathroom Remodeling,The Etter Group,"Burlingame, CA 94010",Hybrid remote,"$90,000 ",r - Full-time,"Bay Area Construction Manager - Only 1 day in the Office per Week (Burlingame/Oakland)
$100K+ earning potential, company truck, fuel card, phone provided
· Responsible for leading the production team and ensuring that projects are successfully completed. Work with multiple departments, customers and installers to coordinate and manage installation of residential bath remodeling projects
· Regular check-ins with Field Managers to make sure that Installers are following the expected process for installations
· Regular follow up and availability to speak with crews in the field to address and assist with any issues that they encounter when at a job site
· Responsible for Installers collecting final payment and completing appropriate paper and/or electronic forms after project is complete
· Effectively communicate with the Installation and Production Team based on needs in the field.
· Provide daily/weekly/monthly updates on key metrics to leadership about project status and identify areas for improvement as needed
· Opportunity to earn $100K+ annually if key targets are met and or exceeded
Qualifications
· Minimum of 5 years of in-home renovation experience or other relevant construction experience
· Minimum of 2 years of experience leading and developing others
· Familiar with basic plumbing work as it relates to residential bathroom remodels
· Possess a high school diploma, general education degree (GED) or equivalent education
Job Type: Full-time
Pay: $90,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Bonus pay
Experience:
Project management: 3 years (Required)
Construction Project Managers: 3 years (Required)
Work Location: Hybrid remote in Burlingame, CA 94010

Health insurance"
