,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Kindergarten Teacher,"Sankofa School of Success, Inc.","Indianapolis, IN 46204",Onsite,Full-time,Full-time,"Job description
SANKOFA MISSION
The mission of Sankofa School of Success, Inc. is to create an environment that is safe, nurturing and seeks to meet students’ academic, social and emotional needs using neuroscience, mindfulness, and rigorous education.
JOB DESCRIPTION
Title Elementary Teacher
Job Type Exempt - Elementary - Kindergarten
SUMMARY OF ESSENTIAL JOB FUNCTIONS:
Teaches elementary school students academic, social and motor skills in the public school setting. Teachers will have excellent organization and communication skills, as well as possess the philosophy that all students can build intellectual capacity to become independent learners, critical thinkers, and problem solvers.
Additional Information: This position also comes with a $2000 Sign-On Bonus.
QUALIFICATIONS:
EDUCATION: Bachelor's Degree required, Master's Degree preferred LICENSE: Must hold a valid Indiana State Teacher's License in Elementary Education (K-6). Must be deemed Highly Qualified in accordance with the Indiana Department of Education
EXPERIENCE: Required experience includes: 1) Must have excellent organization and communication skills while being flexible; 2) Possess no excuses philosophy; 3) Good management skills; 4) Must be able to adapt material; 5) Work cooperatively and effectively with other professional staff; 6) Must have a working knowledge of the five (5) areas of reading, balanced literacy, state standards, general education curriculum, and IPS curriculum/instruction framework.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
Job Type Description
Demonstrate a high level of effectiveness. Have the courage and desire to establish community partnerships. Must be willing to collaborate with administration, the Special Education Department, and all staff (during PLC Time, Staff Meeting, etc.) Internalize and prepare rigorous, engaging lessons and other instructional materials to meet individual needs of all students. Demonstrate use of scientifically-based research best practice instructional strategies. Post assignments and input real-time data on Google Drive weekly, contact parents weekly, and arrange parent/teacher conferences each grading period. Use a variety of instructional methods and materials. Assessment/Data: 1) Administer frequent assessments to see what is working and what is not working; 2) Analyze Data: Evaluate student work and assessment data to make instructional adjustments (error pattern analysis), evaluate social growth, keep appropriate records, and prepare progress reports. Encourage parent involvement in the educational process. Seek and use community resources to enhance the instructional program. Maintains control that is conducive to safety in the classroom and on the playground. Resolves problems in a timely manner using reason even with emotional topics focusing on solving conflict, not placing blame. Participate in all staff and curriculum development workshops and professional reading groups, sometimes held during the summer and/or outside of the regular instructional day. Responds promptly to customer needs and solicits feedback to improve service.
Perform other duties as assigned.
SUPERVISORY RESPONSIBILITIES: None.
LANGUAGE SKILLS: Ability to read and comprehend simple instructions, short correspondence, and memos. Ability to effectively present information in one-on- one, small group, and large group situations.
MATHEMATICAL SKILLS: Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals. Ability to compute rate, ratio, and percent and to draw and interpret bar graphs.
REASONING ABILITY: Ability to apply common sense understanding to carry out detailed but written or oral instructions. Ability to deal with problems involving a few concrete variables in standardized situations.
CERTIFICATES, LICENSES, REGISTRATIONS: Must hold a valid Indiana State Teacher's License in Elementary Education (K-6). Must be deemed Highly Qualified in accordance with the Indiana Department of Education
PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is regularly required to sit and use hands to find, handle, or feel. The employee frequently is required to talk or hear. The employee is required to stand; walk; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must frequently lift and/or move up to 20 pounds and occasionally lift and/or move up to 50
pounds. Specific vision abilities required by this job include close vision, depth perception, and ability to adjust focus.
WORK ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee is occasionally exposed to wet and humid conditions and outside weather conditions. The noise level in the work environment is usually moderate.
DISCLAIMER:
The above job description is designed to denote the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications of employees assigned to this job.
Job Type: Full-time
COVID-19 considerations:
We follow CDC and Marion County Guidelines.
Job Type: Full-time
Benefits:
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Professional development assistance
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Supplemental pay types:
Signing bonus
COVID-19 considerations:
We follow CDC and Marion County Guidelines.
Ability to commute/relocate:
Indianapolis, IN 46204: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
What is your ""Why"" for wanting to work in Urban Education?
Share your knowledge on the systems of oppression. How do these systems affect children of color and children of poverty and what does this look like in schools?
Prompt: ""Sankofa School of Success students have strong character, are well-rounded and have a global perspective. We accomplish this through culturally responsive techniques and teaching practices, a focus on social emotional learning and high quality-education"".
Now that you know our mission, what does this mean to you and how does your philosophy fit with our mission?
Experience:
Teaching: 1 year (Preferred)
License/Certification:
Indiana Teaching License (Required)
Work Location: One location

Health insurance"
1,"Teacher | PT On-site | St. Xavier, MT (Pretty Eagle Catholic Academy)",Nelnet,"Saint Xavier, MT",Onsite,$25 ,rt-time,"FACTS, a division of Nelnet, Inc., provides a comprehensive suite of technology products and education services to more than 11,500 K-12 schools across the globe. Our culture of service enables us to form long-lasting and trusted partnerships, while our focus on creativity and innovative solutions elevates the education experience for students, families, teachers, and school administrators.
As a Nelnet company, the perks at FACTS go beyond our benefits package. You’re part of a community, invested in you as an individual and united by our mission to create opportunities for people where they live, learn and work.
Teachers are required to plan, organize and implement an appropriate instructional program in an elementary or secondary learning environment that is safe, guides and encourages students to develop and fulfill their academic potential.This is a 100% in person role located in St. Xavier, MT. Remote work will not be available for this position.
Rate of Pay: $25/hour
JOB RESPONSIBILITIES:
1. Provide all compliance and other related documentation to FACTS Ed in the timelines communicated.
2. Plan, prepare and deliver lesson plans and instructional materials that facilitate active learning.
3. Develop schemes of work, lesson plans and assessments that are in accordance with established procedures and best practices.
4. Instruct and monitor students in the use of learning materials and equipment.
5. Use relevant technology to support and differentiate instruction.
6. Manage student behavior in the classroom by establishing and enforcing rules and procedures.
7. Maintain discipline in accordance with the rules and disciplinary systems of the school.
8. Provide appropriate feedback on work.
9. Encourage and monitor the progress of individual students and use information to adjust teaching strategies.
10. Maintain accurate and complete records of students' progress and development.
11. Update all necessary records accurately and completely as required by laws, district policies and school regulations.
12. Prepare required reports on students and activities.
13. Participate in department, school, district and parent meetings.
14. Communicate necessary information regularly to students, colleagues and parents regarding student progress and student needs.
15. Establish and communicate clear objectives for all learning activities.
16. Prepare classroom for class activities.
17. Provide a variety of learning materials and resources for use in educational activities.
18. Observe and evaluate student's performance and development.
19. Assign and grade class work, homework, tests and assignments.
20. If a Title I Teacher, the following responsibilities apply:
Deliver supplemental instruction through push-in pull-out programs during the school day and/or after school.
Implement supplemental programs in the areas of reading, language arts, and mathematics, according to Title I regulations, and FACTS Education Solutions’ procedures, policies, and contract requirements.
Analyze assessment data to create individualized learning paths and activities that supplement classroom instruction.
Incorporate the use of online lessons and activities via iPads/tablets/laptops.
Provide district, school leadership, parents and classroom teachers with pre- and post-assessment data, student progress reports and supporting compliance documentation as required.
Establish strong parent involvement programs and relationships that encourage student participation and success.
Collaborate and establish relationships with colleagues to create a strong partnership/school community.
Manage inventory of Title I resources.
EDUCATION:
1. Bachelor of Art/Science required (preferably in Education).
2. Master’s Degree preferred.
EXPERIENCE:
1. Minimum of 3 years of experience working in a classroom setting or comparable experience.
2. Experience working with English Language Learners preferred.
COMPETENCIES – SKILLS/KNOWLEDGE/ABILITIES:
1. Passion for education, focusing on the success and achievements of students, parents and fellow educators.
2. Basic knowledge and understanding of federal programs, policies and procedures.
3. Exemplary skills monitoring, tracking and evaluating data to assess program effectiveness.
4. Technically savvy.
5. Demonstrated ability to set priorities and achieve results.
6. Ability to work independently and as part of a collaborative team.
Our benefits package includes medical, dental, vision, HSA and FSA, generous earned time off, 401K/student loan repayment, life insurance & AD&D insurance, employee assistance program, employee stock purchase program, tuition reimbursement, performance-based incentive pay, short- and long-term disability, and a robust wellness program. Click here to learn more about our benefits: LINK
.
Nelnet is an Equal Opportunity Employer, complies with Executive Order 11246, and takes affirmative action to ensure that qualified applicants are employed, and that employees are treated during employment, without regard to race, color, religion/creed, national origin, gender, or sex, marital status, age, disability, use of a guide dog or service animal, sexual orientation, military/veteran status, or any other status protected by Federal or State law or local ordinance.
Qualified individuals with disabilities who require reasonable accommodations in order to apply or compete for positions at Nelnet may request such accommodations by contacting Corporate Recruiting at 402-486-5725 or corporaterecruiting@nelnet.net
.
Nelnet is a Drug Free and Tobacco Free Workplace.
Job Type: Part-time
Pay: $25.00 per hour"
2,Classroom Teacher- Social Studies (SY 2023-2024),Chesapeake Lighthouse Foundation,"Laurel, MD 20707",Onsite,"Up to $111,816 ",r - Full-time,"Establishes clear goals and objectives related to the School Improvement Plan;Plans and prepares lessons, assignments, instructional materials;Establishes learning objectives consistent with appraisal of student needs, curriculum framework, and knowledge of human growth and development;Prepares, administers and corrects evaluations and assessments, and records results;Selects and uses appropriate instructional strategies including, but not limited to, lectures, group discussions, demonstrations, modeling and multimedia teaching aids to present subject matter to students;Evaluates student progress using appropriate assessment techniques;Maintains order and discipline in the classroom conducive to effective learning and takes all necessary safety precautions to protect students, equipment, materials and facilities;Creates a classroom environment that provides for student involvement in the learning process and enables each student to achieve learning objectives;Counsels pupils when academic and adjustment problems arise;Confers with parents and students regarding progress/problems of assigned students; arranges and participates in teacher-parent or teacher-student conferences as necessary;Maintains accurate and complete records as required by law, Board Policy and Administrative Regulation;Monitors appropriate use and care of equipment, textbooks, materials and facilities;Attends and actively participates in staff/faculty meetings and provides input regarding the planning of instruction goals, objectives and methods;Improves skill and knowledge base in current trends, research and methodology in instructional techniques, technology, multi-cultural content, problem solving and interdisciplinary connections;Plans and supervises purposeful assignments for paraprofessional educators, student teachers, and volunteers; andPerforms other duties as assigned."
3,ESY Summer 2023 Teacher Positions,North Kingstown School Department,"North Kingstown, RI 02852",Onsite,Up to $56 ,l,"The North Kingstown School Department is seeking qualified candidates for ESY Summer 2023 Teaching positions.Click here to view the job descriptionAfter viewing the job description, please return to this page to submit an application."
4,ELEMENTARY PE TEACHER,Prince William County Public Schools,"12153 Hooe Road, Bristow, VA 20136",Onsite,Full-time,Full-time,"ELEMENTARY PE TEACHER - 195 DAY

JOB STATUS:
OPEN

EFFECTIVE:
2023-24

POSTING DATE:
02/14/2023

CLOSING DATE:
06/07/2024 04:30 PM

POSTING NUMBER:
00045132

SCHOOL/DEPARTMENT:
Bristow Run ES

LOCATION:
Bristow,VA

POSITION TITLE:
ELEMENTARY PE TEACHER - 195 DAY

ADDITIONAL

INFORMATION/REQUIREMENTS:
An essential function of this position is the ability to work in person and physically report for work on site.


JOB SUMMARY:
This position plans and implements an instructional program and provides related educational services for students in grades K-5. This position manages student behavior, assesses and evaluates student achievement, and modifies instructional activities as required and carries out a variety of student monitoring and control activities. This position, covered by this specification, serve as a general education, elementary classroom teacher (K-5); classes taught may be single or team or departmental setting, but a teacher might work independently in a unique teaching specialty. This position may be assigned to reading or technology labs. This position performs work under the general supervision of a principal and or other designated administrator.

Job Description

DAYS:
195

FULL TIME/PART TIME:
Full Time"
5,Early Childhood Teacher,Timberline Learning Center,"Breckenridge, CO 80424",Onsite,$24 - $34 ,n hour - Full-time,"Summary

Timberline Learning Center is hiring an Early Childhood Teacher to join our warm and welcoming organization that is dedicated to supporting and nurturing young children in a creative and collaborative environment. We care for children ages 6 weeks to 5 years with incredible ratios, a strong team, and an inspiring Reggio Emilia approach. We believe in building community within our school while partnering with the many wonderful organizations and opportunities in our community.

Duties

Providing care and guidance to our students within the Reggio framework
Maintain frequent communications with parents through informal discussions, progress reports, and parent-teacher conferences.
Ensure all center policies and state regulations are met.
Ensure a healthy classroom environment - including maintaining appropriate hygiene and cleanliness standards and safety and security of children.
Actively engage children and encourage social, cognitive and emotional growth.
Maintain personal professional development plan to ensure continuous quality improvement

Requirements

Applicants should have a passion for educating and guiding young children
Ability to work well with others (staff, children, and parents) and to foster a team environment.
Flexibility and adaptable to work with a variety of age groups
Must clear full background check


Nice To Haves

Early Childhood Education or related coursework
Reggio Emilio coursework



Benefits

PTO
Paid Holidays
Ski Pass
Wellness Benefit
Basic Health and Mental Health Benefits through EC Cares
Dental and vision insurance
Short Term Disabilty Insurance
Simple IRA option after 2 years
Paid college courses
Paid training
Longevity bonus"
6,Grade 3/4 Classroom Teacher,Lawrence Family Development,"Lawrence, MA 01840",Onsite,"Up to $79,000 ",r - Full-time,"The Grade 3/4 classroom teacher is responsible for delivering the instructional program approved by the school and for carrying out all planning, supervision, and assessment of students in accord with the school's mission, policies and practices.RESPONSIBILITIES: Provide the instructional program for all students to reflect content and standards for the LFDCS standards and benchmarks and aligned with the Massachusetts Common Core.Use the learning management system Schoology, and a grade recording system to post lesson plans and resources, and input attendance and grades.Teach in a two-year looping organization.Manage the organizational structure of the classroom to ensure sufficient instructional time, consistent discipline practices, and integration with the support and enrichment curriculum instruction.Complete all required documentation of the teaching program and student progress including daily and weekly lesson plans aligned with standards and benchmarks; student portfolios and assessments to determine individual progress; attendance and other documentation as required by law or by school administration.Supervise a paraprofessional, if assigned, by assigning relevant tasks and instructional responsibilities commensurate with experience and ability.Communicate with parents to ensure a cooperative family partnership in accord with the school's mission and to increase student achievement.Support the dual language goals of the school.Participate in and adopt school-based professional learning, innovations, and technology advances.Invest in personal and professional development through ongoing training in accord with an approved professional development plan.Attend all meetings and professional development requirements after school."
7,Counselor/Teacher for College Application and Application Essay Writing,H&H Education,Remote,Onsite,From $50 ,ct,"About H & H Education: H&H Education is a NYC-based education center specializing in school application, academic enrichment, and students' holistic development. H&H stands for Hope, Holistic, Heart and Honesty. We aim to help children reach their full potential. Website: https://www.hh.education/
Class Format: We use Zoom and Google Classroom/Drive to conduct real-time online classes. Our class size is limited to 2 students per class. We emphasize on quality, learning individualization and holistic support for students.
Hours: Flexible hours. Our students are located in both Asia and the US. On weekdays, due to the 12-hour time difference, our Asia students tend to be available from 7 am to 9 am EST. Our East coast students usually are available from 4:30 to 8:30 pm EST on weekdays; our West coast students, 4:30 to 8:30 pm PST on weekdays. Some students are only available on weekends. You can choose the time that works for you.
Responsibilities/Qualification:
-Guide students/family through the school application process, such as common app application, UC application, financial aid, school choices, interview, and admission decision.
- B.A. or M.A.
- Possess school admission experience in either K-12 or college setting in the US.
Job Types: Part-time, Contract
Pay: From $50.00 per hour
Benefits:
Flexible schedule
Schedule:
After school
Evenings as needed
Education:
Bachelor's (Required)
Experience:
school admission: 10 years (Preferred)
Work Location: Remote"
8,Middle School Math Teacher Fall 2023,Boulder Country Day School,"4820 Nautilus Ct N, Boulder, CO 80301",Onsite,Full-time,Full-time,"For over 30 years Boulder Country Day School has been at the forefront of education in the Boulder Valley. The hallmarks of our school - Community, Character, Academic Excellence, and Small Class Sizes - are the keys to our success and allow us to create an educational experience where children innovate, create, grow and thrive. We believe our children are our future, and, to that end, we offer a broad-based liberal arts education that focuses on developing lifelong learners and responsible global citizens. The Boulder Country Day challenge, Discover Your Excellence, recognizes that excellence is teachable, personal, and can be achieved in a variety of different disciplines - academic, athletic, community service, leadership, and more. We seek to provide just the right amount of nurture, structure, and latitude to live up to this challenge.
Ideal candidates for employment at BCD share our beliefs and, above all, love working with children. We look for evidence of these traits in a candidate’s education, work, and volunteer experience. We believe everything we do is curriculum, and, as a result, we consider all BCD employees important members of our community. We look for employees who have intellectual lives outside of their classrooms or work spaces, believe intelligence is teachable and achievable and not inborn, are data driven, and ask great questions both of our school and our students.
Members of BCD’s Professional Staff:
Find joy in taking risks and failing forward.
Are passionate about their work; they are optimistic about and love working in a school environment.
Possess a strong sense of integrity; they embody and promote trust and character in our school and its community.
Employ innovative practices in their fields; they are curious, creative, and enthusiastic.
Are eager to collaborate with multiple constituencies, including employees, parents, students, and members of the greater BCD community.
Have a growth mindset; they are open minded, flexible, and reflective.
Believe in and are committed to cultivating a diverse, equitable, and inclusive community.
Model balance, are deeply curious, and share their interests within and outside of school.
Boulder Country Day School celebrates, honors, and appreciates all forms of diversity in an environment of inclusivity. Individual differences are highly regarded, nurturing the human dignity of each member of our community. Our intentional work to embrace and understand the value of diversity, equity, inclusivity, and social justice affords the freedom for all members of our school community to flourish as unique, confident, compassionate, and ethical individuals. Boulder Country Day does not discriminate against any employee, student, applicant for employment, or applicant for admission on the basis of age, disability, culture, ethnic origin, nationality, race, color, religion, creed, family, marital status, gender, gender identity, sexual orientation, genetic information, military service, socioeconomic status or any other applicable status protected by federal, state, or local law.
Reports to: Middle School Director
Status: Full-time
Start date: August 1, 2023
The Boulder Country Day Middle School Math Teacher will work with the members of the middle school faculty and staff to teach math and/or science in grades 6-8. Responsibilities include but are not limited to the following:
Teach 5 MS classes in an 8 period day with the ability to teach courses ranging from Pre-Algebra through Algebra II and MS Science;
Advise 10-12 students;
Participate in ongoing training for the International Baccalaureate (IB) Middle Years Program, Developmental Designs for Middle School, BCD’s 1:1 program, and other subject specific skills;
Provide regular and thorough communication to all BCD constituencies (students, parents, and colleagues);
Help review and revise the BCD math curriculum as needed;
Support enrollment and retention by assisting with tours, events, and other school outreach; and
Perform other duties as directed by the Head of School.
The ideal candidate for this position will possess the following:
A strong background in math education and current pedagogy
Bachelor’s in mathematics or mathematics education, Master’s preferred;
At least 3-5 years teaching in grades 6-8;
Demonstrated love for working with middle school students;
Experience working in an IB setting;
Knowledge of or background in independent schools;
Desire to teach in a technology rich 1:1 learning environment including innovative use of technology and digital resources in math and science;
Ability to differentiate within each class;
Flexibility, ability to work with change, and strengths in innovation; and
Effective communication skills.
Benefits:
Medical with a Health Savings Account, vision and dental insurance
Dependent Care Assistance through our 125 flexible spending plan
Life insurance as well as both short and long-term disability for you
BCD currently matches your contribution to our 403b retirement plan up to 5% of your salary
Vacation/sick time plus 4 additional weeks off – 2 weeks for Winter break, Thanksgiving week, March Spring Break
Salary for first year teacher starts at $43,000, and increases dependent on degree attained and experience
BCD middle school teachers follow the normal faculty school schedule and calendar. All interested candidates should send a letter expressing their interest along with a current resume and at least three appropriate references to jobs@bouldercountryday.org.
Job Type: Full-time"
9,High School Orientation Teacher,Penn Carrus,Remote,Onsite,Full-time,Full-time,"Position Summary:
Penn Foster High School is looking for an enthusiastic full-time Orientation Instructor to provide academic support to our students. Our instructors assist students in meeting established learning objectives, as well as their own personal educational goals.
The instructor will interact with students via phone, email, live chat, and text. They will also support student learning by holding regular virtual office hours, scheduled student appointments, and conducting webinars. They will also work with other members of the high school team, as well as others in the company on projects and initiatives to support and improve overall learning outcomes.
This is a year-round position and can be fully remote. Penn Foster will supply the equipment needed for this role.

Essential Job Functions:
Provide academic support to students via phone, email, live chat, text, office hours, and appointments.
Create and present webinars.
Provide substantive feedback on subjective exams.
Complete administrative tasks as needed. These can include composing letters, monitoring spreadsheets, and sharing documents with team
Review program and course-level data to determine students’ needs and drive outreach initiatives.
Review, evaluate, and suggest lesson, course, or program changes to ensure compliance with various established standards, guidelines, and practices.
Perform other duties commensurate with the functions and level of the position.
Knowledge, Skills, Abilities:
Required
Bachelor’s degree or higher
Minimum 2 years of experience teaching and/or tutoring
Access to reliable high-speed internet.
Excellent computer skills, and willingness to learn new systems.
Excellent time management skills
Experience with online learning and instructional design
Excellent technical knowledge and understanding of business education
Excellent grasp of how technology can be applied to new methods of instruction
Strong communicator and ability to work on/with a team of teachers
Compassion for students learning at a distance who have many competing priorities.
Desire to motivate students and coworkers to promote academic success
Preferred
Experience working with at-risk students.
Ability to think quickly and communicate effectively and efficiently.
Enjoys being part of a team.
Previous experience in a fast-paced work environment or customer service.
Previous experience with private, for-profit high school and/or postsecondary education.
Previous experience as an online instructor and/or education services manager.
Equal Employment Opportunity:
At Penn Foster we are proud to be an Equal Employment Opportunity employer. We are committed to creating a work environment that embraces and celebrates diversity. We do not discriminate based on race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, retaliation, parental status, military service, or other status protected under federal, state, or local law.

What We Offer:
We offer a competitive base salary, plus a robust benefits package that includes medical, dental, vision, flexible spending, generous paid time off, sponsored volunteer opportunities, a 401K with a company match, plus free access to all of our online programs."
