,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Personal Banker,GTE Financial,"Clearwater, FL 33761",Onsite,Full-time,Full-time,"Come join our GTE Financial team!
We are looking for a customer-focused individual to join our team. The Member Relationship Officer will ensure members’ needs are achieved by conducting a thorough financial assessment and recommending the most appropriate products and services fulfilling the member’s immediate and future financial goals. They will assist in generating leads, building new and maintaining existing member relationships while providing a great member experience.
What does GTE look for in a Member Relationship Officer?
Business Development/Sales:
Effective negotiation, sales, and relationship-building skills are a must.
Proven success prospecting, building a pipeline, and closing on sales opportunities.
Identify, recommend, and sell appropriate GTE Financial products and services to create fully engaged financial relationships.
Originate new members through various sources to ensure continued growth for the credit union.
Work within a teamwork environment to develop a retention strategy for new and existing members.
Generate referrals for credit union services:
Investment
Insurance
Business Services
Mortgages
Experience:
Effective negotiation, sales, and relationship-building skills are a must.
Proven success prospecting, building a pipeline, and moving sales opportunities.
Professional demeanor with co-workers to build a proactive team environment.
Operational:
Salesfloor management, by greeting members, directing them to the appropriate areas and ensuring that the member’s needs are met.
Gather information, analyze facts and educate members on appropriate products/services to provide one-point resolution.
Demonstrate sound judgment when deciding on loan applications by reviewing and underwriting in a clear and detailed authorization.
Adhere to audit/compliance procedures of the Community Financial Center, while maintaining the highest level of service to our members.
Identify risk for credit union losses through observations of transactions involving potentially fraudulent activity.
Work in union with the respective Community Development Officers to develop and strengthen relationships within the community and with the community partners (Select Employee Groups).
Conduct member financial transactions; including Originate, process, and closing any consumer loan products.
Mortgages: identifying the right product for the member needs; initializing the process; gathering information for the processors and underwriters; establishing follow-up with internal partners and member(s); providing a good member experience throughout the process.
Observe Credit Union guidelines, policies, and procedures to adhere to compliance regulations, and security standards.
Ensure the completion of regulatory compliance and training specific to sales and service responsibilities for staff.
Exhibit a desire for continuous education to ensure personal growth and achievement to better serve our members.
Participate in meetings, conference calls, and events as assigned
Must demonstrate functional knowledge of the Bank Secrecy Act in addition to other Federal laws, including but not limited to the U.S. Patriot Act, Office of Foreign Assets & Control, Anti-Money Laundering, Right to Financial Privacy Act, and the Bank Bribery Act
Position Details:
Location: Community Financial Center
Hours: Monday – Friday (9:00 am to 6:00 pm)
Full-time hours are required, with additional hours as necessary to accomplish objectives, goals, and projects.
Required Qualifications:
High School graduate or equivalent. Associates degree preferred.
1-2 years of previous experience in the financial industry or related field or a combination of education and experience.
Bilingual preferred (English/Spanish).
Come and join our award-winning team.
GTE Financial is an Equal Opportunity Employer.
Note: The above statements describe the general nature and level of the work being performed and are not an exhaustive list of all responsibilities of an employee in this job. GTE reserves the right to revise or change job duties at any time as directed by management. Furthermore, they do not establish an employment contract and are subject to change at the discretion of the employer."
1,Personal Banker,WaFd Bank,"Pocatello, ID 83201",Onsite,Full-time,Full-time,"Job Summary:
Want to help strengthen your community's financial health? Looking for an employer that will inspire you and support your career in finance? Your search is over... WaFd Bank is hiring Personal Bankers.
WaFd Bank has been a financial leader for over 105 years, and now serves consumers and business clients across eight Western states.
In 2022, WaFd Bank was recognized by Forbes as one of America's Best Employers! Our company motto is: Love What You Do...Make A Difference!
We are seeking motivated individuals to assist clients with both personal and business banking services. We need creative individuals that can ""think outside the box"" to provide relevant solutions to our clients while displaying our values of discipline, teamwork and integrity. Our clients come from all walks of life and so do we. We hire great people from a wide variety of backgrounds, because it makes us stronger. To make our services meaningful for people everywhere, we ensure our professional team of bankers reflects the diversity of the businesses and communities we serve.
As one of WaFd's Personal Bankers, you will:
Build exceptional knowledge of products and services to maintain rapport with clients, understand their needs, and provide solutions;
Open new accounts, originate loans, and onboard new clients;
Introduce and demonstrate digital and self-service technology;
Make out-of-office calls to business and referral sources;
Enjoy an opportunity to advance your career by specializing in specific skills, including mortgage lending and small business banking;
Receive a comprehensive benefits package including health, dental, and life insurance; vacation and sick leave, stock options, and a generous company contribution to your retirement plan; and
Work in a team-oriented environment where high value is placed on simply being nice to our clients and one another.
Qualifications:
High school diploma, or approved equivalent
Math aptitude, typing skills (45-50 wpm), 10-key, filing; organized, and excellent communications skills.
Basic computer proficiency in Microsoft Office applications (Word, Excel, and Outlook) and internet usage are necessary.
Experience and knowledge of IRA's desired.
Prior bank experience, sales & service is preferred.
Outstanding customer service skills, in accordance with WaFd Bank's quality standards, are required.
EEO Statement:
EEO is The Law - click here for more information
Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled
We are committed to Equal Employment Opportunity and Affirmative Action. We recruit, hire, train and promote persons in all job titles and ensure that all other personnel actions are administered without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, age, veteran status, disability, genetic information, or any other protected characteristic. WaFd Bank is committed to providing reasonable accommodations to employees and applicants with disabilities to the full extent required by the Americans with Disabilities Act (ADA). If you feel you need a reasonable accommodation pursuant to the ADA, you are encouraged to contact us at 800.324.9375.
Know Your Rights: Workplace Discrimination is Illegal - click here for more information
Pay Transparency Nondiscrimination Provision - click here for more information
WaFd Bank Benefits Summary - click here for more information"
2,"Relationship Banker - Rohnert Park, CA",Bank of the West,"Rohnert Park, CA 94928",Onsite,$22.00 - $26.95 ,n hour,"Relationship Banker - Rohnert Park, CA
- (066671)

What you’ll do
As part of Bank of the West, you’ll be making a positive impact on the environment, your community, and the planet at a leading sustainable bank.
We are looking for a proactive and personable advisor with banking experience to fill the role of Relationship Banker. You’ll be a face of the branch as you enhance customer relationships, refer customers to appropriate business partners, and sell financial products to prospective clients.
You are the first point-of-contact you’ll assess customers’ needs and recommend financial solutions for personal banking, lending, home financing, small business solutions, and more. Managing an assigned portfolio, you’ll also identify opportunities to deepen existing relationships.
This means you’ll do everything from establishing new accounts in compliance with regulations and bank procedures, to promoting financial products through assigned leads, outbound calls, telemarketing, targeted direct mailings, and in-branch selling. You’ll also proactively educate customers about digital self-service options such as how to enroll in online banking, how to pay bills online, and how to make remote deposits.
Relationship Banker is a collaborative role that works with internal partners including business relationship managers, mortgage bankers, and others. Success will be defined by meeting individual goals that contribute to increased branch sales, revenues, and customer experience. You may also handle frontline responsibilities as needed.

To protect the health and safety of our employees and customers, Bank of the West may require all U.S. employees to provide proof of their vaccination status, and employees who are not fully vaccinated may be required to undergo regular testing.
What you need
Experience with banking sales and products
University degree or equivalent experience
A personable nature and good customer service skills, both verbal and written, as well as presentation skills and impeccable telephone etiquette
Strong knowledge of banking products, consumer lending products, credit products, and other financial services
Demonstrated sales ability and portfolio management experience
The ability to build relationships, be part of a team, and work collaboratively
Problem solving skills and a can-do attitude
A strong attention to detail
Comfort and proficiency working with technology and software
A willingness to enthusiastically manage constantly changing priorities

What’s in it for you?
At Bank of the West, our people are having a positive impact on the world. We’re investing where we feel we can make the most impact, like advancing diversity and women entrepreneurship programs, financing for more small businesses, and promoting programs for sustainable energy. Bank of the West is now part of the BMO family, a leading North American bank with a 200+ year history of success. BMO offers abroad range of financial services to help customers achieve real financial progress and shares Bank of the West’s commitment in driving positive change for a thriving economy, a sustainable future, and an inclusive society.
We provide our team members with the resources they need to be successful at work, and to thrive outside the office. Whether it’s our healthcare benefits, a gym subsidy, parental leave, global opportunities, flexible working, or simply a pack of post-it notes, we make sure you have what you need.
Annual Hiring Range/Hourly Rate:
$22.00 to $26.95
Actual compensation offer to candidate may vary from posted hiring range based upon geographic location, work experience, education, and/or skill level.
In addition to base salary, this position is eligible for quarterly incentives.
Benefits: Visit https://www.bankofthewest.com/about-us/careers/benefits.html for benefits information.
Equal Employment Opportunity Policy
Bank of the West is an Equal Opportunity employer and proud to provide equal employment opportunity to all job seekers without regard to any status protected by applicable law. Bank of the West is also an Affirmative Action employer - Minority / Female / Disabled / Veteran.
Bank of the West will consider for employment qualified applicants with criminal histories pursuant to the San Francisco Fair Chance Ordinance subject to the requirements of all state and federal laws and regulations.

Primary Location United States-California-Rohnert Park
Job Sales
Job Posting Jan 12, 2023, 12:33:56 PM"
3,Relationship Bankers - Warren and Barrington,BankNewport,"Warren, RI 02885",Onsite,From $20 ,n hour - Full-time,"Offering new and exciting career opportunities, BankNewport is committed to providing our employees the resource and guidance to develop careers that are challenging and rewarding.
So if you’re looking for a great professional opportunity, know that BankNewport will empower and invest in you.
The Relationship Banker is a sales-solution, service, and transaction provider for all consumer and business customers. Through financial conversations, Relationship Bankers are trusted banking advisors responsible for identifying customer needs while deepening relationships by recommending appropriate sales and service solutions. This is a cross-functional team member empowered to create an exceptional customer experience from initial greeting to fulfillment. Relationship Bankers will engage in sales and solution activities which supports Bank strategy.
Performs any functions necessary, within scope of authority and expertise, to provide the highest level of service and responsiveness to customers.
Provides a best-in-class customer experience by accurately processing transactions and new account openings in a timely and professional manner.
Proactively conducts financial conversations with customers to identify banking needs. Uses discovery techniques to match needs with BankNewport solutions.
Meet individual and branch sales goals by maximizing each customer interaction and through proactive prospecting activities such as reviewing customer profiles, outbound calling, and community activities. Fully understands and participates in the Retail Incentive Plan.
Markets a full range of consumer and small business banking services to existing customers and prospects.Opens consumer & small business accounts, originates and closes loans, performs maintenance changes to existing accounts, answers customer questions and resolves account related problems.
Fully adopt and utilize the customer relationship management system and on-boarding process to provide exceptional internal & external customer experiences.
Demonstrates ownership of any customer problem or request by utilizing available resources and following up to ensure effective resolution and customer satisfaction.
Demonstrates expert Digital Banking knowledge and proficiency. Advise customers on all bank delivery channels and services such as ATM/PTM functionality and digital banking services including mobile banking, bill pay, Zelle, and other services.
Adhere to all bank policies and procedures, audit, regulatory and security guidelines.
Performs any functions necessary, within scope of authority and expertise, to provide the highest level of service and responsiveness to internal and external customers.
A Relationship Banker may be asked to fulfill certain supervisory responsibilities by the Branch Manager and/or Assistant Manager. These responsibilities include – opening and closing the branch, vault cash, performing quarterly audits, supervisor overrides, and service charge reversals. The ideal candidate must have an overall performance rating of 3 or above while exhibiting sound judgement. This designation of responsibilities allows the Relationship Banker the opportunity to develop into the Sr. Relationship Banker as applicable.
Processes and settles ATM work or Vault cash as needed.
Provides flexibility of coverage during branch hours of operation and at other branches as needed.
Performs related and unrelated duties as may be needed.
SUPERVISORY SCOPE
No supervisory responsibility
INDEPENDENT ACTION
Performs work within established guidelines and according to specific procedures. Refers problems to immediate supervisor.
QUALIFICATIONS
1-2 year experience as a teller, banker, or equivalent retail sales or banking experience required; customer service experience and needs-based banking sales preferred.
At least 6 months cash handling experience.
Must be proficient with technology and digital banking services; Microsoft Office, specifically word and excel and possess familiarity with technical devices including tablets and smartphones.
Must have excellent customer service, communications, problem solving and organizational skills.
Must be able to handle multiple tasks simultaneously.
Must be a team player.
BANKNEWPORT CORE VALUES
We celebrate individuality
We empower employees to be creative problem solvers
We invest and take the time to really get to know our customers
We commit to serving the financial needs of Rhode Islander’s
Any physical demands or work conditions described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
BankNewport is committed to a policy of Equal Employment Opportunity and will not discriminate against an applicant or employee on the basis of race, color, religion, creed, national origin or ancestry, sex, age, physical or mental disability, veteran or military status, genetic information, sexual orientation, gender identity or expression, pregnancy, childbirth or related medical conditions, military service, marital status, or any other legally recognized protected basis under federal, state or local laws, regulations or ordinances
Job Type: Full-time
Pay: From $20.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Physical setting:
Office
Schedule:
8 hour shift
Work Location: One location

Health insurance"
4,Relationship Banker,ITASCA BANK & TRUST Company,"Itasca, IL 60143",Onsite,Full-time,Full-time,"The Relationship Banker is a personal banker that handles all walk-in customers and overflow of inbound customer support calls. The Relationship Banker performs account support for both Business and Personal Clients. The Relationship Banker helps customers manage their finances and banking needs. They are responsible for processing transactions, reconciling and researching accounts, debit card maintenance and electronic banking support. In addition the Relationship Banker is responsible for recognizing customer needs and cross-selling products and services that align with their clients financial goals.

Essential Functions

1.Listen effectively to customers’ requests and promptly take the necessary action to assist them managing their accounts and offering products and services.
2.Knowledge of banking products and services to cross-sell.
3.Exhibits strong customer service skills, presenting products and services while proactively educating clients on utilizing banking applications.
4.Balances speed and accuracy when processing customer requests while utilizing the internal banking network.
5.Aid customers in opening, managing and optimizing their bank accounts and products.
6.Pursue leads and potential customers to expand services and products offered.
7.Takes the initiative to follow-up, escalate or seek additional resources to ensure customer satisfaction in a timely manner.
8.Adapts to concepts and procedures and notifies management when additional training is needed on product and service knowledge.
9.Accepts coaching, implements feedback from reviews to improve job performance.

Competencies
1.Communication Proficiency
2.Listening Skills
3.Technical Skills
4.Work confidentially
5.Attention to detail

Supervisory Responsibility

None

Work Environment

This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.

Physical Demands

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.

While performing the duties of this position, the employee is regularly required to sit, use hands and arms, talk and hear.

Position Type/Expected Hours of Work

This is a full time position. Days and hours of work are Monday through Friday, 8:00 a.m. to 5:00 p.m., Saturday 8:00 a.m. to 1:00 p.m.

Travel

None required

Required Education and Experience

1.High School education or GED
2.1-2 years personal banking experience required.
3.3+ year of customer service experience required
4.Ability to work as part of a team to achieve branch goals
5.Strong cross-selling experience
6.Proficient in windows applications
7.Models positive and supportive behavior
8.Ability to work a flexible schedule including evening and weekends
9.Effective written and verbal communication skills

Preferred Education and Experience
None

AAP/EEO Statement

Itasca Bank & Trust Co. is an Equal Opportunity and Affirmative Action employer Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.
Other Duties

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice."
5,"3/21 Passaic Essex (Montclair, NJ) Licensed Banker - Virtual Hiring Event",JPMorgan Chase & Co,"Montclair, NJ",Onsite,$25.00 - $30.29 ,n hour - Full-time,"As a Relationship Banker, you’ll take a lead role in delivering an outstanding experience to Chase customers.
You will acquire, manage, retain meaningful relationships with our customers, using your financial knowledge to offer thoughtful solutions to help address their financial needs.
You will manage assigned customers and proactively meet with them - in person and over the phone
– to build lasting relationships, discover financial needs, and tailor product and service recommendations
You will also partner with Specialists (Financial Advisors, Mortgage Bankers, and Business Relationship Managers) to connect customers to experts who can help them with specialized financial needs
Passing score on the Securities Industry Essentials® (SIE®) exam. You may find information related to the exam and other licensing information here: https://www.finra.org/registration-exams-ce/qualification-exams/securities-industry-essentials-exam
Requirements
At least one year experience in any of the following: retail banking sales, financial services sales, luxury retail, insurance, risk controls, affluent client management, business generation, consultative relationship sales role in a related industry
Proven success in establishing new clients, deepening customer relationships, and delivering results.
Strong, consistent work experience
Excellent communication skills
Professional, thorough, and organized with strong follow-up skills
Keep in mind
Compensation includes a guaranteed base salary AND an uncapped incentive.
We have a pay for performance compensation strategy, and those who perform well will earn higher incentives.
A credit check will be required as part of the onboarding process.
Benefits
(Default options from Indeed’s platform):
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Health insurance
Health savings account
Life insurance • Paid time off
Parental leave
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule
(Default options from Indeed’s platform):
5X8
8 hour shift
Day shift
Monday to Friday
Weekend availability
Job Type: Full-time
Pay: $25.00 - $30.29 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Tuition reimbursement
Vision insurance
Physical setting:
Office
Schedule:
8 hour shift
Day shift
Monday to Friday
Weekend availability
Ability to commute/relocate:
Montclair, NJ: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location

Health insurance"
6,Banker,Think Bank,"Edina, MN 55435",Onsite,$22.83 ,rt-time,"Think Bank has an exciting opportunity for someone passionate about helping customers meet their financial needs. In the Banker role you will be empowered to help our customers make informed decisions about their financial needs by answering questions, assisting with transactions, opening and maintaining accounts, or directing them to an appropriate team member or business line representative.
You will have the opportunity to interact with customers and expand their banking relationship with us. Collaborating closely with the branch team and support staff, you will ensure a seamless customer experience and provide customers with the best options that serve their particular needs.
As a Banker, your daily job duties will consist of:
Greeting customers making them feel welcome upon entering the branch
Welcome customers to Think Bank by walking them through our account options, opening accounts for them, and explaining all the products and services available
Consistently engaging in conversation with existing customers to understand their needs and recommend appropriate products and services
Follow up with customers as appropriate to be sure their needs are met, and their experience is in our branch is outstanding
Continually communicate with branch staff to create a collaborative environment and ensure an outstanding, seamless experience for the customers
Processing transactions for customers to help them manage their finances
Education and Experience Requirements:
High school diploma or GED equivalent required
Bachelor's degree preferred
6 months of experience in customer service or retail environment
Schedule: This is a part-time position working approximately 20-25 hours/week. The hours for this role will range from 7:15 AM - 6:15 PM Monday through Friday, and Saturdays from 8:45 AM - 12:45 PM.
Benefits: The position is eligible for a full benefits package including:
Health insurance with HSA contribution
Dental insurance
Vision insurance
Up to 23 days of PTO annually
Seven paid holidays
Four weeks of paid family leave
Up to 7.5% 401(k) employer match
Tuition reimbursement
Clothing allowance
Think's open culture empowers employees to provide the best financial care to customers every single day. Our professional compensation plan is passionate about quality of business outcomes and helping customers achieve peace of mind. We are not focused on quantity, as compensation is not directly related to the number of accounts opened or volume produced.
Think Bank is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status."
7,Investment Banking Associate - Public Finance,Piper Sandler,"Denver, CO 80202",Onsite,"$100,000 ",r - Full-time,"At Piper Sandler, we connect capital with opportunity to build a better future.
We believe diverse teams with unique backgrounds, skills and experiences yield more innovative solutions. Our mission is to recruit, develop, retain and engage a diverse, high-performing team. Our business enables bright, committed people working in partnership within an environment that allows each person to achieve at a high level. We commit to encouraging and valuing inclusivity because every partner brings unique perspectives that help us better serve our clients.
We are currently looking for a Banking Associate in Denver, Colorado.
The Special District Group is a team of bankers and associates dedicated to raising capital for public infrastructure for new development or redevelopment. We are actively growing into markets with a demand for public infrastructure. We are seeking a junior banker to support and be a member of our team working in our Denver office. The position is a junior banking role on our Special District Group team and allows for the opportunity for career growth over time into a more senior position. The junior banker will provide extensive support and assist in providing investment banking advice to clients in the public sector.
Duties:
Assist in the preparation of high-quality, persuasive proposals to provide investment banking services to potential clients (RFP Responses).
Assist in the preparation of bond documents to include Credit Summaries, Offering Memorandum, Closing Memos, Pricing Materials, Credit Presentations, and Insurance Applications.
Research issuer financial information using public and internal resources.
Research industry and financial market trends, running data queries and analyzing such data.
Assist in the quantitative and qualitative preparation and presentation of internal credit memos and external publications.
Work with outside vendors to obtain aerial photos of projects
Develop and maintain complex spreadsheets and databases.
Monitor and track activities of credit rating agencies in target sectors and keep database of relevant or potentially relevant credit reports for future access. Brief bankers on important, relevant, examples and overall trends.
Perform any other duties and special projects as assigned.
Qualifications:
Previous experience in real estate development and/or public finance
Bachelor’s Degree preferred
Strong communication and professional presence with clients
Well organized, attention to detail and able to manage multiple projects under pressure
Successful candidates will be highly self-motivated
Excellent analytical and quantitative skills with good understanding of financial markets
Advanced user of Excel, PowerPoint, and Word
As a leading investment bank, we enable growth and success for our clients through deep sector expertise, candid advice and a differentiated, highly productive culture.
Our public finance group provides underwriting and financial advisory services to state & local governments and not-for-profit entities. Supported by a broad national platform, our expert teams leverage localized knowledge to facilitate the issuance of taxable and tax-exempt debt across a range of sectors including state & local government, charter schools, cultural & social service nonprofits, healthcare, higher education, hospitality, project finance, K-12 school districts, senior living, special district group, and transportation. Learn more about out public finance team here.
Piper Sandler values a strong culture dedicated to the emotional and physical well-being of our employees. Learn more about our commitment to our employee’s health and well-being. Learn more about our benefits program and how we are here for our employees and their families today, tomorrow and beyond.
All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity, national origin, disability, age, marital status, status as a protected veteran or status with regard to public assistance.
The anticipated starting salary for Colorado-based individuals expressing interest in this position is $100,000 per year; this position is eligible for a annual incentive compensation.
LI-KM1"
8,Financial Services Representative,Meimarides Agency,Remote,Onsite,"Full-time, P",rt-time,"We are a National Financial Services Company servicing customers all over the Country.
We are looking for seff-motivated, driven, and customer service oriented individuals to work for our dynamic Company! We offer the following:
Flexible Work Hours
Opportunity To Work From Home
Full and Part Time Hours
No Experience Needed - Will Train
Will Help you Obtain Your Insurance License
The Financial Service Representative is an licensed insurance agent providing clients with products that help secure financial programs for their families. You will provide your clients with a multitude of insurance products and services, that represent their needs, such as Retirement Planning, Mortgage Insurance, Life Insurance, and Annuities. You will provide consistent, exemplary customer service by providing expert advice concerning a wide range of investment and insurance products. You need to have exceptional relationship building skills, an aptitude for identifying needs, presenting appropriate solutions for those needs, and good communication skills.
HS Diploma or GED required
Interested candidates please check out our website at:
meimaridesagency.com, and APPLY NOW!!
Job Types: Full-time, Part-time
Education:
High school or equivalent (Required)
Work Location: Remote"
9,Investment Banking Associate,Global Middle Market Investment Bank,"Washington, DC 20524",Onsite,"$150,000 - $200,000 ",r - Full-time,"Our client, a Global Boutique Investment Bank is seeking a newly opened role for an Experienced Investment Banking Associate for the growing Washington, DC team.
The experienced Associate will be responsible for supporting day-to-day M&A, capital raising, restructuring, and financial advisory deal processes and projects. The firm’s Associates have a deep understanding of the deal process and can effectively run many aspects of the transaction process alongside senior bankers.
Our client is unique as it is highly focused on advancing its employees’ career goals while providing consistent transparent feedback fostering personal and professional growth. The bank is well known for cross border M&A as part of a larger global platform with offices around the globe and the balance sheet of its parent, one of the largest financial institutions in Asia.
The Washington, DC office has industry focus of Aerospace & Defense, Government, TMT, CyberSecurity and Education. In 2021, 3 out of the 5 highest paid bankers were in the DC office. The CEO of the bank sits in the DC office as well.
Please reach out if interested or share with peers, colleagues and relevant friends considering new opportunities.
Job Type: Full-time
Pay: $150,000.00 - $200,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible spending account
Health insurance
Health savings account
Paid time off
Professional development assistance
Relocation assistance
Vision insurance
Physical setting:
Office
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Washington, DC 20524: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location

Health insurance"
