,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Investment Banking Associate - Public Finance,Piper Sandler,"1200 17th St, Denver, CO 80202",Onsite,"$100,000 ",r - Full-time,"At Piper Sandler, we connect capital with opportunity to build a better future.
We believe diverse teams with unique backgrounds, skills and experiences yield more innovative solutions. Our mission is to recruit, develop, retain and engage a diverse, high-performing team. Our business enables bright, committed people working in partnership within an environment that allows each person to achieve at a high level. We commit to encouraging and valuing inclusivity because every partner brings unique perspectives that help us better serve our clients.
We are currently looking for a Banking Associate in Denver, Colorado.
The Special District Group is a team of bankers and associates dedicated to raising capital for public infrastructure for new development or redevelopment. We are actively growing into markets with a demand for public infrastructure. We are seeking a junior banker to support and be a member of our team working in our Denver office. The position is a junior banking role on our Special District Group team and allows for the opportunity for career growth over time into a more senior position. The junior banker will provide extensive support and assist in providing investment banking advice to clients in the public sector.
Duties:
Assist in the preparation of high-quality, persuasive proposals to provide investment banking services to potential clients (RFP Responses).
Assist in the preparation of bond documents to include Credit Summaries, Offering Memorandum, Closing Memos, Pricing Materials, Credit Presentations, and Insurance Applications.
Research issuer financial information using public and internal resources.
Research industry and financial market trends, running data queries and analyzing such data.
Assist in the quantitative and qualitative preparation and presentation of internal credit memos and external publications.
Work with outside vendors to obtain aerial photos of projects
Develop and maintain complex spreadsheets and databases.
Monitor and track activities of credit rating agencies in target sectors and keep database of relevant or potentially relevant credit reports for future access. Brief bankers on important, relevant, examples and overall trends.
Perform any other duties and special projects as assigned.
Qualifications:
Previous experience in real estate development and/or public finance
Bachelor’s Degree preferred
Strong communication and professional presence with clients
Well organized, attention to detail and able to manage multiple projects under pressure
Successful candidates will be highly self-motivated
Excellent analytical and quantitative skills with good understanding of financial markets
Advanced user of Excel, PowerPoint, and Word
As a leading investment bank, we enable growth and success for our clients through deep sector expertise, candid advice and a differentiated, highly productive culture.
Our public finance group provides underwriting and financial advisory services to state & local governments and not-for-profit entities. Supported by a broad national platform, our expert teams leverage localized knowledge to facilitate the issuance of taxable and tax-exempt debt across a range of sectors including state & local government, charter schools, cultural & social service nonprofits, healthcare, higher education, hospitality, project finance, K-12 school districts, senior living, special district group, and transportation. Learn more about out public finance team here.
Piper Sandler values a strong culture dedicated to the emotional and physical well-being of our employees. Learn more about our commitment to our employee’s health and well-being. Learn more about our benefits program and how we are here for our employees and their families today, tomorrow and beyond.
All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity, national origin, disability, age, marital status, status as a protected veteran or status with regard to public assistance.
The anticipated starting salary for Colorado-based individuals expressing interest in this position is $100,000 per year; this position is eligible for a annual incentive compensation.
LI-KM1"
1,Associate Project Finance Investment Banking,MUFG,"1251 Avenue Of The Americas, New York, NY 10020",Onsite,"$150,000 - $175,000 ",r - Full-time,"Do you want your voice heard and your actions to count?
Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 6th largest financial group in the world. Across the globe, we’re 160,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, building long-term relationships, serving society, and fostering shared and sustainable growth for a better world.
With a vision to be the world’s most trusted financial group, it’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. This means investing in talent, technologies, and tools that empower you to own your career.
Join MUFG, where being inspired is expected and making a meaningful impact is rewarded.
Job Summary / Responsibilities:
Conduct detailed analysis and due diligence for new opportunities in Latin America and North America in the power, natural resources and infrastructure sectors
Reviewing market studies, engineering reports, financial models, financial statements, customer financial information, project contracts, and legal analyses
Review information about project assets, development plans, and commercial arrangements
Model complex financial projections in Microsoft Excel, including cash flows, debt financing, and tax structures
Analyze credit documentation, term sheets, and work with Bank products (Loans, Interest Rates Swaps, Foreign Exchange and Bonds) to meet client needs and objectives
Analyze, understand, and negotiate covenants in financing documentation, including those pertaining to maintenance of financial ratios, financial reporting of financial and operating results
Prepare detailed documentation summarizing opportunity analysis, including expected financial results and risk analysis for senior management and control functions
Support Project Finance deals and transactions from origination and diligence through to closing and liaising with the Portfolio Group by applying in-depth knowledge of the project finance market, credit analysis and administration
Advise clients on matters pertaining to commercial and financial structure, and operating requirements in order to achieve suitability for non-recourse debt financing
Preparing marketing materials using Microsoft Powerpoint and Word relevant to opportunities in the power, natural resources and infrastructure sectors
Analyzing new transactions and preparing credit applications to be delivered to the internal credit team that include analysis of financial conditions and projections for review and approval
Oversee and manage internal processes required for compliance and execution, including KYC, profitability analysis, committee approvals, legal due diligence, and closing checklists

Requirements:
A Bachelor’s Degree in Finance, Accounting, Economics, Business Administration, Commerce, Engineering, or another relevant field
A minimum of 3 years of related Accounting or Financial Services work experience; preferably with specific experience in project finance
Ideally some experience with project finance transactions in the power, natural resources, or transportation infrastructure sectors
The typical base pay range for this role is between $150K - $175K depending on job-related knowledge, skills, experience and location. This role may also be eligible for certain discretionary performance-based bonus and/or incentive compensation. Additionally, our Total Rewards program provides colleagues with a competitive benefits package (in accordance with the eligibility requirements and respective terms of each) that includes comprehensive health and wellness benefits, retirement plans, educational assistance and training programs, income replacement for qualified employees with disabilities, paid maternity and parental bonding leave, and paid vacation, sick days, and holidays. For more information on our Total Rewards package, please click the link below.
MUFG Benefits Summary
The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities duties and skills required of personnel so classified.
We are proud to be an Equal Opportunity/Affirmative Action Employer and committed to leveraging the diverse backgrounds, perspectives and experience of our workforce to create opportunities for our colleagues and our business. We do not discriminate on the basis of race, color, national origin, religion, gender expression, gender identity, sex, age, ancestry, marital status, protected veteran and military status, disability, medical condition, sexual orientation, genetic information, or any other status of an individual or that individual’s associates or relatives that is protected under applicable federal, state, or local law.
#LI-Onsite"
2,Investment Banking Analyst,The Dak Group,"195 State Rt 17 S, Rochelle Park, NJ 07662",Onsite,Full-time,Full-time,"About Us
The DAK Group, founded in 1984, is a boutique investment bank based in Rochelle Park, NJ with an exclusive focus on mergers and acquisitions serving the middle market. We work closely with entrepreneurs, family business owners, private equity firms and other mid-market stakeholders to navigate options for growth and expansions, as well as pursue successful exit strategies. We provide clients with sell-side/buy-side transaction services, strategic advisory, financial and restructuring advice, business valuations and fairness opinions. The DAK Group is comprised of senior investment bankers with extensive industry and technical expertise who provide hands-on corporate finance and deal-making specialization to every engagement.
If you’d like to join our team, please submit your resume to careers@dakgroup.com."
3,2023 Global Investment Banking Summer Analyst - New York,Royal Bank of Canada,"New York, NY 10281",Onsite,Full-time,Full-time,"Come Work with Us!

At RBC, our culture is deeply supportive and rich in opportunity and reward. You will help our clients thrive and our communities prosper, empowered by a spirit of shared purpose.

Whether you’re helping clients find new opportunities, developing new technology, or providing expert advice to internal partners, you will be doing work that matters in the world, in an environment built on teamwork, service, responsibility, diversity, and integrity.
Job Title
2023 Global Investment Banking Summer Analyst - New York
Job Description
What is the opportunity?
RBC Capital Markets is a premier investment bank that provides a focused set of products and services to corporations, institutional investors and governments around the world. With more than 7,100 professionals, we operate out of 70 offices in 15 countries across North America, the U.K., Europe, and the Asia-Pacific region.
We work with clients in over 100 countries around the world to deliver the expertise and execution required to raise capital, access markets, mitigate risk and acquire or dispose of assets. We are consistently ranked among the largest global investment banks according to Bloomberg and Dealogic.
RBC Capital Markets is part of a leading provider of financial services, Royal Bank of Canada (RBC). Operating since 1869, RBC is one of the top 15 largest banks in the world and the fifth largest in North America, as measured by market capitalization. With a strong capital base and consistent financial performance, RBC is among a small group of highly rated global banks.
U.S. Summer Analyst Program
Each year, we invite high-performing, rising college seniors to join our Global Investment Banking (GIB) platform for a 10-week U.S. Summer Analyst Program. The program offers Summer Analysts an opportunity to work alongside our investment bankers on a variety of live transactions as well as client-facing business development initiatives.
What will you do?
GIB provides a complete suite of strategic advisory services, as well as equity and debt capital raising capabilities for leading corporations, institutions and governments. RBC Capital Markets’ investment banking platform focuses on nine core industries and seven product groups.
Industries:
Communications, Media and Entertainment (CME)
Consumer/Retail
Energy
Financial Services (FIG)
Healthcare
Industrials/Automotive
Power & Utilities/Infrastructure
Real Estate
Technology
Product Groups:
Convertibles
Equity Capital Markets (ECM)
Financial Sponsors
Leveraged Finance Capital Markets
Mergers & Acquisitions (M&A)
Alternative Investors
Private Placements
As a GIB Summer Analyst you will spend your time:
Developing and preserving complex financial models
Creating pitch books and other client materials
Generating and maintaining financial models and analysis
Conducting research to analyze market trends
Supporting live deals and major transactions
What do you need to succeed?
In selecting Analysts, we look for the following:
Undergraduate students in their penultimate year of study at an accredited four-year college or university
Excellent written & verbal communication skills
Familiarity with computer applications such as MS Outlook, Word, and Excel
Ability to manage multiple competing priorities and thrive in a fast-paced and challenging environment
Value and possess strong competency in the following behaviors: Collaboration, Relationship Building, Communication, Integrity and Operating with Diverse and Inclusive Mindset
Well-rounded set of interests and extra-curricular activities beyond academics
What’s in it for you?
We thrive on the challenge to be our best, think progressively, continue our growth, and deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our individual/collective potential, making a difference to our communities, and achieving success that is mutual.
From this experience you would gain:
A strong foundation in fundamental investment banking skills such as financial modeling and analysis, transaction execution and negotiation, and in-depth industry/product knowledge
A better understanding of RBC’s products and services
The support of a mentor (typically a full-time Analyst)
An opportunity to network and discuss career opportunities through a number of social events
The good-faith expected salary range for the above position is $100,000 depending on factors including but not limited to the candidate’s experience, skills, registration status; market conditions; and business needs. RBC’s compensation philosophy and principles recognize the importance of a highly qualified global workforce and plays a critical role in attracting, engaging and retaining talent that:
Drives RBC’s high performance culture
Enables collective achievement of our strategic goals
Generates sustainable shareholder returns and above market shareholder value
Job Summary
Address:
New York, New York, United States of America
City:
USA-NY-NEW YORK
Country:
United States of America
Work hours/week:
40
Employment Type:
Full time
Platform:
Human Resources
Job Type:
Student/Coop (Fixed Term)
Pay Type:
Salaried
Posted Date:
2022-03-30
Application Deadline:
2023-03-24
Inclusion and Equal Opportunity Employment
At RBC, we embrace diversity and inclusion for innovation and growth. We are committed to building inclusive teams and an equitable workplace for our employees to bring their true selves to work. We are taking actions to tackle issues of inequity and systemic bias to support our diverse talent, clients and communities.

We also strive to provide an accessible candidate experience for our prospective employees with different abilities. Please let us know if you need any accommodations during the recruitment process.
Join our Talent Community

Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers."
4,Investment Banking Analyst – Part Time/Remote,Pegasus Intellectual Capital Solutions,"Chicago, IL",Remote,"Full-time, P",rt-time,"Investment Banking Analyst – Part Time/Remote
PegasusICS is an acclaimed middle-market investment bank based in Chicago. We are seeking to hire either an experienced investment banking analyst. We operate in an entrepreneurial environment and analysts are given as much responsibility as their experience and capabilities permit. We are open to both a full-time and a part-time person that operates remotely, either U.S. or non-U.S. domiciled.
PegasusICS offers its analysts the opportunity to gain extensive experience across multiple industries and transaction types including mergers & acquisitions, financings, and restructuring. Analysts will act as generalists, gaining extensive experience while working on a variety of client engagements. Part time/remote analysts are used to work on overflow and ad hoc projects. These analysts likely have another position which is not fully challenging to them, and they desire to improve their skill sets, increase their income via success fees as part of working in mergers and acquisitions. Analysts will be mentored one-on-one by senior bankers at the firm. Analysts work on small deal teams or one-on-one with mentors and may be afforded the opportunity to interface directly with senior-level client executives and bankers, and start developing the crucial soft skills required in deal making from early on in their careers. The investment banking analyst program is a highly competitive two to three year program and analysts who exceed our expectations may be invited to remain with the firm as an associate. With consistent superior performance, equity ownership is possible.
Due to the nature of our firm, an Analyst position at PegasusICS provides unparalleled exposure to senior professionals. The basic skills that our training program provides are continually developed by the experience of working with senior advisory professionals across a wide range of assignments.
Location: Chicago
Responsibilities
Analyze historical financial statements and financial projections
Performing financial analysis and modeling
Perform company, industry, market, and competitor research and due diligence
Assist with identification of prospective investors and/or strategic and financial buyers;
Lead efforts to collect information that supports buyer due diligence;
Prepare Confidential Information Memoranda
Conduct data room management
Assisting with execution of M&A and capital raising assignments/project management
Prepare presentations for new business development and client engagements
Participate in client discussions and due diligence meetings
Maintaining relationships with client personnel at appropriate levels
Assist with all other aspects of industry-focused marketing initiatives.
Analyzing M&A market trends and writing related industry research
Desired Skills and Experience
Highest level of personal integrity, attention to detail and work ethic
Strong undergraduate academic performance
An undergraduate degree in finance or accounting
Strong accounting and financial statement analysis skills
Strong written and verbal communication skills
Proficiency at Microsoft Office, including Excel, PowerPoint and Word
The ability to work in an entrepreneurial, small company environment under demanding time schedules
Strong analytical and problem solving capabilities
Ability to prioritize tasks, work on multiple assignments, and manage tight timelines in a team environment
Ability and willingness to work long hours and travel
All applicants must be U.S. citizens or authorized green card holders
The position will offer compensation consisting solely of a portion of success fees from those transactions worked on by the Analyst and closed on a project-by-project basis.
PegasusICS is an equal opportunity employer. To apply, write to careers@PegasusICS.com and reference “part-time/remote analyst” in the subject"
5,Investment Banking Associate,Ducera Partners - Experienced Hires,"Los Angeles, CA",Onsite,"$200,000 - $250,000 ",r - Full-time,"Firm Profile
Ducera Partners is a leading investment banking advisory practice focused on providing trusted, independent advice and innovative solutions to decision makers in complex and transformative corporate finance transactions.
Ducera provides senior level advice to its clients in areas such as corporate restructurings, mergers & acquisitions, private capital solutions and liability management.
Since its founding in June 2015, Ducera has advised on over $750 billion in transactions across various industries.
Responsibilities
As an Associate, you will work on a wide range of transactions including restructurings, recapitalizations,
acquisitions, divestitures, private placements, leveraged buyouts, and joint ventures. Associates are
expected to be involved in the development, structuring and financing of transactions and regularly attend internal and client meetings, negotiations and due diligence sessions.
Associate work will include, but is not limited to:
Financial analysis and modeling
Drafting of client presentations
Preparation of memoranda for internal and external use
Conducting financial and other business related research
Coordinating complex and often time-sensitive processes
Active involvement in client facing situations
Assistance in the execution of transactions
Qualifications
Ducera Partners seeks to hire individuals who are highly motivated, team-oriented, intelligent and have excellent academic, leadership and extracurricular records.
In addition, qualified candidates will possess the following:
Strong financial modeling, finance, and accounting skills
A demonstrated ability to work cooperatively with all levels of staff
Excellent verbal and written communication skill
Outstanding project management skills
Exceptional attention to detail
Requirements
To be considered for the Associate position, applicants must meet the following criteria:
Bachelor's Degree
Prior full-time professional experience
Resume must be in PDF format
Following submission of this application, all candidates should complete a profile on Suited to further assist in an evaluation of your candidacy: Creating a Suited Profile
Expected annual base salary range: $200,000 - $250,000
The annual base salary range reflects the low and high targets of the estimated base salary range for this position. The actual base salary an employee in this role receives may vary depending on a variety of factors, including but not limited to: work location, job-related knowledge, and prior experience. The range listed reflects base salary only, and the total compensation package may include other components.
Ducera Partners is an equal opportunity employer. We do not discriminate on the basis of, and will consider all qualified applicants for employment without regard to race, color, religious creed, religion, sex, pregnancy, national origin, ancestry, citizenship status, age, martial or partnership status, sexual orientation, gender identity expression, disability, medical condition, genetic information or predisposition, veteran or military status, status as a victim of domestic violence, a sex offense or stalking, or any other category protected by law. Ducera Partners also complies with all applicable laws with regard to providing reasonable accommodation of disabilities to applicants."
6,Investment Banking Analyst-Restructuring,Piper Sandler,"130 E 43rd St, New York, NY 10174",Onsite,"$100,000 - $125,000 ",r - Full-time,"At Piper Sandler, we connect capital with opportunity to build a better future.
We believe diverse teams with unique backgrounds, skills and experiences yield more innovative solutions. Our mission is to recruit, develop, retain and engage a diverse, high-performing team. Our business enables bright, committed people working in partnership within an environment that allows each person to achieve at a high level. We commit to encouraging and valuing inclusivity because every partner brings unique perspectives that help us better serve our clients.
We are currently looking for an Investment Banking Analyst to join our Restructuring team (TRS Advisors) in the New York office. Piper Sandler’s restructuring investment banking team has been integral to some of the most complex restructuring transactions in public, private and government settings.
Responsibilities:
Create financial models
Conduct financial valuations
Create and maintain industry-specific business development books
Conduct industry- and company-specific research
Interact with clients and senior bankers
Our environment is collaborative, fast-paced and entrepreneurial. Our clients are extraordinarily dynamic and our people have what it takes to excel.
Qualifications:
Degree in finance, business, management plus other related degrees
Experience with formal training is preferred
Ability to work in a fast paced and intellectually challenging environment
Extremely detail oriented with the ability to multi-task
Candidates must be able to work well under pressure, handle multiple projects at once and learn quickly
Excellent analytical, verbal and written communication skills
U.S. work eligibility is required.
As a leading investment bank, we enable growth and success for our clients through deep sector expertise, candid advice and a differentiated, highly productive culture.
Our clients have access to unparalleled guidance through our deep product and sector expertise and ready access to global capital. We take pride in providing our clients with thoughtful advice and diligent execution, no matter the economic environment. Our investment banking group partners with corporate clients and financial sponsors to provide advisory and financing services related to mergers and acquisitions, equity and debt capital markets, private placements, restructuring and corporate & venture services. We offer in-depth knowledge and industry relationships in our core sectors of chemicals, consumer, diversified industrials & services, energy & power, financial services, healthcare and technology. Learn more about our investment banking team here.
Piper Sandler values a strong culture dedicated to the emotional and physical well-being of our employees. Learn more about our commitment to our employee’s health and well-being. Learn more about our benefits program and how we are here for our employees and their families today, tomorrow and beyond.
All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity, national origin, disability, age, marital status, status as a protected veteran or status with regard to public assistance.
The anticipated starting salary range for New York City-based individuals expressing interest in this position is $100,000 - $125,000 per year. Placement within this range is dependent upon level of experience. This position is eligible for annual incentive compensation which will be a part of the total compensation. Total compensation for this position will be competitive with the market.
LI-BS1"
7,2024 Corporate & Investment Bank Investment Banking Summer Analyst Program - Public Finance,"JPMorgan Chase Bank, N.A.","New York, NY",Onsite,"$110,000 ",r - Full-time,"CORPORATE & INVESTMENT BANK
2024 INVESTMENT BANKING SUMMER ANALYST PROGRAM - PUBLIC FINANCE
Spend your summer working alongside the top professionals in the business to come up with solutions that shape the U.S. economy. Our bankers are focused on long-term relationships and developing strategies that help our government, and corporate clients grow and innovate. We do this by creating solutions for the complex financing needs of state and local governments, non-profit health care, higher education and housing institutions, utilities and certain corporations that issue debt in the capital markets. Public Finance provides exposure to all aspects of the capital markets by working closely with sales, trading and underwriting desk for prospective and live transactions.
Working here means joining a collaborative, supportive team. We want your diverse perspective to help us innovate the next wave of products and solutions for our clients. We'll give you what you need to succeed from training to mentoring from senior leaders to projects that engage all your skills.
What to expect

Our nine-week program kicks off with five days of orientation and training, giving you technical and practical skills. Top performers may receive a full-time job offer at the end of the summer.
You'll make an impact by:

Analyzing market data, building detailed financial models and preparing client presentations for credit strategies and debt issuance
Managing client transactions from pitch to close under the guidance of our senior leaders
Coming up with innovative and creative ways to solve complex, real-world business challenges
Learning how we help clients and communities grow, no matter their needs
Sharpening your technical skills
Building your professional network with mentors, senior executives and others
Locations and groups you may join:

New York City: Public Finance

About You

If you've got initiative and the vision to come up with strategies and plans, then this is the role for you.
Key skills include:
Excellent analytical, quantitative and interpretative skills
Ability to thrive in a dynamic, collaborative work environment
Being adaptable, flexible and resilient
Knowing your way around Excel, PowerPoint and Word
Fluency in English
Coursework in finance or economics a plus
Interest in public infrastructure finance a plus
Authorization to work in the U.S.
To be eligible for this program, you must be authorized to work in the U.S. We do not offer any type of employment-based immigration sponsorship for this program. Likewise, JPMorgan Chase & Co., will not provide any assistance or sign any documentation in support of any other form of immigration sponsorship or benefit except for extension of optional practical training (OPT).
Attend college/university in the U.S.
Expected graduation date of December 2024 - June 2025 from bachelor's or master's program
If you are received a master's, it must be within 2 years of your receipt of a bachelor's degree.
Minimum preferred cumulative GPA of 3.2 on a 4.0 scale
Join us

At JPMorgan Chase, we're creating positive change for the diverse communities we serve. We do this by championing your innovative ideas through a supportive culture that helps you every step of the way as you build your career. If you're passionate, curious and ready to make an impact, we're looking for you.
What's next?

Help us learn about you by submitting a complete and thoughtful application, which includes your resume. Your application and resume is a way for us to initially get to know you, so it's important to complete all relevant application questions so we have as much information about you as possible.

After you confirm your application, we will review it to determine whether you meet certain required qualifications.
If progressed, you will receive an email invitation to complete a video interview, powered by HireVue. This is your opportunity to further bring your resume to life and showcase your experience for our recruiting team and hiring managers.
Your application will not be considered for further review until you have completed HireVue. We strongly encourage that you apply and complete all required elements as soon as possible, since programs will close as positions are filled.
JPMorgan Chase is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities.
Visit jpmorganchase.com/careers for upcoming events, career advice, our locations and more.

©2022 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
The health and safety of our colleagues, candidates, clients and communities has been a top priority in light of the COVID-19 pandemic. JPMorgan Chase was awarded the ""WELL Health-Safety Rating"" for all of our 6,200 locations globally based on our operational policies, maintenance protocols, stakeholder engagement and emergency plans to address a post-COVID-19 environment.
As a part of our commitment to health and safety, we have implemented various COVID-related health and safety requirements for our workforce. Employees are expected to follow the Firm's current COVID-19 or other infectious disease health and safety requirements, including local requirements. Requirements include sharing information including your vaccine card in the firm's vaccine record tool, and may include mask wearing. Requirements may change in the future with the evolving public health landscape. JPMorgan Chase will consider accommodation requests as required by applicable law.

We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. For those in eligible roles, discretionary incentive compensation which may be awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process.
Equal Opportunity Employer/Disability/Veterans
Base Pay/Salary
New York,NY $110,000.00 - $110,000.00 / year"
8,INVESTMENT BANKING ANALYST,CIBC Cleary Gull,"411 E Wisconsin Ave Ste 1850, Milwaukee, WI 53202",Onsite,N,r - Full-time,"Involved from beginning to end of a transaction, from helping prepare marketing materials to support for negotiations. Analysts are primarily responsible for analysis and completion of industry and company-specific research. Analysts are expected to be active participants during every phase of the deal process. We typically hire Analysts out of leading undergraduate business programs. Our recruits typically have majors in accounting or finance, relevant work experience, superior academic and extracurricular records, and an interest in financial analysis. Successful candidates must also possess strong interpersonal skills, motivation and effective communication skills, both oral and written.
CIBC Cleary Gull
411 East Wisconsin Avenue, Suite 1850
Milwaukee, WI 53202
Attention: HR Department"
9,Investment Banking Analyst,Ducera Partners - Experienced Hires,"Los Angeles, CA",Onsite,"$110,000 - $140,000 ",r,"Firm Profile
Ducera Partners is a leading investment banking advisory practice focused on providing trusted, independent advice and innovative solutions to decision makers in complex and transformative corporate finance transactions.
Ducera provides senior level advice to its clients in areas such as corporate restructurings, mergers & acquisitions, private capital solutions and liability management.
Since its founding in June 2015, Ducera has advised on over $750 billion in transactions across various industries.
Responsibilities
As an Analyst, you will work on a wide range of transactions including restructurings, recapitalizations, acquisitions, divestitures, private placements, leveraged buyouts, and joint ventures. Analysts are expected to be involved in the development, structuring and financing of transactions and regularly attend internal and client meetings, negotiations and due diligence sessions. Analyst work will include, but is not limited to:
Financial analysis and modeling
Drafting of client presentations
Preparation of memoranda for internal and external use
Conducting financial and other business related research
Coordinating complex and often time-sensitive processes
Active involvement in client facing situations
Assistance in the execution of transactions
Qualifications
Ducera Partners seeks to hire individuals who are highly motivated, team-oriented, intelligent and have excellent academic, leadership and extracurricular records.
In addition, qualified candidates will possess the following:
Strong financial modeling, finance, and accounting skills
A demonstrated ability to work cooperatively with all levels of staff
Excellent verbal and written communication skill
Outstanding project management skills
Exceptional attention to detail
Requirements
To be considered for the Analyst position, applicants must meet the following criteria:
Bachelor's Degree
Resume must be in PDF format
Following submission of this application, all candidates should complete a profile on Suited to further assist in an evaluation of your candidacy: Creating a Suited Profile
Expected annual base salary range: $110,000 - $140,000
The annual base salary range reflects the low and high targets of the estimated base salary range for this position. The actual base salary an employee in this role receives may vary depending on a variety of factors, including but not limited to: work location, job-related knowledge, and prior experience. The range listed reflects base salary only, and the total compensation package may include other components.
Ducera Partners is an equal opportunity employer. We do not discriminate on the basis of, and will consider all qualified applicants for employment without regard to race, color, religious creed, religion, sex, pregnancy, national origin, ancestry, citizenship status, age, martial or partnership status, sexual orientation, gender identity expression, disability, medical condition, genetic information or predisposition, veteran or military status, status as a victim of domestic violence, a sex offense or stalking, or any other category protected by law. Ducera Partners also complies with all applicable laws with regard to providing reasonable accommodation of disabilities to applicants."
