,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Senior Building Enclosure Engineer/Architect,"Terracon Consultants, Inc.","Raleigh, NC 27604",Onsite,"$90,000 - $120,000 ",r - Full-time,"Job Description
Great Pay with Full Benefits and Bonus - The position pay range is $90K to $120K. - Sign-On* Bonus for the selected candidate.*
Terracon is growing and we are hiring an experienced senior level building enclosure engineer/architect
Requirements:
Bachelor’s degree in Engineering or Architecture.
Minimum 8-11 years’ experience.
Professional Engineer (PE), Architecture (AIA) license/registration.
Valid driver’s license with acceptable violation history.
Preferred Certification:
IIBEC Registrations (RRC, RWC, REWC, RBEC, RRO, REWO)
Essential Roles and Responsibilities:
Lead safety efforts for team and ensure team follows safety rules and guidelines. Responsible for creating and modeling a safe work environment; demonstrating safety practices. Promote pre-task planning for all projects.
Promote continuous quality monitoring and improvement on projects. Monitor quality standards and practices.
Develop understanding and be aware of project-related risk and how to protect the Company. Be familiar with company risk policies.
Senior level engineering professional providing technical direction required for production and completion of both routine and unique or complex projects.
Responsible for conceptualizing the initial design and/or investigative approach for a major phase of a large project or have overall responsibility for the engineering work on a project of moderate scope.
Plan, schedule, conduct, and/or coordinates engineering work involving conventional engineering practices but may include a variety of complex features such as conflicting design requirements.
Provide review of projects requiring complex and innovative investigation techniques and supervise the analysis and formulation of recommendations in written reports to clients; provides technical review of reports.
Lead technical training and make informed decisions based upon state of the art technology issues.
Provide leadership of marketing, sales and business development.
Supervise less experienced engineers or technical support personnel on projects.
Serve as an Authorized Project Reviewer.
About Terracon
Terracon is a 100 percent employee-owned consulting engineering firm providing quality services to clients. Since 1965, Terracon has evolved into a successful multi-discipline firm specializing in environmental, facilities, geotechnical, and materials services. Terracon currently has more than 5,000 employees in more than 150 offices with services available in all 50 states. Terracon’s growth is due to valued employees exceeding expectations in client service and growing their careers with new and exciting opportunities in the marketplace.
Terracon’s vision of “Together, we are best at people” is demonstrated through our excellent compensation and benefits package. Based on eligibility, role and job status, we offer many programs including medical, dental, vision, life insurance, 401(k) plan, paid time off and holidays, education reimbursement, and various bonus programs.
EEO Statement
Terracon is an EEO employer. We encourage qualified minority, female, veteran and disabled candidates to apply and be considered for open positions. We do not discriminate against any applicant for employment, or any employee because of race, color, religion, national origin, age, sex, sexual orientation, gender identity, gender, disability, age, or military status.
Job Type: Full-time
Pay: $90,000.00 - $120,000.00 per year"
1,Geotechnical Engineer,"Midwest Engineering and Testing, Inc.","Bloomington, IL",Onsite,"$60,000 - $90,000 ",r - Full-time,"Geotechnical Engineer
Midwest Engineering and Testing, Inc. (MET) has openings for geotechnical engineers at its Champaign and Bloomington, Illinois locations. MET is an engineering firm that performs geotechnical engineering, construction materials testing and environmental engineering services primarily in Central Illinois. MET has recently expanded from the Champaign location with the addition of two new branches in Springfield and Bloomington. This position offers an excellent opportunity to join a growing company.
Primary responsibilities would include:
Supervise and schedule the drill rig and crew.
Prepare geotechnical reports including technical recommendations.
Prepare fee proposals for geotechnical projects.
Provide technical support regarding geotechnical issues on our projects where we are providing material testing and construction inspection.
Supervise geotechnical laboratory testing.
Develop customer relationships and assist with marketing our services.
Recent graduates or experienced engineers are invited to apply. Send a resume and cover letter to Daniel Tappendorf.
Job Type: Full-time
Pay: $60,000.00 - $90,000.00 per year
Benefits:
401(k)
401(k) matching
Health insurance
Paid time off
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay

Health insurance"
2,Geotechnical Engineer,"Resource Options, Inc.","Southborough, MA",Onsite,$22 - $25 ,ct,"ROI is currently collaborating with a Massachusetts based multi-disciplinary consulting firm in their search for an entry level geotechnical engineer in the greater Boston area. This is a transition to hire based assignment for a well-established consultant.
Position Responsibilities:
Field and reporting aspects of geotechnical investigation, engineering, and inspection
Test pit investigation, field sampling and lab analyses for a variety of evornmetnal and construction projects.
Inspection of earthwork, soil compaction and concrete
Qualifications
B.S in Civil Engineering or Geotechnical Engineering
E.I.T or ability to obtain E.I.T upon employment
Internship in Geotechnical Engineering or Civil Engineering
Now in our 25th year of operation, ROI partners with professionals in the Design, Construction and Environmental industries to help them identify great opportunities within their area of expertise. With offices throughout New England, New York and New Jersey, ROI seeks candidates interested in rewarding opportunities with companies serving the natural and built environments. Representative positions include carpenters, electricians, laborers, pipefitters, plumbers, OSHA 40 technicians, CDL drivers, lab pack chemists, HEO’s, w/ww operators, analytical chemists, environmental scientists, EH&S professionals, land surveyors, M/E/P, civil, structural and geotechnical engineers, architects and interior designers, project managers, estimators, superintendents, OPM representatives and more.
ROI provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics.
ROI intends to provide a safe and drug-free work environment for our employees and our clients; as such you may be required to take a pre-employment drug screen before beginning employment.
Job Types: Full-time, Contract
Pay: $22.00 - $25.00 per hour
Schedule:
8 hour shift
Work Location: In person"
3,Civil Engineering Manager,"Crow Engineering, Inc.",Remote,Onsite,"$100,000 - $160,000 ",r - Full-time,"Civil Engineer
Job description
CROW ENGINEERING, INC. is a multi-disciplined consulting engineering firm serving the mechanical, structural, and civil engineering needs of a diverse range of clients. We have a rich history of serving the wood products, food processing, and cold-storage warehousing industries. We are the lead consultants for most of our clients. This presents our employees with the opportunity to directly engage with the end user.
Due to our growth in the civil engineering space, this is a new position for Crow. If you are interested in being a part of a growing team in an established business, this position may be a good fit for you.
Job Description:
This position will be responsible for:
· Mentoring and Managing Civil EITs and Designers
· Working with Crow principals to plan resources and project commitments
· Collaborating with project managers to define project deliverables and outcomes
· Executing engineering, design and drafting (as required) to meet the project deliverables.
Projects for this position will include the development and modernization of heavy industrial facilities across the US. Most of the work will be with wood products manufactures (sawmills), cold storage facilities, or other manufacturing and distribution clients. Design work for this position will generally focus on developing stormwater systems, roadways for rolling stock, civil feature design in support of manufacturing equipment, and general grading for site operations.
Responsibilities:
Responsible for managing and mentoring staff. Managing their daily activities. And growing our team to meet the overall needs of the company.
Prioritizes workload for team members, creates resource forecasts and manages changes in team priorities.
Member of Crow's management team that proactively builds processes, training opportunties and other activities to develop their teams.
Prepares construction documents for civil (site development) engineering activities.
Must be able to work in both a 2D environment as well as utilize 3D or BIM tools to create 2-D drawing products. Must be fluent in AutoCAD, specifically Civil3D. Familiarity or experience with REVIT also a plus.
Must be able to accurately draw from sketches or specifications using appropriate symbology, terms, procedures and drafting standards.
Draw civil plans (site plans, grading and stormwater plans, utility plans), diagrams, and profiles, using cross-sections and surveys.
Coaches EIT’s and other designers to successfully meet project requirements.
Able to produce drawing sets that are easy for contractors to do determine the client requirements.
Experience preparing hydrology calculations required.
Basic structural design knowledge preferred as well as a willingness to supplement civil engineering design with structural engineering tasks a bonus for candidate
Determine the order of work and method of presentation, such as orthographic or isometric drawing.
Review rough sketches, drawings, specifications, and other engineering data received from civil and structural engineers to ensure that they conform to design concepts.
Effective communication with the design team to plan, develop drawings, basic design models, and resolve problems.
Must be able to work with local jurisdictions to determine the requirements to the permitting process, and submit future deliverables to match those requirements.
Position will have the opportunity to travel to job sites, on occasion.
Position Requirements:
Must have a working knowledge of the Windows Operating System including email, word processing, spreadsheet, database, and computer-aided drafting applications (AutoCAD and other Autodesk Programs).
Bachelor’s degree in drafting/design/engineering technology or equivalent 5-7 years of industry-related civil experience or structural experience.
Personnel Management Experience
Professional Civil Engineer
Candidate must be able to show that they can rely on their experience, as an engineer, to design solutions that may not be adequately defined in the jurisdictional requirements.
Candidate must be comfortable doing hand calculations and generally not being overly reliant of software systems to determine engineering outcomes.
Must be able to provide leadership and direction with the following outside third parties:
Local Permitting Jurisdictions
Survey Teams
Geotechnical Engineers
Additional Skills Required for the role include:
Must be a self-starter and be comfortable working in a fast-paced environment
Must be comfortable making decisions
Basic construction experience or knowledge
Problem Solving
Critical Thinking
Attention to Detail
Strong desire to learn and help others
Job Type: Full-time
Job Type: Full-time
Pay: $100,000.00 - $160,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Supplemental pay types:
Bonus pay
COVID-19 considerations:
Mask required in all shared space environments with other employees and when interfacing with clients.
Application Question(s):
Do you enjoy, or see yourself enjoying doing site development work for heavy industrial locations?
The candidate must be able to work immediately in the United States. Do you currently reside in the US or Canada?
Education:
Bachelor's (Required)
License/Certification:
Professional Engineering License (Required)
Work Location: Remote

Health insurance"
4,Staff Geotechnical Engineer,Confidential,Colorado,Onsite,"$60,000 - $125,000 ",r - Full-time,"The successful applicant will work on completing geotechnical engineering design projects primarily involved with foundation investigations for commercial buildings and residential projects. Studies involving slope stability, earth retention, pavement design and geologic hazards are also likely. Work will be primarily geared toward projects; however, client service and business development will also be required.
About the company: They have been providing innovative engineering solutions throughout the Rocky Mountain Region and beyond since 1971. They regularly provide geotechnical design and construction criteria as well as construction observation and testing services for residential developments, commercial buildings, industrial facilities, retail outlets, shopping centers, mining facilities, and infrastructure including dams, water treatment facilities, and road construction.
Job location: Openings in Denver and Glenwood Springs, Colorado – relocation assistance available
Salary/Benefits: Starting base salary $60,000-$125,000 depending on experience+ 15-20% annual bonus. Medical, Dental, Vision, Life, FSA, HSA, 401k, profit sharing plan, paid vacation, and paid sick time
Qualifications:
The ideal applicant will have a B.S. in engineering or engineering geology (MS preferred), and 3+ years of geotechnical experience.
In addition to strong engineering skills, this individual must possess an understanding of construction methods and client relations.
Good writing and communication skills are essential.
Job Type: Full-time
Pay: $60,000.00 - $125,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Relocation assistance
Vision insurance
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Colorado: Reliably commute or willing to relocate with an employer-provided relocation package (Required)
Education:
Bachelor's (Required)
Work Location: One location

Health insurance"
5,Construction Technician (Entry-Level),ECS Ltd,"Austin, TX 78728",Onsite,$16 - $30 ,n hour,"What You'll Do:
Start your career with us and receive a ***Up to $1000 SIGNING INCENTIVE***

$16-30/hour based on experience

No experience necessary, paid training is provided, and we pay your certification fees!
Observing and documenting field activities
Sampling, testing, and inspecting soils, aggregates, concrete, grout, masonry, asphalt, and structural steel placement
Performing calculations and data reduction of test results along with drafting
Using field screening equipment and documenting readings
Reading maps, following directions, and interpreting engineering and construction plans
Interacting and communicating daily with contractors, technicians, and project managers
Don't forget - we offer paid certifications and training
This is an entry level position with opportunities for advancement
AUS123
What We're Looking For:
High School diploma or GED
0 – 3 years of experience
Position requires carrying 40 – 70 lbs multiple times a day or occasionally lifting 85 lbs to waist height
Must be able to provide suitable transportation for use on job sites – Mileage will be reimbursed
Who We Are:
Founded in 1988, Engineering Consulting Services (ECS) is a leader in geotechnical, construction materials, environmental, and facilities engineering. ECS is currently ranked 38 in Zweig Group’s Hot Firms List (Zweig Group, June 2022), 64 in Engineering News-Record’s Top 500 Design Firms (ENR, April 2022), and 142 in Engineering News-Record’s Top 200 Environmental Firms (ENR, July 2022). To learn more about us, click here.

We love our employees and we show this through providing some great benefits, including paid time off, health and other insurance plans, retirement and college savings plans, and more. Click here to learn more about the great benefits at ECS.

ECS is an Equal Opportunity Employer. This means that all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other characteristic protected by law.

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information."
6,Geologist / Environmental Staff Engineer,ALTRES,"Honolulu, HI",Onsite,$18 - $25 ,n hour - Full-time,"Rare opportunity to join an experienced engineering team to assist with geotechnical and environmental projects by conducting fieldwork and field investigations! Projects may include work for the government as well as contractors and real estate clients.
Upon hire, the company offers great benefits including professional development opportunities, medical, paid holidays, PTO, 401(k) with matching, parking, etc.
The client is open to considering candidates with different experience levels, making this an excellent opportunity to grow your career with a successful firm. Apply today for immediate consideration!
Hours
Full-time, Monday to Friday, 8:00am-5:00pm. May require occasional overtime, including evenings, nights, Saturdays, Sundays, and holidays.
Location
Honolulu, Oahu
Pay
$18 to $25 an hour
Responsibilities
Take environmental samplings (e.g., soil, groundwater, etc.) for environmental investigations.
Prepare Environmental Site Assessments (ESA).
Perform geotechnical lab testing.
Collect, compile and analyze technical data.
Generate reports, diagrams, charts, drawings, specifications, and procedures.
Provide proposals and cost estimates.
Coordinate project tasks with sub consultants, clients and contractors as needed.
Prepare project and workforce scheduling as needed.
Perform other duties as assigned.
Qualifications
Bachelor’s degree in engineering, geology, geophysics, environmental science, or related science degree program required.
Internship or professional work experience with geotechnical engineering, geological, or geoscience companies preferred.
Musty have a valid driver’s license.
Able to obtain military base access.
Ability to pass a pre-employment background check and drug test.
Ability to travel to different work sites, occasionally in remote areas and/or off-island.
About ALTRES Tech
ALTRES Tech is hiring skilled IT, engineering, and tech professionals for jobs at Hawaii's top companies.
Let our experienced recruiters save you time and help you find a job you’ll love.
Working with ALTRES is easy and fast and there is no cost to you. Apply today!
#TECH_INDEED_
_
Job Type: Full-time
Pay: $18.00 - $25.00 per hour"
7,Project Engineer,"Malcolm Drilling Company, Inc","Kent, WA 98031",Onsite,Full-time,Full-time,"Date: Mar 16, 2023
Company:
Malcolm has been innovating and leading the deep foundation industry for over six decades. As part of our deep foundations, retention systems, and ground improvement services, we also provide a range of special applications and dewatering techniques. By implementing Design/Build, we are able to execute projects quickly and effectively, allowing for timely collaboration with owners and contractors. Through our regional offices, we offer these services nationwide.
Job Title: Project Engineer
Location: Kent, WA
Responsibilities:
· Assist the Project Manager with takeoffs and construction schedules
· Coordinate with contractors, subcontractors and material suppliers
· Study drawings, specification and geotechnical reports
· Assist the site Superintendent with the implementation of quality control measures
· Record and verify on-site activities and production summaries
· Work 70% in the field and 30% in the office
· Understand and help implementing required safety measurements
· Attend companywide training
Qualifications:
· Bachelors’ degree in civil engineering or construction management preferred
· Previous experience in construction is not required but is a plus
· We will consider recent college graduates for this role
· Must be well organized, responsible, reliable, punctual, and eager to learn and have a strong work ethic
· Proficient with Word and Excel
· Ability to travel to various job sites within the district
· Driver’s license required
Benefit Package: Company offers competitive salary, 100% paid health benefits (PPO) for the employee and minimal contribution for ALL dependents, company contributes up to 10% of your salary into retirement plan (no employee contribution required) and opportunity for career advancement.
Schedule: (Full-time/ Part-time): Full- Time
Travel: (… %): As Needed
Malcolm Drilling Company, Inc. is an Affirmative Action/Equal Opportunity Employer of Minorities, Females, Protected Veterans, Individuals with Disabilities, and a Drug-Free Workplace.
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Health insurance
Retirement plan
Vision insurance
Ability to commute/relocate:
Kent, WA 98031: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Preferred)
Work Location: One location

Health insurance"
8,Engineering Technician,"Columbia West Engineering, Inc.","Vancouver, WA 98682",Onsite,$18 - $28 ,n hour - Full-time,"A Vancouver-based geotechnical firm is seeking a full-time or part-time entry-level Engineering Technician for construction materials field testing. Duties and responsibilities include, but may not be limited to, field testing of soils, aggregate, asphalt and concrete. No experience necessary. Training will be provided.
Columbia West Engineering, Inc. is a locally owned and operated geotechnical engineering and special inspection and construction materials testing firm. Interested candidates should send a resume by email to the address listed above or by USPS to Columbia West Engineering, Inc., 11917 NE 95th St, Vancouver, WA 98682.
Job Type: Full-time
Pay: $18.00 - $28.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Schedule:
Monday to Friday
Overtime
Weekend availability
Supplemental pay types:
Bonus pay
COVID-19 considerations:
Columbia West complies with all state and federal safety mandates.
Education:
High school or equivalent (Required)
License/Certification:
Driver's License (Required)
Work Location: Multiple Locations

Health insurance"
9,Engineering Geologist,Cushman Geoscience (a Vines Systems co.),"Denver, CO 80214",Hybrid remote,"$60,000 - $87,000 ",rt-time,"Job Summary: www.vinessystems.com/cushgeo
Cushman Geoscience (CG) is searching for a Geotechnical Engineer/ Engineering Geologist with experience in commercial and residential geotechnical consulting. CG is a small but growing consulting geotechnical engineering firm with a focus on excellence in our service areas of geotechnical investigations for residential and commercial construction projects, forensic and insurance claim evaluations, construction materials testing, engineering geology studies, and geologic hazard mitigation.
Geotechnical Engineering experience preferred, but willing to train Civil and Environmental candidates if they are a good fit.
This is an ideal position for someone looking for a work/life balance that allows time to enjoy life, family, adventures, or partial retirement while being involved in interesting work.
There is ample opportunity for growth into a Project Manager role.
Core Values:
Ownership
Quality
Partnership
Growth
Merit
Equity
Inclusion
Location in the Denver area is preferred, but we are set up for a hybrid work schedule.
Job Duties:
Prepare draft geotechnical reports.
Sample anaylisis and testing assignment.
Perform engineering calculations and analyses.
Prepare excavation shoring designs.
Prepare retaining wall designs.
Review reports, shoring designs, and construction observation letters prepared by others.
Provide support via email and phone to clients and CG staff members on technical questions.
Other duties as assigned.
Minimum Qualifications:
Bachelor’s Degree (B.S.) in a related field.
Previous related experience with demonstrated competence in work assignments.
Valid driver’s license with insurable driving record required.
Ability to travel to project work sites as needed. Travel is expected to be minimal.
Computer skills and functionality in AutoCAD and Microsoft Office Suite, including Word, Excel, and Outlook.
Must possess excellent customer service and interpersonal skills.
We look forward to hearing from you!
Job Types: Full-time, Part-time
Pay: $60,000.00 - $87,000.00 per year
Benefits:
Flexible schedule
Health insurance
Paid time off
Parental leave
Professional development assistance
Schedule:
8 hour shift
Supplemental pay types:
Bonus pay
COVID-19 considerations:
We are following CDC guidelines as COVID-19 precautions.
Ability to commute/relocate:
Denver, CO 80214: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location

Health insurance"
