Title,Company,Location,Type,Salary,Contract_type,Job_Description,JobType,Industry
"Actuarial Associate, Data",Pie Insurance,"Denver, CO",Remote,"$110,000 - $150,000 ",r,"Pie's mission is to empower small businesses to thrive by making commercial insurance affordable and as easy as pie. We leverage technology to transform how small businesses buy and experience commercial insurance.
Like our small business customers, we are a diverse team of builders, dreamers, and entrepreneurs who are driven by core values and operating principles that guide every decision we make.
The Actuarial Associate position will primarily be responsible for helping develop reserve indications, performing rate indications, and creating underwriting diagnostics. Being able to extract and analyze data is the key to success for the Actuarial Associate position.
How You'll Do It
Analytics & Data Manipulation
Query internal claims and policy data using SQL and evaluate data for reasonability
Architect the development of an actuarial data warehouse supporting both ratemaking and reserving functions
Develop automated procedures to determine on-level premium at various points in time
Develop a set of procedures to automatically monitor data quality and check for material shifts in the data
Support various reserving and ratemaking projects as needed
Develop automated procedures to bring in and normalize various external data resources, such as NCCI and WCIRB, in order to supplement internal data or serve as a complement of credibility.
Team Resource
Highlighting areas of concern and bringing forward to senior management for review.
Effectively communicate information from large data sets and be able to explain the why behind the information.
Directly supporting the actuarial team with data and data analysis.
Networks and collaborates on ideas and challenges with business units such as Claims, Product, and Data Engineering.
The Right Stuff
Bachelor's Degree or equivalent experience with some college coursework is required.
Background in statistics, mathematics, economics, actuarial science or other quantitative major fields of study is highly desirable.
Advanced SQL skills for data extraction, transfer, and loading are required (joins, window functions, common table expressions, recursive CTEs, writing stored procedures, pivoting data, self joins, date-time manipulation, qualification statements, user-defined function creation, temporary function creation, merging tables of different granularity, etc.). Must be able to write complex SQL queries from scratch and not just edit existing queries.
Must have passed CAS Exam 5 - Basic Ratemaking and Est Claim Liabilities at a minimum. ACAS designation preferred
Advanced Excel skills are required (complex formulas, data linking, pivot tables, ODBC connections).
Intermediate knowledge of R and/or Python required
3-years of work experience in the P&C commercial insurance industry, specifically workers compensation, is preferred.
2-years prior working experience in a data or data science focused actuarial role
Intermediate communication (written and verbal) skills, to deliver more complex information effectively.
Intermediate problem solving skills to be able to manage complex tasks and work through to solutions with little guidance and direction.
Intermediate awareness of your own tasks, and how it impacts the team and deliverables.
Understanding of basic actuarial concepts, such as loss development, credibility, earned premium, calendar year v policy year, on leveling, components of a rate, and off balancing
Familiarity with industry data sources, such as NCCI or WCIRB is desirable.
Sense of creativity and strategic thinking about how analytics relate to business outcomes now and into the future.
Problem solving skills to work through numerical issues with data sets.
Comfortable with ambiguity and a self starter.
Likes variety and not repetition, but can build repetition in process for scalability purposes.
Attention to detail and ability to perform reasonability checks.
#LI-JF1
Base Compensation Range
$110,000—$150,000 USD
Compensation & Benefits
Competitive cash compensation
A piece of the pie (in the form of equity)
Comprehensive health plans
Generous PTO
Future focused 401k match
Generous parental and caregiver leave
Our core values are more than just a poster on the wall; they're tangibly reflected in our work
Our goal is to make all aspects of working with us as easy as pie. That includes our offer process. When we've identified a talented individual who we'd like to be a Pie-oneer , we work hard to present an equitable and fair offer. We look at the candidate's knowledge, skills, and experience, along with their compensation expectations and align that with our company equity processes to determine our offer ranges.
Each year Pie reviews company performance and may grant discretionary bonuses to eligible team members.
Location Information
Unless otherwise specified, this role has the option to be hybrid or remote. Hybrid work locations provide team members with the flexibility of working partially from our Denver or DC office and from home. Remote team members must live and work in the United States* (*territories excluded), and have access to reliable, high-speed internet.
Additional Information
Pie Insurance is an equal opportunity employer. We do not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, marital status, age, disability, national or ethnic origin, military service status, citizenship, or other protected characteristic.
Pie Insurance participates in the E-Verify program. Please click here, here and here for more information.
Pie Insurance is committed to protecting your personal data. Please review our Privacy Policy.
Pie Insurance Announces $315 Million Series D Round of Funding
Built In honors Pie in its 2023 Best Places to Work Awards
Pie Insurance Named a Leading Place to Work in Colorado
Check out our great reviews from current and former employees on Glassdoor
#LI-REMOTE
#BI-REMOTE",actuary,Finance
Assistant Actuarial Analyst,Sun Life,"Wellesley Hills, MA 02481",Onsite,"$79,100 - $106,800 ",r,"Our student and new graduate programs offer a chance to explore Sun Life from the inside. You’ll make a difference in the lives of our customers and communities, while building the skills and experience that allow you to grow in a meaningful and rewarding way.
Job Description:
Assistant Actuarial Analyst
You are as unique as your background, experience and point of view. Here, you’ll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their fields - who are eager to share their knowledge with you. Your leaders will inspire and help you reach your potential and soar to new heights. Every day, you'll have new and exciting opportunities to make life brighter for our Clients - who are at the heart of everything we do. Discover how you can make a difference in the lives of individuals, families and communities around the world.
Position Details:
The Sun Life Actuarial Student Program is designed for aspiring actuarial professionals and supports the continuing development of our actuarial community by promoting an environment conducive to a student's successful passing of actuarial exams and skill development.
What’s it like to work at Sun Life? You’ll find it dynamic and highly professional; collaborative and supportive. We encourage career mobility. Sun Life is also a socially responsible employer, supporting the communities in which we live and work, with a globally recognized commitment to the environment and sustainability.
Benefits of the program include a competitive allotment of paid study time, financial incentives for passing exams, exam fee reimbursement and the opportunity to rotate assignments in different parts of the organization. Students are able to rotate into different assignments every 18-24 months for as long as they are a member in good standing.
Primary Responsibilities:
Routine to moderately complex data analysis
Compile, categorize, and analyze data in support of reserve and capital calculations, product pricing, and forecasting, and other miscellaneous projects
Develop and maintain PC-based analytical programs (MS Office, AXIS, and SAS)
Requirements:
Bachelor’s degree from an accredited degree program, preferably focused in Actuarial Science, Mathematics, Statistics, Data Analytics, Data Science, Computer Science or related field
Have passed at least one Society of Actuaries exam and commitment to pursuing Fellowship with the SOA
Prior actuarial experience a plus, including internships
Ability to translate complex, abstract concepts and theory
Analytical, problem-solving and conceptual thinking skills
Excellent verbal and written communication skills
Proficiency with Excel/VBA
Computer programming skills
It is the policy of SLF U.S. that we will recruit, hire, train, and promote persons in all job titles, and ensure that all other personnel actions are administered, without regard to age, race, color, religion, national origin, ancestry, gender, sex (including but not limited to pregnancy, childbirth, or breastfeeding), sexual orientation, gender identity or expression, military or veteran status, physical or mental disability, medical condition, genetic information, marital status, or other legally protected status, and we will ensure that all employment decisions are based only on valid job requirements.
Sun Life Financial is a leading provider of group insurance benefits in the U.S., helping people protect what they love about their lives. More than just a name, Sun Life symbolizes our brand promise of making life brighter – for our customers, partners, and communities. Join our talented, diverse workforce and launch a rewarding career. Visit us at www.sunlife.com/us to learn more.
We will not sponsor individuals for employment visas, now or in the future, for this job.
If you are a California resident, the salary range for this position is:
Southern region: $70,200 – 94,700 annually
Central region: $74,000 – 99,900 annually
Northern region: $79,100 – 106,800 annually
If you are a Colorado resident, the salary range for this position is $67,000 – 90,400 annually.

If you are a New York resident, the salary range for this position is $79,100 – 106,800annually.
If you are Washington resident, the salary range for this position is $74,000 – 99,900 annually.
Job Category:
Actuarial
Posting End Date:",actuary,Finance
Associate Actuary (Virtual),Prudential,"Hartford, CT 06103",Onsite,"$111,400 - $165,800 ",r,"Job Classification:
Actuarial - Actuarial
End-to-End Prudential Retirement Strategies Modeling

Actuarial Enterprise Capabilities is responsible for the design, development, testing and release of inforce end-to-end models within the domestic lines of Prudential business.
This position will focus on Prudential Retirement Strategies (PRS) Modeling, reporting to a director in PRS Modeling, supporting inforce models for individual retirement products. PRS is a critical business segment, representing $300B+ in liabilities and ~40% of Prudential's earnings. This candidate will have exposure to models built in multiple systems, including Moody’s AXIS and Python, and will work as part of a team of ~30 actuaries across the US and India.
Primary Responsibilities:
• Lean into agile best practices to drive culture of technical excellence, focus on value, and prioritization.
• Lead model enhancements, special projects, testing efforts and provide ongoing model support for the Individual Annuities models and E2E processes, including both open source Python capabilities and a Moody’s AXIS vendor model.
• Design solutions and be able to communicate solutions to less technical audiences.
• Partner with Valuation to define requirements and to test model enhancements.
• Work closely with Technology partners to create a seamless end-to-end user experience around model runs, both for baseline Valuation / Forecasting and other required uses.

Qualifications:
• 5+ years actuarial experience including working with actuarial models; management experience is preferred.
• Strong quantitative modeling and analytical skills; ability to understand and explain complex quantitative concepts and end-to-end models/systems.
• Effective verbal and written communication skills; able to explain technical concepts to non-technical audience.
• Creative problem-solver and results-oriented; experience with model / systems conversions is preferred.
• Superior technical skills. Experience with SQL, Python and other coding languages preferred.
• Fast learner and ability to work in a multi-functional team environment
• Highly motivated individual who can work equally well independently and in a team environment. Knowledge in retail annuities, such as variable annuities.
• Open to remote/virtual location outside of commutable Newark, NJ location.
Note: Prudential is required by state specific laws to include the salary range for this role when hiring a resident in applicable locations. The salary range for this role is from $111,400.00 to $165,800.00. Specific pricing for the role may vary within the above range based on many factors including geographic location, candidate experience, and skills. Roles may also be eligible for additional compensation and/or benefits. Eligibility to participate in a discretionary annual incentive program is subject to the rules governing the program, whereby an award, if any, depends on various factors including, without limitation, individual and organizational performance. In addition, employees are eligible for standard benefits package including paid time off, medical, dental and retirement.
Prudential Financial, Inc. of the United States is not affiliated with Prudential plc. which is headquartered in the United Kingdom.
Prudential is a multinational financial services leader with operations in the United States, Asia, Europe, and Latin America. Leveraging its heritage of life insurance and asset management expertise, Prudential is focused on helping individual and institutional customers grow and protect their wealth. The company's well-known Rock symbol is an icon of strength, stability, expertise and innovation that has stood the test of time. Prudential's businesses offer a variety of products and services, including life insurance, annuities, retirement-related services, mutual funds, asset management, and real estate services.
We recognize that our strength and success are directly linked to the quality and skills of our diverse associates. We are proud to be a place where talented people who want to make a difference can grow as professionals, leaders, and as individuals. Visit www.prudential.com to learn more about our values, our history and our brand.
Prudential is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, ancestry, sex, sexual orientation, gender identity, national origin, genetics, disability, marital status, age, veteran status, domestic partner status , medical condition or any other characteristic protected by law.
The Prudential Insurance Company of America, Newark, NJ and its affiliates.
Note that this posting is intended for individual applicants. Search firms or agencies should email Staffing at staffingagencies@prudential.com for more information about doing business with Prudential.
PEOPLE WITH DISABILITIES:
If you need an accommodation to complete the application process, which may include an assessment, please email accommodations.hw@prudential.com .
Please note that the above email is solely for individuals with disabilities requesting an accommodation. If you are experiencing a technical issue with your application or an assessment, please email careers.technicalsupport@prudential.com to request assistance.",actuary,Finance
Assistant Analytics Analyst - Remote,EmblemHealth,"New York, NY",Remote,"$65,000 - $75,000 ",r,"Summary of Position
Develop/design and test policies for review and approval by Actuarial Management and present statistical information to actuarial, underwriting, and other business partner leaders to support decisions about the pricing of plans, product development and marketing planning.
Administer finalized policies; monitor results and provide feedback as needed.
Collect and compile statistical data for additional analysis.
Estimate the probability and likely cost of sickness, treatment, and medical services.
Principal Accountabilities
Design, test, and administer policies to minimize risk and maximize the profitability of insurance policies; develop and produce charts and other exhibits to explain proposals and calculations.
Identify trends and patterns in a variety of complex data sets.
Program and develop spreadsheet models, databases, and statistical models to perform analyses.
Explain complex ideas and technical data to different audiences.
Identify a company's risks and develop plans and recommendations to manage its risks; present findings to Actuarial management.
Develop, maintain, and analyze projection models.
Apply sound actuarial principles and maintain actuarial qualifications in compliance with regulations.
Reconcile and analyze actuarial inputs and outputs.
Collaborate with key leaders in order to identify and meet information needs.
Coordinate with external actuary and auditing firms for interim and annual actuarial information.
Establish actuarial procedures and document them for internal use.
Perform additional duties as directed.
Education, Training, Licenses, Certifications
Bachelor’s degree in Actuarial Science, Mathematics, other physical science, or related finance/business degree.


Relevant Work Experience, Knowledge, Skills, and Abilities
2 – 3+ years of relevant, professional work experience and/or education required.
Understanding of actuarial principles and methodologies with strong mathematical and analytical skills required.
Excellent written and oral communication skills to deliver complex information to a diverse audience up to and including senior management/stakeholders required.
Capable with Excel, data extraction, simulations, automation required.
Proficiency with MS Office (Word, Excel, PowerPoint, Outlook) required.
Exposure to SQL, SAS, Python or similar preferred.
Additional Information
Requisition ID: 220OG
Hiring Range: $65,000-$75,000",actuary,Finance
Actuarial Assistant,Arch Insurance Group Inc.,"Chicago, IL 60606",Onsite,N,r,"The Position:
Arch Insurance Group is seeking a motivated aspiring actuary to join our team in Hartford/New York City. Our group supports P&C Programs and Guaranteed Cost Workers’ Compensation. The P&C Programs business provides highly specialized and tailored insurance products in Workers Compensation, General Liability, Commercial Auto Liability, and Property.

The role includes individual portfolio reviews, account pricing, actuarial parameter studies, building actuarial/underwriting tools, supporting underwriting units, and reporting on business trends. This position will require curiosity, quick learning, problem solving, and strategic business thinking.

This position is an excellent opportunity for a new actuarial candidate looking for intellectual and professional challenges, learning actuarial skills and understanding various products in P&C insurance.

The position provides a competitive compensation package, good benefits, and a superb study program in a supportive, collaborative, and innovative culture that highly values actuarial insight. Many of our C-suite, senior management and business unit leaders are credentialed actuaries.
Job Responsibilities:
The primary role will be to provide actuarial support to the P&C Programs Insurance Business Unit. This division highly values actuarial support, in both quantitative & qualitative capacities. The actuarial assistant will have the opportunity to lead as a liaison representing the actuarial team with business partners.

Job Functions
Profitability Reviews/New Submission Analyses
Review products by applying actuarial concepts and techniques to determine portfolio profitability; analyzing and digging into detailed segmentations
Monitor and Reporting
Monitor portfolio rate change, pricing adequacy and underwriting mix change on new and renewal business to help Program Managers make informed decisions
Actuarial Studies
Analyses and research to improve pricing parameters and segmentation to better identify profitable opportunities
Tool Building
Designing, programming, maintaining, and supporting tools used in pricing, and book monitoring
New Product Support/Rate Plan Improvement
Collaborate with Underwriters to create and revise rating plans; develop state specific support for insurance departments
Required Skills/Experience:
The successful candidate will have the following preferred requirements:
Demonstrated interest in actuarial science and insurance; no experience required.
Interest in and ability to complete the actuarial exams and achieve professional property & casualty actuarial credentials.
Software skills: Proficient w. Excel/Word/ PowerPoint; basic knowledge of R or Python & SQL preferred
Communication: both oral and written communication skills including presentations and marketing
Leadership: Able to lead discussion with cross-functional team.
Collaboration: Able to effectively collaborate with cross-functional business partners
Efficiency: Strong productivity and organizational skills
Analytical and quantitative skills: theoretical foundation, work quality, productivity, creativity, ingenuity & problem-solver
The Company:
Arch Insurance is a global insurer offering our clients superior coverage and service. We embody the Arch guiding principle of focusing on retaining experienced and talented employees to differentiate us from the rest of the pack. Our group operates from offices in the US, Canada, Bermuda, UK, and Australia, providing specialty risk solutions to clients worldwide across a wide range of industries. With nearly 20 years of operating history and strong financial ratings, our track record remains solid.

Arch Insurance employs a disciplined underwriting approach and prudent risk selection across all types of business. Our mission is to provide our insureds with superb coverage and claims handling through careful and diligent underwriting of risks and business-friendly solutions. Across our global operations, Arch Insurance employees are ready to meet your needs with professionalism and excellence.

#LI-LH1",actuary,Finance
"Actuary (Remote, North Carolina Based)",Alliance Health,"Morrisville, NC 27560",Remote,"$61,945 - $106,637 ",r - Full-time,"The Actuary will gather and analyze data about claims, events, and other items as requested by the organization. They will use computer software, databases, models, spreadsheets, and other technology to compile the data and assess the financial risks and other potential outcomes including those related to population health efforts. The Actuary will also serve as a subject matter expert to consultants and explain data and outcomes prepared by the consultants.
This position is full-time remote; however, travel to the Home office will be required as needed, with the option to work from the office if preferred. The selected candidate must reside in North Carolina.
Responsibilities & Duties
Analyze and Report on Data
Collect and evaluate information to determine the potential risks of certain events and their financial impact on the organization
Work with healthcare claims data to generate measures of cost and utilization of care
Use computer programs, databases, spreadsheets, and other technology to compile and analyze data and create models, graphs, tables, and reports that display findings
Work with Clinical and Network Operations, assist in the analysis of outcomes related to population health efforts
Prepare reports for managers, stakeholders, or other parties
Analyze actual vs budgeted PMPM rates by Category of Service and evaluate the cause of the variance
Manage Incurred But Not Reported (IBNR) Calculations
Develop, maintain, and prepare IBNR models, lag schedules and liability calculations
Adjust and refine IBNR models based on changes in the organization, the environment, or additional risks that may arise
Work with auditors to explain IBNR models and provide all necessary information needed
Actuary Subject Matter Expert (SME) to Consultants
Monitor the work of actuary consultants to ensure the business needs of the organization are being met
Interpret and explain results and findings of actuary consultants
Assist the actuary consultants in gathering the information they need in order for them to complete work for the Organization
Present to Organization Executives, Government Officials, and Other Stakeholders
Present and communicate complex statistical and mathematical information to others
Develop and presenting strategies and solutions that manage risk and costs
Policies and Procedures
Create policies and procedures
Increase efficiency by identifying ways to improve processes
Minimum Requirements
Education & Experience
Bachelor’s degree in Actuarial Science, Mathematics, Business or related field from an accredited college/university and at least two (2) years of experience in actuarial services or substantially related finance work.
Preferred:
Actuary certification
Knowledge, Skills, & Abilities
Demonstrated skills in communication and presentation. Must be able to explain complex ideas and technical data to different audiences
Demonstrated skills in computer software, spreadsheets, databases and modeling programs
Demonstrated analytical and problem-solving skills
Ability to diagnose, research, analyze and resolve issues
Knowledge of business and financial concepts
Knowledge of healthcare and/or managed care industry
Salary Range
$61,945.18 to $106,637.02/Annually
Exact compensation will be determined based on the candidate's education, experience, external market data and consideration of internal equity.
An excellent fringe benefit package accompanies the salary, which includes:
Medical, Dental, Vision, Life, Long Term Disability
Generous retirement savings plan
Flexible work schedules including hybrid/remote options
Paid time off including vacation, sick leave, holiday, management leave
Dress flexibility

Education
Required
Bachelors or better in Finance",actuary,Finance
Actuarial Analyst - Remote (Forecasting and Reserves),Blue Cross Blue Shield of Arizona,"Phoenix, AZ 85021",Remote,Full-time,Full-time,"Awarded the Best Place to Work 2021, Blue Cross Blue Shield of Arizona helps to fulfill its mission of improving the quality of life of Arizonans by delivering a variety of health insurance products and services to meet the diverse needs of individuals, families, and small and large businesses as well as providing information and tools to help individuals make better health decisions.
This remote work opportunity requires residency, and work to be performed, within the State of Arizona.
Blue Cross Blue Shield of Arizona (BCBSAZ) is now hiring a full-time Actuarial Analyst to work on-site/remote within the state of Arizona. This position will perform advanced analytics to facilitate fact-based decisions about financial results, strategic planning, and corporate financial health.

Our ideal candidate has advanced skills in mathematics and statistics and is proficient with data warehouse query tools and programming..

What to Expect

As you work to help us improve the quality of life for Arizonans, expect to thrive in an energetic, diverse environment, championed by an organization consistently named a Best Places to Work and Most Admired Company in Arizona.
Inspiring Health in Arizona Starts with You

Our benefits support work-life balance and the flexibility you need to be your best.

They include:
Eleven (11) paid holidays, including two floating holidays you can use any time you wish
Accrued paid time off (up to 16 days per calendar year)
Comprehensive medical, dental, and vision coverage
401K up to 5% dollar-per-dollar match
Up to 12% annual bonus based on corporate goals and individual performance
Wellness programs and gym reimbursements
Eight (8) paid volunteer hours to serve your community
Tuition reimbursement for you; scholarship opportunities for your children
Employee discounts, gym reimbursement, and wellness programs

To thrive in this job, you must be able to:
Apply analytics knowledge to generate reports, actuarial analyses, and mathematical models.
Deal with ambiguity and make recommendations with incomplete/conflicting information in a timely manner.
Independently solve problems and draw accurate conclusions from limited data.
Effectively use written and oral communication skills to influence stakeholders across all levels and departments of the organization.
Translate technical information into everyday language that a non-technical audience could understand.
Build working relationships that promote trust and collaboration, while maintaining confidentiality and privacy.

We are looking for someone who can:
Complete financial forecasting to evaluate and ensure corporate financial health.
Analyze and monitor monthly financial results, sources of gain, and plan variances.
Create monthly claims liability estimates for all business segments, for review and certification by Chief Actuary
Analyze internal/external issues affecting claims payments/processing and initiate analyses on additional items with focus on establishing adequate claims reserve level.
Work on regulatory filings including quarter and annual health statement filings and medical loss ratio reporting.
Determine the necessity and amount of a premium deficiency reserve based on projects of future revenue and benefits to ensure solvency requirements are met.

Qualifications
Bachelor’s degree in actuarial science, business, mathematics, statistics, or related field of study
Two (2) years of experience in the actuarial world or relevant work
Five (5) years of experience working for a healthcare organization/health insurer (preferred)
Membership in the American Academy of Actuaries and/or Society of Actuaries (preferred)

Why Join Blue Cross Blue Shield of Arizona?

At BCBSAZ, your pursuit of balance, happiness, and fulfillment is supported through our Workability model, a future-focused workforce strategy that encourages you to perform your job wherever you work best. Whether fully remote, always in the office, or somewhere in between, you decide which arrangement best supports your work style and season of life.
Our Commitment
BCBSAZ does not discriminate in hiring or employment on the basis of race, ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veteran status or any other protected group.
Thank you for your interest in Blue Cross Blue Shield of Arizona. For more information on our company, see azblue.com. If interested in this position, please apply.",actuary,Finance
Actuarial Analyst - Remote,UnitedHealth Group,"Des Moines, IA",Remote,Full-time,Full-time,"**** Must have passed at least the first two exams and have some financial/actuarial analyst work experience. ****

At UnitedHealthcare, we’re simplifying the health care experience, creating healthier communities, and removing barriers to quality care. The work you do here impacts the lives of millions of people for the better. Come build the health care system of tomorrow, making it more responsive, affordable, and equitable. Ready to make a difference? Join us and start doing your life's best work.(sm)
Is it time to raise your game? Are you ready to take on a more advanced role in tracking and effectively managing risk? As a member of our high-performing actuarial team, you'll help support UnitedHealth Group's growth and financial goals while you help shape our future.
As an Actuarial Analyst, you will be empowered, supported, and encouraged to use your actuarial expertise as you perform financial analyses and build models that improve health plan competitiveness. You'll also find an accelerated actuarial development path to support you in your continuing post-graduate education and certification if you chose that route.
You’ll enjoy the flexibility to work remotely * from anywhere within the U.S. as you take on some tough challenges.

Primary Responsibilities:
Analyze and interpret quantitative data to create and review monthly, quarterly, and ad hoc exhibits based on detailed data sets
Perform data mining and analysis that impacts foundational pricing and risk assumptions
Provide accurate premium rate development
Extract and compile group-specific utilization data to support customer reporting requirements
Assist in the preparation of annual revenue and claim forecasts to determine group-specific reserves
Are you ready to set the pace as an expert problem solver? You will be challenged with ensuring data makes sense and knowing when to dig deeper. You will also be tasked with communicating the results of your work in a meaningful way to broad audiences, including our valuable clients.

You’ll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in.

Required Qualifications:
Bachelor's degree in actuarial science, math, finance, data science, economics, or other quantitative fields
2+ years of experience working in a corporate environment, including experience collecting, analyzing, and summarizing qualitative/quantitative data
Actuarial experience, either through exams passed or relevant work experience
Expertise working with formulas, calculations, charts, and graphs in MS Excel
Preferred Qualifications:
1+ year of experience building quantitative models in SQL (Structured Query Language), SAS (Statistical Analysis System) and/or VBA (Visual Basic for Applications)
Experience working in finance or the health care industry
Basic level of proficiency with MS Access
Solid communication skills, particularly in conveying complex financial and actuarial topics to non-expert audiences
Critical thinking skills that allow you to push through the data and find effective solutions

Careers at UnitedHealthcare Employer & Individual. We all want to make a difference with the work we do. Sometimes we're presented with an opportunity to make a difference on a scale we couldn't imagine. Here, you get that opportunity every day. As a member of one of our elite teams, you'll provide the ideas and solutions that help nearly 25 million customers live healthier lives. You'll help write the next chapter in the history of health care. And you'll find a wealth of open doors and career paths that will take you as far as you want to go. Go further. This is your life's best work.(sm)

Colorado, Connecticut, Nevada, or New York City Residents Only: The salary range for Colorado residents is $66,100 to $118,300. The salary range for Connecticut/Nevada/New York City residents is $72,800 to $129,900. Pay is based on several factors including but not limited to education, work experience, certifications, etc. In addition to your salary, UnitedHealth Group offers benefits such as, a comprehensive benefits package, incentive and recognition programs, equity stock purchase and 401k contribution (all benefits are subject to eligibility requirements). No matter where or when you begin a career with UnitedHealth Group, you’ll find a far-reaching choice of benefits and incentives.

*All employees working remotely will be required to adhere to UnitedHealth Group’s Telecommuter Policy.
At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone–of every race, gender, sexuality, age, location, and income–deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups, and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes — an enterprise priority reflected in our mission.
Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.
UnitedHealth Group is a drug - free workplace. Candidates are required to pass a drug test before beginning employment.

XJ6",actuary,Finance
Actuarial Associate (ALL),Hannover Life Reassurance Company Of America,Florida,Remote,"$60,100 - $180,900 ",r - Full-time,"Location: Remote/Flexible
Job Summary: Actuarial student.
Key Job Responsibilities:
Acquire, aggregate, and develop data for use in experience studies through the use of data analytics tools.
Maintain and run models for use in profit testing, reserving, calculation of economic capital, and forecasting
Implementation and maintenance of Model Governance framework. Improving model-related processes for efficiency and accuracy.
Provide preliminary analysis and evaluation of model sensitivity results. Validate, format and present results in an appropriate manner for senior actuary review.
Perform coding changes to software that meet prescribed standards, assist in the regression and UAT testing of software coding changes, and complete documentation.
Support of ad hoc projects.
Demonstrate sufficient progress and maintain good standing in actuarial student program
Essential Knowledge, Skills and Abilities:
Bachelor's degree from an accredited college or university.
1 - 5 years of Life insurance/reinsurance actuarial experience
Minimum pass of 2 SOA exams
Excellent data-manipulation skills
Strong time management and project management skills
Ability to execute on multiple priorities simultaneously
Microsoft PC software: Excel, Word, Access, Outlook, VBA
Minimum of two actuarial exams from the Society of Actuaries with the intent to be credentialed.
Excellent written and oral communications skills.
Desirable Knowledge, Skills and Abilities:
Risk Agility FM, MoSes, or other actuarial modelling software
Expertise in data analytics programs, e.g. R, SQL, etc.
Experience in coding, especially actuarial software
Nothing in this job description restricts management's rights to assign or reassign duties and responsibilities to this job at any time.

Total Compensation Range: $60,100 - $180,900 (inclusive of Base and Bonus). Compensation is commensurate with number of exams passed.
Benefits Include:
Comprehensive medical, dental, and vision
Paid Time Off (PTO)
Company provided life insurance and disability benefits
401(k) and profit sharing
Additional ancillary benefits available
Hannover Life Reassurance Company of America (Hannover Re) seeks to attract the best-qualified candidates who support the mission, vision and values of the company and those who respect and promote excellence through diversity. We are committed to providing equal employment opportunities (EEO) to all employees and applicants without regard to race, color, creed, religion, sex, age, national origin, citizenship, sexual orientation, gender identity and expression, physical or mental disability, marital, familial or parental status, genetic information, military status, veteran status or any other legally protected classification. The company complies with all applicable state and local laws governing nondiscrimination in employment and prohibits unlawful harassment based on any of the aforementioned protected classes at every location in which the company operates. This applies to all terms, conditions and privileges of employment including but not limited to: hiring, assessments, probation, placement, benefits, promotion, demotion, termination, layoff, recall, transfer, leave of absence, compensation, training and development, social and recreational programs, educational assistance and retirement.
We are committed to making our application process and workplace accessible for individuals with disabilities. Upon request, Hannover Re will reasonably accommodate applicants so they can participate in the application process unless doing so would create an undue hardship to Hannover Re, or a threat to these individuals, others in the workplace or the company as a whole. To request an accommodation, please email HRLUS-personnel@hannover-re.com. Please allow for 24 hours to process your request.",actuary,Finance
Actuarial Analyst - Remote,EmblemHealth,Remote,Onsite,"$65,000 - $75,000 ",r - Full-time,"Summary of Position
Identify opportunities to reduce medical expenses and collaborate with other areas to implement and monitor performance.
Develop studies, analyses, and presentation materials needed to appropriately inform decision makers.
Complete pricing analysis, experience analysis and studies, financial projections, and other actuarial/financial calculations.
Run, modify, and create data queries to produce analysis and reports.
Principal Accountabilities
Perform actuarial tasks which are of a mathematical and quantitative nature.
Support analysis of hospital, professional, and drug claim/utilization trends, membership/demographics, and
various other ad-hoc analyses.
Maintain appropriate controls around models and other work products.
Ensure quality and on time completion of deliverables.
Assist with rate filings or valuation calculations.
Support preparation of forecasts and monitoring of results or trends.
Support development of efficient and transparent queries to obtain data that is appropriate to the purpose
Ensure internal and external consistency of all work.
Perform reasonability checks dependent on industry knowledge and experience.
Develop and implement analyses for special projects.
Provide technical and analytical support for the actuarial department.
Proactively take on additional work as needed by the team.
Perform duties and assignments as directed or required.
Education, Training, Licenses, Certifications
Bachelor’s degree in Actuarial Science, Mathematics, other physical science, or related finance/business degree.
Relevant Work Experience, Knowledge, Skills, and Abilities
3 - 5+ years relevant, professional work experience and/or education required.
Actuarial/analytical experience, preferably in a healthcare environment preferred.
Strong mathematical and analytical skills required.
Strong communication skills (verbal, written, presentation) required.
Strong working knowledge of MS Office (Outlook, Word, Excel, PowerPoint, etc.) required.
Working knowledge of SQL, R, Python or similar required.
Capable with Excel, data extraction, simulations, automation required.
Additional Information
Requisition ID: 1000000603
Hiring Range: $65,000-$75,000
Job Type: Full-time
Pay: $65,000.00 - $75,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Work Location: Remote

Health insurance",actuary,Finance
