,Unnamed: 0,Title,Company,Location,Type,Salary,Contract_type,Job Description,JobType,Industry
0,0,Human Resources Administrator,Akwel Cadillac USA Inc,"Cadillac, MI 49601",Onsite,"$50,000 - $65,000 ",r,"Handles the administrative management of Human Resources at his site(s) in accordance with the Group rules and the regulations in force.
Handles all aspects of the administrative management of personnel, from when employees join the company to when they leave.
Performs administrative tasks and follow-up (letters and emails, certificates, invitations, dashboards, reports, etc.) in accordance with Group rules.
Recruitment
Manages temporary and permanent employee orders
Prepares advertising campaigns, on-line postings, and manages the applicant tracking and on-boarding software (ADP Workforce Now)
Screens and interviews applicants, makes employment offers, performs background & reference checks
Maintains staffing models, drafts and manages new employee paperwork, as well as recruiting and retention metrics and dashboards
Training
Provides for new employee orientation to include safety and benefits introduction
Sets up Electronic Personnel Files and provides for input of initial hire data to HRIS system via the Onboard system and Manage Documents
Creates time and security badges & informs employees of the use
Payroll & Benefits
Is proficient in both payroll and benefits software (ADP Workforce Now) in order to provide assistance to and back up of Payroll and/or Benefits Specialist as needed
May Assist with Leave Administration – Unemployment, FMLA, S/T and L/T Disability Claims
Assists with planning and deploying employee events and recognition
Desired Qualifications and Experience:
Bachelor’s Degree in Business Administration or Human Resource Management with 2-5 years of experience in Human Resources – preferably a manufacturing environment (including practical experience in recruiting, benefits, & payroll).
Will consider a 2 year or non-degree professional with 5+ years of applicable HR experience
Professional Abilities and Skills:
Highly developed interpersonal communication skills, discretion, approachability and a strong sense of equity, confidentiality, self-discipline and organization
Detail Oriented, Trustworthy, Creative Problem Solver with a desire to work as a team with colleagues
Proficiency in desktop applications and knowledge of payroll software (ADP) and the Office suite.
Technical Knowledge:
Previous knowledge and application of U.S. employment laws desirable i.e.: FLSA, FMLA, ADA, ERISA, EEO etc.",Human Resources,Human Resources
1,1,HR Manager,Zettler Group,"Vista, CA 92081",Onsite,"$80,000 - $95,000 ",r - Full-time,"About us
Located in Vista, Southern California, ZETTLER Group North America offers application-engineering, sales, distribution, and customer service for a wide variety of top-quality electronic components, catering to demanding customers in both industrial and consumer applications. Our diversified product lines are designed to provide complete solutions for component applications across a broad spectrum of industries.
We have an exciting opportunity for a strong, enthusiastic, and driven, HR Manager to join our Zettler family.
We believe that each employee contributes directly to the growth and success of Zettler Group. Our employees have been the basis of our success and are the foundation of our future. As we continue to grow as an organization, you can expect a challenging, enjoyable, and rewarding opportunity to develop both professionally and personally. Explore the possibilities with us and join our growing culture.
Job Summary
The HR Manager will report to the Controller of Zettler Group North America and will be responsible for day-to-day HR activities, including but not limited to payroll, benefits management, talent acquisition, employee relations, and compliance.
Essential Duties and Responsibilities
Conduct regular audits to ensure compliance with Federal/State labor laws and regulations.
Develop and monitor overall HR strategies, policies, and procedures across organization, including updating policies, and employee handbook.
All aspects of payroll processing, administration, and reporting.
Maintain and update all employee records in HRIS system, ADP Workforce Now.
Partner with managers to understand and execute the organization’s current and future talent needs, and retention.
Develop and manage talent acquisition process, which includes, recruitment, screening, interviewing, and hiring of qualified job applicants while collaborating with departmental managers to understand skills and competencies required for openings.
Develop and manage onboarding and new hire orientation process. Educate newly hired employees on HR policies, internal procedures, and regulations.
Support and guide managers on performance management, including employee performance evaluations, identifying, and rewarding employee success, advancement opportunities, promotions and compensation recommendations to establish a high-performance culture.
Analyze compensation, benefit, and workplace trends and metrics in partnership with company leadership to develop solutions, programs, and policies.
Conduct job analysis to modify or create new or existing job descriptions.
Nurture a positive work environment in alignment with companies’ open-door policy.
Participate in the development, preparation, and implementation of employee engagement activities and company events, including budget approvals.
Comply, understand, and promote safety and wellness programs to ensure a safe and healthy work environment.
Provide COVID-19 support and guidance in accordance with CDC (Centers for Disease Control) and CDPH (California Dept of Health), and CalOSHA regulations.
Support and guide managers on employee relation concerns and disciplinary/corrective actions through investigations and assisting with mediation efforts as appropriate to create positive outcomes and resolve complex employee relation grievances and conflicts.
Provide support and guidance for employees and managers on all HR related questions and matters.
Participate in full cycle termination process, such as preparing related documentation, conducting exit interviews to determine reasons behind separations, and ensuring legal risks are mitigated.
Manage all company benefits as appropriate, including 401K, COBRA, new hire/open enrollment, floating holidays, PTO, and process all monthly health and welfare bills.
Maintain a high level of confidentiality concerning business operations, compensation, employee information, and all other business practices.
Supervisory Responsibilities
Oversee and manage the Administration department; plan, organize and control all activities of the department.
Knowledge, Skills and Abilities
A self-starter and problem solver
Thorough knowledge of HR principles and federal/local regulations
Experience in implementing and administering performance programs and trainings
Must have demonstrated success in recruiting and retaining employee talent, including creating and implementing recruitment strategies
Excellent ability to multi-task and prioritize in a busy, fast-paced environment
Exhibit extraordinary discretion, flexibility, and willingness to work closely with our leadership team
Ability to manage multiple HR tasks while meeting required deadlines
Track record of being well-organized, having an eye for detail, prioritizing daily tasks and adjusting to changing business needs
Excellent active listening and people skills
Proficiency in MS Word, Excel and Power Point is essential
Qualifications and Requirements
Bachelor’s degree in Human Resources or PHR/SHRM-CP certification preferred
A minimum of six years related HR experience, at least three years in a management role
Broad generalist background including coaching and counseling, performance management, employee involvement, team building, as well as compensation and benefits
Prior experience with ADP Workforce Now HRIS system
Strong proficiency in MS Office (Outlook, Word, Excel, PowerPoint) with emphasis on Excel spreadsheets.
Additional Information/Employee Benefits
Medical (Nine plans to choose from, 75% contribution toward employee premium, 50% contribution toward dependent premium - Eligibility: First of the month following date of hire.)
Dental
Vision
Life / AD&D
Long Term Disability
FSA/Dependent Care
Retirement Plan
PTO/Sick time
Floating Holidays
Seven Paid Holidays
Employee Assistance Program
Tuition Reimbursement
Learn more by visiting our website: https://www.zettlerusa.com/
In-office Schedule: Monday - Friday, 7:30 AM - 4:15 PM
Job Type: Full-time
Pay: $80,000.00 - $95,000.00 per year
Benefits:
401(k)
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Vista, CA 92081: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
This is not a hybrid position, are you available to work in our office in Vista, CA Monday through Friday, 7:30 AM - 4:15 PM?
Work Location: In person

Health insurance",Human Resources,Human Resources
2,2,Human Resources,United States Department Of Defense,"West Jordan, UT 84088",Onsite,"$25,575 - $100,695 ",ct,"As a Human Resources Specialist, you’ll play a crucial role assisting your fellow Soldiers progress in their Army careers, providing promotion and future training information. You’ll ensure the necessary support is also provided to commanders across all branches. You’ll be trained in document preparation, drafting requests, and overseeing official documentation, such as ID cards and tags. You’ll also learn computer programs that keep personnel data up to date.
Job Types: Full-time, Part-time, Contract
Pay: $25,575.11 - $100,694.93 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Parental leave
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
On call
Supplemental pay types:
Signing bonus
Application Question(s):
Are you willing to undergo a background check?
Education:
High school or equivalent (Preferred)
Work Location: One location

Health insurance",Human Resources,Human Resources
3,3,Human Resources Generalist,Havenwyck Hospital (UHS),"Auburn Hills, MI 48326",Onsite,Full-time,Full-time,"HAVENWYCK HOSPITAL (a UHS facility)
Havenwyck Hospital is a 243 bed Joint Commission accredited and licensed psychiatric hospital in Auburn Hills, Michigan. We specialize in providing comprehensive, compassionate behavioral health services to children, adolescents and adults.
For more information, please visit us at www.havenwyckhospital.com.
POSITION SUMMARY:
The Human Resources Generalist is responsible for full cycle recruiting (including sourcing candidates through various channels), employee engagement, conducting New Hire Orientation, employment onboarding, records management and data integrity, unemployment correspondence, tracking employee in-services, and other duties as assigned. Additionally, the HR Generalist may be responsible for the HealthStream training system (assigning annual training modules to existing & new hire employees).
JOB REQUIREMENTS:
Associates degree with at least ten years of Human Resources Generalist experience required. Bachelor’s degree preferred.
Minimum of two years of HR Recruiter experience, including full cycle of recruiting and on-boarding new hire employees required, healthcare experience is preferred.
Experience mediating employee concerns and exercising sound professional judgment to make recommendations in the best interest of the Hospital and its employees required.
Knowledge of Joint Commission and other federal, state and local laws and regulations that govern healthcare required.
Excellent customer service skills are required. Must possess superb problem solving and multi tasking skills with effective communicate skills, both verbally and in writing.
Must have the skill set to work in a fast-paced environment with frequent interruptions.
Excellent computer skills required. Must be proficient in Word, Excel, PowerPoint and Outlook applications.
Three – five years of HR Generalist experience in a healthcare setting preferred.
WHAT DO OUR CURRENT EMPLOYEES VALUE AT HAVENWYCK HOSPITAL AND UHS?
An environment that puts patient care first. One of the most rewarding aspects of this job is providing excellent care, comfort, and security to the patients and families you treat, at their most vulnerable times. Supportive and responsive leadership. You are never alone, as you are part of a large network of peer co-workers that routinely exchange ideas and review current topics within the industry. Having the opportunity to grow, learn, and advance in your career. There are very robust continuing education options and opportunities for skills diversification and career advancement with UHS.
BENEFIT HIGHLIGHTS:
Challenging and rewarding work environment
Competitive Compensation & Generous Paid Time Off
Excellent Medical, Dental, Vision and Prescription Drug Plan
401(K) with company match and discounted stock plan
Career development opportunities within UHS and its 300+ Subsidiaries
Free Basic Life Insurance
Tuition Reimbursement
SoFi Student Loan Refinancing Program
Universal Health Services (UHS)
One of the nation’s largest and most respected providers of hospital and healthcare services, Universal Health Services, Inc. has built an impressive record of achievement and performance. Growing steadily since its inception into an esteemed Fortune 500 corporation, annual revenues were $11.6 billion in 2020. In 2021, UHS was again recognized as one of the World’s Most Admired Companies by Fortune; in 2020, ranked #281 on the Fortune 500; and listed #330 in Forbes ranking of U.S.’ Largest Public Companies. Headquartered in King of Prussia, PA, UHS has 89,000 employees and through its subsidiaries operates 26 acute care hospitals, 334 behavioral health facilities, 39 outpatient facilities and ambulatory care access points, an insurance offering, a physician network and various related services located in 38 U.S. states, Washington, D.C., Puerto Rico and the United Kingdom. Hospital is a Joint Commission-accredited and licensed psychiatric hospital in Auburn Hills, Michigan. We specialize in providing comprehensive, compassionate behavioral health services to children, adolescents and adults.
EEO Statement
All UHS subsidiaries are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates. UHS subsidiaries are equal opportunity employers and as such, openly support and fully commit to recruitment, selection, placement, promotion and compensation of individuals without regard to race, color, religion, age, sex (including pregnancy, gender identity, and sexual orientation), genetic information, national origin, disability status, protected veteran status or any other characteristic protected by federal, state or local laws.
We believe that diversity and inclusion among our teammates is critical to our success.
Notice
At UHS and all its subsidiaries, our Human Resources departments and recruiters are here to help prospective candidates by matching skillset and experience with the best possible career path at UHS and our subsidiaries. We take pride in creating a highly efficient and best in class candidate experience. During the recruitment process, no recruiter or employee will request financial or personal information (Social Security Number, credit card or bank information, etc.) from you via email. Additionally, recruiters will not email you from a public webmail client like Hotmail, Gmail, Yahoo Mail, etc. If you are suspicious of a job posting or job-related email mentioning UHS or its subsidiaries, let us know by contacting our Compliance Hotline at: https://uhs.alertline.com or 1-800-852- 3449.'
'
Work Location:
One location
Work Remotely
No
Job Type: Full-time
Benefits:
401(k) matching
Dental insurance
Health insurance
Paid time off
Schedule:
Monday to Friday
Education:
Associate (Required)
Experience:
Recruiting: 2 years (Required)
Work Location: In person

Health insurance",Human Resources,Human Resources
4,4,Human Resource Business Partner I,City of Virginia Beach,"Virginia Beach, VA",Hybrid remote,"$52,441 - $81,284 ",r - Full-time,"Requisition ID:
36105
Work Location:
Human Resources - Municipal Center
Pay Range:
A.9, $52,441 - $81,284
Starting Salary:
Minimum of the Pay Range
Work Schedule:
8- 5 pm M-F
Part Time Hours/Wk:
Job Open Date:
1/26/22
Application Deadline:
Job Duties:
Human Resource Business Partner I/II - This position may be filled as a Human Resource Business Partner I or Human Resource Business Partner II depending on the qualifications of the selected candidate.
The City of Virginia Beach seeks a business minded HR professional to add to our growing Employee Relations team. The HR Business Partner role is responsible for supporting assigned departments with their employee relations needs, providing technical expertise and exceptional customer service. This position involves all things policy, compliance, case work, and coaching. If you enjoy self directed work, and have a passion for problem solving, this is the position for you.
Human Resource Business Partner I (Pay Range: A.9, $52,441 - $81,284 DOQ) Click here for the job description
Human Resource Business Partner II (Pay Range: A11 $57,817 - $89,616 DOQ) Click here for the job description
Key duties of this position include but are not limited to:
Independently perform multifaceted professional duties
Provide a variety of support and counsel to managers and supervisors on disciplinary matters
Conduct workplace investigations and draft investigative reports, grievability determinations and other professional documents in compliance with City policy and applicable laws or regulations
Consult with supervisors and employees and formulate recommendations regarding appropriate courses of action for a variety of employee relations issues (e.g., absence management, grievance, performance management)
Establish and maintain collaborative working relationships throughout the organization
Interpret policies and procedures for supervisors and employees.
Collaborate with City employees, and supervisors regarding absence management (e.g., FML, leave donation, LWOP) and requests for accommodations pursuant to the Americans with Disabilities Act
Coordinate and lead projects or programs
Research, analyze and formulate statistical and narrative reports as well as final recommendations regarding HR-related issues/programs to provide a basis for decision making and accountability
This posting will be Open Until Filled; however, a first review of candidate submissions will be completed one week after posting and weekly thereafter.
Special Instructions:
Please complete the application in its entirety. The application is the primary required document used to screen qualifications and years of experience. A resume does not replace a completed application. Fields on the application left blank, including but not limited to job duties, dates of employment, and hours worked, may cause your application to be incomplete.
Your responses to any ""Supplemental Questions"", if attached to this requisition, must be supported by the information you give us in the work experience section of this application. Be sure you are thorough in describing your skills and duties as you complete the work experience section. If the information cannot be verified, you will not receive credit.
Please provide a copy of any certifications or related professional licenses.

This position offers a remote/hybrid work schedule arrangement and career progression opportunity.

Official City Job Description:
https://www.vbgov.com/government/departments/human-resources/Employment-VBGOV/Job%20Descriptions/Human_Resources_Analyst_I_02191.pdf
Working Conditions:
https://workingcondition-summary-prod.s3.amazonaws.com/B.007707
Minimum Requirements:
MINIMUMS:
HUMAN RESOURCE BUSINESS PARTNER I
Requires any combination of education (above the high school level) and/or experience equivalent to six (6) years in fields utilizing the required knowledge, skills and abilities and associated with such positions as human resources analyst or specialist or generalist.
Some positions may require employee to have, or obtain, a current and valid drivers license.

HUMAN RESOURCE BUSINESS PARTNER II
Requires any combination of education (above the high school level) and/or experience equivalent to eight (8) years in fields utilizing the required knowledge, skills and abilities and associated with such positions as Human Resources Specialist or Analyst.
Some positions may require employee to have, or obtain , a current and valid Virginia or North Carolina driver’s license in accordance with Virginia or North Carolina DMV driver’s license eligibility requirements.

SPECIAL REQUIREMENTS FOR HUMAN RESOURCE BUSINESS PARTNER I AND HUMAN RESOURCE BUSINESS PARTNER II:
All employees may be expected to work hours in excess of their normally scheduled hours in response to short-term department needs and/or City-wide emergencies.
Additional Requirements:

DMV Transcript: Not Required
CDL: Not Required
DOT History: Not Required
CPS Check: Not Required
Physical: Not Required
Respirator: Not Required
Polygraph Review: Not Required
Psychological Screening: Not Required

Attachments Required: Please provide a copy of any certifications or related professional licenses.
Preferences:
The ideal candidate will be able to demonstrate:

Expertise in all aspects of employee relations (e.g., investigations, discipline, performance management) as outlined in the description of typical responsibilities and the ability to exercise sound judgment
Experience applying state and federal laws related to employee relations including EEO, FLSA, FMLA, ADA
Ability to develop collaborative working relationships with a variety of stakeholders and to maintain a professional demeanor at all times
Skill in communicating and interacting with diverse populations on complex matters with concision, both orally and in writing
Experience developing and presenting training offerings and other presentations
SHRM or HRCI certifications are preferred, but not required
Public sector experience is preferred, but not required.
Special Instructions:
** Application must be completed to include dates and job duties. Resumes do not replace the completed application .

This position is open until filled. Applications will be reviewed weekly for possible inclusion in the interview pool until the position is filled.

Please note: The interview process will include presentations and case exercises to demonstrate proficiency in the ER body of work.

Other Related Job Titles: Human Resource Analyst, Human Resources Generalist, Employee Relations Business Partner, Employee Relations Specialist, Employee Relations Analyst
Please complete the application in its entirety. The application is the primary required document used to screen qualifications and years of experience. A resume does not replace a completed application. Fields on the application left blank, including but not limited to job duties, dates of employment, and hours worked, may cause your application to be incomplete.
You will not be able to access the details of this job ad once the closing date has passed. If you would like to retain this information, please take a screen shot or print using your browser's printing capability.
Your responses to any ""Supplemental Questions"", if attached to this requisition, must be supported by the information you give us in the work experience section of this application. Be sure you are thorough in describing your skills and duties as you complete the work experience section. If the information cannot be verified you will not receive credit.
Please provide a copy of any certifications or related professional licenses.

VRS Contribution: All full-time employees are required to contribute 5% of annual salary toward their retirement account; in accordance with VRS retirement provisions. This will be handled through a pre-tax payroll deduction.
Drug Free Workplace: The City of Virginia Beach maintains a drug free workplace.",Human Resources,Human Resources
5,5,Payroll/HR Generalist,The Wellsville Group dba Ashley HomeStore,"Liverpool, NY 13090",Onsite,Full-time,Full-time,"The Wellsville Group dba Ashley HomeStore is hiring
Payroll/HR Generalist - HRBP, Syracuse/Rochester Market
We are one of the largest operators of Ashley HomeStore retail locations in the United States with 20 locations throughout New York, Ohio & Pennsylvania.
Humble, Helpful, and Thankful are some of the words that describe the team members working within our GROWING family oriented company.
Leader, Motivator, and Mentor are the words that should describe you.
The Wellsville Group dba Ashley HomeStore has an exciting opportunity for a Payroll/HR Generalist (HRBP) to oversee the company's Syracuse/Rochester Region. The main focus is to create an environment with the goal of becoming an employer of choice. Involvement in all aspects of HR department including caring for our team members, strategic initiatives & the growth & development of self & others. This position serves as a payroll processor back-up on an as needed basis. If you are looking to grow & expand your HR experience & exposure, this might be the right fit for you.
**Please note, this position ""offices"" out of one of our Ashley HomeStore retail locations in Syracuse (Liverpool or Camillus). The region includes Batavia, Rochester, Horseheads, Camillus & Liverpool locations. Occasional day travel will be required.
Essential Functions:
Support & promote the company’s Vision, Mission & Value statements
Actively assist & participate in the development & training of team members
Continuously review & improve HR processes, including onboarding & introduction of new team members
Collaborates & establishes strong relationships with all leadership in market area
Heavily involved in team member relations & onboarding procedures in alignment with company culture
Conducts or assists with new hire orientation, audits new hire paperwork to ensure all documents are received & in compliance
Collaborate with talent acquisition team to gain a comprehensive understanding of the company’s present & future hiring needs through succession planning
Conducts or assists with reviewing applications, background & reference checks
Participates in on-site interviews
Coordinate LOA (leave of absence) & tracking for all locations within market
Maintains accurate & up-to-date human resource files, records & documentation
Answers frequently asked questions from team members & applicants relative to standard policies, benefits, HR processes etc.; refers more complex questions to appropriate HR staff or management
Conducts or assists with record audits & mandatory reports; I-9 audits, EEO-1 filings, payroll audits & other compliance reviews
Provides support as needed with respect to vendors, such as disability carriers
Prepares documentation when needed to respond to inquiries &/or requests for information
Stay up to date on employment legislation & enforce them within the company
Additional Responsibilities:
Acts as a role model within & outside company, maintains a positive & respectful attitude, communicates effectively during interactions
Demonstrates flexible & efficient time management & ability to prioritize workload
Assists with planning & execution of special events such as benefits enrollment, organization-wide meetings, team member recognition events, holiday parties & retirement celebrations
Performs other duties as assigned
Knowledge, Skills and Abilities Required:
Ability to be highly productive in an autonomous environment with the ability to ask for guidance when needed
Excellent organizational skills & attention to detail
Proficient with Microsoft Word & Excel
Adapts to changes in the work environment, manages competing demands & can deal with frequent change
Strong interpersonal skills with the ability to manage sensitive & confidential situations with tact, professionalism & diplomacy
Strong grammar skills with written & spoken vocabulary
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Application Question(s):
Do you have reliable transportation?
This position ""offices"" out of either the Camillus or Liverpool retail Ashley HomeStore. The region covered by this partner includes Rochester, Batavia, Horseheads & Syracuse. Are you willing & able to travel to these locations?
Education:
Bachelor's (Required)
Experience:
Human resources: 2 years (Preferred)
ADP Workforce Now payroll & benefits: 2 years (Preferred)
Willingness to travel:
25% (Preferred)
Work Location: In person

Health insurance",Human Resources,Human Resources
6,6,Human Resources Recruiter,Havenwyck Hospital (UHS),"Auburn Hills, MI 48326",Onsite,Full-time,Full-time,"HAVENWYCK HOSPITAL (a UHS facility)
Havenwyck Hospital is a 243 bed Joint Commission accredited and licensed psychiatric hospital in Auburn Hills, Michigan. We specialize in providing comprehensive, compassionate behavioral health services to children, adolescents and adults.
POSITION SUMMARY:
The Human Resources Recruiter is responsible for the full cycle recruiting; sourcing, screening, interviewing, consulting with department leaders, extending job offers and onboarding new hires. Additionally, the Recruiter assists with the development, implementation, administration, training, tracking and communication of all human resources policies and programs including employment, employee records, and benefits.
JOB REQUIREMENTS:
Associates degree with at least five - ten years of Human Resources experience or Bachelor’s degree with at least one year of full cycle recruiting experience and on-boarding new hire employees required. Healthcare setting/experience preferred.
Three – five years of Human Resources and/or prior management experience preferred.
Excellent customer service skills are required. Must possess superb problem solving and multi-tasking skills with effective communicate skills, both verbal and in writing.
Must be able to work in a very fast-paced environment with frequent interruptions.
Excellent computer skills required. Must be proficient in Word, Excel and Outlook applications.
WHAT DO OUR CURRENT EMPLOYEES VALUE AT HAVENWYCK HOSPITAL AND UHS?
An environment that puts patient care first. One of the most rewarding aspects of this job is providing excellent care, comfort, and security to the patients and families you treat, at their most vulnerable times. Supportive and responsive leadership. You are never alone, as you are part of a large network of peer co-workers that routinely exchange ideas and review current topics within the industry. Having the opportunity to grow, learn, and advance in your career. There are very robust continuing education options and opportunities for skills diversification and career advancement with UHS.
BENEFIT HIGHLIGHTS:
Challenging and rewarding work environment
Competitive Compensation & Generous Paid Time Off
Excellent Medical, Dental, Vision and Prescription Drug Plan
401(K) with company match and discounted stock plan
Career development opportunities within UHS and its 300+ Subsidiaries
Free Basic Life Insurance
Tuition Reimbursement
SoFi Student Loan Refinancing Program
Universal Health Services (UHS)
One of the nation’s largest and most respected providers of hospital and healthcare services, Universal Health Services, Inc. has built an impressive record of achievement and performance. Growing steadily since its inception into an esteemed Fortune 500 corporation, annual revenues were $11.6 billion in 2020. In 2021, UHS was again recognized as one of the World’s Most Admired Companies by Fortune; in 2020, ranked #281 on the Fortune 500; and listed #330 in Forbes ranking of U.S.’ Largest Public Companies. Headquartered in King of Prussia, PA, UHS has 89,000 employees and through its subsidiaries operates 26 acute care hospitals, 334 behavioral health facilities, 39 outpatient facilities and ambulatory care access points, an insurance offering, a physician network and various related services located in 38 U.S. states, Washington, D.C., Puerto Rico and the United Kingdom.
EEO Statement
All UHS subsidiaries are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates. UHS subsidiaries are equal opportunity employers and as such, openly support and fully commit to recruitment, selection, placement, promotion and compensation of individuals without regard to race, color, religion, age, sex (including pregnancy, gender identity, and sexual orientation), genetic information, national origin, disability status, protected veteran status or any other characteristic protected by federal, state or local laws.
We believe that diversity and inclusion among our teammates is critical to our success.
Notice
At UHS and all its subsidiaries, our Human Resources departments and recruiters are here to help prospective candidates by matching skillset and experience with the best possible career path at UHS and our subsidiaries. We take pride in creating a highly efficient and best in class candidate experience. During the recruitment process, no recruiter or employee will request financial or personal information (Social Security Number, credit card or bank information, etc.) from you via email. Additionally, recruiters will not email you from a public webmail client like Hotmail, Gmail, Yahoo Mail, etc. If you are suspicious of a job posting or job-related email mentioning UHS or its subsidiaries, let us know by contacting our Compliance Hotline at: https://uhs.alertline.com or 1-800-852- 3449.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Referral program
Tuition reimbursement
Vision insurance
Schedule:
Day shift
Education:
Associate (Required)
Experience:
HR Recruiter: 1 year (Required)
Work Location: In person

Health insurance",Human Resources,Human Resources
7,7,Human Resources Generalist,U.S. Government,"Dallas, TX 75202",Onsite,"$37,331 - $84,530 ",ct,"As a Human Resources Specialist, you’ll play a crucial role assisting your fellow Soldiers progress in their Army careers, providing promotion and future training information. You’ll ensure the necessary support is also provided to commanders across all branches. You’ll be trained in document preparation, drafting requests, and overseeing official documentation, such as ID cards and tags. You’ll also learn computer programs that keep personnel data up to date.
Job Types: Full-time, Part-time, Contract
Pay: $37,331.00 - $84,530.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Parental leave
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Supplemental pay types:
Signing bonus
Education:
High school or equivalent (Required)
Work Location: One location

Health insurance",Human Resources,Human Resources
8,8,Equal Employment Specialist,Bonneville Power Administration,"Portland, OR 97232",Onsite,"$100,984 - $131,277 ",r - Full-time,"This position is located in the Civil Rights & EEO (DE) organization of the Workforce and Strategy Office (D), Bonneville Power Administration (BPA), Department of Energy (DOE).
A successful candidate in this role will serve as a principal advisor to the Director of Civil Rights and EEO in recommending and executing direction over (1) program development and (2) implementation of BPA's EEO Program, policies, regulations, and standards.
Job Type: Full-time
Pay: $100,984.00 - $131,277.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Life insurance
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Portland, OR 97232: Reliably commute or planning to relocate before starting work (Preferred)
Experience:
Leadership: 1 year (Preferred)
Work Location: One location

Health insurance",Human Resources,Human Resources
9,9,Onsite HR Talent Consultant,Avimoe,"Beloit, KS 67420",Onsite,Full-time,Full-time,"AVIMOE: We help you take care of the people who take care of your business

At Avimoe we take pride in developing our team members. Energy, excitement, initiative, and motivation are the key skills we look for when growing our team. Through mentorship, teamwork & training we provide an opportunity for you to grow and develop your skills in a manner that will elevate your professional career. This is a great opportunity for candidates interested in Customer Service and Human Resources.

The Onsite Talent Consultant at Avimoe will run the daily functions of managing client and associate relations, including hiring, interviewing and placement of associates, and enforcing company policies and practices.

This is a full time, in office position. The position is located in Beloit, KS.

Candidate must be within reasonable commuting distance at the time of hire.

Responsibilities:
Recruits, interviews, and facilitates the hiring of qualified job applicants for open positions; collaborates with clients to understand skills and competencies required for openings.
Conducts or acquires background checks and employee eligibility verifications.
Executes new hire onboarding.
Oversee the scheduling, assignments, and daily workflow of associates assigned to various clients.
Handles employment-related inquiries from applicants, candidates, associates, and clients, referring complex and/or sensitive matters to the appropriate staff.
Participates in all injury investigations.
Executes employee disciplinary meetings, terminations, and investigations.
Maintains compliance with federal, state, and local employment laws and regulations, and recommended best practices; reviews policies and practices to maintain compliance.
Performs other duties as assigned.
Required Skills/Abilities:
Excellent verbal and written communication skills.
Excellent interpersonal and conflict resolution skills.
Excellent organizational skills and attention to detail.
Excellent time management skills with a proven ability to meet deadlines.
Ability to prioritize tasks and to delegate them when appropriate.
Ability to act with integrity, professionalism, and confidentiality.
Must use ATS proficiently and consistently to document all activity.
Proficient with or the ability to quickly learn applicant-tracking software or other recruitment systems.
Proficient with Microsoft Office Suite or related software.
Education and Experience:
Bachelor’s degree in Human Resources, Business Administration, or related field required.
Note: Nothing in this job description restricts management’s right to assign or reassign duties and responsibilities to this job at any time.

Avimoe is proud to be an Equal Opportunity Employer. You will be considered for this position based upon your experience and education, without regard to race, color, religion, age, sex, national origin, sexual orientation, ancestry; marital, disabled, or veteran status. We are committed to creating and maintaining a workforce environment that is free from any form of discrimination or harassment.

#IND4",Human Resources,Human Resources
