,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Quality Engineer - Medical Device Start-up,Michael Page,"Chicago, IL",Onsite,"$85,000 - $95,000 ",r,"Perform duties and responsibilities assigned by Director of Quality
Perform product, process, and change control risk mitigation actions, utilizing: Control Plans, pFMEAs, Flow Diagrams
Risk Assessment Audits, 5S Audits and ISO based Internal Audits
Work Instructions, Process Mapping and Checklists
Provide support for gage calibration program to meet ISO 9001 & ISO 13485 requirements
Create and implement new ISO 9001 and ISO 13485 procedures and work instructions
Provide quality engineering support to all departments.
Performs statistical analysis and write technical reports

MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.
Bachelor's Degree from an accredited college or university
Experience working in an environment certified to ISO 13485:2016 and CGMP Good Manufacturing Practices and the FDA
Experience with Lean / Six Sigma Problem Solving tools
Ability to work with mathematical concepts such as probability and statistical analysis
Good understanding of SPC and Gage R&R including conducting studies and reporting results
Our Client is a Medical Device Start-up specializing in creating a custom display solution for hospital monitoring use. They are looking to bring on a Quality Engineer to their growing team. The company prides itself on being cutting edge and providing a solution thats not only going to revolutionize the medical device industry but also save lives.
Competitive base salary, dependent on experience, between $85,000 and $95,000
Medical, dental and vision insurance through BCBS
15 days of Vacation
5 Sick Days + 2 Personal Days
10 Paid Holidays
3% 401k Match
Tuition reimbursement"
1,Clinical Biomedical Engineer III,Clinical Management Consultants,"Jessup, MD",Onsite,"$65,123 - $96,789 ",r,"An exciting job opportunity is now available for a seasoned Clinical Biomedical Engineer III in the Parkville, MD area. A prestigious hospital is looking to add a Clinical Biomedical Engineer III to join their biomedical engineering department.
Serving their community members for over 85 years, this state-of-the-art hospital is known for their surgical services, women’s services department, and emergency services department. Firmly believing that providing medical care that meets both the physical and mental needs for each patient, the dedicated clinical staff of this hospital are fully equipped with advanced medical technology that allows them to do so. Creating and administering tailored treatment plans for each individual who walks through their hospital’s doors, the Clinical Biomedical Engineer will be joining a hard-working staff that have worked tirelessly to maintain their honorable reputation in Maryland and throughout the country.
Reporting directly to the Manager of Hospital Engineering, the Clinical Biomedical Engineer III must be an involved leader who is continuously reporting important information to their superior. Working closely with the other Clinical Biomedical Engineers, this individual must be able to work well with others in an efficient and effective manner. Acting as a leader to the department’s staff, the Clinical Biomedical Engineer II must be readily available to provide their expertise and knowledge during any pressing situation that may arise.
Tasked with the responsibility of making daily rounds to confirm the engineering crews are servicing their designated areas within the hospital, the Clinical Biomedical Engineer II must be an organized leader who also ensures that the safety rules are also being followed. Promoting an environment that actively abides by the standards set in place by the department, the Clinical Biomedical Engineer II will be expected to act as a role and set specific expectations for the department to meet. The Clinical Biomedical Engineer III must be able to quickly take charge during any engineering emergency situation, and maintain their composure. Promoting unity and continuous education within the department, the Clinical Biomedical Engineer II will be tasked with the duty of planning and facilitating trainings to meet the educational needs of the staff.
Located in DMV area, this hospital is situated in the heart of the suburbs. Surrounded by beautiful homes, ranked school systems, and picturesque parks, the Clinical Biomedical Engineer will be living in an area with ample opportunities to explore the local amenities. With just a quick commute, the Clinical Biomedical Engineer II will be able to participate in the active city life of Washington D.C. The best of both worlds is at the fingertips of the Clinical Biomedical Engineer II’s fingertips.
This progressive hospital is moving quickly to add a Clinical Biomedical Engineer III to join their biomedical engineering department and are fully prepared to offer a competitive compensation and full benefits package. Act fast and apply today!"
2,Biomedical Engineer,Veteran Staffing Network,"Seattle, WA",Onsite,$43 - $57 ,n hour - Full-time,"Our client, a federal government contractor with the VA, is seeking an experienced Biomedical Engineer. You will manage a hospital medical equipment program. The position requires a bachelor’s degree in engineering or CCE Certification and 3+ years of experience in a hospital.
Responsibilities:
Maintain and troubleshoot complex, networked equipment within a hospital environment.
Conduct a medical equipment management program that is compliant with applicable healthcare standards.
Develop a curriculum for a continuing education program that addresses the safe and effective use of medical technology.
Manage a recall and safety alert program for medical devices, including medical device hazard investigations.
Conduct capital asset and infrastructure planning for medical equipment.
Function as the subject matter expert in the field of biomedical engineering, supporting specialized clinical technology, including service, system administration, training, quality assurance, and life cycle management.
VA Medical Device Nomenclature System (VA-MDNS) and conformance, recall and safety alerts, security patches and updates, assist in national, VISN and local deadlines.
Networking on medical equipment
Project tracking, meeting attendance, etc.
Assist with Cerner prep.
Preferred Requirements:
· US Veteran, National Guardsman, Reservist or Military Spouse preferred.
· Experience working in or with the Veterans Health Administration (VHA), understanding of VISN (Veterans Integrated Services Network) is a plus.
Must-Have Requirements:
A Bachelor’s degree or higher in Engineering or Certification as a Clinical Engineer (CCE).
3+ years of hospital or healthcare experience maintaining medical equipment or managing a hospital medical equipment program.
Experience within a hospital/medical center Biomedical Engineering department
Demonstrated knowledge of concepts related to computer-based medical systems, networking protocols, and information security as it applies to medical technology.
Demonstrated competency in the ability to conduct a medical equipment management program that is compliant with applicable healthcare standards and regulatory agencies.
Ability to develop a curriculum for a continuing education program that addresses the safe and effective use of medical technology.
Ability to manage a recall and safety alert program for medical devices, including medical device hazard investigations, to assure compliance with patient safety goals, Safe Medical Device Act, and The Joint Commission (TJC) requirements.
Ability to conduct capital asset and infrastructure planning for medical equipment spanning initial concept, installation, and effective implementation of complex medical equipment.
Ability to function as the subject matter expert in the field of biomedical engineering, directly supporting specialized clinical technology, including service, system administration, training, quality assurance, and life cycle management.
Ability to effectively advise clinical and administrative staff on medical technology, including existing and emerging technology, which addresses viability, long-term suitability, compatibility, and/or safety; to apply project management principles to deployment of medical equipment and health information technologies.
Demonstrated skill in communicating and working collaboratively with key stakeholders, including technical and professional staff at various levels of the organization.
Understanding of regulatory agencies’ requirements, industry regulatory requirements and International Standard Organization standards.
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future.
Must be able to obtain and maintain the required federal public trust clearance for this role.
Must provide proof of COVID vaccination + Flu vaccination during flu season, or, as an alternative, appropriate documentation that will support either a medical or religious exemption.
The company is an equal opportunity employer and will consider all applications without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, veteran status, disability, or any other characteristic protected by law.
Job Type: Full-time
Pay: $43.00 - $57.00 per hour
Benefits:
401(k)
401(k) matching
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Professional development assistance
Relocation assistance
Schedule:
Day shift
Monday to Friday
No weekends
Application Question(s):
How many years of hospital or healthcare experience maintaining medical equipment or managing a hospital medical equipment program do you have?
How many years do you have experience within a hospital/medical center Biomedical Engineering department?
How many years of demonstrated knowledge of concepts related to computer-based medical systems, networking protocols, and information security as it applies to medical do you have?
How many years of demonstrated competency in the ability to conduct a medical equipment management program that is compliant with applicable healthcare standards and regulatory agencies do you have?
Do you have the ability to develop a curriculum for a continuing education program that addresses the safe and effective use of medical technology?
Do you have the ability to manage a recall and safety alert program for medical devices, including medical device hazard investigations, to assure compliance with patient safety goals, Safe Medical Device Act, and The Joint Commission (TJC) requirements?
Do you have the ability to conduct capital asset and infrastructure planning for medical equipment spanning initial concept, installation, and effective implementation of complex medical equipment?
Do you have the ability to function as the subject matter expert in the field of biomedical engineering, directly supporting specialized clinical technology, including service, system administration, training, quality assurance, and life cycle management?
Do you have the ability to effectively advise clinical and administrative staff on medical technology, including existing and emerging technology, which addresses viability, long-term suitability, compatibility, and/or safety; to apply project management principles to deployment of medical equipment and health information technologies?
How many years have you demonstrated skill in communicating and working collaboratively with key stakeholders, including technical and professional staff at various levels of the organization?
Do you have an understanding of regulatory agencies’ requirements, industry regulatory requirements and International Standard Organization standards?
Can you provide proof of COVID vaccination + Flu vaccination during flu season, or, as an alternative, appropriate documentation that will support either a medical or religious exemption?
Education:
Bachelor's (Preferred)
Work Location: In person

Health insurance"
3,New/Recent Graduate: Staff Validation Engineer,"Performance Validation, Inc","Indianapolis, IN 46241",Onsite,"$60,000 - $65,000 ",r - Full-time,"About Us
Here at Performance Validation, Inc (PV) we have been providing Commissioning, Qualification, and Validation services to the life science industries for over 30 years! We are a 100% employee owned company with teams in Indiana, Michigan, Illinois, Kansas, Washington, and North Carolina, and we support clients throughout the US and overseas. As an employer, PV is committed to providing growth opportunities to our employees through professional development, implementation of new services, and cultivation of new geographical areas.
About the job
Performance Validation is seeking a full-time Level I Validation Engineer/Specialist to join our team in Indianapolis, Indiana. The Level I Validation Engineer/Specialist reports directly to the Division Director or Manager and will be assigned to one or more project teams headed by a Project Leader.
Responsibilities
Develop a sound understanding of how to properly implement technical, quality, and scientific principals necessary to meet industry and customer requirements
Work in a team environment to meet defined objectives based on established timelines
Develop verification/qualification deliverables including but not limited to Requirements Documents, Functional and Design Specifications, Test Protocols (IQ/OQ/PQ), and Summary Reports
Execute test protocols, including identification and resolution of non-conformances/deviations
Track and manage change control activities for multiple concurrent projects
Requirements you will need
Education:
BS/BA degree or three years in pharmaceutical or other regulated industry experience not directly related to pharmaceutical validation
BS degrees in Biomedical Engineering, Chemical Engineering or Mechanical Engineering preferred
Experience:
Self-starter who exhibits a professional demeanor, enthusiasm, and ability to work independently with minimal supervision
Strong interpersonal skills. Must interact confidently with clients, other contractors, and employees
Possess excellent oral and written communication skills and high attention to detail
Experience with office word-processing and spreadsheet programs such as Microsoft Word and Excel
What we have to offer
Competitive base salary
Biannual profit share
Employee stock ownership program
401(k) company match
Paid vacation and holidays
Internal and external training opportunities
Medical, vision, and dental coverage
Disability and life insurance
Cellphone stipend
Growth opportunities
Company-sponsored team building outings
A collaborative work environment
Work/life balance
Up to 20% availability to travel.
Qualified candidates must be legally authorized to be employed in the United States. Performance Validation, Inc. does not anticipate providing sponsorship for employment visa status (e.g., H-1B or TN status) for this employment position.
Pay: $60,000.00 - $65,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Referral program
Relocation assistance
Tuition reimbursement
Vision insurance
Experience level:
No experience needed
Schedule:
8 hour shift
Day shift
Monday to Friday
Work Location: One location

Health insurance"
4,"Process Engineer, Sterile Fill Finish - 20270",Mattson Resources,"Fargo, ND",Onsite,"$110,000 - $120,000 ",r - Full-time,"Our global client in the biotech manufacturing industry is looking for a Process Engineer, Sterile Fill Finish.
In this role, you will be the Lead all technical transfer activities of GMP Sterile Fill Finish manufacturing and formulation and research and development of new Fill Finish technologies.
This position requires a bachelor's degree in molecular biology, biology, biotechnology, or biochemistry and 3+ years experience in process development, engineering, and/or validation.
Experience working in a cGMP regulated environment, specifically with Fill Finish or Robotic Equipment is also required.
You will:
Be a part of the Automation and Process Engineering team and report to the Manager, Process Engineering and Automation responsible for development of new technologies and optimization of existing processes around the current Sterile Fill Finish projects.
Lead technical transfer, SOP generation, and training of manufacturing staff through confirmation and/or engineering batches
Create project summary reports and present findings and specify the Fill Finish consumables and components required (including inventory levels).
**Relocation to N. Dakota (sign-on) is offered for those looking to relocate! Ranked # 23 Best Places to Live in the U.S. where the economy, job growth and housing market remained strong! Apply today for details!
Job Type: Full-time
Pay: $110,000.00 - $120,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Work Location: One location

Health insurance"
5,Product Development Engineer,Staffing 360 Solutions,"Quincy, MA 02171",Onsite,"$115,000 - $165,000 ",r - Full-time,"A worldwide medical deice innovator and manufacturer of medical device for more than 40 years with more than 25 locations worldwide is in search of a highly motivated and experienced Product Development Engineer.
POSITION SUMMARY: The candidate must have a desire to utilize their skills to solve technical/complex problems in a hands-on manner, working in a fast paced environment, and across multiple functions in a global company.
Job Description:
To be a part of the fastest growing divisions supporting process development for exciting new products, and business development activities.
Use your technical and collaboration skills alongside your passion for innovation and continuous improvement to drive growth through efficient and effective commercialization of new products and targeted improvements.
This position offers the opportunity to support process development and product commercialization throughout the company's global plant network.
Work cross-functionally to lead process development of complex technologies on new products, drive/develop new business activities and rapid prototyping execution and ensures efficient and effective transfer of product into production.
Responsibilities include:
Assesses process capabilities and innovates and implements process improvements for discrete, well-defined processes.
Writes clean and concise work instructions that can be understood by product builders.
Contributes to technical reports, validations, and qualifications by capturing experimental results
Assists in completing proper documentation to meet quality systems requirements. (e.g., BOM’s, Routers, FMEA’s, etc.)
Writes validation protocols and reports applicable to new processes.
Gathers and provides technical data for technical reviews.
Oversees development builds associated with the project using special work requests.
Assists in developing qualified production lines.
Provides Design for Manufacturability (DFM) input to the engineering print package.
Contributes ideas to or generates Intellectual Property submissions.
May train manufacturing personnel when required as part of a validation.
Qualifications:
2 - 4 Years of experience and Bachelors' Degree
Job Type: Full-time
Pay: $115,000.00 - $165,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Experience level:
2 years
Schedule:
8 hour shift
Day shift
Monday to Friday
Overtime
Work setting:
In-person
Ability to commute/relocate:
Quincy, MA 02171: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location

Health insurance"
6,Biomedical Engineer,GE Healthcare,"State College, PA 16803",Onsite,N,r - Full-time,"Job Description Summary
We are looking to hire an entry-level Biomedical Engineer. The position will drive improvement to existing intraoperative ultrasound transducer products and support the development of new innovative product designs and processes. We are looking for creative, persistent, and dedicated individuals who will fit with our collaborative culture.

BK Medical is committed to designing active imaging systems that help surgeons visualize anatomy and lesions, guide interventions, and navigate inside the human body. Our mission at BK is to change the standard of care in surgical interventions with real-time visual guidance, giving surgeons the information needed to immediately make critical decisions.

Now, BK Medical is advancing its mission with GE HealthCare. Together, we will reach more customers and continue to empower surgeons to make critical decisions that allow for better care, faster procedures, and reduced complications.
Job Description
Roles and Responsibilities
Plan, document, execute, over-see and report on test protocols supporting product and process verification, new materials selection, biological evaluations, and failure analysis/root cause identification.
Work as part of a cross functional and collaborative engineering team developing the materials and methods for building the next generation of ultrasonic transducers for medical and surgical applications.
Assist Senior Engineers in defining best practices with respect to Materials Testing and Qualification, Proper Usage, Storage and Handling of Chemicals and Receipt and Incoming Inspection of Chemicals
Build the organization’s foundational knowledge in our understanding of materials variation and properties relevant to our products.
Contribute to the development of a Design Guide for Materials and Processes.
Interact regularly with design teams, quality assurance, regulatory, planning, manufacturing, purchasing, and suppliers to enable BK Medical to empower smarter surgery with products that are safe, manufacturable, and reliable.
Required Qualifications
US work authorization is a precondition of employment. The company will not consider candidates who require sponsorship for a work-authorized visa
A Bachelor’s Degree in Biomedical Engineering, Chemical Engineering or related engineering discipline from an accredited university or college.
This is an entry-level position. No previous employment experience is necessary, but some experience is preferred.
Bring energy, enthusiasm, creativity, curiosity, and integrity to each day’s effort.
Experience with MS Excel, MS Word, MS Powerpoint is required.
Must be able to work independently / self-motivated.
Must have the ability to generate written communication that is clear and concise.
Travel – typically less than 10%
Physical Requirements
Sitting
Standing
Lift up to 25 pounds
Computer typing
Computer monitor
While GE Healthcare does not currently require U.S. employees to be vaccinated against COVID-19, some GE Healthcare customers have vaccination mandates that may apply to certain GE Healthcare employees.
We expect all employees to live and breathe our behaviors: to act with humility and build trust; lead with transparency; deliver with focus, and drive ownership –always with unyielding integrity.
Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.
Additional Information
GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
GE will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditioned upon the successful completion of a drug screen (as applicable).
Relocation Assistance Provided: No"
7,System Test Engineer,iRhythm Technologies,"San Francisco, CA 94103",Onsite,Full-time,Full-time,"About iRhythm:
iRhythm is a leading digital healthcare company focused on the way cardiac arrhythmias are clinically diagnosed by combining our wearable bio sensing technology with powerful cloud-based data analytics and Artificial Intelligence capabilities. Our goal is to be the leading provider of ambulatory ECG monitoring for patients at risk for arrhythmias. iRhythm's continuous ambulatory monitoring has already put over 2 million patients and their doctors on a shorter path to what they both need – answers.
About this role:
iRhythm is currently seeking a System Test Engineer to join our team in creating products that are robust and reliable. Engineers at iRhythm work passionately to deliver innovative solutions that further our operation excellence while creating products that improve the quality of healthcare and the patient experience. In this role you will work closely with product development, quality, and manufacturing to develop and test design improvements to iRhythm's new and existing product lines. You will develop test methods to ensure product requirements are met and test the system to its breaking point. This is a fantastic opportunity to get hands on experience with a cutting edge product within the medical device space. This is an on-site position for our San Francisco, California office.
Responsibilities include:
Learn the product design at a system-level with a focus on system interfaces and product requirements.
Document and execute verification test plans and reports to support new and/or improved design features and requirements.
Analyze device data and troubleshoot field failures.
Automate (where applicable) and improve verification test methods on our existing products
Learn intended device applications and develop creative and efficient ways to stress the system.
Requirements:
Bachelor's degree in Electrical, Biomedical Engineering, or a related field
Comfortable using lab equipment such as oscilloscopes, multimeters, power supplies, etc.
Familiar with interpreting hardware schematics, component drawings, and datasheets.
Ability to automate tests and data analysis scripts in python or similar scripting language.
Solid documentation and technical writing skills, including the ability to author technical reports.
Self-motivated and disciplined to meet deadlines with quality deliverables.
Experience executing verification tests for class II medical devices a plus.
What's in it for you:
This is a full-time position with competitive compensation package, excellent benefits including medical, dental, and vision insurance (all of which start on your first day), paid holidays, and PTO!
iRhythm also provides additional benefits including 401K (with company match), an Employee Stock Purchase Plan, paid parental leave, pet insurance discount, Cultural Committee/Charity events, and so much more!
FLSA Status: Exempt
As a part of our core values, we ensure a diverse and inclusive workforce. We welcome and celebrate people of all backgrounds, experiences, skills, and perspectives. iRhythm Technologies, Inc. is an Equal Opportunity Employer (M/F/V/D). Pursuant to San Francisco Fair Chance Ordinance, we will consider for employment all qualified applicants with arrest and conviction records.
Make iRhythm your path forward.
#LI-JR1"
8,23I/BEWD - Biomedical Engineer,Randox Laboratories,Remote,Onsite,N,Full-time,"Based in California, the role will involve the provision of customer support, routine maintenance, and emergency breakdown repair of automated and semi-automated Randox analysers and associated equipment. This position will be a home office position with the successful applicant travelling to customer sites nationwide.

As this function involves extensive and regular travel to customer locations, sometimes at short notice, the ability and willingness to travel is essential.



The Role:
Routine servicing and preventative maintenance of analysers and associated equipment in the field.
Emergency breakdown repair of analysers in the field.
Maintaining service and maintenance records according to Service Department procedures.
Installation, commissioning, and set-up of analyser equipment.
Providing technical support by telephone and email to Randox customers and providing technical support for analyser development.
Building and maintaining extensive knowledge of Randox analysers and associated equipment.

The Candidate:
Essential:
A relevant Engineering Qualification or equivalent accredited apprenticeship.
Ability to operate and repair various analysers and analytical instrumentation and record analytical data correctly.
Highly motivated with the ability to work independently.
Excellent communication and organisational skills.
Ability to effectively establish and maintain good working relationships with internal departments and customers.
Available for extensive travel.
Computer literate.
Hold a full driving licence.

Desirable:
Experience in medical instrumentation.
Experience in engineering and computer software.
Experience in clinical chemistry and applications knowledge.


About Randox:

Randox Laboratories is passionate about improving global health and saving lives through the development of innovative and pioneering products. Through our commitment and the skill of our people we have grown to be a world leader in diagnostics for clinical healthcare, toxicology, food security and providing quality solutions to over 145 countries. In order to serve our growing international markets, we require high calibre applicants with scientific, engineering, software and broader business skills – including sales, marketing, logistics, finance and many more.
Central to the Randox ethos is our drive to improve healthcare worldwide and every one of our staff plays a vital role in this aim."
9,Biomedical Engineer,"BCVS Group, Inc","Chicago, IL",Onsite,$33.91 - $40.00 ,ct,"Responsibilities
Planning and developing biomedical equipment.
Conducting various tests on devices and equipment.
Setting up the biomedical equipment.
Educating and training the team members on using the systems.
Calibrating the equipment as per the requirements.
Maintaining and repairing biomedical devices.
Providing training to the clinicians and other personnel on how to use the equipment.
Resolving issues faced by the professional team.
Maintaining proper inventory levels and restocking them as and when needed.
Offering technical assistance to the person using the equipment.
Preparing technical documentation on how to use the equipment.
Researching on new techniques to be used in the biomedical industry.
Writing reports and documents detailing procedures and policies.
Attending meetings and conferences organized by the company.
Complying with the rules and regulations of the company.
Staying updated with the latest trends in the biomedical industry.
Requirements
Bachelor's/Master's degree in Biomedical Technology, Electronics Engineering, or a related field. Candidates with a high school diploma will also be preferred.
Job Types: Full-time, Contract
Salary: $33.91 - $40.00 per hour
Benefits:
Dental insurance
Health insurance
Life insurance
Referral program
Relocation assistance
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Chicago, IL: Reliably commute or planning to relocate before starting work (Required)
Experience:
Manufacturing: 1 year (Preferred)
Work Location: One location

Health insurance"
