,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Civil Engineer (Assistant/Associate),Modesto Irrigation District,"Modesto, CA",Onsite,"$110,240 - $155,771 ",r - Full-time,"Description
The Modesto Irrigation District is currently recruiting to fill one full-time regular position in the Civil Engineering Department of the Water Operations Division to perform professional engineering work in the planning, design, permitting, and construction of District facilities and to perform a variety of technical engineering studies.

Distinguishing Characteristics

Assistant Engineer This is the entry level class in the Engineer series. Positions in this class typically have little or no directly related work experience. The Assistant Engineer class is distinguished from the II level by the performance of less than the full range of duties assigned to the Associate level. Incumbents work under general supervision while learning job tasks, progressing to direction as procedures and processes of assigned area of responsibility are learned.

Associate Engineer This is the journey level class in the Engineer series and is distinguished from the Assistant level by the assignment of the full range of duties. Employees at this level receive only occasional instruction or assistance as new, unusual or unique situations arise and are fully aware of the operating procedures and policies within the work unit. Positions in this class are flexibly staffed and are normally filled by advancement from the Assistant level.

The position will be filled at the appropriate level (Associate, Assistant) based on the qualifications of the successful candidate.

Any qualified individual may apply. This is an exempt position and is assigned to the Professional and Supervisory Bargaining Unit. The list established as a result of this recruitment may be used to fill other Civil Engineer vacancies that may occur within the District through March 16, 2024.
Examples of Duties
Duties may include, but are not limited to, the following:
Prepare plans and specifications for the design, construction, maintenance, and operation of District facilities and projects; ensure conformance to District standards and practices, and relevant codes and regulations.
Research project design requirements and perform related calculations; conduct plan checks to ensure compliance with District and various environmental and regulatory standards; prepare time and material cost estimates.
Prepare engineering studies and reports; prepare a variety of technical reports, documents, and correspondence; prepare technical specifications; assist with the preparation and revisions to design and construction standards; develop technical documents required by the local, State, and Federal agencies to obtain permitting and licensing of District facilities.
Coordinate and oversee the work of contractors for the construction, installation, maintenance, support, documentation, and testing activities to ensure compliance with District standards, specifications, and applicable codes.
Perform calculations to compute and establish manufacturing, construction and installation standards and specifications.
Represent the District in meetings with regulatory agencies and the public regarding District projects.
Operate computer-assisted engineering and design software to perform engineering tasks.
Inspect completed installations to ensure conformance to design and equipment specifications and District standards.
Direct, review, and approve the preparation of reports, specifications, and technical studies and evaluations related to the operation of District facilities.
Build and maintain positive working relationships with co-workers, other District employees and the public using principles of good customer service.
Perform related duties as assigned.
Typical Qualifications
Assistant Engineer

Knowledge of:

Principles and practices of engineering as it relates to the design and construction of District facilities.
Basic methods, materials, and techniques used in the design, construction, and maintenance and operation of District facilities.
Mathematics used in the engineering field.
Materials, equipment, and tools used in the construction industry.
Modern developments, current literature and sources of information regarding the engineering profession.
Modern office equipment including the use of applicable computer applications.
Principles and practices of effective customer service.
Ability to:
Perform professional engineering computations and learn to check, design, and prepare engineering plans, studies, profiles, and maps.
On a continuous basis, know and understand all aspects of the job; intermittently analyze work papers, reports and special projects; identify and interpret technical and numerical information; observe and problem solve operational and technical policy and procedures.
Learn and apply District standards and regulations and engineering policies and procedures.
Learn and apply applicable laws and regulations related to the design and construction of District facilities.
Learn to prepare accurate cost estimates.
Learn to analyze and prepare technical reports.
Establish and maintain effective working relationships with those contacted in the course of work.
Communicate clearly and concisely, both orally and in writing.
A more complete job description is available here.
Experience and Training

Any combination of experience and training that would provide the required knowledge and abilities is qualifying. A typical way to obtain the required knowledge and abilities would be:

Experience: One year of professional civil engineering experience related to the design and construction of District facilities is desirable.

Training: Equivalent to a Bachelor's degree from an accredited college or university with major course work in Civil Engineering or a related field.

License and Certificate: Possession of a valid California driver's license.

Associate Engineer

In addition to the qualifications for the Assistant Engineer:

Knowledge of:
Methods, materials, and techniques used in the design, construction, and maintenance and operation of District facilities.
Budgeting techniques and capital project management.
Pertinent local, State, Federal rules, regulations and laws related to the design and construction of District facilities.
Construction contracting practices including estimating, bidding, scheduling and organizing of construction activities.
Ability to:
Perform the full range of professional civil engineering duties as related to the design, construction and permitting of District facilities.
Interpret and apply District standards and regulations and engineering policies and procedures as well as applicable laws and regulations related to the design, construction and permitting of District facilities.
Prepare accurate estimates of costs, schedules, personnel and materials related to engineering project responsibilities.
Prepare concise and understandable written reports, studies, and other written materials, including Requests for Qualifications and Proposals.
A more complete job description is available here.
Experience and Training

Any combination of experience and training that would provide the required knowledge and abilities is qualifying. A typical way to obtain the required knowledge and abilities would be:

Experience: Three years of responsible experience similar to Assistant Civil Engineer with the District.

Training: Equivalent to a Bachelor's degree from an accredited college or university with major course work in Civil Engineering or a related field.

License and Certificate: Possession of a valid California driver's license. Possession of a valid Engineer-In-Training Certificate. Registration as a Professional Civil Engineer highly desirable.
Supplemental Information
Qualified applicants must submit a completed District application and responses to the attached supplemental questionnaire. In addition, a resume describing experience and qualifications for the position is recommended. APPLY IMMEDIATELY. This position is open until filled. Screening of applications will begin on or after, Thursday, March 30, 2023. Applications received after this date are not guaranteed consideration.

Applications will be reviewed on a comparative basis and only those most qualified will be invited to continue in the selection process which will consist of an overall assessment of the individual's skills through (1) oral interview; and (2) reference checks to include current and former supervisors. The applicant must perform successfully in each phase of the recruitment in order to continue in the selection process.

Applicants requiring necessary accommodations to the application process may contact Human Resources at (209) 526-7341. California Relay Service is available at (800) 735-2922 voice and (800) 735-2929 TDD. The Modesto Irrigation District is an Equal Opportunity Employer. All qualified applicants are encouraged to apply.

THE SUCCESSFUL APPLICANT WILL BE REQUIRED TO PROVIDE VERIFICATION OF HIGH SCHOOL DIPLOMA OR GED AND APPLICABLE HIGHER EDUCATION DEGREE AND OFFICIAL EDUCATION TRANSCRIPTS, PASS A MEDICAL EXAM INCLUDING A DRUG AND ALCOHOL SCREEN, AND A COMPLETE BACKGROUND CHECK PRIOR TO BEGINNING WORK.

INFORMATION CONTAINED IN THIS ANNOUNCEMENT MAY BE SUBJECT TO CHANGE WITHOUT NOTICE."
1,Construction Project Engineer,Corrigan Oil Co,"Brighton, MI 48116",Onsite,Full-time,Full-time,"Construction Project Engineer
Corrigan Oil - Who We Are:
Corrigan Oil is an equal employment opportunity employer with a dedication to customer satisfaction and quality that is second to none. Corrigan Oil is a family-owned business offering long-term career opportunities and a culture where you will be treated with respect and proud to work within. Corrigan Oil has expanded into a family of companies including: Corrigan Oil, Construction, 24-hour Towing, Lubricants, Transportation, Propane, Mechanical Contractors, Environmental Solutions, Technical Environmental Services and Blue Water Industrial Products.
Corrigan Oil understands the importance of preserving our environment and giving back to the communities. At Corrigan, we are proud supporters of our communities and encourage our employees to be active leaders, mentors, and volunteers.
Why Join the Corrigan Team:
Corrigan is a large company that operates with a small feel. Our culture is best described as hard working and ambitious. We are constantly looking for opportunities to say “yes we can” with a goal of total customer satisfaction while providing our products and services safely. Corrigan is a fast moving, quickly growing company that empowers our employees to be the best they can be with room for advancement throughout all branches of the organization.

Benefits:
Corrigan Oil offers a comprehensive benefits package to help you stay well, protect yourself and your family, and plan for a secure future. Benefits include:
Medical, Dental & Vision Insurance. Life Insurance. Short-Term Disability coverage
Vacation & Personal Time
401(k) – Company matches 50% up to 5% employee income
Job Overview:
The primary responsibilities of the Project Engineer are to identify and take lead of the project administration from conception to completion. Will need to provide project administration leadership for all phases of the project, including coordinating subcontractors, sub- contracts, submittals, RFI’s, invoices and payments. Manages and/or operates successful business by using good judgment when exercising discretion and independent judgment with regard to significant matters pertaining to business.

Essential Job Functions and Expectations:
Lead and coordinate all phases of construction project activities.
Manage distribution of bid documents, solicit and track bidders, review and evaluate proposals for price/scope accuracy.
Organize and take lead on preconstruction field activities such as job signage, temporary fencing, job-specific safety manuals, office trailer procurement, tool management etc.
Oversee the RFI & Submittal process.
Collaborate with subcontractors, engineers, architects and other key team members of the project team.
Ensure company procedures are implemented - filing system, start-up documents, closeout documents, etc..

Qualifications/Experience/Education:
3+ years’ experience in Construction Management.

#INDAOJ

2bMhibkODC"
2,Mid/Senior Civil Engineer,"Edgewater Federal Solutions, Inc.","Golden, CO 80401",Onsite,Full-time,Full-time,"Overview:
Edgewater Federal Solutions is seeking a Mid/Senior Civil Engineer to support the National Renewable Energy Laboratory in GOlden, CO.

As a Mid-Level to Senior Level Professional Engineer, you will support scope definition and the preparation and review of subcontract statements of work, cost estimating, and preparation of internal drawings, specifications, and calculations. This position shall function as the Subject Mater Expert (SME) for civil/structural engineering.

Local candidates are strongly preferred but remote candidates may be considered.
Responsibilities:
Prepare internal construction drawings, specifications, calculations and project cost estimates for design and construction projects to comply with user needs, NREL Design Guidelines, codes and best practices.
Assist Project Managers with scope definition and statement of work for civil/structural construction projects.
Develop independent cost estimates, review external and internal project drawings, specifications, and calculations at the 50%, 90% and 100% progress intervals.
Review RFIs, ASIs, shop drawings, product submittals and coordination drawings.
Attend construction meetings, site observations and final punch walks to provide technical guidance.
Attend stakeholder meetings to assist researchers with defining project scope and budget for future project requests.
Evaluate current infrastructure capacity to determine and establish future expansion capabilities and needs.
Serve as a subject matter expert (SME) in civil engineering with structural engineering experience.
Function as the Civil Engineering SME for the MS4 Permit, Traffic and Safety, Site Bridge and Tunnel Program, Utility Locates Verification, and Site Condition Assessment for the STM and Flatirons Campus.
Lead the process for regular updates to the PMEC Design Guidelines, Master Construction Specifications, and engineering best practices for area of SME.
Coordinate with the Site Ops Facility Managers and Site Ops Project Team leads to get deficiencies defined as maintenance or projects and then define further as either the GPMR and/or Small Works backlog project list so they can be prioritized and scheduled as funds are available.
Prepare scope and estimates for any noted deficiencies to aid in the planning, prioritization, and scheduling of the work.
Lead engineering team to evaluate current infrastructure capacity to determine and establish future expansion capabilities and needs.
Assist Environmental, Safety, Health and Quality (ESH&Q), Facility Managers, and other personnel with the development of lab level procedures and hazard assessments where needed.
Qualifications:
BS Civil Engineering, Professional Engineer registered in Colorado (or ability to obtain within a reasonable time frame).
About Us:
Edgewater Federal Solutions is a privately held government contracting firm located in Frederick, MD. The company was founded in 2002 with the vision of being highly recognized and admired for supporting customer missions through employee empowerment, exceptional services and timely delivery. Edgewater Federal Solutions is ISO 9001, 20000-1, 270001 certified, appraised at CMMI Level 3 Maturity for Development and Services, and has been named in the Top Workplaces in the Greater Washington Area Small Companies for 2018 through 2022.

It has been and continues to be the policy of Edgewater Federal Solutions to provide equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, marital status, veteran status, and/or other statuses protected by applicable law."
3,Assistant or Associate Civil Engineer,,"Citrus Heights, CA",Onsite,"$102,814 - $159,598 ",r - Full-time,"Details
Posted: 06-Mar-23
Location: Citrus Heights, California
Type: Full Time
Salary: $102,814.40 to $159,598.40
Categories:
Civil - Water / Wastewater
Civil Engineering
Years of Experience:
2 - 4
Required Education:
4 Year Degree
Citrus Heights Water District

Assistant or Associate Civil Engineer
Annual salary range: $102,814.40 to $159,598.40
CHWD offers a comprehensive and attractive benefits package.
Final filing date: Friday, March 31, 2023.

Citrus Heights Water District (CHWD) is seeking two professional engineers to assist with water main evaluation, design, and inspection in addition to other special projects. CHWD will place the qualified candidate in either the Assistant Civil Engineer or Associate Civil Engineer classification dependent upon the applicant’s qualifications.

The ideal candidate has specialized civil/environmental engineering experience in water, experience working on multidisciplinary teams, excellent project management and technical abilities, and government agency or public sector knowledge. The selected candidate has the ability to problem solve to resolve project related issues, and the ability to identify alternative solutions. It is also essential that the candidate have strong oral and written communication skills, as well as customer service and collaboration skills to effectively communicate and coordinate with internal and external clients in this role. The engineer will also be familiar with pertinent local and state laws governing the water industry.

Citrus Heights Water District was founded in 1920, operating under the State of California Water Code. CHWD provides drinking water to an estimated service area population of 70,000 customers through more than 20,000 water service connections. CHWD has 38 full-time dedicated employees to operate and maintain its water system. The 2023 CHWD annual operating budget is approximately $16 million, and its 2023 Capital Improvement Budget is $8.23 million.

The salary for Assistant Engineer ranges from $102,814.40 to $138,819.20 annually.
The salary for Associate Engineer ranges from $118,227.20 to $159,598.40 annually.

To be considered for this exciting and rewarding career opportunity, please submit your application, résumé, and cover letter at: https://www.governmentjobs.com/careers/CPSHRRS/jobs/3911518-0/civil-engineer

For additional information contact:

Debbie Gutman
CPS HR Consulting
916-471-3364
dgutman@cpshr.us

To view an online brochure for this position visit: https://online.flipbuilder.com/kper/bodq
Citrus Heights Water District website: https://chwd.org

The Citrus Heights Water District is an equal opportunity employer."
4,Field Project Engineer-Heavy Civil,"Jay-Reese Contractors, Inc.","Austin, TX",Onsite,Full-time,Full-time,"Jay-Reese has an opening for a Field Project Engineer, assisting project superintendents and project managers through the challenges of constructing today’s complex projects. We are a HEAVY CIVIL contractor. Some of the duties project engineers assist with include generating schedules, material/sub-contractor coordinating, and submitting project documentation to Jay-Reese management and project owners. Project engineers also have the opportunity to assist in estimating future projects. In our firm, it is possible to be involved in all operations of a contracting construction company.
We are an Equal Opportunity Employer
Job Type: Full-time
Experience:
Project Engineer: 3 years (Required)
Education:
Bachelor's (Required)"
5,Civil Engineer Trainee,Commonwealth of PA,"Venango County, PA",Onsite,"$60,558 - $72,176 ",r - Full-time,"THE POSITION
This position will prepare for a Civil Engineer position by completing a 12-month Civil Engineering training program. The work performed during this training period will develop practical proficiency in the use of engineering knowledge, skills and abilities in a bridge engineering, transportation engineering and or soils engineering environment. After the 12 month training program this position will serve as the Assistant Geo Technical Engineer.

DESCRIPTION OF WORK
An employee in this class performs a variety of duties designed to develop technical skills and proficiency in the field of civil engineering, such as: surveying; drafting and designing; construction and materials inspections; traffic control and traffic planning and various maintenance operations. Serves as a member of a survey party to learn and perform a variety of duties in conjunction with preliminary, construction, and final surveys; receives instructions in the use of all surveying instruments, in reading plans and blueprints, and in the principles of surveying.

Participates in the preparation of construction plans for roads, bridges and other engineering structures by plotting alignments, profiles, topography, depicting terrain and its effect on structural support or performing miscellaneous other drafting and detailing assignments; prepares plans for piles, footings, foundations, and other steel and concrete members necessary to support the structural design, computes or checks computations for design geometric or pre-construction estimates of project material quantities. Inspects construction materials and workmanship on routine phases of construction projects to assure adherence to specifications and standards.

Interested in learning more? Additional details regarding this position can be found in the position description.

Work Schedule and Additional Information:

Full-time employment.
Work hours are 7:30 AM to 3:30 PM, Monday - Friday, with a 30-minute lunch.
Telework: You may have the opportunity to work from home (telework) Adhoc. In order to telework, you must have a securely configured high-speed internet connection. If you are unable to telework, you will have the option to report to the headquarters office in Oil City, PA.
Salary: In some cases, the starting salary may be non-negotiable.
You will receive further communication regarding this position via email. Check your email, including spam/junk folders, for these notices.

REQUIRED EXPERIENCE, TRAINING & ELIGIBILITY
QUALIFICATIONS

You must have successfully examined and have a current score on file. If you have not already done so, you must first apply to the CIVIL ENGINEER TRAINEE (ONLINE EXAM) posting and follow the directions provided.
PA residency requirement is currently waived for this title.
You must be able to perform essential job functions.
Veterans:
Pennsylvania law (51 Pa. C.S. §7103) provides employment preference for qualified veterans for appointment to many state and local government jobs. To learn more about employment preferences for veterans, go to www.employment.pa.gov/Additional%20Info/Pages/default.aspx and click the Veterans’ Preference tab or contact us at ra-cs-vetpreference@pa.gov.
Telecommunications Relay Service (TRS):
711 (hearing and speech disabilities or other individuals).
If you are contacted for an interview and need accommodations due to a disability, please discuss your request for accommodations with the interviewer in advance of your interview date.

The Commonwealth is an equal employment opportunity employer and is committed to a diverse workforce. The Commonwealth values inclusion as we seek to recruit, develop, and retain the most qualified people to serve the citizens of Pennsylvania. The Commonwealth does not discriminate on the basis of race, color, religious creed, ancestry, union membership, age, gender, sexual orientation, gender identity or expression, national origin, AIDS or HIV status, disability, or any other categories protected by applicable federal or state law. All diverse candidates are encouraged to apply.

Learn more about our Total Rewards by watching this short video!
Health & Wellness
We offer multiple health plans so our employees can choose what works best for themselves and their families. Our comprehensive benefits package includes health coverage, vision, dental, and wellness programs.*

Compensation & Financial Planning
We invest in our employees by providing competitive wages and encouraging financial wellness by offering multiple ways to save money and ensure peace of mind including multiple retirement and investment plan options.

Work/Life Balance
We know there’s more to life than just work! Our generous paid leave benefits include paid vacation, paid sick leave, six weeks of paid parental leave, military leave, and paid time off for most major U.S. holidays, as well as flexible work schedules and work-from-home opportunities.*

Values and Culture
We believe in the work we do and provide continual opportunities for our employees to grow and contribute to the greater good. As one of the largest employers in the state, we provide opportunities for internal mobility, professional development, and the opportunity to give back by participating in workplace charitable giving.

Employee Perks
Sometimes, it is the little “extras” that make a big difference. Our employees receive special employee-only discounts and rates on a variety of services and memberships.

For more information on all of these Total Rewards benefits, please visit www.employment.pa.gov and click on the benefits box.

Eligibility rules apply."
6,Entry Level Civil Engineer,AECOM,"Oakland, CA 94606",Hybrid remote,"$69,000 - $94,000 ",r,"Company Description

At AECOM, we’re delivering a better world.

We believe infrastructure creates opportunity for everyone. Whether it’s improving your commute, keeping the lights on, providing access to clean water or transforming skylines, our work helps people and communities thrive.

Our clients trust us to bring together the best people, ideas, technical expertise and digital solutions to our work in transportation, buildings, water, the environment and new energy. We’re one global team – 50,000 strong – driven by a common purpose to deliver a better world.

Here, you will have freedom to grow in a world of opportunity.

We will give you the flexibility you need to do your best work with hybrid work options. Whether you’re working from an AECOM office, remote location or at a client site, you will be working in a dynamic environment where your integrity, entrepreneurial spirit and pioneering mindset are championed.

You will help us foster a culture of equity, diversity and inclusion – a safe and respectful workplace, where we invite everyone to bring their whole selves to work using their unique talents, backgrounds and expertise to create transformational outcomes for our clients.

We will encourage you to grow and develop your career with us through our technical and professional development programs and diverse career opportunities. We believe in leadership at all levels. No matter where you sit in the organization you can make a lasting impact on the projects you work on, the teams and committees you join and our business.

We offer competitive pay and benefits, well-being programs to support you and your family, and the development resources you need to advance your career.

When you join us, you will connect and collaborate with a global network of experts – planners, designers, engineers, scientists, consultants, program and construction managers – leading the change toward a more sustainable and equitable future. Join us and let’s get started.

Job Description

AECOM is seeking a Civil Engineer to be based in Oakland, CA

_This position is expected to begin in May 2023._

The responsibilities of this position include, but are not limited to:

+ Builds analytic and design skills.

+ Conducts engineering design under the supervision of an

+ experienced engineer.

+ Creates designs, calculations, sketches, diagrams, schematic drawings, and final working drawings under the supervision of an experienced engineer.

+ Collects and analyzes data under the supervision of an experienced engineer.

+ Uses computer software as a tool for solving basic engineering problems.

+ Performs work in accordance with agreed upon budget and schedule under supervision.

Qualifications

Minimum Requirements:
+ Bachelor’s degree in Civil Engineering

Preferred Qualifications:
+ Engineer in Training License preferred

+ Knowledge of industry standard computer software for the position (examples include software such as Microsoft Office, CADD, HCS, AutoCAD, MicroStation, GIS)

+ Previous internship/ civil design

Additional Information

+ Relocation is not available for this position.

+ Sponsorship is not available for this position.

+ Exempt Position The hourly/salary range for this position is $69,000 - $94,000

+ All your information will be kept confidential according to EEO guidelines.

With infrastructure investment accelerating worldwide, our services are in great demand, and there’s never been a better time to be at AECOM! Join us, and you’ll get all the benefits of being a part of a global, publicly traded firm – access to industry-leading technology and thinking and transformational work with big impact and work flexibility.

AECOM provides a wide array of compensation and benefits programs to meet the diverse needs of our employees and their families. We also provide a robust global well-being program. We’re the world’s trusted global infrastructure firm, and we’re in this together – your growth and success are ours too.

As an Equal Opportunity Employer, we believe in each person’s potential, and we’ll help you reach yours.

Join us and let’s get started.

ReqID: J10082257

Business Line: B&P - Buildings & Places

Business Group: DCS

Strategic Business Unit: West

Career Area: Engineering

Work Location Model: On-Site"
7,Project Manager Civil Engineering,RoadSafe Traffic Systems,"Woodridge, IL",Onsite,"$75,000 - $100,000 ",r - Full-time,"JOB PURPOSE STATEMENT:
A Project manager is responsible for managing a particular project from award of contract to final payment. The project manager will be responsible for executing the most safe and efficient fabrication and installation of the project using the plans and specifications available. The project manager will have complete P & L responsibility for his/her project.
REPORTING STRUCTURE:
Project managers will report directly to the Construction Operations Manager.
EXTERNAL RELATIONSHIPS:
General Contractors, Architects and Designers, owners, public agencies (Departments of Transportation, Departments of Public Works, Cities, Towns, Villages, etc.), material vendors, other divisional departments, general public
JOB FUNCTIONS:
(Essential)
Material and subcontractor purchasing
Scheduling installation crews and equipment
Coordinating and scheduling work with the project owner or GC
Producing and submitting required shop drawings and submittals
Complete production tickets for signs to be manufactured
Schedule material deliveries
Perform site visits to monitor safety, attend progress meetings, monitor production, solve installation problems, inspect changed conditions, obtain field measurements, etc.
Track quantities and reconcile with Resident Engineer (RE) / Owner
Initiate monthly invoices via accounts receivable person(s)
Monitor job costs vs. estimated costs
Monitor actual payments by owner / GC
Reconciliation of final quantities with RE or GC
Obtain final payment and final release of retained monies from Owner / GC
Prepare and submit required project closeout documentation (as-built drawings, O & M manuals, Warranty letters, etc.)
(Marginal)
Obtain plans and specifications from various contractors and owners
Assist with project estimates, including delivering a bid to owner
Deliver tools, equipment, documents to jobsite
This description should not be construed to contain every function/responsibility that may be required to be performed by an incumbent to this job. Incumbents are required to perform other related functions as assigned.
JOB QUALIFICATIONS AND REQUIREMENTS:
PHYSICAL AND VISUAL ACTIVITIES:
Standing, sitting, walking, climbing, carrying, talking, hearing, visual activity (far and near), key punching, driving
PHYSICAL DEMANDS:
Lifting up to 50 lbs., driving up to 300 miles, climbing ladders and scaffolds, sitting or standing for up to 4 hours at a time.
ENVIRONMENTAL / ATMOSPHERIC CONDITIONS:
Usual office environmental conditions, typical construction environmental conditions, highway work zone conditions
Knowledge:
4 Year degree in Civil Engineering, construction management, construction technology, engineering technology, or minimum 5 years experience in heavy/highway construction industry. Must be able to read, interpret, and understand construction plans and specifications.
Experience:
It should take the average person with the knowledge required up to 6 months to learn and perform the functions of the job at a fully functioning level of proficiency. Individual should have experience with Illinois DOT, Illinois Tollway, Chicago DOT, City of Chicago Agencies, Chicago Transit Authority or other DOT agencies.
Software, Equipment:
Microsoft Office, Foundations Accounting Software
Licenses / Certifications:
None
Other:
Must be able to perform under pressure situations, have the ability to meet deadlines, willingness to perform fast-paced, high volume work. Some overnight travel could be required. This is a salaried position.
We are an Equal Employment Opportunity Employer Minority/Female/Disability/Veteran
ABOUT THE ORGANIZATION:
RoadSafe Traffic Systems ('RoadSafe') is the largest provider of traffic control and pavement marking services in the United States. Our national network of 50 branches supports government, private, special event, utility and railroad projects in over 40 states. Expert knowledge of traffic control and roadway striping coupled with a unique ability to quickly mobilize our extensive fleet, state-of-the art equipment and trained technicians allows RoadSafe to safely provide quality, value, and peace of mind to our customers nationwide. RoadSafe enjoys exclusive contract agreements with some of the United States' biggest industrial companies and contractors. Known for our sophistication and professionalism, RoadSafe is called upon to handle the biggest and best projects in our industry.
At RoadSafe, we offer a competitive pay, growth potential and an excellent benefits package for those who qualify including medical, dental, vision, and 401(k) plans. RoadSafe recognizes and values diversity.
EOE STATEMENT:
We are an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law.
Job Type: Full-time
Pay: $75,000.00 - $100,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Supplemental pay types:
Signing bonus
Ability to commute/relocate:
Woodridge, IL: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Preferred if you have heavy highway construction experience.
Experience:
Project management: 4 years (Preferred)
Work Location: In person

Health insurance"
8,Civil Engineer – Client and Project Manager,Eriksson Engineering Associates,"229 East Wisconsin Avenue, Milwaukee, WI 53202",Onsite,"$120,000 - $130,000 ",r - Full-time,"At Eriksson Engineering Associates, we believe civil engineering is about people, site functionality at its best, long-term solutions, cost savings, and meeting deadlines. As a top civil engineering firm in the Midwest, our smaller firm provides site solutions to clients in many industries through civil engineering, traffic and parking studies, site development, and landscape architecture design and planning services. Our team is made up of innovators who enjoy collaborating and bringing their unique perspectives to the table to ensure our clients receive the support and attention they deserve.
We are seeking to hire a Civil Engineer – Client and Project Manager to secure new business and oversee projects for the Milwaukee-based team.
Job Overview
The Civil Engineer – Client and Project Manager is a doer/seller role that is responsible for driving revenue through sales activities and overseeing the execution of projects through high-level project management. The ideal candidate is a licensed civil engineer and is looking for an opportunity where they can spend more time communicating with clients and building relationships throughout the community. To succeed in the role, you must have hands-on experience designing civil engineering or similar project, enjoy connecting with new people, and deeply understand the Wisconsin community regarding development wants and needs.
This position is for you if you want to work for a firm that is committed to you and your career success, can connect with the movers and shakers in the local community, and have experience designing and leading projects where the main goal is to ensure the client’s expectations are understood and achieved. You are a go-getter who wants to open doors and close deals and likes to be on the leading edge while valuing collaboration and the client.
Job Details
Leads sales activities by identifying new project opportunities
Leads new business development and project design conversations with key decision-makers
Communicates directly with clients throughout the sales, project design, and project execution process
Gets hands-on with the project planning and prepares statements of qualifications and proposals
Ensures drawings and specifications meet client’s expectations
Acts as the Project Manager on sold projects and manages the job’s assigned engineers
Assembles team of civil engineers and sub-consultants for project assignments
Communicates project schedule and client expectations to the design team
Interacts with design team members and participates in coordination meetings
Builds and strengthens relationships with industry connections
Participates in networking events to identify new contacts and enhance existing relationships
Actively participates in internal business development discussions
Manages monthly budget and reviews invoices for managed projects
Monitors account receivables for assigned projects and assists accounting staff with collections
Performs other duties as assigned
Requirements
Licensed, Civil Engineer (Required)
Knowledge of the Wisconsin market
Project Management experience (Preferred)
Experience working directly with potential and existing clients (Required)
A strong desire to network and meet new people (Required)
People leadership experience (Preferred)
Full-time position
The ability to work in the Milwaukee office
The ability to travel to the Grayslake, IL office for staff meetings
The ability to attend networking events both during and after normal business hours
The ability to occasionally travel to client offices and project locations during business hours
Benefits
Health Insurance
Dental Insurance
Vision Insurance
Paid Time Off
Paid Holidays
401k
Short- and Long-Term Disability
Yearly discretionary bonus
Professional development and training
Business development bonus opportunities
Job Type: Full-time
Pay: $120,000.00 - $130,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Professional development assistance
Vision insurance
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
Work Location: In person

Health insurance"
9,Junior Civil Engineer,HEB ENGINEERS,"2605 White Mountain Hwy, Conway, NH 03860",Onsite,Full-time,Full-time,"JUNIOR CIVIL ENGINEER
HEB Engineers is currently seeking a highly motivated professional to join our team as a full-time
Junior Civil Engineer. This position will work with Senior Engineers as part of the design team for
various projects including roadways, municipal infrastructure, commercial development, and
residential development. HEB offers employee ownership and fulfilling work opportunities in our
growing firm with flexible work schedules and settings. Our generous benefits package includes
health insurance, 401k, profit sharing, volunteer time off, and paid time off.
Experience: 0 – 2 years of experience in civil engineering.
Education: BS or MS in Civil Engineering required.
Licensure: EIT required.
Software: Proficiency with Microsoft Office; advanced knowledge of AutoCAD required; AutoCAD
Civil 3D, MicroStation, and HydroCAD experience is a plus.
Requirements:
» Ability to work on multiple projects simultaneously in a fast-paced environment; interact
effectively with team members, clients, and the public.
» Perform design calculations and contribute to reports, plans, estimates, and specifications for
civil projects as directed by Project Managers.
» Knowledge of site development, roadway design, and drainage analysis preferred.
» Previous experience with NHDOT and/or MEDOT is a plus.
» Active participation in professional organization(s) is preferred.
Responsibilities Include:
» Prepare calculations, plans, schedules, conduct or coordinate simple phases of engineering
work as directed.
» Resolve conflicting design requirements and coordination requirements under the direction of
a Senior Engineer.
» Review technical content of all work performed under direct supervision.
» Independently perform assignments with instruction of specific expected results.
» Coordinate design work with CADD Technician, if applicable.
» Prepare opinions of probable cost and reports under the guidance of a Senior Engineer.
» Perform construction observation and administration tasks as assigned by a Senior Engineer.
Please send a letter of interest and resume to jgagne@hebengineers.com.

For more information about HEB, visit www.hebengineers.com.

HEB Engineers, Inc. • www.hebengineers.com
New Hampshire: Office (603) 356-6936 • Fax (603) 356-7715 • PO Box 440 • 2605 White Mountain Highway • No. Conway, NH 03860
Maine: Office (207) 803-8265 • PO Box 343 • 103 Main Street • Suite 6 • Bridgton, ME 04009"
