,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Project Manager,Proctor Construction Company LLC,"Vero Beach, FL",Onsite,N,NaN,"Position Summary
Participate in project estimates, set up budgets, the construction timetable and develop the construction strategy to deliver the project on time and on budget.
Participate in the selection of the subcontractors and workers, provide required explanations for the builders and other professionals associated with the project.
Coordinate and collaborate with the architects, engineers and other design professionals.
Ensures the construction project complies with all building codes and any other legal or regulatory requirements.
When delays or problems occur – as they always do – the Project Manager is the project s first responder, ready to make the changes required to move the project past the issues.
Assist Senior Management in Project personnel administration, evaluation and development.
Organize and plan job.
Buy-Out Project (issue Subcontracts and Blanket Purchase Orders).
Maintain Change Request Log & Control Changes.
Formal correspondence with Owner & Architect.
Make or force required decisions to assure that major objectives are met.
Assist Superintendent to attain job goals.
Monitor cost and perform projections.
Monitor and assist Project Engineer on material expediting.
Maintain Project files.
Monitor and assist Project Engineer in preparation of close-out documents.
Monitor and assist Project Engineer with Shop Drawing approval.
Prepare breakdowns for payment and payment requests."
1,Construction Project Manager,"All State Construction, Inc.","Farmington, CT 06032",Onsite,"$90,000 - $130,000 ",r - Full-time,"Construction Project Manager
All State Construction, Inc., one of the leading General/Mechanical/Civil Contractors in the Northeast, is seeking an experienced, team player to work with our Project Management Department. Must be a self-starter, understand deadlines and have excellent communication skills.
Reports To: Director of Project Management
Position Summary: The incumbent is responsible for overall project planning and scheduling, resource allocation, project accounting, and control, while providing technical direction and ensuring compliance with quality standards. The Project Manager will be accountable for all the areas of project management such as - Project Planning, Document Management, Cost Management, Time Management, Quality Management, Contract Administration, and Safety Management.
Position Responsibilities:
Chart out project objectives and plans, set performance requirements and work with functional manager to select project participants.
Thorough understanding of project plans, specifications and contract scope of work.
Work with project team to optimize utilization of project resources – labor, material and equipment.
Develop effective communications and mechanisms for resolving conflict among various participants.
Oversee the construction project from start to finish.
Manage project documentation – submittals, RFI’s, meeting minutes, etc.
Project accounting functions including managing the budget, track costs and minimize exposure and risk in the project.
Negotiate, issue subcontract/PO’s and procure all project materials and subcontractors.
Timely and accurately complete all financial reports – internal budgets, cost to complete, billings, collections, change order preparation and resolution, etc.
Create, implement and manage project schedule with project team.
Communicate with vendors and contractors responsible for completing various phases of the project.
Coordinate the efforts of all parties involved in the project which include owner, design consultants, contractors, subcontractors and All State labor.
Hold, manage and document regular project meetings.
Maintain strict adherence to All State Safety Standards.
Perform periodic inspection of construction sites.
Identify elements of project likely to give rise to disputes and claims. Clearly document as needed.
Maintain client relationships reinforcing All State’s commitment to continually addressing their needs and interests.
Promote positive vendor and subcontractor relations by dealing professionally and fairly with all vendors and subcontractors installing the philosophy of project team at all times.
Demonstrate effective relationship building with the project team, the group and throughout All State. Keep field team members (i.e. Superintendents) informed and active in decision making.
Actively promote All State’s work for new business.
Support estimating staff as needed.
Knowledge and Skills Required:
A degree in construction management or engineering is preferred.
Excellent communication skills.
Excellent computer skills.
BENEFITS OFFERED:
PTO Days
Holidays
Medical, Dental and Vision Insurance
Health Savings Accounts
Life Insurance/Supplemental Life Insurance/Dependent Life Insurance
Short Term & Long Term Disability Insurance
401K Retirement Plan
Employee Referral Bonus Program
Management Development Programs
Job Type: Full-time
Pay: $90,000.00 - $130,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Referral program
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Experience:
Construction management: 2 years (Required)
Work Location: In person

Health insurance"
2,Telecom Construction manager,Mastech Digital,"Irving, TX 75038",Onsite,$42 - $47 ,ct,"JOB DUTIES:
Coordination and completion of cell site modification projects within stated timelines. The Engineer will perform work and/or direct, monitor, and report on the progress of third party vendors in performing site inspections, file audits, structural analysis, design and construction drawings, , and state/local governmental permitting. Types of projects may include antenna & RRH change/add; microwave change/add; generator change/add; shelter upgrades, HVAC upgrades; fiber upgrades, and other miscellaneous modifications at existing macro and small cell sites.
Work independently and effectively organize and prioritize multiple competing projects.
Populate and maintain project tracking databases; draft correspondence and business case justifications; complete project-related or site-related forms; and manage site documentation and record keeping.
Select and manage third party vendors.
Provide financial management of projects from initial quote through receipt of final services.
Collaborate with other internal departments including RF Engineering, Construction, Transport, Project Management, Network Assurance, Regulatory,
Interface with landlords and governmental agencies.
Demonstrate professionalism by promptly responding to e-mails and phone calls, actively participating in meetings, clearly explaining issues, providing updates, and maintaining records.
Interpret and understand policies and procedures and effectively communicate them to third party vendors.
Job Types: Full-time, Contract
Salary: $42.00 - $47.00 per hour
Work Location: One location"
3,Co-Manager of Construction,Cook Out Restaurants,"Greensboro, NC 27407",Onsite,"$75,000 - $100,000 ",r - Full-time,"Our growing organization is seeking an accomplished Construction Manager to join our team and take an active role in guiding jobs and project teams in each construction phase. This position provides an excellent opportunity for career growth, as well as a competitive salary and benefits package.
Candidate Qualifications:
Qualified candidates develop and maintain ongoing contractor and vendor relationships at the appropriate level as well as review contractor and vendor invoices throughout the entire construction project for approval or negotiation for necessary changes. Candidates will possess adequate knowledge of building codes and construction means and methods and ensure strict adherence to compliance requirements.
Education and Experience:
Minimum three years experience as superintendent or project manager of quick service or single tenant retailers consisting of free standing commercial lots on average lot sizes of 0.75 to 1.25 acres.
Benefits:
Medical Insurance
Dental Insurance
Vision Insurance
401(k) program
Paid Time Off
Location:
Qualified candidates live in one of the flowing metro areas: Charlotte NC, Raleigh NC, Greensboro NC, Columbia SC, Greenville SC, Charleston SC
Contact:
Please call (336) 215-7025, (336) 669-5854, or (770) 403-6866 with any questions.
Job Type: Full-time
Pay: $75,000.00 - $100,000.00 per year
Benefits:
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Weekend availability
Supplemental pay types:
Bonus pay
Experience:
Project management: 3 years (Preferred)
Work Location: In person

Health insurance"
4,Construction Manager - Project Officer,"Haydan Consultants, Inc.","Long Island City, NY",Onsite,"$90,000 - $110,000 ",r - Full-time,"Project Officer – “Construction Manager”
Summary of Position:
Ø Oversee, as the School Construction Authority's on-site representative, various construction projects in various stages of development.
Responsibilities:
Ø Provide the administration and coordination of activities for the design and construction of the more complex and/or highly visible construction and modernization projects under the guidance of a senior level SCA Project Officer.
Ø Ensure the quality and high standards of performance and compliance in both design and construction by all consultants, vendors, etc.
Ø Make decisions and take action in a timely manner to expedite the timely completion of the construction process.
Ø Correct mistakes and errors in design and construction before they can be extensively incorporated into the project or as early in the construction process as possible.
Ø Responsibilities are varied and include coordinative problem solving and managerial functions of these projects.
Duties:
Ø Make decisions on phasing and scheduling of projects. Prepare and/or ensure preparation of schedules for planning, design and construction. Monitor schedules and take appropriate actions to ensure that project is completed on schedule and within approved cost limitations.
Ø Provide ongoing interface with contractors, construction managers, local school personnel and Senior Project Officers on project issues; routinely interact with SCA senior managers on such matters.
Ø Participate in the development and issuance of project procedures and policies; review and make recommendations on SCA-wide procedures and policies.
Ø Provide guidance and advice to lower level Project Officers.
Ø Resolve issues and problems raised in field reports made by architects and construction management staff.
Ø Work with architect/engineer of record regarding change orders, interpretation of contract documents, shop drawing submittals/approvals and other technical matters as required to ensure a structurally sound, code compliant and aesthetic facility.
Ø Issue field memoranda or directives to contractors to enforce contract compliance. Advise senior management regarding the necessity for the assessment of liquidated damages and other contractual enforcement mechanisms, including default.
Ø Use independent judgment to make on-site change order decisions and have the authority to negotiate with contractors and commit the SCA's resources on such change orders
Ø Review contractors claims or disputed work and advise senior management as to appropriate action. Compile contract and project documentation necessary for adjudicating or denying such claims.
Ø Visit various job sites as required in the performance of the above duties.
Job Type: Full-time
Pay: $90,000.00 - $110,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Supplemental pay types:
Bonus pay
Education:
Bachelor's (Required)
Work Location: One location

Health insurance"
5,Director Construction,Howard Hughes,"New York, NY",Onsite,"$200,000 - $300,000 ",r - Full-time,"The Howard Hughes name is synonymous with an unrelenting passion for excellence. While his achievements in aviation and the silver screen are legendary, it was his investments in real estate that form the foundation of our company. With passion, determination and limitless imagination, he built one of the great American empires of the 20th century. At Howard Hughes, we live by our purpose to help people discover new ways of experiencing life - because it’s not just buildings and places that matter, it’s what you do with them that can change the way people live.
We aspire to be the most creatively driven real estate company in the world and we believe in fostering a culture that is built to last by cultivating curiosity and empowering every employee to find their story in this great organization.
POSITION SUMMARY:
As a Director of Construction you will be responsible for the day to day management of commercial projects including (but not limited to):, office, retail, and hospitality. This position is based in the New York Region which supports The Seaport. The job will entail working directly with the development and operations team to deliver projects from design and construction through the transition to operations. Direct communication with various departments within the organization as well as outside vendors is essential to manage the projects and to report on the status. Compensation: $200K-$300K.
ESSENTIAL JOB RESPONSIBILITIES:
Interface directly with the team to deliver construction projects on time and under budget.
Must possess the ability to work and communicate effectively with multiple departments and internal shared services throughout the project life cycle including but not limited to: accounting, legal, risk management, marketing, operations etc.
Provide project estimating expertise and pre-construction services for the development of project proformas.
Descope, onboard, and manage the general contractor and other required contractors and consultants.
Review payment applications from contractors and consultants and track lien waivers.
Review and evaluate construction change orders for validity and accuracy.
Attend Owner, Architect, and Contractor meetings and represent the Owner.
Perform on-site project inspections and liaison with construction lending representatives.
Coordinate and manage the design team through the Construction Administration phase.
Produce and present project status reports to key stakeholders.
Manage all aspects of project buyout and procurement, including negotiating contracts and vendor agreements.
KNOWLEDGE, EXPERIENCE AND SKILLS:
Bachelor degree in architecture, construction management, or engineering.
10+ Years of project management experience with an architecture, construction, or engineering firm.
Experience with restaurant build outs is a required
Ability to work under time constraints and deadlines.
Must be a Self-starter and effectively work under minimal supervision.
Strong attention to detail.
Experience in resolving construction deficiencies and issues as well as dispute resolution is required.
Working knowledge Microsoft Office applications.
Working knowledge of critical path construction scheduling.
Exposure to SalesForce and Coupa is a plus.
NOTICE TO THIRD PARTY AGENCIES
Please note that The Howard Hughes Corporation does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Recruitment Fee Agreement, HHC will not consider or agree to payment of any referral compensation or recruiter fee. In the event a recruiter or agency submits a resume or candidate without a previously signed agreement, HHC explicitly reserves the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of The Howard Hughes Corporation."
6,Construction Assistant Project Manager,Quality Controlled Concrete,"High Point, NC 27260",Onsite,"From $60,000 ",r - Full-time,"Construction Assistant Project Manager
Full Time
Monday- Friday 8:00 am to 5:00 pm
Assist in Estimating Projects
Assist in creating project folders and manuals
Job materials procurement and detailing.
Assist in managing multiple projects at a time.
Meet with customers and suppliers when neccessary.
Print plans.
Review Subcontracts with Project Manager
Prepare Bid Documents
Assist with coordination of customer changes and requests.
Organize and oversee change orders.
Assist with billing customers.
Construction Experience Required*
Great telephone skills.
People skills needed.
Computer Skills Needed- Excel and Word
Strong Math Skills (Arithmetic & Geometry a must)
*Starting Pay depends on Experience*
Health/Dental/Vision Insurance after 90 Days of Employment
401K after 90 Days of Employment
Please email all questions, no phone calls please.
Job Type: Full-time
Pay: From $60,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
No nights
No weekends
Work Location: One location

Health insurance"
7,Construction Director,Mon Ami Realty,"Chicago, IL",Onsite,"$100,000 - $120,000 ",r - Full-time,"Who We Are
Mon Ami Realty is one of the fastest growing, most dynamic real estate companies in the country with a rapidly growing, diverse portfolio of over 250 commercial and residential properties spanning 19 States. With offices in Chicago and Los Angeles, Mon Ami consistently identifies unique value opportunities, moving quickly to close transactions, and creating value in its acquired properties to generate top-tier returns for its investors and team. Mon Ami has grown at a compound annual growth rate in excess of 50% for the last several years and will continue to accelerate. Mon Ami Realty also has burgeoning real estate brokerage and property management businesses primarily focused on properties owned by its affiliates.
Duties/Responsibilities:
Selects, contracts, and oversees contractors for specific needs such as painting or plumbing.
Supervises each contractor and subcontractor to ensure that work meets quality standards and adheres to specifications.
Provides leadership in the initial planning stage by collaborating with clients, architects, engineers, or other involved parties; develops detailed description of jobs and materials necessary to complete the project.
Schedules and coordinates projects in logical steps and budgets the time necessary to meet each deadline.
Prepares and submits budget estimates and regularly communicates with client concerning budget progress and costs.
Ensures adherence to the budget and, when unexpected complications or issues arise, makes quick and necessary adjustments.
Plans, coordinates, organizes, oversees, and directs activities regarding the construction and maintenance of assigned structures, facilities, and systems.
Ensures safety standards and guidelines are followed on the jobsite and that all safety codes are met in construction.
Oversee contract negotiations, revisions, and additions and adherence by all parties.
Collaborates with clients, supervisory staff, contractors, and design professionals to discuss and resolve problems, including work procedures, complaints, and construction or design issues.
Manages and leads actions that are necessary due to delays, bad weather, or emergencies at construction sites.
Develops and maintains good working relationships with a variety of people, including owners, managers, designers, supervisors, tradespersons, and craft workers.
Utilize Yardi software to manage all assets.
Performs other related duties as assigned.
Required Skills/Abilities:
At least five years of construction experience is required.
Excellent verbal and written communication skills.
Proficient in Yardi and Google Suite or related software.
Thorough understanding of contracts, plans, specifications, and regulations.
Ability to remain flexible and efficient in a fast-paced environment.
Ability to make intelligent and quick decisions, working well under pressure, and when faced with unexpected occurrences or delays.
Ability to effectively multitask while analyzing and solving problems.
Thorough understanding of engineering, architectural, and other construction drawings.
Ability to speak Spanish is preferred.
Physical Requirements:
Must be able to traverse and inspect all areas of jobsite in all types of weather; this may include walking, climbing, reaching, bending, crawling, or stretching.
Must be able to lift up to 50 pounds at a time.
May require travel.
Exposure to characteristic construction site dangers.
Must be on-call to address delays, emergencies, bad weather, and other issues at the jobsite.
Job Type: Full-time
Pay: $100,000.00 - $120,000.00 per year
Benefits:
Dental insurance
Employee discount
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Chicago, IL: Reliably commute or planning to relocate before starting work (Required)
Experience:
Construction: 10 years (Preferred)
Work Location: One location

Health insurance"
8,Construction Manager,Habitat for Humanity,"Bay Saint Louis, MS 39520",Onsite,"$42,000 - $55,000 ",r,"The Construction Manager is responsible for leading all aspects of our critical home repair and new home construction and managing volunteers on work sites. In addition, responsibilities include facility and equipment management, various construction-related activities, and always being a positive representative and advocate for Habitat in our service area. The starting salary is between $42,000 - $55,000, based on experience, and includes health insurance, life insurance, and retirement. Relocation costs may be covered.

Our office is in Bay Saint Louis, MS, one of the coolest beach communities on the Gulf Coast. The people are friendly. The vibe is casual. The water is warm. We are just a short drive away from New Orleans and Gulfport. Foder’s Travel selected us as one of America’s 25 Favorite Beach Towns and USA Today’s Top 10 Best Coastal Small Towns. We are a great place to live, work, play, and serve.

Key Responsibilities:
Work with other staff to review potential projects and assist in project selection.
Create work scopes, material lists, and budgets.
Instruct, lead, and manage volunteers and partner families onsite in various workday construction and repair tasks.
Oversee job site safety to ensure we adhere to best safe construction practices.
Manage Habitat facilities, equipment maintenance, and other minor construction-related issues that come up from time to time.
Stay on top of best practices for outstanding Habitat affiliates in construction, home repair, volunteer management, and other innovations within Habitat.
Ensure that our volunteers have a great experience.
Be an outstanding representative of our mission and organization at all times and in every way.
Work with Habitat staff to ensure an orderly and efficient process for completing projects.
Ensure quality construction and Habitat’s commitment to building energy-efficient, healthy homes and staying current on green and fortified building trends.
Attend regular staff meetings and serve as a vital and contributing member of the affiliate leadership team.
Build relationships with churches, businesses, vendors, community partners, skilled trades, and others to ensure our affiliate is best positioned to advance our mission.

Key Requirements:
This individual should have experience in construction or equivalent education in Construction Management or a related field.
This individual should be an excellent communicator (written and verbal) and capable of working well with people.
A licensed contractor or the ability to obtain a license promptly is required.
Prior Habitat experience is strongly preferred. We will consider Americorp, NCCC, or other nonprofit construction experiences favorably.


To apply for this position, send cover letter and resume to OperationsDirector@habitatbw.org No phone calls, please.




#LI-DNP"
9,Assistant Superintendent - Multifamily Construction,Centurion Selection,"Atlanta, GA 30305",Onsite,"Up to $105,000 ",r - Full-time,"The purpose of this position is to assist in supervising trades on site and ensure their compliance with plans, specs, and safety requirements. The Assistant Superintendent’s duty is to help the Superintendent to achieving maximum production in the most efficient manner.
Job Description:
Reports directly to the Site Senior Superintendent
Assist Superintendent in holding jobsite meetings, scheduling updates, managing subcontractors, walk through with inspectors
Direct and control the project to ensure timelines are met
Cooperate with the owner and representatives as well as architects
Works with subcontractors and scheduling in proper work sequence to complete project within the given budget and time frame
Communicates with supervisor of tools and materials to resolve construction problems and to improve construction methods.
Excellent communication skills and the ability to stay calm under pressure
Ability to walk thru prepare, schedule and supervise punch lists
Promotes jobsite safety and encourages safe work place practices
Maintain good working relationships with inspectors, architects, subcontractors, vendors, and others connected with the jobsite
Successful Applicant will have:
Minimum 3 years’ experience on ground up Multifamily projects as Assistant Superintendent
College degree preferred but not required
Experience in field supervision, scheduling, quality control and production of multi-family projects
Job Type: Full-time
Pay: Up to $105,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Work Location: One location

Health insurance"
