,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Electrical Controls Engineer,Hostess Brands,"1 Hostess Way, Arkadelphia, AR 71923",Onsite,$35 - $42 ,n hour - Full-time,"This is a first shift: 7:00am to 3:00pm
The Electrical Control Engineer will provide automation support to the facility in the electrical, instrumentation and controls disciplines primarily for batch, continuous processes, and packaging systems. The individual will work with electrical and mechanical maintenance, operations, safety, and QA personnel to help deliver the site's business objectives utilizing their technical skills to contribute.
Responsibilities:
Performing Design of Automation control systems, requirements which will include review specifications and standard practices
Install and technical support of PLC based hardware and software
Troubleshoot and eliminate control systems issues and handle controls projects.
Extend start up support and training for control and monitoring systems.
Execute wireless communication systems for manufacturing.
Create system map layouts, sequence of operations, drawing packages, PLC logic, and HMI screens
Assisting in installation oversight
Start-up and Debug machines
Training maintenance and production personnel on the operation of automated equipment. This includes the understanding of troubleshooting via automated HMI’s.
Qualifications:
Associates Degree in Electrical Engineering, or equivalent relevant work experience.
1 – 3 years of industry experience working for a manufacturing company that includes electrical troubleshooting.
Knowledge of System Architecture, including non-standard material, control panel power requirements and/or distribution
Ability to work with Rockwell logic software platforms required.
Capable of reviewing the specifications and standard practices (internal hardwired and logic standards, general specifications, and scope of work)
Robotics experience required
Microsoft Office Suite
Ability to work independently and in a team atmosphere
The employee must have the ability to sit, stand, walk, kneel, squat, bend, reach, push, pull, twist, crawl, climb stairs/ladders, and be able to lift to a maximum of 50 pounds.
Working Conditions:
Manufacturing Environment
About us:
Hostess Brands, LLC, is a large, packaged foods company focused on manufacturing, distributing, and selling iconic sweet baked goods in the United States such as Twinkies, Cupcakes, Ding Dongs, Ho Hos, Donettes and Coffee Cakes, in addition to Voortman's Cookies and Wafers.
We are an equal opportunity/affirmative action employer. We consider candidates regardless of race, color, religion, gender, sexual orientation, gender identity, national origin, disability, or veteran status, and encourage minorities, females, veterans, and individuals with disabilities to apply.
Job Type: Full-time
Pay: $35.00 - $42.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Retirement plan
Vision insurance
Experience level:
3 years
Schedule:
Day shift
Application Question(s):
Do you have experience working with electrical controls?
Experience:
Electrical Controls: 1 year (Preferred)
Manufacturing: 1 year (Preferred)
Work Location: One location

Health insurance"
1,Experienced Electrical Manufacturing Engineer-18551,Waters Corporation,"Waters Corporation in New Castle, DE 19720",Onsite,"From $95,000 ",r - Full-time,"The Electrical Manufacturing Engineer position is responsible for supporting the current line of premier Thermal and Rheological Instrumentation at our New Castle, Delaware, facility. This position is part of a dynamic cross-functional engineering team that investigates defects and drives continuous improvement in our manufacturing processes.
Perks of working for us!
Paid vacation time, paid sick time, and paid holidays
All benefits begin day 1
Tuition reimbursement
Team environment
Competitive pay
Responsibilities
The electrical engineering activities may involve:Theoretical and experimental investigation for failure analysis and qualification of alternate hardware
Technical direction and coordination in manufacturing environment
Conception and planning of resources to support hardware requirements
The analysis, evaluation, and solution of technical problems encountered in the application of manufacturing methods,facilities, processes, materials and tooling incident to the fabrication and assembly of high technology instruments
Responsible for maintaining the design of released products with the goal of continuously improving quality, customer satisfaction,efficiency of production and cost effectiveness
Follows established policies and procedures, performs professional manufacturing engineering assignments requiring full use and application of standard manufacturing principles, theories, concepts and techniques
Analyzes engineering drawings and support documentation for application to project requirements and producibility
Provides imaginative, thorough, and practical solutions to a wide range of technical problems involving conventional utilization of manufacturing engineering techniques
Investigates problems which arise in-house and at suppliers during the fabrication, assembly, and test of instruments and develops,evaluates, and implements solutions
Analyzes problem data for trends to identify and prioritize long term solutions
Qualifications
Minimum of B.S. in Electrical Engineering or closely related field
Minimum of 3 years experience in an engineering role or closely related field
Comprehensive knowledge and demonstrated application of engineering principles, theories, and procedures used for the development and manufacture of analytical instrumentation
Prior experience with analytical instrumentation is a plus
Strong communication skills, including excellent writing and presentation skill
Hands-on problem solver with a passion for continuous improvement of production processes
Job Type: Full-time
Pay: From $95,000.00 per year
Benefits:
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Tuition reimbursement
Vision insurance
Experience level:
3 years
Schedule:
8 hour shift
Monday to Friday
Work setting:
In-person
Ability to commute/relocate:
New Castle, DE 19720: Reliably commute or planning to relocate before starting work (Required)
Work Location: In person

Health insurance"
2,Engineer,"R. R. Cassidy, Inc.","Beaumont, TX",Onsite,Full-time,Full-time,"R. R. Cassidy, a Quanta Services company, is looking for an Engineer to join their Relay Division in Beaumont, Texas. The candidate should have related experience to support substation utility and renewable projects. This position will require travel with some trips potentially lasting several weeks.
Key Responsibilities:
Review project electrical drawings, electrical studies, and relay settings
Responsible for writing test and commissioning procedures and checklists specific to project equipment selection, system design, and contractual technical/performance specifications
Responsible for writing project specific startup/energization procedures and associated safety documents (i.e., site specific LOTO plan)
Visually inspect all project equipment and equipment installations prior to startup to ensure that everything is in alignment with design documentation and there are no quality or safety issues apparent
Review all vendor and subcontractor documentation to ensure that project equipment is properly installed and ready for startup
Recommend additional checks if provided documentation is deemed insufficient
Proactively get involved in bringing equipment and site materials into compliance with project design and ready for startup as needed
Travel to site and direct site technical activities to transition the project safely and efficiently from cold ready state to operational state
Visual inspections and equipment checkouts (including appropriate electrical tests)
Pre-energization safety checks (e.g., testing of electrical protective devices)
Energization and system startup
Functional integration and system tuning
Performance testing
Expected to follow a safety-first mindset and be comfortable stopping work to ensure safety to personnel and property while working on multi-million-dollar projects
May be asked to meet with customers to help plan project activities and ensure compliance customer and regulatory requirements related to system startup and operation
Qualifications:
Bachelor of Science in Electrical Engineering or equivalent
3+ years’ experience in the testing and commissioning of electrical power systems and power system controls
Ability to read and understand electrical single line diagrams, three-line drawings, electrical schematics / wiring diagrams, network diagrams, mechanical arrangement drawings, etc.
Experienced programming and commissioning network connected control systems and devices, particularly for electrical power equipment such as protective relays, RTACs, RTUs, utility scale inverters, other power electronics-based devices
Experienced troubleshooting electrical equipment and controls during startup and post startup
Experienced writing testing and commissioning procedures
Must be familiar with electrical hazards (shock, arc flash) and industry standard safety practices to mitigate these hazards
Comfortable working both in the office environment and in the field
Our company and associated entities are equal opportunity employers. We do not discriminate against employees or applicants for employment on any legally recognized basis or any protected class under federal, state, or local law.
Job Type: Full-time
Benefits:
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Experience level:
3 years
Schedule:
10 hour shift
4x10
Overtime
Experience:
Electrical engineering: 3 years (Preferred)
Willingness to travel:
50% (Required)
Work Location: On the road

Health insurance"
3,Experienced RF Filter Engineer,RF Industries,"Parsippany, NJ 07054",Remote,"$96,000 - $150,000 ",r - Full-time,"Summary:
Our Microlab division (Parsippany, NJ) is looking to further expand its R&D team with an RF Filter Engineer. As the expert in the RF engineering group, the ideal candidate will own all filter designs with cavity strip-line and other topology types.
Essential Functions:
· Design and development of various types of RF Filters/Multiplexers in the frequency range of 134-6000MHz
· Support the entire lifecycle of a product from inception to commercialization.
· Responsible for Filter Unit hardware design and corresponding verifications
· Excellent communication skills with our suppliers and leveraging design experience to ensure the quality.
Qualifications:
· Bachelor of Science in Electrical Engineering or Physics
· Masters Degree or equivalent indudstrial experience in the wireless infrastructure environment is a plus.
· Minimum of 5 years of hands-on RF filter design (Cavity filter/dielectric resonator filter or other comparable RF filters).
· Experience in lumped element and transmission line design.
· Strong RF background with solid modeling skills in RF circuits, 3D space and RF based CAD packages.
Familiarity with 3D EM simulation software tools such as CST or HFSS.
Familiarity with RF modeling tools such as Microwave Office and ADS.
· Project management skills on major development programs from concept to production
· Effective judgment and analytical conceptualization abilities.
· Experience coaching and mentioning others.
· The ability to work with suppliers, and with customers to provide solutions that meet their requirements.
Preference for local candidates, this position could be open to remote work.
To learn more about RF Industries, visit our website http://www.rfindustries.com.
RF Industries offers comprehensive health and welfare benefits, to include medical, prescription, dental, vision, FSA, life insurance and disability insurance options, as well as paid time off for vacation, illness, bereavement, and a tax advantaged 401(k) retirement savings plan.
RF Industries is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. Additionally, RF Industries participates in the E-Verify program.
Job Type: Full-time
Pay: $96,000.00 - $150,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance
Experience level:
8 years
Schedule:
8 hour shift
Monday to Friday
Experience:
RF Filter Design: 5 years (Required)
Willingness to travel:
25% (Preferred)
Work Location: In person

Health insurance"
4,Automation Engineer,Freudenberg Medical,"Jeffersonville, IN",Onsite,"$110,000 ",r - Full-time,"Lead Machine Design & Automation Engineer
Location : Jeffersonville, IN - Onsite
Salary : $110k
Responsibilities:
As a Lead Machine Design & Automation Engineer at Freudenberg Medical in Jeffersonville, IN, you will be responsible for designing and implementing flexible automated systems for use in assembly processes. This will involve designing assembly fixtures and tools to support new and existing manufacturing efforts. You will also lead multidisciplinary teams to determine automation capabilities and goals, and work closely with the Machine Design and Tooling group to mentor and support their work.
In this role, you will support existing automation equipment as well as identify improvement opportunities, and recommend and implement improvements, modifications or additions to document work. You will review product development requirements for compatibility with processing methods to determine costs and schedules, and ensure that machine requirements are specified, documented, and all critical process controls are managed.
Safety and ergonomics will be a top priority in your designs, and you will assist in writing and executing equipment specifications and Installation Qualification protocols, as well as supporting all validation activities.
Overall, your focus will be on developing and implementing state-of-the-art automation solutions that drive productivity, quality, and efficiency across the manufacturing process.
Qualifications:
Bachelor's degree in mechanical engineering, electrical engineering, or a relevant technical field required.
4 + years of work experience required.
Troubleshoot skills on equipment with various Controls Platforms (PLC’s, CNC, PC, Vision systems and Robotics).
Proficient at using CAD software to design, analyze and create drawings.
Ability to create Machine BOM’s and prints for internal and external builds.
Experience assuring production requirements are achieved for equipment specifications, supplier selection, and qualification. Verify Equipment meets current NFPA, OSHA and all applicable internal and external safety standards.
Capable of being key participant in PFMEA, Machine Risk Assessments, and CTQ processes assuring specifications are well defined and documented.
Able to 10% travel to manufacturing sites and supplier visits required. (domestic)
Can provide technical support to maintenance as required.
Job Type: Full-time
Pay: $110,000.00 per year
Benefits:
401(k)
401(k) matching
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Vision insurance
Schedule:
8 hour shift
Evening shift
Ability to commute/relocate:
Jeffersonville, IN: Reliably commute or planning to relocate before starting work (Required)
Experience:
Manufacturing: 4 years (Preferred)
Machine Design: 4 years (Required)
Automation Engineering: 4 years (Required)
Mechanical Engineering: 4 years (Required)
Work Location: In person

Health insurance"
5,Mechanical Engineers/Designers,"Acertus Consulting Group, LLC","8655 E Via De Ventura, Scottsdale, AZ 85258",Onsite,"$60,000 - $90,000 ",r - Full-time,"Acertus Consulting Group is seeking Mechanical Engineers/Designers to provide professional design services for commercial building projects. The applicants will use AutoCAD Building Systems and or Revit software to design mechanical and plumbing systems for a diverse mix of commercial projects.
The Mechanical Engineer/Designer positions are excellent opportunities for experienced and entry level engineers and designers in the commercial building industry. You will work on a variety of projects throughout the United States and become familiar with multiple jurisdictions, as well as be given the opportunity to grow with a fast paced company. We are looking for team oriented members who can work on multiple projects, in addition to being part of the overall design team.
Acertus Consulting Group is a multi-disciplined engineering and project management firm providing professional design services on a national level through our Lenexa, Kansas and Phoenix, Arizona offices. We value our clients and employees and are seeking motivated applicants with can-do attitudes to add to our growing team. If you possess these skills and are looking for an opportunity with a company that has tremendous up-side potential, we hope Acertus Consulting Group is what you've been searching for!
Qualifications and Skills
A degree in Mechanical, Electrical or Architectural Engineering from an accredited university.
1 plus years of experience in mechanical design is required.
Computer aided drafting (AutoCAD) experience is required.
Working knowledge of building codes is preferred.
Prior experience with building systems design is preferred.
Benefits
Competitive compensation packages for quailified applicants.
Health Care plan.
401K retirement plan.
Personal Time Off.
Company paid holidays.
State-of-the-art computer systems
Job Type: Full-time
Pay: $60,000.00 - $90,000.00 per year
Benefits:
401(k)
401(k) matching
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Retirement plan
Experience level:
1 year
Schedule:
Monday to Friday
Ability to commute/relocate:
Phoenix, AZ 85050: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Mechanical design: 1 year (Preferred)
Work Location: One location

Health insurance"
6,Electrical Engineer/Designer,BELDEN Consulting Engineers,"Pleasanton, CA 94588",Onsite,"$75,000 - $100,000 ",r - Full-time,"East Bay consulting engineering firm seeking an Electrical Designer/Engineer, with a minimum of five years' experience with construction projects
We are looking for a proactive, articulate and client-oriented candidate with experience with a variety of project types, including office buildings, retail projects, high-density housing, commercial, educational and other institutional design. Experience must include lighting design, power, fire alarm, security, low voltage system designs and energy compliance calculations. Proficiency in AutoCAD, Bluebeam, and Visual Lighting is preferred.
The position(s) require individual(s) with the ability to articulate, both verbally and in written form, conceptual ideas with clients and staff members. The right candidate(s) must have a solid track record of successful and profitable projects. We expect these individuals to develop significant client relationships and assist with the development of our current staff. This position also requires experience with technical specifications and job site observations.
No third parties or H1 Visa applicants.
Salary DOE, comprehensive medical, dental and vision insurance. 401(k) plan, employee stock ownership plan, HSA/FSA, and bonuses paid upon company profits.
Job Type: Full-time
Work Remotely
No
Job Type: Full-time
Pay: $75,000.00 - $100,000.00 per year
Schedule:
Monday to Friday
Work Location: One location"
7,Junior Electrical Engineer,Trex Enterprises Corporation,"10455 Pacific Center Ct, San Diego, CA 92121",Onsite,N,r - Full-time,"Junior Electrical Engineer

Posting Date: February 1, 2019

Job Title:
Junior Electrical Engineer
Location:
San Diego, CA
Job Description:
General Coding and software design across a variety of platforms. Work will range from GUI operator interfaces for client server applications to embedded device programming.
Qualifications:
Looking for junior level people to work on a multi-discipline development team. A demonstrated ability to learn new platforms and design paradigms is essential. Experience in a variety of environments and familiarity with AGILE practices is a plus. Candidates with electrical engineering background or multi-discipline aptitude will be favored. A degree in the basic sciences or engineering disciplines and programming experience is expected.
The Company
Trex Enterprises is a privately-owned advanced R&D company specializing in optical imaging, RF/millimeter wave systems, navigation, and augmented vision technology for a variety of government and commercial customers. Our R&D projects encompass the complete cycle of innovation, prototyping, and field testing. Our current efforts involve Celestial Navigation, Millimeter Wave Imaging, Communications and Imaging Radar. The company has operating divisions in California and Massachusetts. The corporate office is located in San Diego, California.
Please e-mail resume to: Trex Enterprises, Fax: (858) 646-5301; info@trexjobs.com. Trex is an EEO/AA M/F/V/D employer. www.trexenterprises.com."
8,Entry/Mid-Level Electrical Analytical Design Engineer -- Remote/Virtual,Sargent & Lundy,Remote,Onsite,Full-time,Full-time,"Overview:

Sargent & Lundy is one of the most experienced full-service architect-engineering firms in the world. Founded in 1891, the firm is a global leader in power and energy with expertise in grid modernization, renewable energy, energy storage, nuclear power, and fossil fuels. Sargent & Lundy delivers comprehensive project services—from consulting, design and implementation to construction management, commissioning and operations/maintenance—with an emphasis on quality and safety. The firm serves public and private sector clients in the power and energy, gas distribution, industrial, and government sectors.

Our Core Values
Every decision we make is guided by our core values. By upholding these six principles, we support our clients, employees, and community. They are the compass we follow as we continue to grow our business and lead the industry.

Quality – We provide high-quality deliverables and services through an uncompromising focus on peer review, safety, and continuous improvement.

Accountability – Our actions demonstrate the highest levels of professionalism, integrity, and respect.

Our People – We value diverse perspectives, encourage professional growth, and are committed to providing a work community where people thrive. Our work is challenging but rewarding.

Our Clients – We deliver value and exceed our clients’ expectations through outstanding customer service, personal accessibility, and clear communication.

Innovation – Since 1891, we have invested in the people, training, tools, and technology needed to quickly adapt in a constantly changing world.

Meaningful Impact – We make a positive impact in the communities where we work and live.
Responsibilities:

This position will offer you the opportunity to utilize and expand your academic background in Power Systems to provide power system modeling and analytical support interdisciplinary project teams. You will be involved in supporting the interconnection of new power generation resources – including onshore and offshore wind, solar PV, battery energy storage, and traditional thermal generation, transmission and distribution planning, design of new power plants – including thermal and renewable resources, modifications to existing power generation facilities, power system protection, and integration of new technologies such as electric vehicles, microgrids, and green hydrogen production.
Your work will have you perform the following types of studies:
Power Flow
Short Circuit
Protection Coordination
Arc Flash
Transient and Dynamic Stability
Transient Over-voltage
Power Quality and Harmonics
System Impact
Cable Ampacity
Grounding
Additional activities include electricity market studies and generation planning expansion with expected load growth scenarios
There is the potential for you to travel to client offices and project sites to provide on-site consultation
Qualifications:
We do not sponsor employees for work authorization in the U.S. for this position.

Essential skills and experience:
This position requires an BS in Electrical Engineering with a strong academic background and coursework emphasis in Power Systems Analysis. MSEE or Ph.D. is preferred.
An understanding of the practical application of electrical engineering and technology including applying systems, principles, techniques, and procedures to a project design
Knowledge of design techniques, tools, and principles involved in the production of technical plans, drawings, and models
Proficiency with MS Office applications
Excellent written and verbal communication skills
Solid interpersonal skills and ability to work with and guide others.

Valued but not required skills and experience:
Internship or work experience in performing power analysis, preferably within the power industry
Experience performing analysis of power systems using software such as: PSS/E, PowerWorld, PSLF, TARA, CYME, Synergi, ETAP, SKM, PSCAD and EMTP-RV
Strong working knowledge of scripting languages such as Python, JavaScript, etc.
Successful completion of the Fundamentals of Engineering (FE) exam, and designation as an Engineer in Training

Sargent & Lundy is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any protected status as defined by law."
9,Electrical Engineer,Procter & Gamble,"Auburn, ME",Onsite,Tempor,ct,"An Electrical Engineer will:
Design, maintain, implement, or improve electrical instruments, facilities, components, equipment products, or systems for industrial, commercial, or domestic purposes
Perform a wide range of engineering tasks by operating computer-assisted design or engineering software and equipment
Confer with customers, engineers, and others to discuss existing or potential engineering products or projects
Ensure that installation and operations conform to standards and customer requirements by preparing electrical systems specifications, technical drawings, or topographical maps
Establish construction, manufacturing, or installation standards or specifications by performing a wide range of detailed calculations
Ensure compliance with specifications, codes, or customer requirements by directing or coordinating installation, manufacturing, construction, maintenance, documentation, support, or testing activities
Write reports and compiling data regarding existing and potential electrical engineering projects and studies
Prepare specifications for purchases of electrical equipment and materials
Experience:
3-5 years
Role Must Haves:
Programming experience with Rockwell platforms
Start up experience with P&G (can be nice to have)
Static and Dynamic Checking

P&G’s freelancer opportunities are for project-based or other short-term engagements that require specialized skills. Successful candidates for freelancer opportunities will not be considered employees of The Procter & Gamble Company or any of its subsidiaries nor will candidates be eligible for employment benefits. Candidates looking for regular full-time employment opportunities should begin their search here: pgcareers.com."
