,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,"Facilities Maintenance Technician (37.26/hr + $5,000 SIGNING BONUS)",United Airlines,"730 Mcdonnell Rd, San Francisco, CA 94128",Onsite,$37.26 ,n hour - Full-time,"Description
There’s never been a more exciting time to join United Airlines. We’re on a path towards becoming the best airline in the history of aviation. Our shared purpose – Connecting People, Uniting the World – is about more than getting people from one place to another. It also means that as a global company that operates in hundreds of locations around the world with millions of customers and tens of thousands of employees, we have a unique responsibility to uplift and provide opportunities in the places where we work, live and fly, and we can only do that with a truly diverse and inclusive workforce. And we’re growing – in the years ahead, we’ll hire tens of thousands of people across every area of the airline. Our careers include a competitive benefits package aimed at keeping you happy, healthy and well-traveled. From employee-run ""Business Resource Group"" communities to world-class benefits like parental leave, 401k and privileges like space available travel, United is truly a one-of-a-kind place to work. Are you ready to travel the world?
At United, we have some of the best aircraft in the world. Our Technical Operations team is full of aircraft maintenance technicians, engineers, planners, ground equipment and facilities professionals, and supply chain teams that help make sure they’re well taken care of and ready to get our customers to their desired destinations. If you’re ready to work on our planes, join our Tech Ops experts and help keep our fleet in tip-top shape.
Starting pay of $37.26 per hour (as per collective bargaining agreement) with competitive benefits that let you see the world:
Key Responsibilities:
Requires a thorough knowledge of general building maintenance with emphasis on electrical solving, including AC & DC circuits, high voltage (480), high amperage and some 400 cycle equipment
Requires experience in industrial wiring and the ability to read and follow wiring schematics and work without supervision
Journeyman electrical license a plus
Requires the ability to make low and high voltage repairs to all building electrical equipment
This includes solving, installation and repair of 110/220/480 volt single and multiphase electrical circuitry and devices
You should also have some experience in related building equipment and trades, such as air handling units, plumbing and steam fitting, fire systems and conveyors
Facilities Technicians must be able to work around the clock shifts, including weekends and holidays, in the outdoors in all weather conditions
Schedules are bid and awarded according to seniority
Facilities Technicians are represented by the International Brotherhood of Teamsters (IBT)
Salary increases will be administered according to the current IBT/United contract
New employees are required to join the union within ninety (90) days of employment
There is an initiation fee for joining the union and subsequent monthly union dues which are set by the Local Lodge
Qualifications
United values diverse experiences, perspectives, and we encourage everyone who meets the minimum qualifications to apply. While having the “desired” qualifications make for a stronger candidate, we encourage applicants who may not feel they check ALL of those boxes! We are always looking for individuals who will bring something new to the table!
What’s needed to succeed:
Twenty Four months experience required in at least three of the following areas:
Electrical (including 480 volt, 3 phase)
Structural (including steel frame construction)
HVAC (including building management systems)
Mechanical (including conveyors)
Plumbing
PLC electronic/computer controls
Must have completed high school diploma, GED or equivalent
Ability to maintain and repair all building disciplines, heavy mechanical and welding
Work may be indoors or outside or in elevated areas anywhere on airport
Must be able to climb and work from ladders, and/or walk for extended periods
Moderate lifting
Must possess sufficient tooling to perform required tasks
Computer experience for input and retrieval of data
Qualified candidates must be immediately available for full time employment
Must possess a valid, clean, applicable state driver's license
What will help you propel from the pack:
Electronics diagnostics and troubleshooting

United Airlines is an equal opportunity employer. United Airlines recruits, employs, trains, compensates and promotes regardless of race, religion, color, national origin, gender identity, sexual orientation, physical ability, age, veteran status and other protected status as required by applicable law. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions. Please contact JobAccommodations@united.com to request accommodation."
1,VDC (BIM) Engineer,Canyon State Electric,"4640 E Mcdowell Rd, Phoenix, AZ 85008",Onsite,"$65,000 - $75,000 ",r - Full-time,"JOIN THE CANYON STATE ELECTRIC TEAM!
Looking for a construction job where you’re rewarded for your hard work? Become part of an award-winning team that puts an emphasis on employee wellness and career growth.
We offer full benefits, career development opportunities, and fun perks— such as free yoga classes, team building activities, employee gym, and more. Every employee has the opportunity to grow their skills and advance. Our leadership will work with you to map your career goals, and come alongside you to achieve them. At CSE, you’ll always get the support you need to do your best work.
Further your career at Canyon State Electric and find out why we’ve been voted the Best Place to Work in Phoenix since 2018. Apply now!
Ranking Arizona’s Best Place to Work (2018 - 2022)
Ranking Arizona’s Best Workplace Culture (2019 - 2022)
Inc. 2022 Best in Business
Inc. 5000 (2021)
Arizona’s Most Admired Companies for 2022
Arizona Corporate Excellence Award 2022
Benefits
Free healthcare plan
401k with 6% match
Vacation/PTO starting at 3 weeks per year
Paid holidays beginning immediately
On-the-job training for all needed skills
Many other benefits
Position
We're looking for a full-time VDC (BIM) Coordinator to help our growing business. The primary duty of the role is to coordinate between different teams to implement BIM/VDC to support high quality and on-time installation. Under the guidance of VDC Leadership manages the preconstruction coordination process from project conception through construction to meet the project-specific BIM/VDC goals. Develop 3D models for use in design phase building coordination, site/underground coordination, overhead MEP coordination, and integrated self-perform prefab coordination.
Qualifications
Must have Bachelor’s in Construction Management/Engineering or closely related field.
Detail-oriented and extremely organized, possess outstanding problem-solving skills using a proactive approach, capable of completing assignments with little to no supervision.
Proficient with and understand computer aided drawing software including Revit, AutoCAD, Navisworks, and other similar systems.
Proficiency required with Microsoft Office Suite, Bluebeam, and other online Team Collaboration platforms.
Knowledge of construction technology, design, applicable codes, standards are a plus.
Sample Responsibilities
Develop 3D models for use in design phase building coordination, site/underground coordination, overhead MEP coordination, and integrated self-perform prefab coordination
Manage 3D Design changes during the construction phase through clash detection and resolution process, document, and log revisions.
Gather and request specific information from approved equipment submittals, other discipline trade partners on projects, and/or engineering and design teams necessary to complete design within scheduled deadlines
Creates visualizations from the model for RFI’s (request for information) and team understanding
Documents and reports status of RFIs to managers and directors, and assist with change order development
Setting production goals for the Drafting and Layout team and ensuring that they are using time productively, maximizing efficiency, and meeting their goals.
Provide project support during the project construction phase working closely with the project superintendent, field installation team, and project manager(s)
Generate bill of materials.
Perform calculations and studies including but not limited to: power distribution calcs, lighting calcs, sizing cables and raceways, derating, voltage drop, etc.
Creating and improving BIM templates, families, and libraries
Assists in training VDC process and data to other team members
BRING YOUR FRIENDS
Earn a $500 bonus* for every person you bring to work for CSE. There is no limit to the amount you can earn!
Canyon State Electric provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, national origin, citizenship status, age, disability, sex, sexual orientation, veteran status, or any other characteristic protected by applicable federal, state, or local laws, regulations, or ordinances.
Job Type: Full-time
Pay: $65,000.00 - $75,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Referral program
Relocation assistance
Retirement plan
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Phoenix, AZ 85008: Reliably commute or planning to relocate before starting work (Required)
Experience:
VDC Engineer: 1 year (Required)
Work Location: In person

Health insurance"
2,High Voltage Battery Engineer,Ford Motor Company,"21500 Oakwood Blvd, Dearborn, MI 48124",Onsite,Full-time,Full-time,"At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.
Electrification is a key part of Ford's future automotive growth. This is an opportunity to be a part of the team that carving out the future success of the company's long-term vision. High Voltage Battery design is a relatively new area of design, so opportunities abound to make big impacts with intelligent engineering design and creativity.

The minimum requirements we seek.
Bachelor of Science in Engineering
HV Battery design experience – 2+ years
Understanding of HV Taction Battery design and function
Experience with Failure Mode Avoidance and Functional Safety
Working level knowledge of CAD/CAE with an ability to coordinate CAD support.
Proactive, self-motivated, and attention to detail
Strong teamwork, organizational, oral communication, and written communication skills
Strong leadership skills, able to effectively interact with multiple internal and external stakeholders
Proven ability to handle multiple assignments with competing priorities
Minimal travel expected (supplier sites for PPAP if required, battery assembly build sites if required).
Our Preferred Requirements
Masters of Science in Engineering
System engineering experience desired
D&R experience including manufacturing plant launch preferred.
Experience in Ford WERS/AVBOM/AIMS/eFDVS/GPDS/Integrator systems desired
What you’ll receive in return:
As part of the Ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous PTO, retirement, savings and stock investment plans, incentive compensation and much more. You’ll also experience exciting opportunities for professional and personal growth and recognition.
If you have what it takes to help us redefine the future of mobility, we’d love to have you join us.
Candidates for positions with Ford Motor Company must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire.
Visa sponsorship is not available for this position.
We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.
For information on Ford’s benefits and compensation, click here:
Ford Motor Company 2022 New Hire Benefits Summary GSR HTHD
At Ford, the health and safety of our employees is our top priority. Vaccination has been proven to play a critical role in combating COVID-19. As a result, Ford has made the decision to require U.S. salaried employees to be fully vaccinated against COVID-19, unless employees require an accommodation for religious or medical reasons. Being fully vaccinated means that an individual is at least two weeks past their final dose of an authorized COVID-19 vaccine regimen. As a condition of employment, newly hired employees will be required to provide proof of their COVID-19 vaccination or an approved medical or religious exemption

What you’ll be able to do:
This position is for a High Voltage Battery Systems Engineer. The successful candidate will have responsibility to:
Support engineering and manufacturing Unit deliverables for next generation HV battery design and manufacturing
Define and maintain pack level requirements for battery controls, internal mechanical, electrical components (HV Contactors/EDS), battery cells, and thermal performance
Develop battery level DFMEA including implementations to manage severity and/or occurrence
Define test plans to validate all requirements and functional performance
Lead design trade-offs between thermal, packaging, NVH, and hardware/software solutions
Coordinate cross-functional solutions across component Design & Release teams to achieve pack system level requirements and objectives.
Support all quality documents required for manufacturing builds, PPAP, shipping, labeling, test requirements, etc.
Interface with HV Battery test team to validate all requirements and key functional performance, including post-crash pack teardown
Troubleshoot battery component and in-vehicle systems"
3,Software Engineer (Mid-level),Voltserver,"Voltserver in East Greenwich, RI 02818",Onsite,"From $90,000 ",r - Full-time,"Description
VoltServer Engineering is seeking a mid-level Software Engineer to join our Software Team. The team member will play a critical role designing and developing software for web-connected Digital Electricity hardware products. We maintain a modern software stack including NodeJS, ReactJS, TypeScript, and Ruby/Rails. The ideal candidate will have strong interest in embedded Linux/ IoT, web-based software and desire to be a key contributor to a small, agile team.
You’ll love this job if you:
Are excited about web-connected hardware, IoT and embedded Linux
Prefer the autonomy, responsibility and impact of being a core member of a small team
Want to play a large role in a successful growing company with a unique product
Requirements
3+ years of professional experience developing web-based software in one or more of the following: NodeJS/ TypeScript, Ruby/ Rails, Python/ DJango, Elixir, etc.
ReactJS experience strongly preferred
Demonstrated ability to design and implement software systems that are testable, extensible and well-documented
Ability to capture high-level business requirements and evaluate tradeoffs in product design
Proficiency in SQL, schema design, versioning and migration
Proficiency with Git
Experience with Linux userspace (bash/ ZSH and common command line tooling)
Experience with one or more cloud infrastructure platforms (AWS, Azure, GCP, Vercel, etc)
Interest in IoT/ Building Automation/ Industrial Control
Preferred
Technical understanding of common standards such as HTTP, TCP, TLS, IMAP
Working knowledge of Docker
Ability to evaluate and troubleshoot database performance and scalability concerns
IP networking, routing, VLAN, firewalls in Linux
About Us
VoltServer is an innovative company and the first to pioneer Digital Electricity. We apply power electronics and digital signal processing to “encode” electricity into discrete packets to monitor and detect faults during power transmission. This allows safe power delivery at level into the 1000s of watts using low-voltage wiring techniques typically associated with low-voltage technologies like POE. Digital Electricity™ is better power because it reduces installation time and cost, is more efficient and allows intelligent monitoring & control. We are rapidly developing game-changing solutions for Wireless Densification, Intelligent Buildings (both IT & OT), EV Charging, Datacenters, Industrial and Indoor Agriculture. Our offices are based in an old renovated mill in the vibrant waterfront community of East Greenwich, Rhode Island, just a short commute from Providence. We offer competitive compensation including salary, paid leave and comprehensive health plan coverage.
Job Type: Full-time
Pay: From $90,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Work Location: In person

Health insurance"
4,Electrical Engineer,Inductotherm Corp.,"Rancocas, NJ 08073",Onsite,Full-time,Full-time,"Benefits:
Sign-On Bonus
Monthly Incentive Bonus
Profit Sharing Plan
Health/Dental/Vision within 30 days
Tuition Assistance
And Many More!
Electrical Engineer
The Electrical Engineer is responsible for designing and releasing for production induction power supplies, transformers, power transmission systems and other ancillary equipment. Experience with high voltage equipment is preferred.
Education:
BSEE or MSEE with a concentration in Electrical Circuits, Power Systems, Power Electronics. 3-5years’ experience in designing electrical systems. EIT or PE, a plus.
Essential Functions:
Electrical discipline skills: Electrical circuits, Power systems, and Power electronics.
Mathematic skills: Calculus, numerical methods, differential equations.
Computer skills: AutoCAD/SolidWorks, Spreadsheets.
Familiar with test equipment and able to use volt meter and oscilloscope.
Able to read and understand electrical schematics.
Able to manage multiple projects simultaneously.
Work well under pressure and tight deadlines.
Strong communication and follow-up skills.
Work independently and exercise good judgment
Strong presentation skills and ability to interact with all levels of management.
Always maintain a safe working environment for oneself and others.
Able to travel domestically and internationally, as required.
Experience in the field of electromagnetics.
Will be responsible in handling and care of equipment and tools.
Will handle miscellaneous duties as assigned.
Essential Physical Requirements:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.
Able to traverse the floor of a plant in an industrial setting with various types of heavy machinery and overhead hoists in operation.
Have a valid driver's license and able to drive an automobile.
Able to wear appropriate PPE (Personal Protective Equipment)
Must disclose any surgical implants, pins, braces or other devices that could be affected by induction fields.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Condition of Employment:
Must be able to satisfactorily complete the Inductotherm Corp. hiring process requirements which includes a comprehensive assessment, drug testing, and a background check. This is a 100% on site position.
Inductotherm Corp. is a Drug Free Environment.
Inductotherm Corp. is an Equal Opportunity employer of qualified individuals and does not discriminate on the basis of race, color, religion, sex, national origin, age, disability, veteran status or any other basis protected by applicable federal, state or local law. Inductotherm Corp. also prohibits harassment of applicants or employees based on any of the protected categories.
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Employee discount
Health insurance
Life insurance
Paid time off
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Rancocas, NJ 08073: Reliably commute or planning to relocate before starting work (Required)
Work Location: In person

Health insurance"
5,Remote Service Engineer NETA,Smarter Logistics,"Houston, TX",Remote,"$60,000 - $150,000 ",r - Full-time,"In order to support one of our key mega-tech clients, Smarter Logistics is looking for a Service Engineer NETA who is interested in joining a growing company with career advancement opportunities, aggressive commissions, and a high-energy work environment.
Primary Purpose:
Electrical Estimators have the responsibility of evaluating the cost of electrical proposals and installations for a key client;
Calculate the projected costs involved in electrical projects;
Validate invoices to be paid.
Essential Duties and Responsibilities:
Instrument transformer tests;
Power transformer testing - Doble, TTR, Insulation Resistance, etc;
Test both electro-mechanical and solid state relays;
Cable testing - Tan Delta, Power Factor, VLF, DC Hipot;
Automatic transfer switch troubleshooting;
Low, Medium and High voltage switchgear and circuit breaker testing;
Rotate emergency on-call duty and if called respond to customer emergencies in a timely manner.
Other duties may be assigned such as:
Plan or schedule electrical projects;
Estimate new construction/retrofit projects.
Minimum Qualifications and Experience:
High school diploma or GED required;
Prefer an Associate’s degree from an accredited 2 year technical college in Electrical Power, or similar experience and training from the military (Army Prime Power, Air Force Electrical Power Production, or NAVY Seabee);
2 or more years of relevant experience;
Prefer experience with most of the following or similar:
RTS or Protest relay testing, oil testing, infrared scanning, automatic transfer switching, performing start-up on switchgear up through 500kV class, VFD (variable frequency drives);
Required NETA Certification (II or III) or equivalent skills/experience to become NETA Certified.
Job Type: Full-time
Pay: $60,000.00 - $150,000.00 per year
Schedule:
8 hour shift
Application Question(s):
How many years of electrical systems installation, design, and project estimating do you have?
How many years of construction estimating do you have?
How many years of experience with finance or analytical experience do you have?
How many years of Level 4 Scheduling/detailed schedule that is used to support the execution of planned activities do you have?
Are you NETA Certified?
Work Location: Remote"
6,Analysis and Modeling Design Engineer – High Voltage Devices,Tesla,"Palo Alto, CA",Onsite,Full-time,Full-time,"What to Expect
As an analysis and modeling engineer, your work will evaluate the performance and guide the designs of critical electromechanical devices and the battery packs in which they’re used. Achieving our ambitious goals requires you to be passionate, collaborative, detail-oriented, and tenacious in the application of your strong heat transfer, kinematics, material behaviors, and thermodynamics analysis skills to solve tough technical problems. Using those talents you will model, analyze, develop, test, and help drive requirements for high voltage devices and systems in Tesla’s cutting-edge battery packs.
What You’ll Do
Create, develop, and run component and system thermal and kinematic models
Collaborate with a broad group of design, architecture, and simulation engineers within and beyond our team to achieve integrated and optimized device and system designs guided by your analyses and simulations
Individually and in collaboration with other engineers, develop and specify test methods and plans to validate and calibrate your component and system models
Validate and calibrate your models by conceiving and executing a variety of engineering tests
Rigorously document and proactively share simulation and analysis tools and results across stakeholder engineering partners and leaders
What You’ll Bring
First-principles physics understanding of multiple engineering disciplines such as: thermal, mechanical, electrical, or magnetics
Work efficiently and productively in independent and team settings
Communicate clearly using excellent written, verbal, and data presentation skills
BS degree in Physics, Mechanical, Electrical Engineering or equivalent experience
Proficiency in MATLAB and at least one multi-physics simulation software package (e.g. - STAR, ANSYS, COMSOL, etc.)
Demonstrated talent for analyzing thermal and/or multi-physics systems and conceiving design solutions to complex engineering challenges
Experience creating custom numerical/analytic models from physics fundamentals
Experience designing or analyzing any of the following: thermal networks, thermal interfaces, electrical contacts, electrical insulators, electrical conductors, mechanisms, electromechanical and electromagnetic actuators, electrical circuit protection devices, arc physics.
Familiarity with and understanding of high-volume Li-ion battery system designs
Requirements development and authoring experience"
7,High Voltage Cable Engineer,Southwire Company LLC,Remote,Onsite,Full-time,Full-time,"A leader in technology and innovation, Southwire Company, LLC is one of North America’s largest wire and cable producers. Southwire and its subsidiaries manufacture building wire and cable, metal-clad cable, portable and electronic cord products, OEM wire products and engineered products. In addition, Southwire supplies assembled products, contractor equipment and hand tools. We are proud to offer competitive compensation, employee benefits, tuition reimbursement, and unlimited growth opportunities. Our nearly seven decades of progressive growth can be attributed to our determination to developing innovative systems and solutions, exercising environmental stewardship and enhancing the wellbeing of our communities. How will you power what’s possible?

Location: Remote
Southwire Job Description
Southwire designs, manufactures, markets, and implements High Voltage Underground Cable and Systems in North America. Southwire’s strategy is to aggressively grow its sales volume in HV underground cables, accessories, and installation as well as its cable systems related portfolio of ancillary products and services. The High Voltage Cable team places high value on supporting the renewable energy market segment.
This High Voltage Cable Design Engineering position encompasses the design and analysis of parts, components, assemblies, and subassemblies of underground HV/EHV transmission cable systems, and the production of associated drawings and instructions.
Under limited direction, this individual will perform a variety of complex engineering assignments requiring in-depth knowledge of electrical engineering plus an understanding of related high-voltage equipment and engineering aspects to cost effectively achieve objectives. Individual will proactively seek and implement initiatives to improve operations and increase customer satisfaction.
Description of Duties and Responsibilities
Design complete cable system solutions, including accessories, link boxes, fiber optic components, grounding details and bonding schemes for voltage classes 69kV up to 500kV, using advanced computer programs, analytical techniques or control strategies to effectively meet project/bid requirements.
Review customer specifications to determine feasibility and compliance.
Conduct the preparation of specifications, proposals for contracts, licensing and safety documents, and obtain required approvals in cooperation with the Sales & Marketing and Project Management teams.
Support manufacturing throughout the production cycle. This includes creating testing plans, leading design handover meetings and solving problems on the manufacturing floor.
Execute Research & Development projects including planning, timeline forecast, budget management, logistics coordination using the “Stage Gate” process.
Represent the group in meetings and conferences; interact with customers to provide training seminars as well as resolve significant technical issues and develop related action plans.
Make formal technical presentations to customers and to industry forums and at conferences.
Promote safety in the workplace and all project sites following Southwire’s Culture of ZERO.
Qualifications and Experience Requirements
Bachelor's degree in electrical or mechanical engineering plus 3 years of experience, or a special combination of education and experience and/or demonstrated accomplishments.
Understanding of electrical and mechanical engineering disciplines to analyze and resolve problems. Working knowledge of underground power transmission engineering discipline is a plus.
Familiarity with ICEA, AEIC, IEC and IEEE standards, as well as thermal, mechanical and electrical field calculations
Ability to read and analyze engineering drawings.
Strong technical writing ability and solid communication skills. Requires ability to interface effectively both internally and with customers.
Experience with software packages including Cymcap, SolidWorks, AutoCAD, Matlab and Microsoft Office Suite.
Proficiency in visual basic and similar programming languages, primarily for use in coding spreadsheets and macros within Microsoft Excel
Competencies
Nimble Learning
Customer Focus
Plans and Aligns
Collaborates
Balances Stakeholders
Action Oriented
Benefits We Offer:
401k with Matching
Family and Individual Insurance Packages (Health, Life, Dental, and Vision)
Paid Time Off & Paid Holidays
Long & Short-Term Disability
Supplemental Insurance Plans
Employee Assistance Program
Employee Referral Program
Tuition Reimbursement Programs
Advancement & Professional Growth opportunities
Parental Leave
& More
Southwire is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law."
8,High Voltage Electrical Engineer,UC San Diego,"9500 Gilman Dr, San Diego, CA 92093",Onsite,"$75,000 - $100,000 ",r,"Payroll Title:
RSCH AND DEV ENGR 3
Department:
CENTER FOR ENERGY RESEARCH
Hiring Pay Scale
$75,000 - $100,000 / Year
Worksite:
Campus
Appointment Type:
Career
Appointment Percent:
100%
Union:
Uncovered
Total Openings:
1
Work Schedule:
8 hrs/day, Mon - Fri
#121314 High Voltage Electrical Engineer
Extended Deadline: Thu 3/30/2023

UC San Diego values equity, diversity, and inclusion. If you are interested in being part of our team, possess the needed licensure and certifications, and feel that you have most of the qualifications and/or transferable skills for a job opening, we strongly encourage you to apply.

For the safety and well-being of the entire university community, the University of California requires, with few exceptions, that all students, faculty and staff be vaccinated against the COVID-19 virus and influenza before they will be allowed on campus or in a facility or office. For more information visit: Flu Vaccine Mandate / COVID Vaccine Policy
UCSD Layoff from Career Appointment: Apply by 02/01/23 for consideration with preference for rehire. All layoff applicants should contact their Employment Advisor.
Special Selection Applicants: Apply by 02/13/23. Eligible Special Selection clients should contact their Disability Counselor for assistance.
Job posting will remain open until a suitable candidate has been identified.
DESCRIPTION
Uses skills as a seasoned, experienced engineering professional in a specialized engineering field on a major training and / or research effort. Assignments typically require concentration in a field of application where subject matter knowledge relevant to research objectives and methodology is of great value in understanding and establishing engineering design criteria. Demonstrates good judgment in selecting methods and techniques for obtaining solutions.
Using professional engineering concepts in performing complex mechanical engineering tasks associated with the design, analysis, development, fabrication, testing, data gathering, and assembly of electrical/electronic components to support pulsed plasma experiments at UC San Diego. Responsible for performing and managing engineering technician tasks such as equipment repairs, maintenance, and installation support.
The Center for Energy Research (CER) at University of California, San Diego, is committed to actively promoting our Principles of Community and continually advancing equity, diversity, and inclusion within all levels of our organization. In line with the goals of UCSD’s Strategic Plan for Inclusive Excellence supporting a diverse faculty, staff, and student body and fostering a positive and welcome climate where all are valued, we strongly encourage candidates from underrepresented communities, to apply.
QUALIFICATIONS
Thorough knowledge and experience with engineering principles and methods to independently perform the full range of engineering professional design work. Graduation from college with major work in engineering and three years of engineering experience including one (1) year of responsible design work or an equivalent combination of additional education and experience.
Experience in high voltage instruments, high voltage power supplies and trigger units. A good knowledge of building electrical circuits.
Thorough knowledge necessary to apply principles, practices and procedures in the completion of assignments. Strong experience in creating professional engineering production drawings and schematics for equipment used in high vacuum, high pressure and high voltage Plasma physics research experiments.
Strong analytical and judgment skills to independently conduct analyses and develop appropriate recommendations. Proven experience with independent decision-making and interpretations of research data.
Effective written and verbal communication and presentation skills. Strong written and verbal communication skills to communicate with other staff, students and researchers. Must be proficient in English to compose reports and presentations.
Ability to work in a collaborative manner; identify challenges and barriers and recommend resolutions. Good interpersonal skills including tact, good judgment, diplomacy and flexibility to professionally interact with a diverse scientific academic researchers, professional staff, students and vendors.
Ability to lead and influence others.
In depth knowledge and extensive experience in working with ultra-high vacuum components as well as high pressure and high voltage equipment.
Experience with reporting research results and findings through presentations and publications.
SPECIAL CONDITIONS
Occasional travel to collaborating sites will be required.
Job offer is contingent upon satisfactory clearance based on Background Check results.
Pay Transparency Act
Annual Full Pay Range: $63,400 - $142,800 (will be prorated if the appointment percentage is less than 100%)
Hourly Equivalent: $30.36 - $68.39
Factors in determining the appropriate compensation for a role include experience, skills, knowledge, abilities, education, licensure and certifications, and other business and organizational needs. The Hiring Pay Scale referenced in the job posting is the budgeted salary or hourly range that the University reasonably expects to pay for this position. The Annual Full Pay Range may be broader than what the University anticipates to pay for this position, based on internal equity, budget, and collective bargaining agreements (when applicable).


Job offer is contingent on successful engagement in the UC COVID-19 Vaccination program (fully vaccinated with documented proof or approved exception/deferral).

To foster the best possible working and learning environment, UC San Diego strives to cultivate a rich and diverse environment, inclusive and supportive of all students, faculty, staff and visitors. For more information, please visit UC San Diego Principles of Community.
The University of California is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, age, protected veteran status, gender identity or sexual orientation. For the complete University of California nondiscrimination and affirmative action policy see: http://www-hr.ucsd.edu/saa/nondiscr.html
UC San Diego is a smoke and tobacco free environment. Please visit smokefree.ucsd.edu for more information."
9,High Voltage Systems Engineer,Ford Motor Company,California,Onsite,Full-time,Full-time,"At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams! With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.

Ford Model E is responsible for developing the key technologies and capabilities – such as EV platforms, batteries, e-motors, inverters, charging and recycling – to create ground-up, breakthrough electric vehicles. By joining the best software, engineering, design and UX talent, you will be a part of creating new technologies and concepts that can be applied across the Ford enterprise. Being on the Ford Model E team means building the future as Ford’s center of innovation and growth through electric and connected vehicles and services.
The HV Systems Integration Engineer will be responsible for concept development and detailed design of the high voltage distribution and charge port systems through multiple stages of development starting from the block diagram architecture phase. You will Conceptualize, Design, Engineer, Develop and support the launch of new high voltage components and systems.
What you’ll be able to do:
Create vehicle-aligned component and system targets for function, cost, weight and investment
Develop block diagrams and 3D topology for HV components and distribution optimizing for material cost, labor content, and mass while ensuring regulatory and safety performance is met
Identify and track key system decisions that establish technology roadmaps and product architecture
Lead and contribute to design reviews, test plans, and requirements reviews to further optimize the high voltage systems cross functionally
Develop, study, and implement novel construction techniques and materials then drive them to production feasibility
Enable effective communications with manufacturing, suppliers, and other engineering teams to deliver optimal design solutions
Support presentations of concepts and status to senior management and internally to Company personnel in an integration and subject matter expert role
The minimum requirements we seek:
B.S. in Mechanical Engineering, Electrical Engineering, or a related field
4+ years of experience designing, developing, and releasing one or more automotive high voltage subsystem
3+ years of experience using 3D CAD software collaboratively (NX, Catia, 3DX, etc.)
2+ year of experience in the production release process
2+ years designing to world automotive legal requirements
1+ year of experience in a factory setting launching a new product
Preferred Requirements :
Excellent understanding of GD&T standards
High level of expertise and proficiency with Catia, Enovia, or similar tools including drawing and modelling practices and methodologies
Hands-on experience building and launching automotive products
Experience with Microsoft Office, Confluence, and Jira applications
Strong written and verbal communication skills
A degree in Mechanical Engineering, Certificate of Accomplishment from a recognized Design educational institution, or equivalent skills and expertise
An eagerness to work cross-functionally in a dynamic environment where you are part of a high performing team
A system approach to design and development with the desire and curiosity to strive for exceptional delivery execution and continuous improvement
What you’ll receive in return:
As part of the Ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous PTO, retirement, savings and stock investment plans, incentive compensation and much more. You’ll also experience exciting opportunities for professional and personal growth and recognition.

If you have what it takes to help us redefine the future of mobility, we’d love to have you join us.
Candidates for positions with Ford Motor Company must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is available for this position.

We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.

For information on Ford's salary and benefits, please visit:
https://corporate.ford.com/content/dam/corporate/us/en-us/documents/careers/2022-benefits-and-comp-LL6-sal-plan-2.pdf

At Ford, the health and safety of our employees is our top priority. Vaccination has been proven to play a critical role in combatting COVID-19. As a result, Ford has made the decision to require U.S. salaried employees to be fully vaccinated against COVID-19, unless employees require an accommodation for religious or medical reasons. Being fully vaccinated means that an individual is at least two weeks past their final dose of an authorized COVID-19 vaccine regimen. As a condition of employment, newly hired employees will be required to provide proof of their COVID-19 vaccination or an approved medical or religious exemption."
