,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Structural Engineer,"SE&C, LLC",Remote,Remote,$51 - $150 ,ct,"SE&C is seeking qualified candidates for a Structural Engineer opportunity for our customer in Greenville, SC.
Title: Structural Engineer (including Senior and Principal Civil Engineers)
Contract Duration: Initial contract duration up to 1-year with strong potential for a longer-term assignment based on individual performance.
Location: Remote position or local in Greenville, SC.
Rate: $51-$150/hr. depending on qualifications and experience.
Close date: Once positions are filled
Clearance Required: none
JOB DESCRIPTION
Education
· Bachelor of Science in Civil / Structural Engineering
Experience
· 5+ years relevant design/field experience (Structural Engineer)
· 10+ years’ experience in design, estimating, specification preparation, construction document preparation, and related phases of engineering. (Senior Structural Engineer)
· 15+ years’ experience in design, estimating, specification preparation, construction document preparation, and related phases of engineering. (Principal Structural Engineer)
· Must have a working knowledge of Federal (including Department of Energy Orders), State, and Local codes and standards applicable to architectural design.
· Must be a US Citizen (with US Passport or Certificate of Naturalization)
Responsibilities
· Plan, organize, and coordinate structural engineering and multi-disciplined team/design projects while engaged in the planning, design, and construction phases of engineering projects.
· Prepare and review of calculations, drawings, and specifications relating to seismic and wind analyses, foundation design, structural framing analyses and design, and bracing analyses and design.
· Experience in renovating/modifying existing facilities is required.
· Familiarity with computer aided drafting applications is required.
· Conduct construction document reviews as required. (Senior Structural Engineer)
· Provide technical direction to assigned engineers (Principal Structural Engineer)
ABOUT SE&C FIELD SERVICES
Searching for your next challenge? We have employment opportunities across the country on some of the most exciting projects. We are always looking for highly skilled candidates to support those positions in project management, engineering, operations, nuclear safety, project controls and a multitude of other technical disciplines.
BENEFITS
· Health insurance
· Paid time off
· Dental insurance
· Vision insurance
· Life insurance
· Disability insurance
· 401(k) matching
· Retirement plan
· Referral program
· Relocation assistance
· Parental leave
· Professional development assistance
COMPETITIVE PAY
We know what fair and competitive compensation is for your area of expertise and we will work with our clients to ensure top dollar for your skills.
VIEW OUR OPEN JOB LIST
https://www.indeed.com/cmp/Se&C,-LLC/jobs
Ready for your next challenge? Let the team at SE&C Field Services help you get there.
Job Type: Contract
Pay: $51.00 - $150.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Vision insurance
Schedule:
10 hour shift
8 hour shift
Monday to Friday
Application Question(s):
What computer aided drafting applications are you experienced/comfortable with?
What specific Department of Energy (DOE) or Nuclear sites have you worked at in the past?
Would you be available to work remote or full-time in Greenville, SC?
Education:
Bachelor's (Preferred)
Experience:
Department of Energy (DOE) site: 2 years (Preferred)
Nuclear facility: 2 years (Preferred)
Wind analyses calculations: 5 years (Preferred)
Foundation design: 5 years (Preferred)
Structural framing analyses and design: 5 years (Preferred)
Bracing analyses and design: 5 years (Preferred)
Renovating/modifying existing facilities: 5 years (Preferred)
Structural Design: 5 years (Preferred)
Plan, and coordinate structural engineering projects: 5 years (Preferred)
Seismic analyses calculations: 5 years (Preferred)
License/Certification:
US Citizenship (Birth Cert., Passport or Cert. of Natural.) (Preferred)
Work Location: Remote

Health insurance"
1,Structural Engineer,"B+AC, LLC","214 Arlington Street, Chelsea, MA 02150",Onsite,"$60,000 - $150,000 ",r - Full-time,"B+AC is a full service structural engineering consulting focused on providing practical engineering services and problem solving for buildings and building type projects. Our diverse portfolio of work includes generic buildings, institutional, education, health, municipal, sports, health, science and technology, infrastructure and specialty structures.
Our humble beginnings give us an ability to promptly respond to our clients’ needs and stay nimble in our approach. We like to be flexible for our clients while respecting the laws of society, science, engineering and ethics. At B+AC, we believe in basics. It’s the strong foundation in basics on which any meaningful advancement of concepts can be built.
Each project is the most important project for its user(s) and owner(s). We are sensitive to this at B+AC. Every project is treated with utmost respect and attention.
Keeping things simple is within the DNA of our organization. In our opinion, simple solutions to most complicated problems are the high points of technology and engineering. We always strive for those heights at B+AC.
Over the years, we have contributed towards successful completion of multiple projects across three continents. Within US, we have been fortunate to have influenced multiple projects in 18 states in a positive way.
We are looking for Structural engineers at all levels to assist with and lead on new design, evaluation, investigation, and design of repairs for existing buildings. Essential duties include performing a wide range of structural engineering analysis and design tasks in steel, concrete, masonry and wood structures, on-site investigations to document existing conditions and determine root of problems; aiding senior staff during the construction administration phase of projects, and managing the preparation of drawings and specifications. A strong technical education, professional demeanor, and desire to learn is essential to this position.
Requirement:
· Ethics – Strong ethical foundation in personal and professional conduct
· Attitude – Positive approach towards challenges and new ideas and can-do attitude
· Enthusiasm and passion - consistently maintains high levels of activity and productivity
· Communication - conveys information to internal and external clients clearly with excellent writing or oral skills
· Problem-solving – capability to solve minor or complex problems using data, logic, judgement and problem-solving tools
· Accountability and responsibility - self-starter with willingness to interact as a team player and take independent initiative to ensure tasks are competed
· Teamwork - work with others toward a shared goal, participating actively, sharing responsibility and rewards and contributing to the capability of the team
· Teachable – passionate and willingness for continued learning/sharing of new ideas and concepts
· BS or equivalent in Civil or Structural Engineering, strong academic performance
· Ability to work in the US
Desired:
· Graduate level degree in Civil - Structural Engineering
· Strong understanding of workings of finite element analysis
· Ability to work with and familiarity with computer analysis and productions software
· Demonstrated ability to meet deadlines
· Demonstrated ability of problem solving and quality deliverables
· Professional Engineering License in MA or another state within US with NCEES record
Location: Chelsea, MA, USA
Job Type: Full-time
Pay: $60,000.00 - $150,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Paid time off
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
COVID-19 considerations:
We are following all CDC and local government guidelines. Most of our team is currently working from home.
Ability to commute/relocate:
Chelsea, MA 02150: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
We value strong academic performance - please share a quick summary on that aspect.
What is your expected pay range?
How soon are you available to join the team?
Education:
Bachelor's (Required)
License/Certification:
Professional Engineer (Preferred)
Work Location: One location

Health insurance"
2,Entry Level Structural Engineer,Field & Tung,"Field & Tung in Washington, DC 20036",Onsite,"$70,000 - $120,000 ",r - Full-time,"Seeking entry level Structural Engineer design professional(s) to join our company.
Location. Washington, DC
Commensurate with experience, you will be given design (analysis and detailing) tasks and management responsibilities that will challenge technical skills. We will provide technical and management skills training. We seek team-focused, motivated, organized, and results driven persons to join our team. We are principally a design firm, working on a mix of new buildings, additions, renovations, and historic structures for both private and public Clients.
The ideal applicants should have experience or some familiarity with a variety of structural systems including reinforced concrete, structural steel, wood, and cold formed steel construction and market sectors such as multi-family, mixed-use, commercial, institutional, hospitality, and industrial facilities.
Qualifications:
- College level degree in Civil Engineering, Structural Engineering, or Architectural Engineering. BS or MS degree.
- Proficient in AutoCAD or Revit
- Strong oral and written communication skills
- 0-10 years of experience in structural design is preferred
- Familiarity with commercial, multifamily residential, retail, historic projects preferred.
- Knowledge of design & construction techniques for a variety of building types and materials including reinforced concrete, structural steel, masonry, and wood.
Compensation: Salary and bonuses commensurate with experience and performance.
Benefits: Competitive benefits package, including paid health coverage, professional development and continuing education, generous profit sharing and bonuses.
Job Type: Full-time
Pay: $70,000.00 - $120,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Washington, DC 20036: Reliably commute or planning to relocate before starting work (Required)
Work Location: In person

Health insurance"
3,Structural engineer for renovation,Johnstone,Remote,Remote,$33.50 - $150.00 ,ct,"We are remodeling the whole house and swapping out windows with new shapes and sizes.
The reason we need structural drawings is because of a couple of larger changes.
1) We are adding a bedroom by adding a wall (splitting a room in half) - marked in yellow
2) We are opening up the kitchen by getting rid of one wall and cutting back another (marked in green)
3) We are replacing a 5ft sliding door with a 12 ft bifold door. The roof here is also getting raised to accommodate an 8ft bifold door (marked in blue).
Needs to be licensed for california.
Job Type: Contract
Pay: $33.50 - $150.00 per hour
Schedule:
Choose your own hours
Experience:
Project management: 1 year (Preferred)
Work Location: Remote"
4,Structural Engineer - all levels,GACE CONSULTING ENGINEERS,"31 W 27th St, New York, NY 10001",Onsite,N,ct,"GROW YOUR CAREER
Continuing Education Seminars
Tuition reimbursement
Professional Memberships
Field Experience
Licensing Assistance
Collaborative Design Studios

We are seeking Structural Engineers at multiple levels to join our team to assure that project goals are met, deliverables are developed in accordance with appropriate codes and within budget and schedule, and quality control objectives are achieved. The successful applicant is dedicated to client-centered service, be a naturally organized person and works well with others in our highly collaborative environment. Must be eligible to work in the United States and interview in person in NYC. Salary commensurate with experience. Applicants should send a resume and cover letter to personnel@gace.net.
Duties and Responsibilities may include but are not limited to:
Design structural elements and systems by hand and using computer software.
Determine design criteria using relevant codes.
Use software to analyze and design lateral systems.
Design building foundation, gravity load, and lateral load systems/elements.
Prepare structural drawings.
Attend project meetings.
Review shop drawings.
Perform field inspections and write inspection reports.
Skills and Qualifications:
Bachelor’s degree (minimum) with a concentration in Civil or Structural Engineering.
Experience working in a structural consulting environment. New grads welcome also.
Familiar with latest version of AutoCAD and Revit.
Strong verbal and written communication skills and an ability to work well with others.
Benefits:
GACE offers a great working environment along with a comprehensive benefits package including:
medical, dental, vision insurance
combined PTO pool for vacation and sick time
10 paid holidays per year
Pre-tax transit benefits
401(k) plan with generous match
short and long-term disability insurance
life and AD&D insurance
tuition reimbursement
summer hours and flexible working hours
and much more"
5,Structural Engineer,Synergy Solutions,"16945 Northchase Dr, Houston, TX 77060",Onsite,$25 - $33 ,ct,"This is a Junior level position
Searching for a Junior engineer to work under supervision of Senior Staff to perform computer aided design, calculation checking, and other design tasks.
New graduate or minimal experience acceptable
0-5 years of experience
BS degree in Civil Engineering with Structural emphasis
Equal Opportunity Employer/Veterans/Disabled
To read our Candidate Privacy Information Statement, which explains how we will use your information, please visit https://www.entegee.com/candidate-privacy-information-statement/
The Company will consider qualified applicants with arrest and conviction
Job Types: Full-time, Contract
Pay: $25.00 - $33.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Referral program
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Ability to commute/relocate:
Houston, TX 77060: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Structural engineering: 1 year (Preferred)
Work Location: One location

Health insurance"
6,Structural CAE Engineer,Ford Motor Company,"Dearborn, MI",Onsite,Full-time,Full-time,"We are looking for an experienced structures CAE engineer to lead Inverter System Controllers and related system structural design using CAE tools. You will work with inverter design and release engineers on cutting-edge inverter control technologies for managing the inverter functional environment to be within specified operating conditions. With your creative and analytical mind, you will use key insights to frame new opportunity spaces and guide the experience vision for our future global customers. You will relentlessly advocate a human centric perspective through all stages of the design process. As a team player, you will create impact by collaborating across the Electric Vehicle organization and with key stakeholders of the battery business.

The Ford Global Electrified Powertrain Team is a growing team committed to envisioning and creating simple, thoughtful, enjoyable and compelling product experiences that continually inspire our teams and customers to go further.

The minimum requirements we seek
M.S. in Mechanical Engineering or related field of study
3+ years of experience with structural components and designs in auto industry
3+ years of automotive experience in CAE structural modeling and simulation analysis techniques
Our preferred requirements
Working knowledge of ABAQUS, Nastran, Hypermesh, Teamcenter
Extensive knowledge of various structural materials with high strength, energy flow theory and analysis methods
Working knowledge and experience using CAE preprocessing codes such as Hypermesh equivalent for geometry cleanup and meshing, ABAQUS, Nastran or equivalent for CAE model solving and post-processing
Familiarity with sheet metal related design specs, structural testing setup and data collection experience
Proven record of innovative applications and capability of introducing new ideas for product development
Able to mentor young engineers and a good team player
What you'll receive in return:
As part of the Ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous PTO, retirement, savings and stock investment plans, incentive compensation and much more. You’ll also experience exciting opportunities for professional and personal growth and recognition.

Candidates for positions with Ford Motor Company must be legally authorized to work in the United States on a permanent basis. Verification of employment eligibility will be required at the time of hire. Visa sponsorship may be available for this position.

We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.

For information on Ford's salary and benefits, please visit:
New Hire Benefit Summary

At Ford, the health and safety of our employees is our top priority. Vaccination has been proven to play a critical role in combating COVID-19. As a result, Ford has made the decision to require U.S. salaried employees to be fully vaccinated against COVID-19, unless employees require an accommodation for religious or medical reasons. Being fully vaccinated means that an individual is at least two weeks past their final dose of an authorized COVID-19 vaccine regimen. As a condition of employment, newly hired employees will be required to provide proof of their COVID-19 vaccination or an approved medical or religious exemption

Our diverse Global Electric Vehicle Team collaborates closely with each other as well as with the global suppliers to bring in efficiency and value into the inverter technology. Together our team works to understand our changing world, identify new opportunities, and take action to design and innovate for the future of mobility – Ford’s vehicles and surrounding experiences. You will:
Build 3D inverter internal structural analysis CAE models from CAD designs
Perform 3D structural analysis simulations on system, subsystem and component level inverter system controls in support of inverter internals design development using commercial CAE codes (e.g. ABAQUS, Nastran, etc.)
Evaluate 3D structural analysis results and provide feedback and design direction to vehicle program and inverter team
Interact with vehicle-level teams to obtain boundary conditions for inverter structural level simulations
Interact with labs and vehicle-level testing teams
Specify instrumentation for data collection
Process physical structural test results and use the data to correlate CAE models
Interact with extended CAE teams overseas for CAE meshing and geometric clean up tasks"
7,Marine and Structural Engineer,Krech Ojard & Associates,"Minneapolis, MN 55401",Remote,N,Full-time,"Marine and Structural Engineer
Duluth & Minneapolis, Minnesota and Eau Claire, Wisconsin and working remotely from the West Coast
Krech Ojard & Associates, a multi-discipline engineering firm doing work internationally, has an immediate opening for a Marine-Structural Engineer.
Under general direction of the Marine Director, supervise and perform responsible professional office and field engineering work, including marine or structural design projects.
Krech Ojard offers an attractive benefit package and competitive wage based upon experience.

Please upload cover letter and resume using the form found on this page or at the Careers sections of www.krechojard.com."
8,Entry- Level Civil/Structural Engineer,"POWER Engineers, Inc.","Orlando, FL",Onsite,"$65,000 - $78,000 ",r,"Entry-Level Civil/Structural Engineer
Job Summary of Roles and Responsibilities:
Under the guidance of experienced staff, the successful candidate will learn to design overhead transmission line and substation structures, foundations, and their related facilities.
Required Education/Experience
Pursuit and completion of a bachelor's degree in civil engineering from an accredited university.
Excellent verbal and written communication skills.
Candidate is interested in consulting engineering and the electric utility industry.
Candidate is legally authorized to work permanently in the U.S. without the need for work sponsorship.
Desired Education/Experience
Minimum of a 2.75 GPA.
Ideal coursework includes structural analysis, concrete, steel, soils, foundations, and surveying.
Attention to detail, time management, and organizational skills will be critical for the successful completion of tasks.
Prior internship and/or related engineering experience is a plus.
Students who have passed or are scheduled to take the FE/EIT exam will be strongly considered for this position.
Familiarity with design, drafting, or engineering software such as MATHCAD, AUTOCAD, etc. as well as Microsoft Excel is beneficial.
At POWER Engineers, you can have a rewarding career on every level. Our philosophy is simple: Do Good. Have Fun. Build Success.
You’ll work on fun and challenging projects and initiatives. You’ll have the chance to make a positive impact on society and the environment. And you’ll find the support, coaching and training it takes to advance your career.
Since we’re employee-owned, we get to make POWER a great place to work. That includes providing competitive compensation, professional development and a full benefit package:
Medical/Dental/Vision
Paid Holidays
Vacation/Paid Sick Leave
Voluntary Life Insurance
401K
Telehealth Benefit covers all providers
Maternity and Paternity Leave
New Dads and Moms Benefit program
Fertility Benefits
Gender affirming care
POWER is a fun engineering firm. That might seem contradictory to some, but it works for us!
Salary DOE: The pay range for this position is $65k - $78k per year; however, base pay may be higher or lower depending on the candidate's job-related knowledge, skills, and experience. This figure does not include additional compensation such as health benefits, vacation, 401k, etc.
EOE, including Disability/Vets
#LI-AA1"
9,Document Review Civil/Structural Engineer (REMOTE),Gilbane Building Company,"Providence, RI 02903",Remote,Full-time,Full-time,"Overview:
GILBANE has an opportunity for a Document Review Civil/Structural Engineer with the potential for fully REMOTE working conditions.

Great opportunity to join a unique department in the construction industry! Our Interdisciplinary Document Coordination (IDC) department is one of a kind and provides a value-add to our design partners, clients, and construction teams. The Document Review Civil/Structural Engineer is primarily responsible for reviewing civil, landscape, and structural construction drawings and specifications to ensure alignment between project documents and design intent. The candidate will use their experience alongside the IDC checklist to perform this job function, while working with a team of other discipline experts.

Position location is flexible, 100% remote capable, we are looking to grow our team geographically.
Responsibilities:
Conduct civil and/or structural reviews of drawings and specifications and identify discrepancies and cross discipline coordination issues
Work with fellow IDC Team members to investigate and identify cross discipline discrepancies
Participate in presentations to clients, designers, and construction teams
Develop documentation review strategies relative to the civil, landscape, and structural disciplines
Ensure the accuracy of review comments and professional appearance of review documents
Assume responsibility for the completion of all review tasks for the civil and/or structural disciplines
Qualifications:
KEY COMPETENCIES

Communicate Eﬀectively - Listen to understand and clearly convey information in all forms based on the audience to ensure shared meaning of the message
Act Inclusively - Ensure that actions and behaviors are respectful; show empathy and treat others with dignity. Leverage capabilities and insights of individuals with diverse perspectives, abilities and motivations.
Solve Problems - Identify, prioritize and implement alternates for a solutions.
Demonstrate Agility/ Adaptability – Maintain effectiveness and adjust to change by exploring the rationale, trying new approaches, and collaborating with others to make the change successful.
Create an atmosphere of open-mindedness to change.
Drive for Results - Show passion and commitment while delivering on business outcomes.
Create a sense of individual ownership and accountability.
Champion Innovation - Identify opportunities for new and improved ways of doing things that result in value added, unique and different solutions.
EXPERIENCE/EDUCATION
8+ years of experience reading and understanding civil and/or structural construction documents and specifications
5+ years civil and/or structural field experience or 5+ years in a civil and/or structural design environment or equivalent combination of education and experience
Civil or Structural Engineering Degree is a benefit
Procore experience is a benefit
Underground and utility experience is a benefit
Geothermal system experience is a benefit
KNOWLEDGE, SKILLS & ABILITIES
Ability to change assignments as workload priorities change
Knowledge of construction means and methods
Time management and attention to detail
Highly organized
Computer programs candidate will use: Procore, Bluebeam, Microsoft Team, Microsoft Excel, Microsoft Office, Microsoft Teams
Ability to work with a team
Ability to be self-disciplined
For (Rhode Island) this ranges from $70,000 -$95,000 plus annual incentive, benefits and retirement program.

#LI-Hybrid

Gilbane offers an excellent total compensation package which includes competitive health and welfare benefits and a generous profit-sharing/401k plan. We invest in our employees’ education and have built Gilbane University into a top training organization in the construction industry. Qualified applicants who are offered a position must pass a pre-employment substance abuse test.
Gilbane is an Affirmative Action/Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to age, color, national origin, race, religion, sex, sexual orientation, gender identity, protected veteran status, or disability status."
