,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Electrical Engineer II,Platform Aerospace,"Hollywood, MD 20636",Onsite,"$88,200 - $101,400 ",r,"Platform Aerospace is the industry leader in rapid aircraft and UAV modification and system integration through our world-class* engineering, design, analysis* and fabrication teams. We take your project from the laboratory to fully functional in the aircraft in aggressively quick turnarounds. We are dedicated to excellence and our clients mission success while dramatically reducing risk through our over 27 years of experience and training.
Be a part of a world record setting team!
JOB TITLE: ELECTRICAL ENGINEER II
DEPARTMENT: SYSTEMS & AVIONICS
REPORTS TO: SENIOR ELECTRICAL ENGINEER
CLASSIFICATION: EXEMPT
Salary range:
$88,200 - $101,400 USD
Job Summary:
Under indirect supervision, design electrical systems for aircraft installations.
**
Duties/Responsibilities:
Responsible for electrical schematics and harness diagrams of UAV and the ground station.
Responsible for COTS avionics interconnections to the baseline electrical systems.
Responsible for maintaining and updating the custom avionics technical data packages.
Responsible for the aircraft power budget (generation capacity vs power draw).
Creation of manufacturing and integration technical data packages, such as schematics, bill of materials, and manufacturing instructions.
Work alongside with other electrical engineers for requested changes to the baseline design.
Review and plan requested feature additions or changes to the electrical system, including estimating schedule, budget, and tasking.
Management of a small team of electrical engineers, including coordination of tasking, schedule, budget requests.
Coordination with mechanical, aero, and software team leads for agreement on schedule and order of operations.
Coordination with mechanical and electrical technicians for integration of harnesses and new payloads, within responsibility of TDP development and post-installation test verifications.
Coordination with quality assurance for sign-off of design and work quality.
Planning and execution of electrical systems tests toward FAA or DoD aircraft standards.
Recommendations of electrical system changes within provided technical roadmap and strategy documents.
Other duties as assigned and/or required.
Education and Experience:
Electronic systems, electronics troubleshooting, electronic testing design, electrical power system design, and attention to detail. Must have a bachelor s degree in electrical engineering and 2 to 5 years of relevant electrical engineering experience, or a graduate degree in electrical engineering.
Direct experience in development of electrical systems for unmanned aircraft or other robotic system
Working knowledge of power generation and load analysis
Working knowledge of embedded PCB design and writing low-level firmware is a plus
Experience with a computer schematic drawing package required, an electrical simulation software is a plus
Any hobbies in robotics are a plus
Indeed1
Benefits:
Platform Aerospace provides a comprehensive benefits package and a work environment that encourages your growth and supports the success of our people and our company. Platform Aerospace's benefits give you the flexibility and control to choose the benefits that make the most sense for you and your family
Health insurance coverage
Life and disability insurance
Partial 401(k) match
Paid vacation and holiday
Educational Assistance
Flexible work schedule
Pay: $88,200.00 - $101,400.00 per year"
1,Embedded Electrical Engineer,Legato Search Inc.,"Lincolnshire, IL",Onsite,Full-time,Full-time,"We are seeking an Embedded Electrical Engineer to serve as a thought leader in positioners systems solutions...
The ideal candidate will be expected to work with creative evaluations of alternative solutions, identify risks and propose mitigation strategies associated with the design of their new and custom products.
Responsibilities:
Initiate and implement efforts to detect, solve and preclude the recurrence of design problems in addition to developing and implementing efforts to reduce excess works costs. Remain up to date on new and emerging technologies within area of technical expertise and serve as resource to other employees.
Initiate and implement new circuit board designs including but not limited to microcontrollers, transceivers, ethernet/USB chips and power regulators.
Develop (and Support team efforts) embedded software for boards with 8-to-32-bit Microcontrollers, sensors, and motor drivers.
Maintain and expand existing software created for boards with 8-to-32-bit Microcontrollers, sensors, and motor drivers.
Lead/ participate in design review for software and electrical circuits and PCBs.
Create and release designs assuring functionality, feasibility, reliability, completeness, and conformance with applicable standards while maintaining high quality & consistency of engineering deliverables.
Failure analysis on returned units for software and electrical issues. Debug and troubleshoot embedded systems and prototyping boards. Use electrical test equipment such as network analyzer, oscilloscope, protocol analyzer for wide range of applications.
Qualifications:
7-10 years’ of experience with circuit boards and software development for motion control systems is preferred.
Must have C embedded experience needed.
Minimum 5 years of circuit and PCB design experience with Altium Designer or similar software is required
B.S. Electrical Engineering from an accredited engineering school.
Location: Northbrook area, Salary $130-140k with bonus, Citizen or GC only"
2,Software Engineer for Embedded Development,Q-Free America,Remote,Onsite,Full-time,Full-time,"Q-Free is the prime mover in intelligent traffic management solutions. Our company works to create sustainable smart cities where people and goods safely and efficiently move through traffic infrastructure. Our software engineers work on cutting-edge projects using innovative ideas that have been created by collaborating with their colleagues. Software development is critical to Q-Free and the success of our customers. We currently have openings for talented and diligent Software Engineers for the Technology division. The ideal candidate has a focus on quality, performance, consistency, and time-to-market.
Required Qualifications
Excellent knowledge on Modern C++ with 5 years of experience
Knowledge on Python with 2 years of experience
Experience with distributed applications
Experience with memory/resource constraint environment and embedded systems application development
Familiarity with GCC tool chain
Understanding of message broker architecture; clear concept on pub/sub, request/response, polling, caching, sync/async, etc.
Good understanding of API level design. Be able to design and develop APIs.
Be able to debug and troubleshoot C++ applications end-to-end.
Preferred Qualifications
Experience with Redis, Lua, Nginx, Rest API, Docker
C-make experience is a plus
Bachelor’s or master’s degree in Computer Science, Software Engineering, or equivalent
Exposure to Traffic domain (Intelligent Transportation Systems)
Knowledge of Linux and Windows OS
· Clear communicator, be able to prioritize, estimate, break-down, and implement tasks
Able to think abstractly and conceptualize solutions before implementation
Able to come up with tactics to tackle ambiguous problems
Responsibilities
Supports design, development, implementation, and maintenance of software programming applications on embedded systems.
Completes most development activities independently.
Works on complicated tasks that may require an in-depth level of engineering knowledge.
Has extensive knowledge in software programming concepts, practices, and procedures and knows when and how to apply them to their work.
Understands the programming language they are working in to design and refactor for performance and scalability.
Relies on experience and judgment when estimating, prioritizing, planning, and coordinating work.
Able to break down work into consumable tasks and identify how much work is required to complete the tasks.
Conducts code reviews in a timely manner and identifies discrepancies in logic pertaining to the task at hand.
Documents supporting installation instructions and basic user operations and troubleshooting manuals.
Supports system configuration along with supports application deployments inclusive of occasional after-hours assistance.
Actively participates and leads by example in organization’s software development processes and test strategies.
Recognizes software programming problems/issues and provides solutions for review by manager.
Executes work efficiently and meets agreed deadlines.
Takes direction and both positive and critical feedback in a constructive manner.
Q-Free America ensures our employees are happy and healthy. Our dynamic and comprehensive benefits package allows our employees to take care of themselves and their families. Our benefits package includes, but is not limited to – health, vision, dental, 401 (k) plan, EAP, flexible benefits; also, company-paid life, short-term and long-term disability!
For more information, visit our website at www.q-free.com
We thank all applicants for their interest; however, only qualified candidates will be contacted.
Q-Free proudly celebrates diversity in our employees.
EOE/AA/M/F/Veteran/Disabled Drug-Free Workplace
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Vision insurance
Schedule:
8 hour shift
Monday to Friday
COVID-19 considerations:
Employees, who work in areas with a low transmission determined by CDC Community Level, are not required to wear a mask unless it is their preference. Employees are requested to work from home if they are experiencing COVID symptoms until no symptoms.
Education:
Bachelor's (Required)
Experience:
Modern C++: 7 years (Required)
Python: 2 years (Required)
GCC tool chain: 7 years (Required)
polling: 7 years (Required)
Work Location: Remote

Health insurance"
3,SENIOR ENGINEER SOFTWARE,"Woodward, Inc.","Valencia, CA",Onsite,Full-time,Full-time,"SENIOR ENGINEER SOFTWARE
2201659
**
*Position Purpose:*
Software engineers may develop embedded software, user interface software, regression tests, hardware-in-the-loop integration tests, control system development tools, database systems, operating systems, compilers, interpreters and device drivers. Software engineers perform work requiring the application of standard engineering principles, practices, procedures and evaluation criteria in conjunction with appropriate software and compliance standards. Responsibilities may include design solutions/implementation, test creation/execution and/or general support.
Essential Functions:
Design, support and test of moderate to high complexity software systems and sub-systems.
Strong knowledge of software development and analysis tools including editors, compilers, linkers, debuggers, code analyzers, version control systems, software testing tools, etc.
Creation of specifications, process study, research investigations, report preparation and other activities requiring knowledge of Woodward products and specific market requirements.
Develop and facilitate execution of test plans. Devise new approaches to problems encountered.
Perform work which includes a variety of complex features such as conflicting design requirement and difficult coordination requirements.
Provide work effort estimates, assist in project planning efforts including project task definition.
Act as a leader for engineering technical reviews.
Assignments of project engineer on specific projects - may direct the activities of multiple Software or Software Verification Engineers.
Participation in strategic planning process.
Participation in process/standard improvement activities.
May be required to engage into customer and industry presentations.
Other Functions:
(Only 1 Specific Area May Apply)
PRODUCT SUPPORT SPECIFIC RESPONSIBILITIES:
Strong knowledge of appropriate internal information management system (i.e. ERP, MRP, PLC and Document Storage system) applications.
Manage/coordinate all levels of derivatives including task definition and duration estimation.
Strong root cause analysis skills.
Highly knowledgeable in a select group of products.
Strong use of technical assistance, incident tracking ,and knowledge-base applications.
Manage/coordinate engineering changes so that they minimize impact to the rest of the organization - mentor lower level engineers in these tasks. Participate/coordinate engineering functions such as E/C Review Committee.
Strong knowledge in a diverse group of products.
DEVELOPMENT SPECIFIC RESPONSIBILITIES:
Participate/coordinate in Engineering Peer Reviews.
Independent unit testing, debugging, software/hardware integration.
Support and suggest product improvement and replacement efforts.
Manage/coordinate low to moderate complexity engineering changes so as to minimize impact to the rest of the organization.
Suggest process and standards improvement efforts.
Highly knowledgeable in select group of products.
Provide input for all levels of derivatives including task definition and duration estimations.
Participate in customer and/or industry presentations.
VERIFICATION SPECIFIC RESPONSIBILITIES:
Assure quality of software or software tool using regression, integration and system testing, as appropriate.
Creating and reviewing verification plans; capturing needed requirements.
Assuring proper test results; reviewing test results with developers and provide technical expertise and knowledge during issues solving.
Coordinate/perform all levels of testing per predefined test plan; monitor adherence to test schedule(s).
Assure creation of automated regression testing; research new technologies to improve testability.
Assure robust software product release readiness reviews, including appropriate sign-offs.
Assure pre-existing product life cycle development process; monitor process for effectiveness.
Materials and Equipment Used:
PC and related equipment.
Working Environment / Physical Activities:
Work is generally performed in a normal office environment; however, the job may take the member into various areas of the plant where there is possible exposure to noise, chemical solutions, dust and temperatures above 80 degrees F.
Moderate travel may be required.
Knowledge/Skills/Abilities:
Advanced engineering knowledge, proven software design, development and verification aptitude.
Capable of writing good software requirements that satisfy system expectations.
Advanced written/verbal communication skills and presentation skills; advanced teamwork abilities.
Advanced problem solving & troubleshooting skills and analytical calculation skills.
Solid use of PC's and associated software.
Full knowledge of software engineering lifecycles and quality process.
Basic leadership skills.
Solid knowledge in specialized technical field or product family or wide spectrum of general knowledge.
Awareness of new technologies and new tools usage in the industry.
Education or Formal Training:
4 year technical/science degree or International equivalent required.
Experience Required:
Greater than 5 years professional software engineering experience or a combination of experience and advanced degree required.
Solid experience with software development and/or verification required.
Project technical leadership experience desired.
Woodward is an independent designer, manufacturer, and service provider of control solutions for the aerospace and energy markets. Our aerospace systems and components optimize the performance of fixed wing and rotorcraft platforms in commercial, business and military aircraft, ground vehicles and other equipment. Our energy-related systems and components enhance the performance of industrial gas and steam turbines, reciprocating engines, compressors, wind turbines, electrical grids and other energy-related industrial equipment. The company’s innovative fluid energy, combustion control, electrical energy, and motion control systems help customers offer cleaner, more reliable and more efficient equipment. Our customers include leading original equipment manufacturers and end users of their products.
Woodward is an Equal Opportunity Employer
EO/AA/M/F/Disabled/Protected Veterans
Job Software Engineering
Primary Location United States-California-Valencia
Organization Woodward
Schedule FULL TIME
Shift 1st Shift / Day Job
Job Type: Full-time"
4,Embedded Software Engineer,Arkham Technology Ltd.,"Arkham Technology Ltd. in Irvine, CA 92614",Onsite,Full-time,Full-time,"Embedded Software Engineer
Must be U.S. citizen due to U.S. Government contract requirements.
Are you tired of office politics and bureaucracy? Do you want to be part of a rapidly growing team?
Arkham Technology is doubling in size this coming year. We focus on getting things done without the drama and politics and that has resulted in our rapid growth! We need more great people to help us keep up our momentum, and to add to our fun. We have a cohesive team focused on innovative projects. Free snacks, espresso, coffee and group activities are all part of the fuel that propels us forward.
If you love working on fun projects big and small, are excited about finding solutions to problems… if you love working with amazingly genuine people, this is the place for you. We are looking for exceptional folks who love what they do and want to work with others who are just as passionate. We think we have the best work environment out there, but apply for a position and come take a look.
Must be eligible to obtain and maintain a DoD Secret clearance. Active clearance preferred.
‪Minimum Qualifications:
3+ years of embedded software development
Proficiency with ANSI C/C++ language
‪Experience with Application-level development (RTOS, Linux, .NET, GUI design, C#, C++, Java, etc.)
Proficiency debugging software systems
Effective communications skills, both in spoken presentation and technical writing
Bachelor’s degree or equivalent in Electrical Engineering, Computer Engineering, Computer Science, etc.
Ability to support periodic travel
Ability to adhere to requirements for Federal Contractors https://www.whitehouse.gov/briefing-room/presidential-actions/2021/09/09/executive-order-on-ensuring-adequate-covid-safety-protocols-for-federal-contractors/
‪Additional Qualifications:
‪‪‪Experience with embedded networking (TCP/IP, UDP/IP, HTTP Server, SSL/TLS/IPSec, PKI, SNMP, etc).
‪‪Experience with cybersecurity, information assurance, cryptography, etc.
Experience with micro-controller firmware development (JTAG, Raspberry PI, Arduino, PIC32, ARM Cortex, etc.)
‪Experience with micro-controller peripheral hardware interface (UART, USB, Ethernet, I2C, SPI, etc.)
Experience with electronics test equipment (oscilloscope, logic analyzer, digital multi-meter, etc.)
Experience with detailed networking protocols & APIs (OpenSSL, WolfSSL, SNMP, MQTT, XMPP, etc.)
‪Experience with RTOS (FreeRTOS, uCOS, embedded Linux, seL4, etc.)
‪Experience with Cloud technologies (AWS, VMWare, etc.)
Experience in software engineering methodologies and best practices (Agile, Extreme, etc.)
Experience with scripting languages (TCL, Bash, Perl, Python, etc.)
We are an Equal Opportunity Employer. We do not discriminate based on race, religion, sex, national origin, age, veteran status, disability or an
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Referral program
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:
We are following recommended guidelines from the CDC and the state health officials to reduce viral spread.
Application Question(s):
Are you a US citizen? Must be U.S. citizen due to U.S. Government contract requirements.
Experience:
Embedded software: 3 years (Preferred)
Work Location: In person

Health insurance"
5,IoT Engineer- $100K,Canadian Executive Search Group Inc.,"Pulaski, TN",Onsite,"$100,000 ",r - Full-time,"AWS/CES is looking for an IoT Engineer

Salary-$100K

Location: Pulaski TN

The IoT engineer is also responsible for developing and managing a wide range of devices, platforms,
software, hardware and IoT systems by combining data, technology, and research.

 Creation and development of devices, sensors, and software to support
the optimization of industrial activities
 Research, creation, testing, and documentation of IoT solutions implemented
 Design, coding, and testing of IoT device functionalities
 Solutions to network and platform connection issues
 Analysis of user needs and service design
 Development of software that monitors and executes processes
 Design of cloud-enabled platform solutions that work with IoT applications
 Development of software that enables IoT devices to operate and connect to
other devices

QUALIFICATIONS: you must have a B.A degree

 You have an engineering degree and speak English perfectly (international
context - regular contacts with different sites abroad)
 You have a thorough understanding of computer programming and network
security
 You have a good knowledge of sensors, automated environments,s and of AI
 You are familiar with front-end, and back-end environments and hardware
 You have a real interest in software such as Netbeast, Neura and
OpenSensors, Node.js, and knowledge of the Linux operating system.
 As well, a good knowledge of programming languages: Embedded-C,
Embedded C++, JavaScript and Python.
 Strong interest in Big Data and automatic learning algorithms; strong
understanding of IoT architecture and principles as well as device and data
security and data security

 You are open to frequent international travel (1 week per month)


If you are interested please send your resume to brittany@canadianexecutivesearch.com

CESDH"
6,V&V Embedded Software Engineer (On-site),Anomalous Intelligence,"Carrollton, TX",Onsite,"$100,000 - $135,000 ",r - Full-time,"Summary
This role has been updated as of 3/15/2023. Accepting additional candidates!
Our client specializes in the design and construction of digital control systems for a variety of power and industrial applications. Based on sound technological advancements, we supply our customers with an array of advanced control hardware, software applications, and support services that offer distributed intelligence and information management for the most reliable process control solutions. With over five decades of innovation and manufacturing of control systems in hundreds of installations around the world, our coverage is strengthened by our experienced field service faculty, robust technical support, and extensive training capabilities.
They are currently seeking an individual who can take on the role of our V&V Embedded Software Engineer. This individual will work in a development team as well as a V&V environment, so a positive attitude and teamwork spirit are essential. This position requires an individual with experience in verification and validation for real-time embedded systems and familiarity with developing control system software and hardware.
Duties and Responsibilities
Collaborate with a multi-discipline team to define the requirements interfaces between system application, hardware components, microcontrollers, and software, and the operational performance requirements of the integrated system.
Understand and perform verification evaluations and analysis of safety system requirements, design, implementation, and testing.
Develop the high-level architecture through functional analysis and allocation of requirements, concept development, and selection.
Review schematics, bills of materials, and documentation including dimensions, part numbers, wiring and assembly diagrams, logic drawings, and graphics.
Check documentation from the draft to ensure accuracy and completeness in compliance with all relevant codes, standards, and specifications.
Perform all aspects of system testing including, the development of test plans, test design, developing test cases, writing test procedures, and being able to execute system tests.
Work closely with the application engineers and software development team to select the development and testing methodology and tools that meet the system and software requirements and comply with the enterprise and industry-level processes and standards.
Work closely with the application engineers and software research & development team to develop the system, software, and hardware test plans. Use SiL, MiL, and HiL methods and tools as applicable for system validation and integration testing.
Develop, deploy, and continually improve development processes and architectures, based on applicable standards and methodologies.
Guidance and tracking of development through the V&V lifecycle. Preparation of reports for each V&V lifecycle task describing the V&V task performed and the conclusions of the task and creating the overall summary report summarizing all V&V tasks completed including tasks that were performed by others.
Participate in technical reviews of the system/software/hardware to support the development process and ensure the technical integrity of system/software/hardware deliverables.
Participate in end-product development activities by contributing ideas, concerns, risk analysis, and mitigation as required.
Participates in end-product design reviews associated with each product development phase including system-level reviews and FMEAs.
Participate in end-product team meetings to communicate system/software/hardware development status.
Required
B.S. or M.S. in Computer Engineering, Computer Science, or related Engineering subjects
Experience in system/software development process lifecycles and tools, including requirements
management and configuration management tools.
Experience with analytical engineering software tools including microprocessor emulators.
2 years of experience in Software Development (able to review other people's work)
Experience with full life cycle development of embedded software and Advanced RISC Machines is
plus.
Experience with C/C++, QNX, and Assembly language experience is a plus.
Understanding of Industry standards (IEEE, EPRI, NQA) and how they apply to specific V&V activity.
Ability to demonstrate proficiency using system/software development tools and to architect system /
software solutions.
Understand and debug low-level software integration and define the system, and software performance
requirements for specific system solutions.
Ability to apply knowledge, skills, and analytical methods to ensure system reliability and optimized
performance.
Maintain an excellent work ethic and is proficient in both written and verbal communications"
7,Embedded Software Engineer,John Deere & Company,"Urbandale, IA 50322",Hybrid remote,N,r - Full-time,"There are over 7 billion people on this planet. And by 2050, there will be 2 billion more... many moving into urban centers at an unprecedented rate. Making sure there is enough food, fiber and infrastructure for our rapidly growing world is what we're all about at John Deere. And it's why we're investing in our people and our technology like never before! Here the world's brightest minds are tackling the world's biggest challenges. If you believe one person can make the world a better place, we'll put you to work. RIGHT NOW.

John Deere is an equal opportunity employer. All qualified applicants will receive consideration for employment without regards to, among other things, race, religion, color, national origin, sex, age, sexual orientation, gender identity or expression, status as a protected veteran, or status as a qualified individual with disability.

Primary Location: United States (US) - Iowa - Urbandale
Function: Engineering (CA)
Title: Embedded Software Engineer - 95542
Onsite/Remote:Partial Remote Position

Responsibilities

Design, develop and maintain code employed in John Deere precision ag systems
Work with stakeholders to develop solutions to meet customer needs
Work with other software engineers to resolve complex issues and align on solutions
Work with customers to understand where systems could be improved and share those findings with development teams.

Visa sponsorship is NOT available for this position.
What Skills You Need

1 or more years' experience C++ coding experience
What Makes You Stand Out

Experience working with leading team decisions and gaining consensus
Developing software in the precision guidance space (at least 1 year)
Experience with software development and usage of custom analysis tools
Experience with CAN networks and working with interfaces
Experience testing frameworks including Google Test and Froglogic Squish
Experience with production agricultural practices
Experience with ISG Gen4 development practices
Education

Ideally you will have a degree or equivalent related work experience in the following:
BS degree in Computer Science, Engineering, or another technical field.
Coursework in software development
#LI-Hybrid
What You'll Get
At John Deere, you are empowered to create a career that will take you to where you want to go while working in an inclusive team environment. Here, you'll enjoy the freedom to explore new projects, the support to think outside the box and the advanced tools and technology that foster innovation and achievement. Additionally, we offer a comprehensive reward package to help you get started on your new career path, including:
Flexible work arrangements
Highly competitive base pay and performance bonuses
Savings & Retirement benefits (401K and Defined Benefit Pension)
Healthcare benefits with a generous company contribution in the Health Savings Account
Adoption assistance
Employee Assistance Programs
Tuition assistance
Fitness subsidies and on-site gyms at specific Deere locations
Charitable contribution match
Employee Purchase Plan & numerous discount programs for personal use

Click Here to find out more about our Total Rewards Package.

The information contained herein is not intended to be an exhaustive list of all responsibilities and qualifications required of individuals performing the job. The qualifications detailed in this job description are not considered the minimum requirements necessary to perform the job, but rather as guidelines.

The terms of the applicable benefit plans, and all company actions administering or interpreting these plans, continue to control. Deere & Company reserves the right to suspend, amend, modify, or terminate the Plan(s) in any manner at any time, including the right to modify or eliminate any cost-sharing between the company and participants. Changes, which can be made at any time, are made by action of the company's board of directors, or to the extent authorized by resolution of its board of directors, or by the Deere & Company Compensation Committee. In the event of a conflict between the language of the official Plan Documents and this document, the language of the official Plan Documents will control.

ACA Section 1557 Nondiscrimination Notice
The John Deere Health Benefit Plans for Salaried Employees and The John Deere Benefit Plan for Wage Employees comply with applicable Federal civil rights laws and do not discriminate on the basis of race, color, national origin, age, disability, or sex."
8,Embedded Firmware Engineer,Actalent,"Durham, NC 27701",Onsite,$55 - $65 ,ct,"Equivalent Experience
Description:
Responsibilities:
Create and maintain embedded C code for Arm MCU projects
Develop firmware drivers, middleware and 3rd party integration code
Debug, test, document and deploy code for use by Renesas partners and customers
Integrate code with proprietary tooling using XML and basic JavaScript
Train, advise, review, problem-solve, and collaborate with 3rd party development partners
Work with Renesas engineering and marketing team members on product definition, development, test, QA, deployment, maintenance & support
Skills:
Firmware, Embedded c, Rtos, arm cortex M, baremetal, Embedded software
Additional Skills & Qualifications:
BS or MS in CS, CE or EE
5+ years in embedded
Experience as a lead embedded developer
Experience working with 3rd party developers and offshore teams
Expert in embedded C
Hands-on experience with software engineering processes and tools
RTOS and related stacks / middleware
Excellent communication skills
FW development for Consumer, Industrial, Medical products
Experience developing in Linux environment
Hands-on system bring-up, testing, and debugging skills
Excellent documentation skills
Some experience with DevOps tools and infrastructure
About Actalent:
Actalent connects passion with purpose. Our scalable talent solutions and services capabilities drive value and results and provide the expertise to help our customers achieve more. Every day, our experts around the globe are making an impact. We’re supporting critical initiatives in engineering and sciences that advance how companies serve the world. Actalent promotes consultant care and engagement through experiences that enable continuous development. Our people are the difference. Actalent is an operating company of Allegis Group, the global leader in talent solutions.
The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law."
9,Senior Embedded Engineer,TEKtalent Inc,"TEKtalent Inc in Woodbury, NJ 08096",Onsite,"$140,000 - $180,436 ","r - Full-time, Internship","We are looking for a Senior Firmware Engineer. for our client. This is a full-time direct-hire position with one of our direct clients.
Skills/Experience required:
Familiarity and experience working with Linux, and scripting languages.
Experience managing code management systems such as Bitbucket or GitHub
Experience working with hardware teams to isolate failure causes.
Proven track record of proactively working with the development and QA stakeholders.
Strong technical capabilities of a developer combined with a passion for assuring product quality.
Project management skills, including planning, estimation and requirements management.
Expert level skills in one or more scripting languages such as TCL, Python and Perl.
Experience with embedded and host applications developed in C, C++, C# and .NET
Job Types: Full-time, Internship
Salary: $140,000.00 - $180,435.50 per year
Benefits:
401(k)
Dental insurance
Health insurance
Life insurance
Vision insurance
Schedule:
8 hour shift
Ability to commute/relocate:
Woodbury, NJ 08096: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
If you are interested in this role please share the following details:
1. Salary Expectation?
2. Visa Status?
3 Are you ready to work onsite/hybrid Location Boston, MA or Woodbury, NJ?
4. Notice Period?
Experience:
Embedded software: 10 years (Required)
C++: 10 years (Required)
TCP/IP: 10 years (Required)
Linux: 10 years (Required)
Work Location: One location

Health insurance"
