,Title,Company,Location,Type,Salary,Contract_type,Job Description
0,Transmission Line Inspector - Temporary (REMOTE),"POWER Engineers, Inc.","Rocky Mountain, OK",Remote,"$83,000 - $120,000 ",l,"Transmission Line Inspector - Temporary
Job Summary
Perform field inspections on electrical transmission line projects. Work will be conducted in various locations: Rawlins, Wyoming – Craig, Colorado – Vernal, Utah. This work is temporary and will be for a seasonal work rotation from approximately May through mid-December.
Required Experience
The successful candidate will have 5+ years of active field experience, computer skills (to properly fill out daily and weekly reports) and also be capable of photo documentation with working knowledge of Word and Excel
Travel requirement is based on project location
Desired Experience
Minimum 15+ years knowledge of Transmission Line work, foundations and stringing of conductors, and Transmission Substations and facilities, are all strongly preferred
Knowledge of QA/QC inspections and reporting practices
Knowledge of various electronics used to create reports i.e. I-Pad, Digital Camera, Hot Spot, Range Finder etc
Physical Requirements
Included but not limited to:
This job may require you to work up to 16 hours a day for 6 days
Able and willing to travel and stay for a minimum of 6 weeks at a time for a project
Must be able to work in extreme weather conditions for up to 12hrs a day
Must be able to wear company-provided PPE for the entire shift while onsite
Able to lift a minimum of 30lbs or more at any given time throughout the day
Must be able to walk on average 3+ miles per day across rough terrain and/or unlevel surfaces
Ability to step in and out of a 3/4-ton pickup truck several times a day
Required Skills
Included but not limited to:
Must have current and valid driver’s license
Proficient in reading and interpreting plans and specifications and comparing with the customer or engineers’ standards
Combined in the below statement
Proficient in both verbal and written communication with the ability to communicate well with others at all levels of the organization
Will prepare detailed reports and present to the customer in an organized, clear and concise manner each day
At POWER Engineers, you can have a rewarding career on every level. Our philosophy is simple: Do Good. Have Fun. Build Success.
You’ll work on fun and challenging projects and initiatives. You’ll have the chance to make a positive impact on society and the environment. And you’ll find the support, coaching and training it takes to advance your career.
Since we’re employee-owned, we get to make POWER a great place to work. That includes providing competitive compensation, professional development, and a full benefit package:
Medical/Dental/Vision
Paid Holidays
Vacation/Paid Sick Leave
Voluntary Life Insurance
401K
Telehealth Benefit covers all providers
Maternity and Paternity Leave
New Dads and Moms Benefit program
Fertility Benefits
Gender affirming care
POWER is a fun engineering firm. That might seem contradictory to some, but it works for us!
Salary DOE: The pay range for this position is $83k - $120k per year; however, base pay may be higher or lower depending on the candidate's job-related knowledge, skills, and experience. This figure does not include additional compensation such as health benefits, vacation, 401k, etc.
EOE, including disability/vets
#LI-BE1 #REMOTE"
1,Transportation/Distribution Line Inspectors,RGC Power Group,Texas,Onsite,"$115,000 - $160,000 ",r - Full-time,"Job Description:
This position will be responsible for performing field inspections on electrical distribution line projects. This position may be up to 100% travel. Mobilization to and from the project can be provided by RGC Power. Work locations are varied in the state of Texas.
In this role you will log daily reports of contractor electrical line crew work. Observe work and give feedback as needed, while working with established utility and privately owned electrical companies.
Inspecting line construction work for compliance with standards and contracts. Observe safety procedures on and around high voltage conductors & equipment to make sure contractors are following safety rules and guidelines. Read and follow written and orally communicated instructions. Maintain a positive work environment with coworkers and the public. Perform work for extended periods of time. Efficient recordkeeping, word processing, spreadsheets and databases. Weekends and holidays may also be required at the customer’s request. Working in remote locations and hazardous areas may be required. Travel requirements are based on project location.
Primarily responsible for field inspections on electrical distribution line projects.
Work with contractors to ensure work is completed according to customer standards.
Performs reviews of construction designs. Document site as-built conditions in real time.
Job site records and progress reporting with photo documentation.
Verification of construction methods and techniques.
Work overtime and emergency storm assessments as needed. Available for emergency response work as needed. Work unique schedules as required by the customer.
Will prepare detailed reports and present them to the customer in an organized, clear, and professional manner daily.
Be a self-starter and provide practical solutions to technical issues.
Qualifications/Experience:
Any combination of education, experience and skills will be taken into consideration.
Experience working in the Electric Utility Industry is required. Transmission line maintenance and construction, substation maintenance and construction, distribution line maintenance and construction, utility operations or inspection.
Expertise in distribution line work, foundations, stringing of conductors, and transmission substations facilities, are all preferred.
Electrical Lineman with Distribution or transmission experience. Underground and/or overhead.
Experience in but not limited to grounding, voltage identification, distribution transformers, labeling of circuits. Material installation methods, types of equipment construction, maintenance and repair for transmission and distribution.
5 years of Electric Utility Distribution experience. Journeyman knowledge relative to line construction OR Two-year technical degree with greater than 3 years of relevant Electrical Utility Distribution experience.
Strong attention to detail and a commitment to the RGC Power Safety culture
Proficient at using Microsoft tablets, computers, and Microsoft Office products and tools.
Proficient in reading and interpreting plans and specifications and comparing with the customer or engineers’ standards.
Proficient in both verbal and written communication with the ability to communicate well with others at all levels of the organization.
Needed Education/Experience:
Must have a current and valid driver’s license and satisfactory driving record.
Must have a high school diploma or at least 5 years of relevant work experience as referenced above.
Additional technical certifications considered.
Benefits:
Great salary, the pay range for this position is $115k - $160k may be higher dependent on specific knowledge, experience/expertise and skill sets
Paid weekly
Per diem paid weekly
Holiday and PTO pay
Employer paid healthcare for the employee
Voluntary vision and dental
Equal opportunity employer
Company provided vehicle
Job Type: Full-time
Pay: $115,000.00 - $160,000.00 per year
Benefits:
Health insurance
Paid time off
Schedule:
Monday to Friday
Weekend availability
License/Certification:
Driver's License (Required)
Work Location: On the road

Health insurance"
2,Principal Transmission Line Engineer,Ulteig Engineers,"Austin, TX 78759",Onsite,Full-time,Full-time,"The Opportunity
Ulteig is currently seeking talented and motivated candidates for a Principal Transmission Line Engineer role supporting, managing, and leading transmission & distribution projects across both Power and Renewable lifelines. This critical role will have responsibility for design and/or coordination of High Voltage (69kV-500kV) transmission lines utilizing the PLS-CADD software, as well as developing the team and acting as a primary client-facing Subject Matter Expert (SME) to help grow our team.

What You’ll Do
The ideal candidate has excellent problem solving skills; uses advanced techniques, theory, precepts and practices to complete complex high voltage and extra high voltage electric transmission line project assignments. They will adapt and modify standard techniques to solve multifaceted problems and provide expert consultation for the design, development and implementation of technical plans and systems used in the construction of high voltage transmission lines. Responsibilities include: facilitating collaboration between other disciplines and project team members; acting as client contact to determine the project scope and understand client requirements; development of final construction documents and ensure quality control and compliance with client requirements. Final deliverables will include project design criteria, plan and profile drawings, structure framing and loading drawings, assembly drawings, structure foundation drawings and construction specifications. The engineer will coordinate specific design aspects of projects, estimating construction costs, and specify materials. In addition, the candidate will be regularly involved in internal training presentations, mentoring junior engineers, assisting with proposal bids, and improvement of internal design standards & processes.

What We Expect from You
A minimum of a Bachelor’s degree in Civil/Structural, Mechanical or Electrical Engineering from an ABET accredited school. Master’s degree preferred.
Minimum of 20 years relative transmission line engineering experience is preferred
Professional Engineer (PE) license required. Licensure in multiple states preferred.
Licensed Structural Engineer (SE) preferred.
Expert in PLS-CADD and PLS-POLE required, with ability to train others.
Expert knowledge and experience in all aspects of transmission line design and project types, including line routing, engineering & design, construction, structural analysis, clearance analysis,
Previous experience working with or for a Utility is required.
Proven track record of positive client relationships
Actively manages individual workload
Effectively leads in training and mentoring team members
Responsible for reviewing project drawings, calculations & specifications
Demonstrate wide degree of creativity and latitude
Collaborate with multi-discipline team to ensure project success
Must be analytical, self-motivated, and possess the ability to work in a team environment and a variety of situations while maintaining a positive, enthusiastic attitude
Excellent presentation and verbal/written communications skills
Demonstrates strong interpersonal skills with the ability to establish and maintain effective working relationships with staff, management, clients and external agencies
Experience as industry subject matter expert, including involvement in industry committees and/or conference presentations is preferred.
Proven experience in Microsoft Software Applications (Word, Excel, Power Point, Access) and AutoCAD is preferred
Proficiency in MFAD/LPILE is preferred
Highly driven toward team success and professional growth
Must have authorization to work permanently in the US

As you consider applying for a position at Ulteig, we encourage you to think outside the box – because we do! You might not meet 100% of the skills listed in a description, but we are committed to hiring people with exceptional talent, ability and potential, and then creating an environment where they can become the best versions of themselves. We don’t want to miss out on the possibility of speaking with the next outstanding Ulteig team member, so please apply if you think this role is a great match for your unique skills and strengths. And, yes, relevant military experience is absolutely considered for transitioning service members.

What You Can Expect from Ulteig
Ulteig is a purpose driven organization that has built a culture focused on people – both our clients and our employees for over 75 years. Working at Ulteig is more than a job, it means you will have the opportunity to make a difference by creating and solving for a sustainable future. We realize that a huge part of our success has relied heavily on the dedication and focus of our workforce; this is why we make investing in our employees a top priority. Being 100% employee-owned means, we take our own success and the success of our clients personally.
We offer our team members:
Flexible Workplace
Employee Ownership
Competitive Pay
Comprehensive Benefits Package
Collaborative Environment
Innovative Culture
Our vision is to be the most trusted partners transforming our world’s critical infrastructure. Ulteig connects people and resources to develop compelling, integrated solutions across multiple Lifeline Sectors®, including power, renewables, transportation and water. Ulteig's footprint spans the country and leverages its expertise with a wide range of public and private clients.
At Ulteig, we deeply care and listen to the needs of our team to ensure they are comfortable and have the necessary tools to be productive whether they choose to work remotely, hybrid or in office. We strive to allow a balance and separation between home and work life and provide support and a flexible working schedule so that employees are able to focus on what's important to them. Our offices are currently open, and employees have the option of accessing them to work. We will continue to monitor and respond to COVID-19 proactively to ensure the safety of our valued employees.
If you would like to be a part of a company that empowers their employees, apply today!
Ulteig is a Drug Free Workplace
ACHIEVE | GROW | COLLABORATE
Additional Opportunity Details:
Compensation Range is Generally +/- 15% of Position Mid-Point of $164,500*
The salary displayed represents the middle of a range. Factors that may be used to determine your actual salary include your job specific skills, education, training, job location, number of years of experience related to this role and comparison to other employees already in this role
Notice to Recruiters and Staffing Agencies: to protect the interests of all parties, Ulteig Engineers, Inc., will not accept unsolicited resumes from any source other than directly from a candidate or an approved vendor that has a written and signed agreement in place with Ulteig. Please do not contact or forward resumes to our company employees or locations. Any unsolicited resumes will be considered Ulteig property. Ulteig is not responsible for any charges or fees related to unsolicited resumes.

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)"
3,Graduate Transmission Line Engineer,Ulteig,"Saint Paul, MN 55126",Onsite,"$70,000 - $72,500 ",r - Full-time,"The Opportunity
Ulteig is currently seeking talented and motivated graduate engineering candidates to support our Transmission & Distribution team.

What You'll Do
This position is responsible for the design of High Voltage (69kV-500kV) transmission lines using PLS-CADD. Uses advanced techniques, theory, precepts and practices to complete complex project features. Provides consultation for the design, development and implementation of technical plans & systems. Responsibilities will include developing construction documents including project design criteria, plan and profile drawings, structure framing and loading drawings, assembly drawings, foundation drawings and specification, client contact, project scoping, estimating and scheduling.

What We Expect from You
Maintain positive client relationships
Complete assigned tasks under supervision
Actively manage individual workload
Responsible for reviewing project drawings, calculations & specifications under supervision
Bachelor’s degree in Civil/Structural required
Minimum 6 months experience, or equivalent internship experience
Previous experience working with or for a Utility is preferred
Must be analytical, self-motivated, and possess the ability to work in high-pressure situations while maintaining a positive, enthusiastic attitude
Excellent presentation and verbal/written communications skills
Demonstrates strong interpersonal skills with the ability to establish and maintain effective working relationships with staff, management, clients and external agencies
Proficiency in PLS CADD is preferred
Proven experience in Microsoft Software Applications (Word, Excel, Power Point, Access), Sag10, PLS-Pole, and PLS-Tower preferred
Must have authorization to work permanently in the US

As you consider applying for a position at Ulteig, we encourage you to think outside the box – because we do! You might not meet 100% of the skills listed in a description, but we are committed to hiring people with exceptional talent, ability and potential, and then creating an environment where they can become the best versions of themselves. We don’t want to miss out on the possibility of speaking with the next outstanding Ulteig team member, so please apply if you think this role is a great match for your unique skills and strengths. And, yes, relevant military experience is absolutely considered for transitioning service members.

What You Can Expect from Ulteig
Ulteig is a purpose driven organization that has built a culture focused on people – both our clients and our employees for over 75 years. Working at Ulteig is more than a job, it means you will have the opportunity to make a difference by creating and solving for a sustainable future. We realize that a huge part of our success has relied heavily on the dedication and focus of our workforce; this is why we make investing in our employees a top priority. Being 100% employee-owned means, we take our own success and the success of our clients personally.
We offer our team members:
Flexible Workplace
Employee Ownership
Competitive Pay
Comprehensive Benefits Package
Collaborative Environment
Innovative Culture
Our vision is to be the most trusted partners transforming our world’s critical infrastructure. Ulteig connects people and resources to develop compelling, integrated solutions across multiple Lifeline Sectors®, including power, renewables, transportation and water. Ulteig's footprint spans the country and leverages its expertise with a wide range of public and private clients.
At Ulteig, we deeply care and listen to the needs of our team to ensure they are comfortable and have the necessary tools to be productive whether they choose to work remotely, hybrid or in office. We strive to allow a balance and separation between home and work life and provide support and a flexible working schedule so that employees are able to focus on what's important to them. Our offices are currently open, and employees have the option of accessing them to work. We will continue to monitor and respond to COVID-19 proactively to ensure the safety of our valued employees.
If you would like to be a part of a company that empowers their employees, apply today!
Ulteig is a Drug Free Workplace
ACHIEVE | GROW | COLLABORATE
Additional Opportunity Details:
Position Starting Pay ranges from $70,000 - $72,500*
Factors that may be used to determine your actual salary include your job specific skills, education, training, job location, number of years of experience related to this role and comparison to other employees already in this role
Notice to Recruiters and Staffing Agencies: to protect the interests of all parties, Ulteig Engineers, Inc., will not accept unsolicited resumes from any source other than directly from a candidate or an approved vendor that has a written and signed agreement in place with Ulteig. Please do not contact or forward resumes to our company employees or locations. Any unsolicited resumes will be considered Ulteig property. Ulteig is not responsible for any charges or fees related to unsolicited resumes."
4,Transmission Line Design Engineer,"Electric Power Systems, Inc","Anchorage, AK 99503",Onsite,"$75,000 - $145,000 ",r - Full-time,"Company: Electric Power Systems, Inc.
Location: Anchorage, AK
Base Pay: $75,000 - $145,000 / Year
Employee Type: Full Time Position
Job Type: Engineering
Preferred Education: BSCE or BSEE Degree Preferred
Req’d Experience: 3 Years
Req’d Travel: Yes
Description:
Engineered Solutions Group is a unique company offering a wide range of experience and education in the area of power system operations, engineering, and administration. We provide extensive services from planning studies, design and construction to periodic testing and maintenance.
We are currently seeking a skilled Transmission Design Engineer to join our team. This is a full-time position and requires some travel. Experience utilizing PLS-CADD is required. You must have knowledge of NESC code as well. PE or the capability of acquiring a PE within 6 months is preferred, but not required. You will be responsible for the development of transmission line design (engineering analysis, route selection, structure spotting, and line design calculations). Other responsibilities include technical design, project review, development of transmission standards, drawings specifications, cost estimating, project scheduling, and project management.
Benefits:
Electric Power Systems offers an excellent benefit package including Medical Insurance, Life Insurance, Long Term Disability, 401(k) Plan, Employee Assistance Program, Paid Vacation, and Paid Holidays.
Electric Power Systems, Inc. is an Equal Opportunity Affirmative Action employer that values diversity at all levels. We consider candidates for all positions on the basis of qualifications and without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, protected veteran status, disability and any other legally protected status. Minorities, women, veterans, and individuals with disabilities are encouraged to apply. We are an EEO/AA employer.
Electric Power Systems, Inc. is a smoke-free and drug free company.
Job Type: Full-time
Pay: $75,000.00 - $145,000.00 per year
Benefits:
401(k)
Dental insurance
Employee assistance program
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Relocation assistance
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Application Question(s):
Do you now, or will you in the future, require sponsorship for employment visa status (e.g., H-1B visa status, etc.) to work legally for our company in the United States?
If you do not currently live in Anchorage, Alaska are you willing to relocate to Anchorage, Alaska?
Education:
Bachelor's (Preferred)
Experience:
Transmission Line Design: 1 year (Required)
Language:
English (Required)
Work Location: One location

Health insurance"
5,Transmission Line Engineer,"Morgaret Business Solutions, LLC",Remote,Onsite,"From $84,000 ",r - Full-time,"Global engineering company has an immediate need for several Transmission Line (T-Line) engineers for various roles throughout the country! These positions are fully remote and provide high flexibility to achieve work/life balance! This is the culture!
This client is looking for stable work history and self starters. The work culture is one of high flexibility and committed to work/life balance throughout the organization! This is THEIR CULTURE AND THEY TAKE PRIDE IN IT!
Note: All positions require experience working with Power Line System (PLS) Cad software; minimum of 2 years experience with PLS CAD.
Job Type: Full-time
Pay: From $84,000.00 per year
Benefits:
401(k)
Health insurance
Paid time off
Experience level:
2 years
Schedule:
8 hour shift
Willingness to travel:
25% (Preferred)
Work Location: Remote

Health insurance"
6,Transmission Line Engineer,RRC Power and Energy,"Tualatin, OR 97062",Remote,Full-time,Full-time,"Transmission Line Designer
RRC is seeking a talented Transmission Line Designer help us build the future of both U.S. and Canada energy production from remote work locations in the US and Canada or if you prefer the office environment, any one of our US or Canadian office locations.. RRC is a multi-disciplinary engineering firm that specializes in energy projects, particularly renewable energy, throughout the United States. Founded in 2007, RRC provides a culture where employees are valued while contributing to meaningful projects. This is an opportunity to work at the forefront of the evolving energy production landscape.
Must understand & personify RRCs Core Beliefs
Client Satisfaction Understands the goal of always exceeding our clients expectation.
Employee Happiness Able to work well with others, communicate clearly with coworkers, promote a positive work environment and mediate conflicts between team members.
Quality Work - Ability to take ownership, work independently, prioritize workload, and deliver quality results on time while working on multiple projects simultaneously.
Above and Beyond - Versatility, flexibility, ability to anticipate the needs of the company, take the initiative and a willingness to go out of your way to assist others.
RRC is seeking a talented High Voltage Transmission Line Designer (EIT/PE) to help us build the future of both U.S. and Canada energy production from remote work locations in the US and Canada. RRC is a multi-disciplinary engineering firm that specializes in energy projects, particularly renewable energy, throughout the United States. Founded in 2007, RRC provides a culture where employees are valued while contributing to meaningful projects. This is an opportunity to work at the forefront of the evolving energy production landscape.
Essential Technical Responsibilities
Apply electrical, civil/structural, or mechanical engineering principles and project management skills to carry out project tasks from start to finish while working with the rest of the multidisciplinary team to complete tasks.
Maintain project budgets, schedule requirements, and quality requirements.
Learn and follow established company design procedures and industry standards for Power Delivery (substation, BESS, transmission line) while actively contributing to the improvement of those procedures over time.
Take responsibility as the engineer of record for various engineering design projects as relevant experience is gained.
Review or appropriately delegate the review of project-related design documents, such as fabrication shop drawings, for completion and errors.
Review various design codes and documents in order to apply the appropriate design standards.
Perform value engineering design analyses to determine the most cost-competitive design.
Complete project site-visits to inspect construction quality are possible on occasion.
Assist with the preparation of project proposals.
Qualifications
B.S. or M.S. (or M.E.) in Electrical, Civil/Structural, Mechanical Engineering.
0-5+ years of engineering design experience.
Other experience levels will be considered for otherwise highly qualified candidates
Experience in the utility scale renewable energy industry and/or utility scale power delivery is a plus
Professional Engineering registration license or ability to obtain license as well as a desire to obtain licensure in United States.
Must be authorized for full-time work in Canada or the United States.
Candidates must have good verbal and written communication skills and the ability to lead or be part of a project team as well as communicate with clients directly.
Candidate must be able to independently execute project work and be able to work on multiple projects at the same time in a fast-paced environment.
Candidate must be able to coordinate with other disciplines to ensure a quality deliverable.
Candidate must be highly organized to manage detailed project information and prioritize tasks.
Well versed in Microsoft Outlook, Excel and Word in order to analyze and communicate design information
Experience with applicable software packages including MathCad, Bluebeam, AutoCAD Civil 3D, and/or PLS-CADD, Excel, ArcGIS, is highly beneficial, but not required.
All necessary training will be provided.
Must be willing to travel to project locations for short durations (typically one to two days per trip) around the Canada or U.S. at least a few times per year.
Benefits
RRC is committed to investing in talented employees because we recognize that healthy, happy employees provide the best path to sustaining a successful business. RRC offers competitive salaries and benefits for full-time employees, including:
Flexible work hours to accommodate work-life balance
Remote work options
Health, dental, and vision insurance
RRSP matching (Canada), 401k matching (US)"
7,Transmission Line Project Engineer,HDR,"Los Angeles, CA 90017",Onsite,"$84,847 - $121,210 ",r - Full-time,"Transmission Line Project Engineer - ( 170572 )
Description

About Us
At HDR, we specialize in engineering, architecture, environmental and construction services. While we are most well-known for adding beauty and structure to communities through high-performance buildings and smart infrastructure, we provide much more than that. We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists. That's why we believe diversity is our greatest strength. HDR is proud to be an equal opportunity workplace and an affirmative action employer.

Watch Our Story:' https://www.hdrinc.com/our-story'

We believe that the way we work can add meaning and value to the world. That ideas inspire positive change. That coloring outside the lines can illuminate fresh perspectives. And that small details yield important realizations. Above all, we believe that collaboration is the best way forward.
HDR Engineering is looking for a Transmission Line Project Engineer to join our growing and nationally ranked team of Power Delivery professionals.
The primary duties of the Transmission Line Project Engineer include responsibility for knowledge and execution of the technical aspects and deliverables of projects assigned and is an experienced, competent engineer who generally understands and can complete all technical requirements of high voltage transmission line projects of basic to moderate complexity. Assigns tasks and provides guidance to junior team members and coordinates QC reviews for work performed by junior level engineers and/or designers. The Project Engineer will also be responsible for quality control reviews of projects from other teams on an as needed basis. The Project Engineer works independently and may direct, mentor, train, and/or supervise efforts of less-experienced EIT's and/or Designers.
Primary Responsibilities
In the role of Transmission Line Project Engineer we'll count on you to:
Conducting analyses to develop design options.
Performing PLS-CADD modeling and/or calculations.
Assisting with preparing cost estimates or specifications.
Perform routine to moderately complex engineering and design tasks.
Lead design teams to develop and complete full construction packages for transmission line projects.
Participate in field reviews or construction observation.
Train and mentor junior and entry level engineers.
Coordinate work of the electrical design team on large institutional/industrial projects through the schematic design development and contract document phase of a project
Establish meetings and participate in reviews with various governing agencies for code compliance
Coordinate workload to complete the document on schedule
Conduct work sessions at the project site in conjunction with the Project Manager and other disciplines
Review electrical documents for areas of conflict with all disciplines
Write/edit electrical specifications and select equipment, electrical systems and devices
Coordinate with and assist affected disciplines with addenda, RFIs, CPRs and change orders, and take responsibility to incorporate agreed-upon changes into the project documents
Provide construction contract administration as needed
Conduct QA/QC on the work of other Electrical Engineers, Electrical Coordinators or Technicians
Perform other duties as needed
#LI-JF1
Keywords: Transmission Line Engineer, PLS-CADD, PLS-Pole, Civil Engineering, Electrical Engineering, Mechanical Engineering, PLS-TOWER
Qualifications

Required Qualifications
Bachelor's Degree in Engineering required (Civil, Electrical, or Mechanical Engineering preferred).
Professional Engineer (P.E.) license.
5+ years of experience designing Transmission and/or Distribution projects.
Proficient using PLS-CADD transmission line design software suite, including PLS-Pole
Strong computer skills, AutoCAD, Microsoft Office and electrical design software
Experience of structure analysis, project cost estimates, T&D construction package preparation, optimization, specifications and drawings, and other engineering documents required for power transmission line projects.
Proficient with Microsoft Office.
Strong written and verbal communication skills.
An attitude and commitment to being an active participant of our employee-owned culture is a must.
Some field work and travel may be required.
An attitude and commitment to being an active participant of our employee-owned culture is a must
Preferred Qualifications
Bachelor's Degree in Civil, Electrical, or Mechanical Engineering preferred
Previous experience with an architectural/engineering or engineering consulting firm desired
Familiarity with NESC and GO 95 codes.
Familiarity with PLS-TOWER and/or SAPS modules of PLS-CADD
Previous experience with utility industry or engineering consulting firms desired.
Experience and/or interest in sustainable design/LEED desired but not required
Preference will be given to local candidates.
Why HDR
At HDR, we know work isn't only about who you work for it's also about what you do and how you do it. Led by the strength of our values and a culture shaped by employee ownership, we network with each other, build on each other's contributions, and collaborate together to make great things possible. When you join HDR, we give you license to do the same. We help you take charge of your career, giving you multiple growth opportunities along the way.
We provide a comprehensive benefits package that promotes employee ownership, employee health, performance, and success, which includes medical, dental, vision, short and long-term disability, life insurance, an employee assistance program, paid time off, parental leave, paid holidays, 401(k) retirement savings plan with employer match, employee referral bonuses and tuition reimbursement. The expected compensation range for this position is $84,847.00 - $121,210.00 annually depending upon skills, experience, education and geographical location.

Primary Location : United States-California-Los Angeles
Other Locations : United States-California-Irvine
Industry : Power
Schedule : Full-time
Employee Status : Regular
BusinessClass : Transmission/Distribution Eng
Job Posting : Nov 16, 2022"
8,Entry-Level Transmission Line Engineer,"POWER Engineers, Inc.","Boise, ID 83709",Onsite,"$60,000 - $75,000 ",r,"Entry-Level Transmission Line Engineer
POWER Engineers is currently seeking an entry level Engineer to develop their career as a Transmission Line Engineer in the Power Delivery Overhead Transmission Line Department in our Boise, Idaho office.

Responsibilities:
The successful candidate will be involved in supporting the following transmission line aspects:
Ownership of their performance within the Department and quality of work
Alignment with POWER’s Culture
Technical Guidance from a Senior Level Transmission Line Engineer
Quality Assurance and Quality Control Documentation
Project Design Criteria
Project Scheduling
Wire Selection and Load Analysis
PLS Cadd Modeling
Structure Modeling and Procurement
Foundation Designs
Material Selection and Procurement
Construction Specification Development
Construction Drawing Development
Construction Support
Field Visits
Continual Technical Growth
Through in-house and external industry conferences
Written and Verbal Coordination
Both with internal colleagues and client representatives
Required Education/Experience:
BSCE (Bachelor of Science in Civil or Mechanical) degree from an accredited university.
Minimum 3.0 Grade Point Average (GPA).
Engineer In Training (EIT) registration is required.
The candidate must have strong command of the English language with good written and oral communication skills in order to work effectively with internal team members and external client personnel.
Experience using the Microsoft Office software suite.
Desired Education/Experience:
Ideal coursework includes; Auto CAD, structural analysis, concrete design, steel design, soil mechanics, foundation design, and surveying.
Previous engineering design or drafting work experience, especially if related to civil and/or structural engineering, is desirable.
At POWER Engineers, you can have a rewarding career on every level. Our philosophy is simple: Do Good. Have Fun. Build Success.
You’ll work on fun and challenging projects and initiatives. You’ll have the chance to make a positive impact on society and the environment. And you’ll find the support, coaching and training it takes to advance your career.
Since we’re employee-owned, we get to make POWER a great place to work. That includes providing competitive compensation, professional development and a full benefit package:
Medical/Dental/Vision
Paid Holidays
Vacation/Paid Sick Leave
Voluntary Life Insurance
401K
Telehealth Benefit covers all providers
Maternity and Paternity Leave
New Dads and Moms Benefit program
Fertility Benefits
Gender affirming care
POWER is a fun engineering firm. That might seem contradictory to some, but it works for us!
Salary DOE: The pay range for this position is $60K-$75K per year; however, base pay may be higher or lower depending on the candidate's job-related knowledge, skills, and experience. This figure does not include additional compensation such as health benefits, vacation, 401k, etc.
EOE, including disability/vets
#LI-AA1"
9,Transmission Line Engineer -- Entry-Level -- Hybrid,Sargent & Lundy,"Indianapolis, IN",Hybrid remote,N,r,"Overview:

Sargent & Lundy is one of the most experienced full-service architect-engineering firms in the world. Founded in 1891, the firm is a global leader in power and energy with expertise in grid modernization, renewable energy, energy storage, nuclear power, and fossil fuels. Sargent & Lundy delivers comprehensive project services—from consulting, design and implementation to construction management, commissioning and operations/maintenance—with an emphasis on quality and safety. The firm serves public and private sector clients in the power and energy, gas distribution, industrial, and government sectors.

Our Core Values
Every decision we make is guided by our core values. By upholding these six principles, we support our clients, employees, and community. They are the compass we follow as we continue to grow our business and lead the industry.

Quality – We provide high-quality deliverables and services through an uncompromising focus on peer review, safety, and continuous improvement.

Accountability – Our actions demonstrate the highest levels of professionalism, integrity, and respect.

Our People – We value diverse perspectives, encourage professional growth, and are committed to providing a work community where people thrive. Our work is challenging but rewarding.

Our Clients – We deliver value and exceed our clients’ expectations through outstanding customer service, personal accessibility, and clear communication.

Innovation – Since 1891, we have invested in the people, training, tools, and technology needed to quickly adapt in a constantly changing world.

Meaningful Impact – We make a positive impact in the communities where we work and live.
Responsibilities:
This position allows for a hybrid work schedule with a mix of work spent in office and working remote from home .

This position will offer you the ability to directly apply your knowledge of transmission line engineering including, conductors, hardware, insulation, structures, foundations and electrical principles to:
Design transmission lines in the 69kV to 765kV range.
Perform structural analysis and design of pole, lattice, framed, and guyed structures.
Perform foundation designs.
Perform conductor selection studies, shielding, grounding and induction studies.
Develop cost estimates and schedules and prepare specifications for the procurement of transmission line materials and construction.
Specify transmission line components.
Model transmission lines in PLS-CADD, determine right of way requirements, calculate conductor sags, and develop transmission line plan and profile drawings.
Review vendor submittals.
Dependent upon your location, this opportunity offers a generous relocation package.
Qualifications:
Essential skills and experience:
This position requires a BSEE, BSCE, or BSME degree from an ABET-accredited engineering program.
Related engineering, internship or co-op work experience.
Proficiency with PLS-CADD and PLS-POLE.
Knowledge of the practical application of engineering principles including basic transmission line engineering.
Knowledge of design techniques, tools, and principles involved in the production of technical plans, drawings, and models.
Proficiency with MS Office applications.
Excellent written and verbal communication skills.
Valued but not required skills and experience:
Successful completion of the Fundamentals of Engineering (FE) exam, and designation as an Engineer in Training.
Proficiency with any of the following programs: PLS-TOWER, SAG10, LPILE, MFAD, ArcGIS, CDEGS, AutoCAD, Microstation.
Experience in writing and providing support documentation for engineering calculations.
Familiarity with design codes and standards such as NESC, IEC, CSA, IEEE, ANSI, IBC, ASCE 7, AISC, and ACI 318.

Sargent & Lundy is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any protected status as defined by law."
