Title,Company,Location,Type,Salary,Contract_type,Job Description,JobType,Industry
Data Engineer,noor staffing,Remote,Onsite,"$130,000 - $190,000 ",r,"This is a Direct Hire position - not able to support C2C candidates at this time. Must be U.S Citizen or Green Card Holder

Data Engineer - Direct Hire - Candidates must work in the United States.

100% Remote

Job responsibilities:
Own an entire data warehousing process, enabling data scientists, analysts, and engineers to create value from data assets.
Design, build, and launch new data models in production.
Build data platforms for analysts and product managers to use and get data insights.
Solve query performance, data latency and data quality issues at scale
Focus on highly performant solutions that require integration of disparate data sources with very large amounts of data.
Required Qualifications

BS in Computer Science or Engineering with at least 5 years of professional software work experience.
2+ years of experience cloud analytics (GCP, AWS or Azure)
Experienced with Structured Query Language (SQL) including advanced SQL coding, relational database design, data warehousing
Demonstrated experience in Python and SQL for building Data Pipelines
Experience with data warehousing tools (i.e. Snowflake BigQuery, redshift) -Snowflake preferred.
Experience in maintaining and developing software in production utilizing cloud-based tooling (GCP, Docker Kubernetes).
Jira, Confluence, GitHub and other agile development tool experience.
Passionate about data quality and data integrity
Strong communication skills and ability to collaborate with various teams to define best data solutions.",Data science,Software Development
Junior Data Engineer,Worldgate LLC,"Irvine, CA 92602",Onsite,"$130,000 - $150,000 ",r - Full-time,"World gate recruiter team is looking for a full-time Data Engineer with great experience to join us on our mission to help people learn and also help our client. We are looking for someone who is a proven designer and implementer of micro-services and complex Engineer systems

The data engineer role requires knowledge in programming for integrating complex models and using a software library frameworks to distribute large, clustered data sets. Data engineers collect and arrange data in a form that is useful for analytics. A basic knowledge in machine learning is also required to build efficient and accurate data pipelines to meet the needs for downstream users such as data scientists to create the models and analytics that produce insight.

Principal Duties and Responsibilities:
Collaborate with a team of data Stewards in the development of the program and data analytics projects.
Developing, maintaining, and testing infrastructures for data generation to transform data from various structured and unstructured data sources.
Develop complex queries to ensure accessibility while optimizing the performance of NoSQL and or big data infrastructure. Create and maintain optimal data pipeline architecture.
Build and maintain the infrastructure to support extraction, transformation, and loading (ETL) of data from a wide variety of data sources.
Apply distributed systems concepts and principles such as consistency and availability, liveness and safety, durability, reliability, fault-tolerance, consensus algorithms.
Coordinate with stakeholders, including product, data and design teams to assist with data-related technical issues and support their data infrastructure needs
Requirements

Required Education/Experience:
Experience: 1+ years of experience with data engineering, data engineering or related experience..
Verifiable work experience working with data structures, database management, distributed computing, and API driven architectures using SQL and No-SQL engines.
Proficient in modeling frameworks like Universal Modeling Language (UML), Agile Development, and Git Operations.
Benefits

Healthcare, Vision, and Dental Insurance
20 Days of PTO
401K Matching
Training/Certification Reimbursement
Short term/Long term disability
Life Insurance
$130,000-$150,000 yearly base on experience
United states applicants only
No Visa sponsorship
Candidate for this role must be able to start work immediately with our client within two weeks

•",Data science,Software Development
Software Data Engineer,Worldgate LLC,"Madison, WI 53701",Onsite,"$130,000 - $150,000 ",r - Full-time,"World gate recruiter team is looking for a full-time Data Engineer with great experience to join us on our mission to help people learn and also help our client. We are looking for someone who is a proven designer and implementer of micro-services and complex Engineer systems

The data engineer role requires knowledge in programming for integrating complex models and using a software library frameworks to distribute large, clustered data sets. Data engineers collect and arrange data in a form that is useful for analytics. A basic knowledge in machine learning is also required to build efficient and accurate data pipelines to meet the needs for downstream users such as data scientists to create the models and analytics that produce insight.

Principal Duties and Responsibilities:
Collaborate with a team of data Stewards in the development of the program and data analytics projects.
Developing, maintaining, and testing infrastructures for data generation to transform data from various structured and unstructured data sources.
Develop complex queries to ensure accessibility while optimizing the performance of NoSQL and or big data infrastructure. Create and maintain optimal data pipeline architecture.
Build and maintain the infrastructure to support extraction, transformation, and loading (ETL) of data from a wide variety of data sources.
Apply distributed systems concepts and principles such as consistency and availability, liveness and safety, durability, reliability, fault-tolerance, consensus algorithms.
Coordinate with stakeholders, including product, data and design teams to assist with data-related technical issues and support their data infrastructure needs
Requirements

Required Education/Experience:
Experience: 1+ years of experience with data engineering, data engineering or related experience..
Verifiable work experience working with data structures, database management, distributed computing, and API driven architectures using SQL and No-SQL engines.
Proficient in modeling frameworks like Universal Modeling Language (UML), Agile Development, and Git Operations.
Benefits

Healthcare, Vision, and Dental Insurance
20 Days of PTO
401K Matching
Training/Certification Reimbursement
Short term/Long term disability
Life Insurance
$130,000-$150,000 yearly base on experience
United states applicants only
No Visa sponsorship
Candidate for this role must be able to start work immediately with our client within two weeks

•",Data science,Software Development
Senior Data Engineer,Simmons Prepared Foods Inc,"Siloam Springs, AR 72761",Onsite,Full-time,Full-time,"PURPOSE OF THE POSITION Advance Simmons Foods Business Intelligence capabilities, serving as a key player in driving business value through data integration company-wide.
ESSENTIAL POSITION RESPONSIBILITIES Organizes data both at the macro level (i.e. which subject areas are managed in which sources) and at the micro level (i.e. data models, for a new application). Provides a logical data model as a standard for the source and for consuming applications to inherit, with elements and business rules needed for the creation of data quality rules. Delivers multiple data integration projects by leveraging implementation experience, technological know-how and expertise in related best practices. Maps data warehouse and ETL (Extracted/Transformed/Loaded) / ELT (Extracted/Loaded/Transformed) designs used to manage data, sets standards for data management, analyzes current state and conceives desired future state, and conceives projects needed to close the gap between current state and future goals. Conceptualizes and influences application and interface projects, providing advice and assistance toward desirable outcomes. Works with analysts to gather requirements and translate them into data architect tasks. Maintains purchased applications. Maintains, implements, upgrades and supports existing applications that are purchased by Simmons Information Services. Builds and performs training and documentation for these applications. Participates in migrations and leads the migration activity to be successful from Legacy systems. Troubleshoots issues. Quickly recognizes issues and performs the steps needed to resolve the issue as quickly and effectively as possible. Includes other team members depending on the magnitude of the issue. Participates in After Action Review with IS team to document resolution and what was learned for future reference. Gives recommendations and feedback to the Application Manager and helps facilitate the growth of the overall team. Validates that any work done, whether development or issue resolution, will be thoroughly tested outside of the production environment before being implemented into the production environment. Provides user support. Provides functional, training and highly technical user support as needed. Participates as a member of the Team. Participates in the ongoing development, communication and implementation of team concepts, programs and policies; coordinates work to ensure best practices with all team members. Attends appropriate team meetings. As a member of the Team, fosters strong cohesiveness regarding all major issues; e.g., direction, annual plan, budget, policy changes, etc. Accepts responsibility to quickly identify any areas that lack cohesiveness, bringing them to the attention of the team leader and working with the team in a supportive manner to resolve issues and actively look for ways, and reinforce actions needed, to achieve synergy possible within the larger organization. Simmons Operating systems principles and objectives: Is familiar with Simmons' established operating systems (e.g. quality, security, office environment, company policies, LEAN); understands the responsibility to maintain familiarity with the systems and this position's role in support of these systems - including a consideration of the impact of individual actions on the systems and the responsibility to communicate concerns and improvement ideas. Performs other duties as necessary in support of business objectives: This position description is intended to guide the activities of the person in this position and is not intended to limit the thinking and creativity of the person as to the work of this function nor is it intended that this describe all the work that may be required of the person in this position.
Physical Activities: Enters and locates information on a computer. Visually verifies information, often in small print. Communicates with Customers, Vendors, or Employees via telephone, in person, and/or electronic mail. May present information to small or large groups. Move about in an office environment and surrounding property daily. Move about in a manufacturing environment and surrounding property occasionally. May travel via car or plane to various work locations.
Personal Protective Equipment (PPE): As required by the visiting facility.
Travel: One to two offsite classes per year. Travels to Simmons facilities as needed.
Technical Experience: 5 years applicable functional and technical application and data management experience, including a minimum of 5 years of experience with dimensional data modeling - schema design in Data Warehouses, 2+ years of experience in custom or structured ETL/ELT design, implementation and maintenance.
Computer skills required: database management solutions such as Oracle SQL Developer or Microsoft SQL Server Management Studio, SQL, PL/SQL, development and integration with REST/SOAP web services, Microsoft Office. Technical Experience with Oracle Database, Agile PLM for Process Applications, Infinity Quality Systems, and Oracle Integration Cloud a plus. Working experience with IoT software packages, device connectivity, and real-time data acquisition also a plus. Expert in performance tuning of ETL/ELT/SQL code. Familiarity with predictive analysis/machine learning using relevant tools and coding languages (e.g. R, Python, and Apache Spark, Azure ML). Experience with data visualization platforms like Microsoft Power BI or Tableau also a plus. Must have an understanding of the system development life cycle; software project management approaches; and requirements, design, test, and implementation techniques. Ability to follow best coding standards practices.
Preferred computer skills: Oracle EBS (E-Business Suite), Oracle Cloud Fusion Applications, Oracle Data Integrator (ODI), Snowflake, Oracle Transactional Business Intelligence (OTBI), BI Publisher, Oracle Analytics Cloud (OAC) and Fusion Analytics Warehouse (FAW)
Industry Experience: Preference for manufacturing or food processing organization.
Minimum Education: Bachelor's degree in computer science, or 5 years business experience using and developing software applications and developing technical applications.
Preferred Education: N/A",Data science,Software Development
Data Engineer,VGW,"Boulder, CO",Remote,"$155,000 ",r,"Date Engineer
VGW is a fast-growing technology company and creator of market-leading online social games. With offices across Australia, USA, Canada, Malta and the Philippines we are on a mission to be the biggest gaming company in the world!
Due to major growth we are expanding our Technology team in the US and currently looking for a Data Engineer to join the team.
As a Data Engineer you will provide a trusted self-service data analysis capability for business decision makers and data specialists by building and operating VGW's data platforms.
Key responsibilities will include:
Analyzing and monitoring all aspects of business and product performance
Querying large databases; using SQL to extract, manipulate and analyze data to produce insights and recommendations
Ensure the data platforms and pipelines meet business expectations by understanding, applying and monitoring the teams SLAs, SLOs & SLIs
Translating business problems into tasks; gathering and documenting requirements from stakeholders
What you will bring to the role:
Significant experience with SQL and experience querying and interpreting large databases
Experience with object-oriented/object function scripting languages: Python, PySpark, SCALA, etc.
A knack for translating business problems into technical solutions, and conceiving better ways to measure performance
About VGW
VGW has been disrupting the online gaming world since 2010 and we're only getting started. We've assembled an incredibly talented global team who bring their passion, energy and expertise to build games that people love.
At VGW, we have a modern approach to getting work done and a focus on creating an environment where amazing people can do amazing work. That means giving you the flexibility you need, providing spaces that will keep you comfortable and finding opportunities for you to keep learning and growing.
Find out more at www.vgw.co
If you want to join a team that does things differently apply today and we look forward to seeing what you can bring to our team.
Base compensation for this role is $155,000 and benefits include accrued PTO, 9 paid company holidays, 401(k) company matching, health, dental, vision coverages, and the ability to work remotely!

Privacy Policy",Data science,Software Development
Data Products Engineer,Biofire,"Broomfield, CO",Onsite,"$120,000 - $150,000 ",r - Full-time,"An analytical builder creating and optimizing data solutions.
WHO WE ARE
Biofire Technologies is on a mission to give gun owners better tools for reducing preventable gun injuries and deaths, especially among children. We believe our technology, combined with a best-in-class customer experience, will define the future of firearms safety for the next generation. Our mission-driven approach has earned support from the firearm community, the tech world, and the media.
Biofire employees are world-class engineers who have designed and tested firearms, medical devices, robots, cars, satellites, rockets, and supersonic jets. What unites our team is our commitment to safety and reliability that we bring to our work every day.

OUR CULTURE
Reducing accidental firearm injuries and deaths requires original thinking and authentic collaboration, so we're deeply invested in building a team and culture that can achieve our mission together. Team members enjoy autonomy and flexibility from day one, so expect to be immediately tasked with solving challenging problems and building new systems that work. We'll hold you accountable for executing on audacious goals, giving and receiving honest feedback, and helping your teammates succeed. You'll receive respect, kindness, and support from every direction while you figure out how to get it all done.

ABOUT THE ROLE
As a Data Engineer at Biofire you will be responsible for building and maintaining scalable pipelines, structuring data and building tools that enable your teammates to succeed across the company. You will be a champion for bringing data into day to day operations, doing the technical heavy lifting to power the company's work and supporting and training other members of the team to build on top of the foundation you create. To succeed you will need to be able to programmatically work with data at scale, spot opportunities where data could accelerate the team, and continuously improve Biofire's overall data environment. You will need to be a curious problem-solver, rapidly learning Biofire's business problems and determining how to help solve them with data. If you're excited about advancing Biofire's mission through data, we encourage you to apply.

KEY RESPONSIBILITIES
Day to day responsibilities of the role will include:
Data pipeline development, management, and optimization;
Centrally integrating and structuring data across the company, creating a common ontology on which the company can build;
Partnering with stakeholders across the company to develop data-driven solutions for their use cases;
Training teammates on data, workflows, and tools, to ensure every member of the team is equipped to utilize their data;
Proactively identifying opportunities to bring data into day-to-day business operations and engaging the relevant stakeholders to build them.

COMPENSATION, BENEFITS & PERKS
We'll need you to bring your very best, so we give you what you need to do a great job. You'll enjoy flexible hours, teammates you will like, respect, and be inspired by, and all the technical resources you might need at our Broomfield office.
In addition to our competitive pay and stock options, Biofire offers fully covered medical, dental, and vision benefits, a funded Health Spending Account, unlimited PTO (that team members actually use - we promise), a 401(k) with employer matching, and a 14 week parental leave policy. We deliver perks including noise-canceling headphones, the premium music streaming service of your choice, and anything else you'd need to succeed in your role (within reason).
This is a full-time, salaried role with a flexible work-from-home policy. The compensation range for this role is $120K-$150K.

QUALIFICATIONS
If you think you will succeed in this role, and love the work you'll do, we encourage you to apply regardless of your background. We evaluate candidates based on their unique talents and fit for our needs, not a rigid list of qualifications.

LOCATION AND HOURS
Our dog-friendly, state-of-the-art headquarters is located in beautiful Broomfield, Colorado, between Boulder and Denver. Most roles require team members to frequently collaborate in person, but you will enjoy the flexibility to work from home when you need to. We trust you to communicate with your team to make things work.

DIVERSITY & INCLUSION
We're bringing innovation to a technological problem that has persisted for decades, so we depend on diverse, inclusive, and collaborative teams to break new ground and do great work. We welcome people from all qualified backgrounds, and we don't discriminate on the basis of race, religion, color, political affiliation, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.

ELIGIBILITY
This role handles information subject to US Export Control Regulations. Applicants must be (a) a citizen of the United States; (b) a lawful permanent resident of the United States (""Green Card"" holder); or (c) a person admitted into the United States as an asylee or refugee to be considered for the position.",Data science,Software Development
"Data Engineer, Platform",NexHealth,"San Francisco, CA",Remote,N,r - Full-time,"About NexHealth
Our healthcare system is frustratingly analog. When you live in a world of one-tap car rides, meal delivery, and unlimited streaming, why do you have to call to schedule an appointment with a doctor and are still handed a clipboard to fill in a form? NexHealth's mission is to accelerate innovation in healthcare. We're doing this by connecting patients, doctors, and developers. We're the first to fully automate the integration with health record systems, paving the way for a new generation of disruptive healthtech companies.
Here's some of what we've accomplished:
$125M Series C at $1B valuation
Manage more than 38 million patient records
100%+ annual revenue growth
Top 10% of Inc. 5000 (2022)
Engineering at NexHealth
Our engineering team needs to:
Work with a highly-aligned engineering team committed to balancing productivity, quality, and stress in a way that lets NexHealth be incredibly successful while fitting into the lives of our team members
NexHealth is looking to change the way doctors and patients think about their health data and enable a modern customer experience for patients while meeting doctors and office staff at their current technology level; we are putting upward pressure on the acceptable patient experience in the marketplace
NexHealth's engineering team is still making critical design and architecture decisions that will affect our business for years to come—getting ahead of scaling and growth issues while we address our daily challenges will be a constant tension that will require sound, calm judgment, and an adaptable mindset
Our problem requires us to build a unique and diverse set of software that presents novel challenges you probably haven't dealt with before.
What You'll Do:
As a Data Engineer, you'll help expand our business by building the systems that connect, collect, and transform data from across the company. You'll support analytics and business decisions across the company and help to shepherd our data models.
We're looking for engineers who can demonstrate expertise in several of the following areas:
Building and maintaining large PostgreSQL clusters, ETL pipelines, and data warehouses
Building fault-tolerant systems that are easy for future engineers to understand, monitor, and reason about
Making decisions based on evidence and data, collecting that evidence when needed, and helping others to collect and analyze that data rather than relying on assumptions
Communicating about your work, the consequences of your work for our customers, and what people should expect next, including likely decisions or adverse events
Minimizing threat surface area and anticipating vulnerabilities when making design decisions, even under stress
Delivering small units of value to production continuously, locking in gains so a change in priorities doesn't result in piles of unfinished work
Considering operational concerns when building software to ensure we can manage our technology ecosystem effectively
Handling incidents with discipline and a calm sense of urgency, using a risk-based response and concise, thoughtful communication
Holding the team accountable to high standards while boosting morale and driving toward shared goals
Promoting and enabling teammates and their careers while building redundancy and resiliency in capabilities and knowledge among team members
We have aggressive growth plans, so leadership skills are essential for everyone as we help onboard new team members and face big and sometimes difficult decisions.
Technologies We Use Every Day:
Python
Postgres and Snowflake
Datadog
Amazon Web Services
Kubernetes
GitHub
Ruby
Rails
Sidekiq
NexHealth Values
Solve the customer's problems, not yours
When making decisions, think from the perspective of the customer. It's easy to make decisions that make our lives simpler, but not the customers.
Do the things others are not willing to do
As a Nexer, always go after the hardest problems. Pursue things at the highest quality. Move at the fastest pace.
Take ownership
Act like a founder. Own your roles, destinies, mistakes, behavior, and our mission. The buck stops with each of us - no blaming or excuses.
Say what's on your mind, with positive intent
Be direct, proactive, transparent, and frequent in your communication.
Default trust
As a Nexer, you do not have to earn trust, trust is given to you by default. If we by default trust each other, our speed of communication, feedback, information sharing, and overall improvements will be a lot faster.
Think in first principles
We first identify the problem and then break it down to its fundamentals before diving into solutions. We constantly ask ""why"" to validate our assumptions.
Benefits
Competitive salary plus equity
Full Medical, Dental and Vision
Unlimited PTO
#LI-Remote",Data science,Software Development
Data Engineer,Atlas Labs,Remote,Onsite,"$120,000 - $165,000 ",r,"No Patient Left Behind
Atlas Health automates philanthropic aid to improve access, affordability, outcomes and health equity for vulnerable populations.
Through intelligent matching and enrollment to 20,000 philanthropic aid programs, healthcare organizations can improve patient outcomes and reputation, increase cash and reduce staff administrative burden.
At Atlas Health, we are dedicated to eliminating the unfortunate reality of patients not being able to afford to survive. We may not be providers, but we do save lives by providing patients with the ability to receive treatment, when they otherwise may have never started or stopped for fear of negative financial outcomes. We love that we are saving lives by improving access and affordability. We view every dollar we find for a patient as hope.
Ultimately, we want to ensure no patient is left behind.
Data Engineers on our data platform team develop systems that manage data flow throughout the Atlas infrastructure and support downstream data applications. These systems are responsible for handling sensitive patient data, and members of the team are technical champions of ensuring HIPAA standards for confidentiality and compliance. Broadly, this role focuses on all elements of data engineering, such as ingestion, transformation, and distribution of data, and works alongside security engineering and business implementation & operations teams as a custodian of patient and company data.

Responsibilities:
Engineer scalable, reliable, and performant systems that manage data
Consume data from a variety of sources and formats, such as flat files, streaming systems, or APIs
Leverage cloud infrastructure to develop scalable data solutions.
Collaborate with platform engineers on creating reliable and secure systems
Collaborate closely with team members and product stakeholders
Create trustworthy, secure, governable, and standardized data components for consumption
Develop readable, well-tested applications, APIs, and libraries
Implement application observability in the form of metrics, logging, and monitoring
Requirements:
Professional experience with cloud-based systems
Experience with data architectures and tools in support of streaming and batch driven data processing
Solid understanding of distributed task orchestration
Demonstrated ability in developing and testing systems that manage data reliability, efficiency, and quality
Understanding of multiple software development paradigms
First-nature comfort in working with containerization tools
Computer Science or related technical degree in a related field or equivalent technical experience
Bonus points:
Depth of knowledge in Google Cloud PlatformExperience working in an ePHI environment
Familiarity with domain driven design concepts
Preferred Qualifications:
Fluency in Python
Experience using Apache Airflow or similar orchestration systems
Experience with IaC tools
Salary: Salary range for this position is $120,000-$165,000 per year
Benefits:
We offer a comprehensive benefit plan for our U.S. based employees which includes:
Health, dental and vision insurance
401K
Flexible time off
Paid holidays
Why Join Our Team:
Because you’re motivated by a combination of success, working alongside incredible people, and have a passion for helping clients and patients. Atlas helps people access essential medical treatment, and avoid financial ruin from medical debt. You care about being a part of the journey and wish to play a key role in our organization’s success.
Atlas values diversity of all kinds, and we’re committed to building a diverse and inclusive workplace where we learn from each other. We are an equal opportunity employer and welcome people of all different backgrounds, experiences, abilities, and perspectives.",Data science,Software Development
Data Pipelines Engineer,Microsoft,"One Microsoft Way, Redmond, WA 98052",Onsite,"$112,000 - $218,400 ",r - Full-time,"Data Pipelines Engineer

Xbox Game Studios Publishing is expanding to include a dedicated Data Pipelines Engineer for our growing organization. You’ll work closely with internal colleagues and external partner studios to design and implement data pipelines that meet their analytics and business intelligence needs. Data sources include commerce, general platform, and game specific telemetry. Leverage your skills to design and implement solutions that transform and aggregate gaming ecosystem data while providing access and query capability using the latest Azure based technologies. This is an exciting, highly integrated, and collaborative role within our growing team.

This candidate would bring experience, perspective, and expertise from other game studios or complementary industries.

#XGSPublishingjobs
Responsibilities
Responsibilities
Engineer pipelines to procure, clean, shape, validate, and deliver a diverse array of essential facts and dimensions from a variety of data sources on a daily basis.
Collaborate with Program Managers, Engineers, Analysts, and other stakeholders to thoroughly understand and develop solutions for data acquisition, design, and delivery challenges.
Maintain a broad knowledge of our data sources in order to identify opportunities and anticipate changes.
Conform to privacy and security policies that govern data handling, and rigorously advocate for best practices in partner scenarios.
Leverage Azure Data Factory and related internal tools to implement, automate, and maintain game specific data pipelines that transform, aggregate and reliably serve internal and external analytics customers.
Leverage Microsoft/Azure Purview and related internal tools to actively monitor and govern privacy and security policies on the storage and use of our data.
Leverage multiple Azure-based tools and methods to monitor the timeliness and quality of shared data assets, communicate issues to stakeholders, and partner with data source owners to resolve problems.
Develop foundational knowledge and methods that address the unique nature of games data and share them with our internal and external customers.
Apply DevOps and Infrastructure as Code practices to create highly maintainable and reusable data pipelines across our growing array of tenants.
Consistently identify and ship incremental, measurable improvements to tools, instrumentation, models, algorithms, and/or products/services that enable customer/business goals.
Continuously improve game data assets by adding attributes, mitigating data limitations, and using existing sources in ways that enhance results.
Help build and promote an inclusive environment within our organization where people’s lived experiences are embraced and valued.
Other
Embody our culture and values
Qualifications
Required Qualifications:
Bachelor's Degree in Computer Science, Math, Software Engineering, Computer Engineering, or related field AND 4+ years experience in business analytics, data science, software development, data modeling or data engineering work
Master's Degree in Computer Science, Math, Software Engineering, Computer Engineering, or related field AND 3+ years experience in business analytics, data science, software development, data modeling or data engineering work

OR equivalent experience
4+ years of experience as an engineer in a data-focused role for shipped software products or services, with at least 3+ years working with data from live services, including the continuous management of ETL/data pipelines, processing, storage, and governance
Engineering/DevOps Experience (code reviews, testing, alerting, documenting, retrospectives, incident analysis)
Experience with Azure’s core data and analysis services (Data Factory, Data Lake, Data Explorer, SQL, Power BI)
Preferred Qualifications:
Experience in SQL and KQL (Kusto)
Experience with additional Azure data and analysis services (Databricks, Synapse, Cosmos, Storage/Blob/Table)
Experience in game development or game operations
Experience in SCOPE (Cosmos)
Experience with scripted programming languages, preferably C#
Data Engineering IC4 - The typical base pay range for this role across the U.S. is USD $112,000 - $218,400 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $145,800 - $238,600 per year.

Microsoft has different base pay ranges for different work locations within the United States, which allows us to pay employees competitively and consistently in different geographic markets (see below). The range above reflects the potential base pay across the U.S. for this role (except as noted below); the applicable base pay range will depend on what ultimately is determined to be the candidate’s primary work location. Individual base pay depends on various factors, in addition to primary work location, such as complexity and responsibility of role, job duties/requirements, and relevant experience and skills. Base pay ranges are reviewed and typically updated each year. Offers are made within the base pay range applicable at the time.

At Microsoft certain roles are eligible for additional rewards, including merit increases, annual bonus and stock. These awards are allocated based on individual performance. In addition, certain roles also have the opportunity to earn sales incentives based on revenue or utilization, depending on the terms of the plan and the employee’s role. Benefits/perks listed here may vary depending on the nature of employment with Microsoft and the country work location. U.S.-based employees have access to medical, dental, and vision insurance, a 401(k) plan and company match, short-term and long-term disability coverage, basic life insurance, and wellbeing benefits, among others. U.S.-based employees also receive, per calendar year, up to 10 scheduled paid holidays, and up to 80 hours Holistic Health Time Off. Additionally, hourly/non-exempt employees accrue up to 120 hours paid vacation time, and salaried/exempt employees have Discretionary Time Off (DTO).

Our Commitment to Pay Equity
We are committed to the principle of pay equity – paying employees equitably for substantially similar work. To learn more about pay equity and our other commitments to increase representation and strengthen our culture of inclusion, check out our annual Diversity & Inclusion Report. ( https://www.microsoft.com/en-us/diversity/inside-microsoft/annual-report )

Understanding Roles at Microsoft
The top of this page displays the role for which the base pay ranges apply – Data Engineering IC4.The way we define roles includes two things: discipline (the type of work) and career stage (scope and complexity). The career stage has two parts – the first identifies whether the role is a manager (M), an individual contributor (IC), an admin-technician-retail (ATR) job, or an intern. The second part identifies the relative seniority of the role – a higher number (or later letter alphabetically in the case of ATR) indicates greater scope and complexity.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",Data science,Software Development
Data Engineer,Sysgen RPO,Remote,Onsite,Full-time,Full-time,"The Requirements
2+ years’ experience as a data engineer.
Experience creating reports using Power BI.
Proficient using SQL.
Familiarity with cloud ETL tools such as Azure Data Factory.
Degree (Associates or Bachelors) in computer science, management information systems or related area
Experience with Agile methodologies including Scrum framework and Kanban preferred
Willingness to work in a fast-paced collaborative team environment that has tight deadlines.
Ability to learn and evaluate new tools, concepts, and challenges quickly.
Customer service focus and flexibility in supporting customer requests.
Strong analytical and problem-solving skills.
Commitment to quality and continuous improvement.
Strong written and verbal communication skills.
Be available, at times, to work extended work hours.
Background in benefits administration a plus.
#GMRPOTECH
Job Type: Full-time
Salary: $100,000.00 - $160,000.00 per month
Benefits:
Health insurance
Life insurance
Schedule:
Evening shift
Monday to Friday
Night shift
Overnight shift
Application Question(s):
How long have you been working as Data Engineer?
Do you have working experience creating dashboard reports using Microsoft Power BI? How long?
Are you familiar with Cloud ETL tools such as Azure Data Factory?
Do you have working experience using SQL? How long?
Work Location: Remote

Health insurance",Data science,Software Development
