Title,Company,Location,Type,Salary,Contract_type,Job Description,JobType,Industry
Bartender,Houmas House Gardens,"Darrow, LA 70725",Onsite,"Full-time, P",rt-time,"Houmas House is looking for full-time & part-time bartenders. We are seeking experienced bartenders with extensive knowledge in cocktails, wine and spirits. Applicant must be hardworking, enthusiastic, sociable and must demonstrate quality customer service. Applicant must also be punctual, willing to learn and be able to do mild physical work. Must be able to work flexible hours including weekends and holidays.
Responsibilities
Prepare alcohol or non-alcohol beverages for bar and restaurant patrons
Interact with customers, take orders and serve snacks and drinks
Assess customers’ needs and preferences and make recommendations
Mix ingredients to prepare cocktails
Restock and replenish bar inventory and supplies
Stay guest focused and nurture an excellent guest experience
Comply with all food and beverage regulations
Skills
Resume and proven working experience as a bartender
Excellent knowledge of in mixing, garnishing and serving drinks
Computer literacy
Positive attitude and excellent communication skills
Ability to keep the bar organized, stocked and clean'
'Job Duties: Provide excellent customer service by taking orders, preparing them efficiently, and building a rapport with clientele
Handle card and cash transactions, ensuring that all funds in the cash drawer are accounted for by the end of the shift
Keep an eye on patron intoxication levels and respond appropriately
Identify belligerent customers, and work with management when needed to maintain a safe environment
20-29
30-39
Tip income:
Yes
Work Remotely
No
Job Types: Full-time, Part-time
Shift:
10 hour shift
12 hour shift
8 hour shift
Day shift
Night shift
Weekly day range:
Monday to Friday
Weekend availability
Experience:
Bartending: 1 year (Preferred)
Restaurant Experience: 1 year (Preferred)
Work Location: One location",Bartender,Service
Bartender,Sonnys Place,"Somers, CT 06071",Onsite,$10 ,rt-time,"WHO ARE WE?
Sonny's Place is locally owned. We are committed to providing safe, fun, and entertaining activities for families in our Western New England communities. Since opening in 2008, we have continually invested in expanding our offerings. We started with a driving range and have continued adding more attractions each year. Our most recent addition is the newly completed Sonny's Pavilion, which enables us to house group outings of up to 500+ people in a comfortable, scenic setting! Sonny's Place is named in honor of the owner's father, recognizing how family ties get stronger when kids and adults get the chance to have fun together. We hope that you will continue to enjoy coming to Sonny's Place with friends and family - we will keep doing our best to be your favorite recreation destination.
WHO ARE YOU?
Fun, friendly, energetic individual, 18 years of age or older, that is capable to work as a team member utilizing clear verbal communication and written skills with a strong attention to details. A punctual and reliable person who has weekend availability. Do you have patience when faced with lots of orders? Utilize the highest quality of situational awareness to ensure guests are attended to in a timely manner. Has a strong work ethic that can identify tasks that need to be completed and the willingness to do what it takes to get the job completed. At Sonny's Place, our people embrace these qualities, so if this sounds like you, please read on!
THE JOB
As a Bartender, you are working directly with our guests mixing and serving drink orders. You're responsible for verifying age requirements, knowing a variety of established recipes, and managing the bars inventory and cleaning bar supplies throughout each working shift. Engaging with the guests so each patron has a positive experience. Working with us means thriving in a fast-paced environment as we work as a team to create memorable moments for our guests each and every day. Your positive attitude and can-do spirit will make all the difference as your help leads them to return as well as telling their friends and family of their experience.
WHAT WILL THIS ROLE DO
Prepare and serve a selection of wines, spirits, and mixed drinks from the menu while ensuring proper pouring, mixing, and blending according to established recipes.
Provide a fun, energetic atmosphere.
Serve food and alcoholic beverages to guests in an efficient and speedy manner
Answer questions on menu selections.
Complete opening and closing duties, including restocking items, cleaning pavilion/bar area, workstations, inventory, etc.
Maintain an accurate inventory count, cut and prepare fruits and other beverage garnishments
Ensure charges in the point-of-sale system are applied properly and accurately to members
Move, lift, carry, push, pull, and place objects weighing less than or equal to 25 pounds without assistance and objects more than 50 pounds with assistance.
Respond timely and appropriately to guest concerns and requests.
Ability to work in an outdoor setting/ warmer climate for an entire shift.
The schedule will include day, night, holiday, and weekend shifts
TIPs certified and proficient in the responsible service of alcohol.",Bartender,Service
Bartender (4557),Seasons 52,"San Antonio, TX 78209",Onsite,"$600 - $1,200 ",rt-time,"BE A PART OF OUR OPENING TEAM! OPENING MAY 2023!
Work in a team-oriented, high-volume, fast-paced, guest-centric environment to provide guests with a fresh dining experience that celebrates living well by:
Demonstrating genuine hospitality and delivering exceptional guest services in the bar area, including:
Mixing, garnishing and serving alcoholic and non-alcoholic drinks according to company specifications for guests at the bar and in the restaurant
Helping guests be aware of and choose menu items, taking orders and making guests feel taken care of during their visit
Keeping the bar stocked and clean while always providing friendly and attentive service ∙ Adhering to company standards for serving alcoholic beverages
Assisting in Tasks to ensure a stocked, sanitized and safe restaurant
Apply at careers.seasons52.com
Job Types: Full-time, Part-time
Pay: $600.00 - $1,200.00 per week
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Flexible schedule
Health insurance
Paid time off
Vision insurance
Restaurant type:
Upscale casual restaurant
Shift:
Day shift
Evening shift
Weekly day range:
Monday to Friday
Weekend availability
Work Location: In person

Health insurance",Bartender,Service
Bartender,Hyatt Place St. Petersburg,"Saint Petersburg, FL 33701",Onsite,$7.50 ,rt-time,"Overview: A Kolter Hospitality Bartender delivers service excellence to our guests and creates a welcoming and comfortable environment. This position is responsible for setting up, preparing, and serving beverages.
Performance Expectations:
Prepare beverages according to Company recipes and standards including signature cocktails.
Properly check I.D.s
Have a thorough knowledge of menus and applicable specials.
Aide in bar promotions.
Engage guests in a cordial, efficient and professional manner.
Process and collect payments from guests.
Maintain a clean and organized work environment.
Perform all bar set up and restocking/replenishment of bar inventory and supplies.
Perform opening and closing procedures.
Know and comply with food handling and liquor laws.
Report any items in need of repair.
Follow all safety procedures while working.
Behavioral Expectations:
Be effective and innovative in handling and solving problems in the workplace.
Remain positive and helpful while working in a fast-paced environment.
Committed to the success and growth of the company.
Act honorably, even when no one is watching.
Eagerness to grow and/or develop within the company
Passionately provide personalized guest service
General Requirements:
Able to work most weekends and holidays.
Report to work on time and in proper uniform.
Knowledge and/or ability to operate a computer.
Experience: At least one (1) year of bartending experience preferred.
Education: None.
Physical Requirements:
Ability to stand/walk for up to 8 hours.
Occasional lifting, pushing and pulling.
Kolter Hospitality is proud to be an Equal Opportunity Employer.
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. This description is a summary of primary responsibilities and qualifications. The job description is not intended to include all duties or qualifications that may be required now or in the future. Kolter Hospitality is a drug-free workplace. Pre-employment drug test and background check required.
Job Type: Part-time
Pay: $7.50 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Flexible schedule
Health insurance
Paid time off
Vision insurance
Restaurant type:
Bar
Casual dining restaurant
Weekly day range:
Monday to Friday
Weekend availability
Experience:
Bartending: 1 year (Preferred)
Work Location: In person

Health insurance",Bartender,Service
Bartender,Longhorn Steakhouse,"Gardendale, AL 35071",Onsite,N,rt-time,"Beer, Bourbon and You

The Bartender position is all about:

Mixing, garnishing and serving alcoholic and non-alcoholic drinks
Guiding guests through menus, demonstrating thorough knowledge of the food and beverages
Assisting in tasks to ensure a stocked, sanitized and safe restaurant
Adhering to company standards for serving alcoholic beverages

Working together as a team to deliver a great LongHorn Steakhouse experience for our Guests. #WeAreLongHorn

LongHorn team members enjoy:

Competitive salary with weekly pay
Flexible schedules
Health and Wealth Benefits
Dining and other discounts
Career advancement opportunities",Bartender,Service
Fine Dining Bartender,Truluck's,"Rosemont, IL 60018",Onsite,"$75,000 - $100,000 ",rt-time,"Who We Are
At Truluck's, we’ve dedicated ourselves to creating exhilarating moments and enduring memories. To do so, we bring our core values to your table every day:
Culinary Excellence, Sustainable Seafood, Southern Hospitality, Company Culture, and Philanthropy are what make Truluck’s, Truluck’s.
We are here to make good things happen for other people.
Who are you?
We are currently seeking experienced Fine Dining Bartender candidates who will dedicate themselves to this purpose in joining our exceptional team of professionals. Successful candidates will have a minimum of (8) years previous hospitality experience, and a proven track record of professionalism, accountability, and team commitment. Our hospitality professionals are some of the best in the business. We are ladies and gentleman serving ladies and gentlemen. Do you have what it takes to connect with our affluent clientele and deliver award-winning dining experiences?
Why us?
Our live entertainment lounge offers a unique, high-end experience for an affluent clientele. Our unique brand of hospitality, along with world-class culinary and expertly crafted specialty cocktails puts Truluck's in a class of it's own in the Rosemont area. If you are a bar Rockstar, come make big bucks with us and enjoy the very best work experience of your life!
Benefits
Daily Shift Meals
Performance Based Culture (promotions & pay)
Health Insurance
Vision Insurance
Dental Insurance
Employee Discount
Paid Time Off
Flexible Schedule
401(K) with Match
Job Types: Full-time, Part-time
Pay: $75,000.00 - $100,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Flexible schedule
Health insurance
Paid time off
Vision insurance
Restaurant type:
Bar
Fine dining restaurant
Shift:
8 hour shift
Night shift
Weekly day range:
Every weekend
Monday to Friday
Weekend availability
Ability to commute/relocate:
Rosemont, IL 60018: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location

Health insurance",Bartender,Service
Buffalo Wild Wings Bartenders,Buffalo Wild Wings,"Manchester, NH 03103",Onsite,$15 - $40 ,rt-time,"Buffalo Wild Wings is interviewing for bartenders in our Manchester NH location..
Please apply at: jointeambww.com
Join a team that is all about sports, great food, family and friends. We are a growing restaurant chain with a fast paced, high energy environment with amazing growth.
ADDITIONAL REQUIREMENTS
Strong skills in communication, problem solving and decision making.
The highest ethical standards of behavior.
A positive ""can do"" attitude with an optimistic view of problem solving and
Cooperation.
Ability to work in a fast paced environment.
To Apply:
Join our team at jointeambww.com
Job Types: Full-time, Part-time
Pay: $15.00 - $40.00 per hour
Benefits:
Employee discount
Flexible schedule
Physical setting:
Casual dining restaurant
Schedule:
Day shift
Night shift
Weekend availability
Supplemental pay types:
Tips
Ability to commute/relocate:
Manchester, NH 03103: Reliably commute or planning to relocate before starting work (Required)
Work Location: One location",Bartender,Service
Bartender/Server,Shogun Teppan Steak & Sushi,"Temecula, CA 92592",Onsite,"Full-time, P",rt-time,"Shogun Teppan Steak and Sushi restaurants in Temecula hiring full or part time servers and bartenders.
Job Types: Full-time, Part-time
Benefits:
Employee discount
Flexible schedule
Paid training
Shift:
8 hour shift
Day shift
Evening shift
Night shift
Experience:
Restaurant Experience: 1 year (Required)
Work Location: One location",Bartender,Service
Bartender,Valley View Casino & Hotel,"Valley Center, CA 92082",Onsite,From $14 ,n hour - Full-time,"Description of the Position:
Responsible for the beverage service to guests and Beverage/Food Servers in an assigned service station ensuring efficient and prompt service for guests. Perform all duties in accordance with Valley View Casino & Hotel policies and within the realm of the Valley View Casino & Hotel's Mission Statement. Team Member will work under general supervision. This position relies on limited experience, instructions, pre-established guidelines and good judgment to perform the functions of the job.
Primary Duties, Responsibilities, and Tasks:
All team members are obligated to support and uphold the Valley View Casino & Hotel’s Standards of Excellence, Mission and Vision Statements as outlined in the Team Member Guide to Success.
Maintain positive guest relations at all times, resolving guest complaints and ensuring guest satisfaction. Greet guests in a courteous and caring manner using personalized service.
Responsible for mixing and serving alcoholic beverage and/or non-alcoholic beverages according to established recipes and procedures.
Responsible for the mixing and serving beverages in a service station capacity to Beverage/Food Servers in a prompt and efficient manner.
Responsible for protecting Valley View Casino & Hotel by adhering to alcohol beverage control policies by providing responsible alcohol service and monitoring guest’s alcohol consumption.
Responsible for informing the Beverage Manager or Assistant Beverage Manager when a guest demonstrates signs of intoxication.
Responsible for maintaining, counting and balancing bank at the beginning and end of each shift.
Responsible for the accuracy of ringing up all beverage transactions ensuring that the guest receives accurate change.
Maintains a neat and clean bar station on a continual basis.
Knowledge of the Dram Shop Act and bartenders responsibilities and rights under it.
Knowledge of all Gaming and beverage regulations.
Participates as a Team Member with all Beverage Servers, Barbacks, Supervisors and any pertinent Company Team Members to ensure efficient operational standards.
Adheres to performance standards, company policies and procedures, as they relate to the department.
Maintains a working knowledge of company facilities, as well as special events on property, in order to advise guests and fellow Team Members of same, whenever possible.
All team members must comply with the Tipped Rate Determination Agreement (Gaming Industry) as approved by the IRS.
Other duties as assigned by Food and Beverage Managers, Directors and/or Vice President.
Responsible for conducting all responsibilities in a professional and ethical manner
Adheres to performance standards, company policies and procedures, as they relate to the department.
Required Qualifications:
High school diploma or GED equivalent.
One to three years of bartending experience.
One year of cash handling experience.
Ability to read and interpret documents such as safety rules, instructions, guidelines, operating and maintenance instructions, and policies and procedure manuals written in the English language.
Ability to work with mathematical concepts. Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations.
Ability to define problems, collect data, establish facts, and draw valid conclusions to carry out primary duties, responsibilities and tasks.
Ability to apply commonsense understanding to carry out instructions furnished in written, oral or diagram form referring back to established guidelines and policies and procedures.
Must use good judgment when providing information to our guests and maintain positive guest relations at all times.
Responsible for maintaining a consistent, regular attendance record.
Responsible for conducting all responsibilities in a professional and ethical manner.
Must apply for, receive, and maintain a Gaming License from the Tribal Gaming Agency.
Must be able to successfully pass applicable auditions or skill testing and a drug screening test.
Preferred Qualifications:
Ability to understand oral and verbal communication while using Valley View Casino & Hotel’s communication tools which include but are not limited to radios and phones.
Physical Requirements of the Position:
The physical demands described here are representative of those that must be met by the Team Member to successfully perform the essential functions of this job.
Clear vision (close, distant, peripheral, and depth perception) is needed for navigating office and casino environments, reading and reviewing reports and policies, operating data processing equipment and other essential job functions.
While performing the duties of this job, the Team Member is regularly required to talk and hear.
The Team Member may be required to stand, walk, and sit and use hands to manipulate, handle, or feel.
The Team Member is regularly required to stand; walk; reach with hands and arms; climb or balance; stoop, kneel, crouch, or crawl and taste or smell.
The Team Member must frequently lift and/or move 20 pounds and occasionally lift and/or move up to 40 pounds.
Working Conditions:
The Casino is open 24 hours per day, seven (7) days per week; therefore, you must be flexible to work any and all shifts.
While performing the duties of this job, the Team Member is exposed to second hand tobacco smoke, moving mechanical parts, risk of radiation from computers, and fumes or airborne particles.
The Team Member is usually subject to inside environmental conditions, which provide protection from weather conditions, but not necessarily from temperature changes.
The Team Member is occasionally subject to outside environmental conditions and to wet and/or humid conditions.
The noise level in the work environment is usually moderate. When on the casino floor, the noise level increases to loud.
Other Information:
Native American hiring preference applies.
This job description does not list all the duties of the job. You may be instructed by management to perform other tasks or functions.
You will be evaluated in part based upon your performance of the tasks listed in this job description and your ability to commit to the Standards of Excellence.
Management has the right to revise this job description at any time.
The job description is not a contract for employment.
Job Type: Full-time
Pay: From $14.00 per hour
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Restaurant type:
Bar
Weekly day range:
Weekend availability
Ability to commute/relocate:
Valley Center, CA 92082: Reliably commute or planning to relocate before starting work (Required)
Experience:
Bartending: 1 year (Required)
Work Location: In person

Health insurance",Bartender,Service
Hotel/Restaurant Bartenders,Baymont Inn and Suites,"Madison, WI 53717",Onsite,From $12 ,rt-time,"Summary of Position:
The Bartender position will be Monday through Saturday and the hours will be from 6 PM to 11 PM. The Bartender position will provide timely, accurate and friendly service while preparing the highest quality beverages for our hotel guests. You would be working by yourself so you will not have to share tips.
Duties & Responsibilities :
Take beverage orders from guests and servers.
Prepare and serve alcoholic and non-alcoholic drinks consistent with standard drink recipes.
Learn names and personally recognize our regular customers.
Record drink orders accurately and immediately after receipt into the register system.
Accept guest payment and process credit card charges.
Wash and sterilize glassware.
Prepare garnishes for drinks and replenish snacks and appetizers for bar patrons.
Maintain bottles and glasses in an attractive and functional manner to support efficient drink preparation and promotion of beverages.
Clear and reset tables in bar area.
Present drink menus, make recommendations and answer questions regarding beverages.
Maintain cleanliness in all areas of the bar including counters, sinks, utensils, shelves and storage areas.
Receive and serve food orders to guests seated at the bar.
Report all equipment problems and bar maintenance issues to manager.
Assist the restocking and replenishment of bar inventory and supplies.
Qualifications:
Have Wisconsin Bartender License.
Have working knowledge of beer, wine and liquor and common drink recipes.
Possess basic math skills and have the ability to handle money and operate a cash register.
Be able to work in a standing position for long periods of time (up to 5 hours).
Be able to reach, bend, stoop and frequently lift up to 40 pounds.
Must be flexible on hours, including weekends.
Job Type: Part-time
Pay: From $12.00 per hour
Weekly day range:
Monday to Friday
Weekend availability
Ability to commute/relocate:
Madison, WI: Reliably commute or planning to relocate before starting work (Required)
License/Certification:
Bartender License (Required)
Work Location: One location",Bartender,Service
