Title,Company,Location,Type,Salary,Contract_type,Job_Description,JobType,Industry
Certified Personal Trainer - Carteret,RWJ Rahway Fitness and Wellness Center,"Carteret, NJ 07008",Onsite,$25 - $49 ,rt-time,"Certified Personal Trainer - Carteret
The Role:
RWJ Rahway Fitness & Wellness at Carteret is a state of the art facility that delivers an exciting and personalized fitness experience to our members. We are looking for Certified Personal Trainers to join our team of fitness experts. As a Certified Personal Trainer, you will be the ultimate provider of fitness, results, and an exceptional member experience. We also provide structure and education to all staff to ensure their success. This includes business development, program design, coaching skills, and more.
Certified Personal Trainers will also:
Promote the mission and values to include exceptional service
Take initiative in enrolling current and potential members into our training program
The primary duties of a Certified Personal Trainer include, but are not limited to
Assist clients in setting specific and attainable fitness goals
Observe clients and inform them of corrective measures necessary for skill and physical improvement
Assist members interested in personal training decisions and finding which training program works best for them
Certified Personal Trainers assist clients in maintaining exertion levels to maximize benefits from exercise routines
Offer alternative exercises and routines to accommodate different levels of fitness
Program Design based on clients’ capabilities, preferences, limitations, and goals
Teach the importance of proper breathing when exercising
Monitor participant’s progress and adapt programs as needed
Provide clients with information and resources regarding weight control and lifestyle change
Advise clients on proper clothing and shoes for exercise
Respond to safety codes and, if needed, administer CPR/AED services to a member
Certified Personal Trainer Qualifications:
All Trainers must be certified. Below are the certifications we accept:
Action (Action – CPT)
Aerobics Fitness Association of America (AFAA)
American College of Sports Medicine (ACSM)
American Council of Exercise (ACE)
International Fitness Professional Association (IFPA)
International Sports Sciences Association (ISSA)
National Academy of Sports Medicine (NASM)
National Council of Strength and Fitness (NCSF)
National Exercise and Sports Trainers Association (NESTA)
National Exercise Trainers Association (NETA)
National Federation of Professional Trainers (NFPT)
National Personal Training Institute (NPTI)
National Strength and Conditioning Association (NSCA)
Personal Trainer Academy Global (PTA Global)
The Cooper Institute (CI)
National Council for Certified Personal Trainers (NCCPT)
National Athletic Trainers Association (NATA)
World Instructor Training School (W.I.T.S.)
We also accept a Bachelor’s of Science degree in Exercise Science or equivalent field. We also require all of our Certified Personal Trainers to have an active CPR/AED certification through the American Red Cross or similar groups.
Benefits:
Complementary membership as well as discounts on auxiliary services!
401(K)
Benefits for employees who work 30+ hours
Opportunities for growth!'
Work Remotely
No
Job Type: Part-time
Pay: $25.00 - $49.00 per hour
Schedule:
Day shift
Monday to Friday
Supplemental pay types:
Commission pay
Experience:
Personal training: 1 year (Preferred)
Work Location: One location",PersonalTrainer,Sport and Recreation
"Personal Trainer Needed!! Americus, GA",HiTone Fitness,"Americus, GA 31709",Onsite,From $25 ,rt-time,"Position Summary
Spin?? TRX??
Personal Trainers are responsible for supporting all members in championing happier, and healthier lives by building and maintaining client relationships. They provide a positive member experience that is educational, supporting, and representative of the HiTONE Fitness brand.
Job Duties and Responsibilities
Develops safe, professional, and comprehensive client programs that drive client goal achievement and retention
Monitors and instructs clients during personal training sessions on the safe and effective use of cardiovascular, flexibility and strength training equipment
Reads, watches, and participates in all required trainings associated with the role
Conducts fitness consultations for new clients including pre-participation screening, Medical History, fitness questionnaire, and goal setting to assess and recommend personal training programs
Provides fitness floor assistance to all members to ensure safety, provide education, and motivate members
Fulfills member service requirements such as fitness assessments and equipment operations, service desk duties and fitness equipment cleaning
Promotes personal training programs and services
Completes all administrative requirements associated with each client’s fitness plan
Remains current on certifications and new trends in the industry
Ensures all members feel competent, confident, and connected by providing superior customer service through complimentary and based services and programming
Documents all aspects of client programming
Remains current on credentials and continuing education
Position Requirements
High School Diploma or GED
1 year of personal training experience
Certified personal Trainer (ACE, AFAA, NASM, ISSA)
CPR and AED Certified
Knowledge of fitness, cardiovascular training, nutrition and program design
Ability to perform an aerobic activity for the duration of a class and be able to bend, stand, reach, climb and lift up to 50 pounds
Preferred Requirements
Bachelor’s degree in Kinesiology, Sports Medicine or other related field
Job Type: Part-time
Pay: From $25.00 per hour
Benefits:
Flexible schedule
Schedule:
Day shift
Supplemental pay types:
Commission pay
Education:
High school or equivalent (Preferred)
Experience:
Personal Training: 1 year (Preferred)
Customer Service: 1 year (Preferred)
License/Certification:
Certified Personal Trainer (Preferred)
AED Certification (Preferred)
Work Location: One location",PersonalTrainer,Sport and Recreation
Certified Personal Trainer,Amped Fitness,"Fort Myers, FL 33908",Onsite,$38 ,n hour - Full-time,"Are you looking for a Career that doesn’t feel like work?
Come join a true TEAM environment where you get to have fun while changing lives!
Not only is our personal training position fun but it’s extremely lucrative! No experience, no problem! However, you must have a passion for fitness and work ethic. We are currently looking for full time trainers with the flexibility to make your own schedule. If you think you have what it takes, we want to hear from you!
If you do! Here is what we will provide to make sure you are successful!
-$2000/month salary for up to 60 days. (must be full-time)
-In house TEAM support and training to ensure your success.
-1 on 1 and Small Team Training Curriculum
-Proven Client Building and Retention systems.
-Health Benefits for full time employees after 90 days
-1st year full-time Personal Trainers can earn $60K+
-Unmatched Growth and Advancement opportunities!
-Paid TEAM events and much more!
Apply now to join our growing TEAM and begin your climb to the top! Good luck!
Job Type: Full-time
Pay: $38.00 per hour
Benefits:
Flexible schedule
Schedule:
Monday to Friday
Weekend availability
Supplemental pay types:
Bonus pay
Commission pay
Education:
High school or equivalent (Preferred)
License/Certification:
Certified Personal Training Certification (Preferred)
Shift availability:
Day Shift (Preferred)
Night Shift (Preferred)
Work Location: One location",PersonalTrainer,Sport and Recreation
Group Fitness Trainer/Coach,Legion Transformation Center,"Exton, PA 19341",Onsite,$15 - $18 ,rt-time,"Legion Transformation Center is a growing fitness brand that is home to the best people, members, and environment. Our mission is to help transform the lives of the communities we serve through health and fitness.
Join an organization that is not only an exciting business with amazing people, but more importantly you get to change the lives of your community. Because Legion Transformation Center is all about exciting and rewarding experiences for our members, we are looking for successful and motivated people who want to improve themselves and their career.
Are you a friendly, passionate, and motivated person who is interested in fitness and can talk to anyone?
Do you have great customer service skills, love people, and are currently, or want to become, a fitness coach?
Then our group fitness coach position in our Exton center is for you!
As a Legion fitness coach, you'll be part of a dynamic team that positively affects the lives of our members on a daily basis. You will be responsible for leading and instructing group training classes, building and maintaining a member base, and wowing our customers with a best in class experience.
Better yet, our part-time position doesn't include split shifts or being at the center for 16 hours each day where your sessions are spread out! You'll be coaching four sessions each day.
Our members range from those who are brand new to fitness to those who have been working out for years but haven’t been attaining their fitness goals. You must have the drive to motivate people and outperform all key performance sales indicators, including challenge sales, membership sales and renewals, retail sales, and member attendance.
ESSENTIAL DUTIES & RESPONSIBILITIES:
· Lead and instruct group training sessions
· Create an environment that is fun and filled with energy
· Build strong relationships with challengers/members to be a positive change in their lives
· Motivate and inspire members to get results by setting goals and tracking progress
· Guide and educate members on comprehensive fitness programs and nutrition plans
· Maintain a working knowledge of all products, programs, and services
· Handle member concerns/feedback in a professional manner
· Greet members and guests promptly, enthusiastically, and with a smile, to create and maintain a friendly positive environment
· Plan and execute community outreach to help expand our local brand presence. Collaborate with local businesses to plan events, create partnerships, etc.
· Brainstorm new ideas for location events, member challenges, trial periods, etc. to promote location growth
JOB QUALIFICATIONS:
· Previous fitness coaching experience a plus, not a requirement
· Degree in Exercise Science a plus, not a requirement
· Enthusiasm, energy and excellent customer service skills
· Strong verbal and written communication skills
· Ability to function in a fast-paced environment
· Functional computer skills required, such as Google Docs, Sheets, or Microsoft office
· Passion for health and fitness
· Passion for helping people
· High School diploma required
· Flexible to work days, evenings and/or weekend hours as needed
We provide team members with free workouts in our center. On top of everything, strong opportunities for career growth!
Pay: $15.00-18.00 per hour w/ bonus opportunities
Job Types: Full-time, Part-time
Pay: $15.00 - $18.00 per hour
Benefits:
Employee discount
Flexible schedule
Schedule:
Monday to Friday
Weekend availability
Supplemental pay types:
Bonus pay
Education:
High school or equivalent (Preferred)
License/Certification:
Certified Personal Trainer (Preferred)
AED Certification (Preferred)
Work Location: In person",PersonalTrainer,Sport and Recreation
"Entry Level Certified Personal Trainer- Health, Dental Insurance and PTO!",Time Saver Fitness,"Sarasota, FL",Onsite,$17 - $18 ,rt-time,"GROWING COMPANY looking for: Entry Level Certified Personal Trainer (No Experience Needed!) with HEALTH BENEFITS, DENTAL INSURANCE and PAID TIME OFF!
MUST BE ABLE TO WORK WEEKDAYS AND SATURDAYS. PLEASE DO NOT RESPOND TO THIS JOB POSTING IF YOU CANNOT WORK SATURDAYS. THANK YOU!
Ever wondered what it would be like to do a job that you truly love! The ability to change people’s lives daily. Our team here at Time Saver Fitness could not be more delighted to announce that we are actively hiring for an Entry Level Certified Personal Trainer!
POSITION: Entry Level Certified Personal Trainer
What makes us unique? We specialize in just two, twenty-minute workouts per week with each one of our clients! While many positions require a certification and experience in the field, we can with full certainly say, NO experience is needed. In fact, we have our own full certification here at Time Saver Fitness where you will become an expert in the field of physical fitness learning and gaining extensive knowledge and skills based on human anatomy and body mechanics giving you the ability to help any client achieve the results they truly desire. In fact, while most have to pay for a full certification, we will PAY YOU! Yup, we will pay you to go through Time Saver Fitness’ full certification. Once hired, a trainee will go through our extensive certification lasting roughly a month and a half to two months.
The type of person we’re looking for? Surprisingly enough, someone that has NO experience in the fitness industry is someone we prefer. Due to our full certification, we will teach you everything you need to know. If you are dedicated to helping others through past experiences, have a vibrant, outgoing, and kind personality then there is a strong change we want to hear from you. Lastly, if you TRULY TRULY, enjoy helping others out and fit the qualities outlined, there is a chance you might be the PERFECT fit for our team.
PERSONALITY CHARACTERISTICS: We are looking for an amazing person with the personality to go along with it! Are you ENERGETIC, UPBEAT, HIGH LEVEL OF INTEGRITY, MOTIVATED, LOOK AT THE GLASS HALF FULL, A PASSION FOR LIFE and want to change the way someone lives?
JOB RESPONSIBILITIES:
· Coach clients through each of their 20-minute, One-on-One personal training sessions paying attention to form, control, body mechanics, breathing and level of determination
· Coach clients through each of their 20-minute workouts to help them achieve the goals and results they are looking for
· Despite client’s limitations or injuries, always give positive reinforcement
· Give basic nutrition advice to clients should they inquire about it
· During each shift, ALWAYS abide by Time Saver Fitness’ 6 Core Company Values
· Go above and beyond for your team and clients
· Have fun and do what you love! You’re changing client’s lives forever!
PART TIME: We are currently looking to fill a part time position with the potential of full time in the future. Yes! If desired, we would love to make you full time as we continue to grow and expand. SATURDAYS AN ADDITIONAL MUST!
EXPANSION: Time Saver Fitness has helped so many clients that not only are we hiring but we are growing too! Our second location in Lakewood Ranch is now open with more locations to come.
UPWARD MOBILITY: If you have the desire for training clients and management too, be rest assured there is opportunity for facility management and upward mobility in the future THROUGHOUT one of our locations.
EXPERIENCE: No experience is needed! Due to our extensive two-month certification, we will certify you! In fact, well even PAY YOU to go through certification!
EDUCATION: A Bachelor’s Degree is preferred but certainly not required or needed.
PAY AND COMPENSATION: We believe that pay is really important too! Our pay scale we feel is extremely generous at $17-$18 per hour!
HEALTH BENEFITS: We’re truly really excited to mention that we offer Health Benefits to all employees! YES…you read it correct. With healthcare so important in this day an age, we’re REALLY HAPPY to be able to offer such a rare benefit within the fitness industry.
DENTAL BENEFITS: We are super excited to offer Dental Insurance to all staff should they decide to opt into it.
PAID TIME OFF (PTO): Within the fitness industry, PTO is something that is rare or never heard of. Here at Time Saver Fitness, we feel that PTO is important for all staff, thus all staff are given it each year.
LOCATION: The facility we are currently hiring for is in the heart of Sarasota Downtown and Lakewood Ranch.
WHEN ARE WE LOOKING TO HIRE: Immediately should someone be the right fit for our team!
HOW TO APPLY: Submit your most current resume to email address in this posting. Once submitted, you will be invited to Time Saver Fitness’ Hiring Seminar. The Hiring Seminar will include an overview of Time Saver Fitness, job description and 1-1 BRIEF interview.
We would love to have you join our AMAZING team! Please call or email so that we can begin the application process!
Ask for Keith: 941-373-6300
Job Type: Part-time
Pay: $17.00 - $18.00 per hour
Benefits:
Dental insurance
Health insurance
Schedule:
Monday to Friday
Weekend availability
Supplemental pay types:
Bonus pay
Ability to commute/relocate:
Sarasota, FL: Reliably commute or planning to relocate before starting work (Required)
Shift availability:
Day Shift (Preferred)
Night Shift (Preferred)
Work Location: One location

Health insurance",PersonalTrainer,Sport and Recreation
Exercise Specialist/Athletic Trainer/Exercise Physiologist,Crystal Coast Wellness and Performance Center,"Morehead City, NC 28557",Onsite,$10 - $30 ,rt-time,"Job Description
We are seeking an enthusiastic, skilled, and motivated Exercise Specialist/Personal Trainer to join our growing health and wellness team. You will work with a variety of individuals seeking to improve their health and wellness with a focus on the unique needs of the person. When necessary, you will collaborate with other professionals, including but not limited to registered dietitians and physical therapists, to provide a comprehensive approach to full body wellness. All of our Exercise Specialists/Personal Trainers must have a positive and encouraging attitude to motivate and empower clients to reach their goals.
General Duties
Develop customized individual, small group (0-5 individuals), and large group (6-10+ individuals) training programs.
Properly execute 30-60-minute workouts for one-on-one training personal training clients, semi-private group training settings (0-5 individuals), and large group settings (6-10+ individuals).
Identify client goals through a structured consultation process and determine the appropriate method of training that will enable the client to reach those goals, whether this be through one-on-one personal training, small group training (0-5 individuals), and/or large group training (6-10+ individuals).
Perform initial consultations, pre-exercise screenings, and movement assessments to aid in the determination of appropriate training methods and the creation of individualized training programs.
Be able to identify the need for, provide, and demonstrate both regressions and progressions for each exercise in the training program as appropriate for the individual.
Provide individual supervision and instruction during client training sessions.
Monitor effectiveness of training programs through performance of regular reassessments.
Demonstrate exercises and explain safety considerations for each exercise.
Properly execute, demonstrate, and explain all exercises included in training programs.
Identify and explain the safety considerations of each exercise.
Instruct clients in the proper and preferred use of all strength training equipment.
Instruct clients in strength training principles, training procedures, and exercise techniques.
Proficiency in company utilized software for scheduling, delivering services, and completing staff duties.
Documentation of all personal training sessions using company policies and procedures.
Conduct facility tours.
Educational Requirements
Exercise Specialist/Personal Trainer must have a bachelor's degree in kinesiology, exercise science or physical education. Courses in basic nutrition, exercise techniques and group fitness are beneficial. CPR certification recommended but not required.
Certification(s)
Personal trainer certification from a NCCA Accredited organization (NSCA, ACSM, ACE, NASM) strongly recommended but not required.
ACSM Certified Exercise Physiologist and/or NSCA CSCS highly recommended but not required.
Job Types: Full-time, Part-time
Pay: $10.00 - $30.00 per hour
Benefits:
401(k)
Employee discount
Flexible schedule
Health insurance
Paid time off
Schedule:
10 hour shift
8 hour shift
Monday to Friday
COVID-19 considerations:
Masks are not required. Employees will wear a mask with clients per client request.
Ability to commute/relocate:
Morehead City, NC 28557: Reliably commute or planning to relocate before starting work (Preferred)
Education:
High school or equivalent (Required)
License/Certification:
Personal training certification (Preferred)
Work Location: One location

Health insurance",PersonalTrainer,Sport and Recreation
Youth Coach / Fitness Instructor / Personal Trainer / Physical Education Teacher - Orange Park,KidStrong Jacksonville/Gainesville,"Jacksonville, FL 32207",Onsite,$18 - $20 ,rt-time,"Let what you love, be what you do!Life is good…Work someplace awesome! If you find purpose in helping kids win at life, then KidStrong Orange Park ( Jacksonville, FL) is the place for you. We are looking for Coaches, Personal Trainers, Physical Education Teacher, Athletic Trainers to Join our growing Team Part-time positions available with growth to full time What is KidStrong… KidStrong is a private child development training center focusing on Brain, Physical and Character Development for ages walking through 11 years old. KidStrong offers a science-based curriculum that is parent focused and taught by professionals. KidStrong has been growing since 2016 and today we have multiple locations across the country, as we continue to expand, building stronger kids! We offer a dynamic culture where the growth potential is enormous, with plans to have multiple locations in the Jacksonville area! We have an AWESOME team of coaches, SCIENCE-BASED curriculum, and BEAUTIFUL safe, clean, and fun facilities. If YOU think you're ready to join OUR team and make a positive impact in the lives of hundreds of kids, then apply NOW and let’s talk! We offer interactive training and a FUN and busy work environment that will help you get all your daily steps in! Full Time and Part Time positions available Click the link to see what we're all about! https://www.youtube.com/watch?v=2oYi5IcuSsc
https://youtu.be/OeNL6jMnsDE A great team member …
Is looking to make a difference and help kids win at life!
Has high energy and a great attitude
Has a flexible schedule that may include evenings and weekends
Teaches amazing classes developed by our in-house child development experts and our proven curriculum and teaching method (no worries, we teach you how!)
Has experience working with kids ages walking to 11 years old in an athletic or coaching environment (with pediatric Occupational Therapy / Physical Therapy, youth personal training, physical education, athletic trainer, gymnastics instructor , special education experience a plus!)
Knows outstanding customer service and membership experience are core values. We treat our members like family here..
The DNA traits that make a great KidStrong Coach:
Performer - engaing - fun - likeable
Mentor - creates deep relationships
Passionate - has a love of coaching
Commands Presence - Has authority and strong perception
Teacher - can communicate knowledge
Professional - exemplifies consistent excellence

do what you love. love what you do.
This franchise is independently owned and operated by a franchisee. Your application will go directly to the franchisee, and all hiring decisions will be made by the management of this franchisee. All inquiries about employment at this franchisee should be made directly to the franchise location, and not to KidStrong Corporate.",PersonalTrainer,Sport and Recreation
Certified Personal Trainer,"FITT Finder, Inc.",Remote,Onsite,$22 - $26 ,ct,"About us
FITT Finder, the world's first fitness search engine! Our platform is designed to help fitness enthusiasts discover their ideal fitness experiences quickly and easily based on their unique preferences.
At FITT Finder, we're proud of our extensive corporate wellness partnerships, which enable us to connect fitness businesses and professionals with their perfect customers and drive revenue growth.
In recognition of our innovative approach, we've been named one of the top 50 most innovative startups in the United States. Furthermore, we've recently established nationwide partnerships with healthcare and corporate wellness providers, expanding our reach even further.
Our ultimate goal is to democratize access to the fitness industry by providing a personalized and organized platform that helps people discover new fitness opportunities.
We're committed to being customer-centric, collaborative, and at the forefront of innovation in the fitness industry.
As our team continues to grow, we remain dedicated to providing the best possible service and experience for our users. Thank you for choosing FITT Finder!
Our work environment includes the following:
Growth opportunities
Regional & market leadership opportunities
We are looking for an individual to join our diverse, energetic team to work with clients individually and in a group setting. A successful candidate will be passionate about health and fitness, enjoy working in a professional environment and be committed to reaching goals. The Personal Trainer is responsible for working with clients to develop comprehensive personal training programs, as well as teaching classes to clients in a group setting.
Responsibilities:
Plan and provide effective workouts.
Demonstrate proper techniques during training sessions.
Set clear goals for each session and ensure that they are achieved.
Be knowledgeable in a range of exercises.
Design effective routines.
Plan workouts based on a client's needs and goals.
Job Types: Part-time, Contract
Pay: $22.00 - $26.00 per hour
Benefits:
Flexible schedule
Professional development assistance
Referral program
Schedule:
Choose your own hours
Supplemental pay types:
Commission pay
Shift availability:
Day Shift (Preferred)
Night Shift (Preferred)
Work Location: Remote",PersonalTrainer,Sport and Recreation
Personal Trainer,FIT@Stonebridge Ranch,"McKinney, TX 75071",Onsite,"$30,000 - $70,000 ",rt-time,"Make a difference every day while building an exciting career in fitness. As a Personal Trainer (PT) at FIT you will work one-on-one, partners and in small groups with clients to help them achieve their fitness goals. Be the spark that inspires someone to keep training, to try harder and to live healthier.
Job Types: Full-time, Part-time
Pay: $30,000.00 - $70,000.00 per year
Benefits:
Flexible schedule
Professional development assistance
Schedule:
4 hour shift
8 hour shift
Supplemental pay types:
Commission pay
COVID-19 considerations:
equipment is cleaned after each client. all common areas are sanitized regularly and trainers must wear a mask when on the floor.
Education:
High school or equivalent (Preferred)
Shift availability:
Day Shift (Preferred)
Night Shift (Preferred)
Work Location: One location",PersonalTrainer,Sport and Recreation
Personal Trainer,BMN Coaching,Remote,Onsite,"$2,500 - $5,000 ",ct,"Scope of Role
As a Personal Trainer and/or Nutrition Coach for Fitness BMN Coaching, you will use your skill set, experience, and education to create well rounded training programs, and quality nutrition plans based on individual clients and their needs.
Your primary job will be to be the best coach possible for each of your clients, with possibilities of additional roles in social media and marketing.
Responsibilities
Responsibilities may include, but are not limited to, the following:
● Design well rounded training programs, and quality nutrition plans
● Onboard new clients into the BMN coaching app and style of coaching
● Find new prospects and close clients sent to you by the BMN team
● Maintain a high level of monthly retention
Requirements
● Hold a current NCCA Accredited Personal Trainer Certification
● Have 1 or more years of recent experience as a Certified Personal Trainer
● Access to a modern phone and computer
● Available, reliable high-speed internet connection for uploading programs, and communication
● US based and legally authorized to work in the United States
Looking for… trainers with established followings and clientele to transition to our app and ecosystem.
Job Types: Part-time, Full-time, Contract
License/Certification:
● NCCA Accredited Personal Trainer Certification (Required)
Work Location: Remote
Job Types: Full-time, Part-time, Contract
Pay: $2,500.00 - $5,000.00 per month
Benefits:
Flexible schedule
Application Question(s):
Do you have a current following or clientele group you can transition to the BMN Coaching ecosystem?
Work Location: Remote",PersonalTrainer,Sport and Recreation
