,Title,Company,Location,Type,Salary,Contract_type,Job Description
1,Lead Embedded Developer,Welbilt,"New Port Richey, FL",Onsite,Full-time,Full-time,"We are Welbilt! We design, manufacture, and supply the best-in-class commercial food and beverage equipment for the global foodservice market. We empower you to grow with us. We recognize you and reward you. We win together as one team. Bring your passion for excellence to our table.
As Lead Embedded Developer, you will be responsible for architecting and designing secure embedded software for IoT applications and will lead a team of embedded software engineers to develop and validate IoT software on embedded devices.
Reporting directly to the Director Engineering, this position is based out of our corporate headquarters in New Port Richey, Florida and will support KitchenConnect, a Welbilt brand. KitchenConnect is Welbilt’s premier digital platform for a new generation of connected kitchens, harnesses technology and data to optimize operations, improve guest experiences, and enable your business to continually adapt to an ever-changing digital world through the ability to turn patterns into profits.
Key Tasks & Responsibilities:
Responsible for architecting and designing secure embedded software for IoT applications.
Lead a team of embedded software engineers to develop and validate IoT software on embedded devices.
Collaborate with cross-functional teams to gather requirements, scope project effort and resource estimations, execute and deliver secure embedded software in a timely manner.
Communicate effectively with customers, internal and external stakeholders.
Responsible for documenting and tracking system/software requirements and validation test cases.
Collaborate across teams to understand release level changes, requirements and use cases to define and execute test plans.
Provide continuous improvements to development, validation, and verification process.
Perform troubleshooting and root cause analysis on issues and provide effective solution.
Perform other related duties, as assigned.
Qualifications:
Education & Experience:
Bachelor’s degree in electrical engineering, computer engineering or equivalent; focused on embedded systems is required.
8+ years of experience in a product industry focused on embedded software and products is required.
3+ years working in IoT related projects is preferred.
2+ years of experience in architecture and design development for embedded software is preferred.
2+ years managing embedded software or firmware development project and teams is preferred.
Experience working with MQTT, AWS, or Azure is required.
Experience working with Linux operating systems is required.
Experience in RTOS embedded development and multithreaded programming is preferred.
Experience working in an agile environment is preferred.
Skills & Abilities:
Ability to work effectively with remote/virtual teams.
Excellent written and verbal communication skills.
Passionate about learning how things work (to the point of breaking them...).
Excellent project management and time management skills.
Demonstrate analytical and problem-solving skills.
Working Conditions:
This work typically requires extended periods of sitting at a desk in an office environment.
Must be able to lift or move up to 50 pounds.
Travel up to 15% of the time.
Our Benefits:
We believe that our people our one of our most valuable assets. That’s why we provide our employees with a competitive benefits package that helps protect their health, income and lifestyle. Some offerings are dependent upon the role, work schedule, or location, and can include the following:
Competitive wage
Healthcare (medical, dental, vision)
401(k) savings plan
Wellness Program
Supplemental Health Plans
Employee Assistance Program
Training and Development
Tuition Assistance
Holiday Pay opportunities
Employee discounts
Paid Time Off (PTO)
On-the-job training and skills development
Basic Life Insurance
Leave Program
Employee Events and more…
Welbilt, Inc., an Ali Group company, provides the world’s top chefs, premier chain operators and growing independents with industry-leading equipment and solutions. Our innovative products and solutions are powered by our deep knowledge, operator insights, and culinary expertise. Welbilt’s portfolio of best-in-class brands include Cleveland™, Coffee Queen®, Convotherm®, Crem®, Crystal Tips®, Dean®, Delfield®, Expobar®, Fabristeel®, Frymaster®, Garland®, Inducs®, Koldtech®, Kolpak®, Lincoln®, McCann’s™, Merco®, Merrychef®, Multiplex®, RDI®, SerVend™, Spengler®, SunFire® and U.S. Range™. These product brands are supported by three service brands: KitchenCare®, our aftermarket parts and service brand, FitKitchen®, our fully-integrated kitchen systems brand, and KitchenConnect®, our cloud-based digital platform brand. Headquartered in the Tampa Bay region of Florida and operating manufacturing facilities throughout the Americas, Europe, and Asia, we sell through a global network of over 5,000 distributors, dealers, buying groups, and manufacturers' representatives in over 100 countries.
For more company information, visit www.welbilt.com . To explore more Career opportunities at Welbilt, visit www.careers.welbilt.com .
Welbilt, Inc. is an equal opportunity employer which values diversity in the workplace . All applicants shall receive equal consideration and treatment in employment without regard to race, color, religion, ancestry, national origin, age, sex, marital status, familial status, medical condition, or any other status protected by law. All recruitment, hiring, placements, transfers and promotions will be on the basis of individual skills, knowledge, abilities, and business need.
#LI-AW1
#KitchenConnect"
2,Ruby On Rails Developer.,Power Home Remodeling,"Levittown, PA 19054",Onsite,Full-time,Full-time,"Experienced Ruby on Rails Developer.
Power is seeking a full stack Ruby on Rails developer with 4+ years of experience to join our team. We are reinventing the home remodeling industry and to do that, we need a web application platform that supports our people, our ingenuity, and our growth.
At Power, you will have the opportunity to work on challenging technology problems and design solutions that are lasting, sustainable and positive. You will be part of a cross-functional Scrum team and get to work alongside other top talent, including our growing team of application architects, UX designers, engineers and awesome developers. You will be empowered to make decisions and enjoy great latitude in choosing the right tools and methods for the job. As an experienced developer, you will be expected to bring your knowledge to help us build and deliver highly visible products and help grow and mentor other team members.
Come be part of an amazing team and see what it’s like to brag about where you work.
What we do here
At Power, our technology team builds a custom suite of products that run our entire business. We create and deploy complete solutions for marketing, sales, operations, finance and more. We even have a custom communications platform that connects everyone in the company. We use cutting edge technologies like augmented reality, computer vision, machine learning, speech recognition and processing, geospatial data and a variety of mobile platforms.
We enjoy all the benefits of a startup to move fast, ship rapidly and iterate quickly, but within an established organization that is well-funded and profitable. We get to dip our toes in many different, fascinating areas and solve unique, challenging problems that could on their own be standalone apps or companies. We’re a tech powerhouse hidden inside a remodeling company.
We value diversity of all types at Power and our team is made up of a kind, thoughtful group of people with a wide range of backgrounds. We actively try to find people with different perspectives and experiences to the ones we already have.
Power has been awarded Computerworld’s Best Places to Work in IT, Fortune Magazine’s #1 Workplace for Millennials, one of Glassdoor’s Best Places to Work, one of Inc. 5000’s Fastest Growing Private Companies, and Philadelphia Magazine Coolest Companies.
Required Qualifications
4+ years Rails experience
2+ years of experience mentoring and growing other developers
Strong knowledge of agile development methodologies
Proven track record of delivering quality work on time
Enjoy working with product specialists and end-users to understand requirements
Solid communication, collaboration and mentoring skills to work with a range of colleagues from product specialists and end-users, to UX designers and other developers
Strong interest in continued personal and professional development, inclusive of learning new programming languages and technologies
Experience incorporating automation and integration testing
Preferred Experience
Web frontend: React, Bootstrap, GraphQL
Languages: Ruby, Javascript
Web backend: Rails, Rescue
Databases: MySQL, Redis, LDAP, ElasticSearch, InfluxDB
Team: Scrum, Git
DevOps: Docker, Kubernetes, Jenkins
Benefits
Full medical, dental, life and disability insurance plans that can be tailored to your specific needs and the needs of your family
A competitive 401(k) retirement savings program matched by Power
Competitive salary
All the tech you need - We'll pay for whatever hardware and software you need to work and make sure you're regularly upgraded to the latest versions
Personal development - Personal development books, courses and conferences
Paid parental leave - When the time comes to welcome a new member of the family, we offer paid parental leave
3 events per year focused on internal development and improvement
Location
Remote, within 3 hours of EST or Hybrid at our HQ just outside of Philadelphia, PA."
3,Automation Engineer,DSC Dredge LLC,"156 Airport Rd, Reserve, LA 70084",Onsite,Full-time,Full-time,"Automation Engineer - Relocation Assistance Provided!
About us
DSC Dredge LLC is a company in MANUFACTURING in Reserve, LA. We are fun, fast-paced and collaborative.
Our work environment includes:
On-the-job training
Flexible working hours
Growth opportunities
Relaxed atmosphere
Wellness programs
Lively atmosphere
Safe work environment
Regular social events
Company perks
Casual work attire
Food provided
Join our team!
DSC Dredge, LLC. is looking for experienced Automation Engineer/PLC Programmers ready to work hard with a positive attitude in a fast paced environment. World-class dredge manufacturing business with immediate full-time openings! Company offers competitive salary based on experience and unmatched benefit package, including health insurance, 401K w/match, and much more.
Major Responsibilities:
Develop PLC and HMI applications to meet specifications
Plans, evaluates, organizes and implements automation related projects and initiatives.
Develop electrical schematics and layouts in AutoCAD Electrical
Develop Electrical Bill of Materials
Reviews design efforts from production team to ensure quality and accuracy
Troubleshoot issues with existing installations
Troubleshoot, repair, and upgrade legacy code
Requirements:
Bachelor degree in Instrumentation and Controls, Electrical Engineering, or a related field
2 or more years of experience in automation industries
Skills and Qualifications:
Solid understanding of computer programming and software development
Proven collaborator; able to leverage individual strengths to provide value to the entire team
Excellent verbal and written communication skills
Proficiency in Studio 5000 and FactoryTalk development (preferred)
Working knowledge of AutoCAD (preferred)
Hands on experience with electrical systems (preferred)
DSC Dredge, LLC. is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. This technologically driven company takes pride in being ""the world's leader in portable dredges"".
Learn more about DSC by visiting our website: www.dscdredge.com.
EOE
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Relocation assistance
Vision insurance
Schedule:
10 hour shift
8 hour shift
Monday to Friday
COVID-19 considerations:
To keep our team as safe as possible, DSC Dredge, LLC is currently following OSHA's ETS guidelines. All applicants will be required to wear a face covering when applying in person, going through the interview/testing process and when working on site.
Application Question(s):
This position is located at 156 Airport Rd., Reserve, LA 70084. Are you able to commute to this location?
Education:
Bachelor's (Required)
Experience:
Electrical engineering: 1 year (Preferred)
License/Certification:
Professional Engineer (Preferred)
Willingness to travel:
25% (Preferred)
Work Location: In person

Health insurance"
4,Junior Software Developer,Vetro Tech Inc,"Austin, TX",Remote,"$86,000 - $98,000 ",r - Full-time,"We are looking for an enthusiastic junior software developer to join our experienced software design team. Your primary focus will be to learn the codebase, gather user data, and respond to requests from senior developers.
Visa sponsorship available if required,
Training available if required
Remote Jobs available
Candidate must be eligible for visa filling
To ensure success as a junior software developer, you should have a good working knowledge of basic programming languages, the ability to learn new technology quickly, and the ability to work in a team environment. Ultimately, a top-class Junior Software Developer provides valuable support to the design team while continually improving their coding and design skills.
Junior Software Developer Responsibilities:
Attending and contributing to company development meetings.
Learning the codebase and improving your coding skills.
Writing and maintaining code.
Working on minor bug fixes.
Monitoring the technical performance of internal systems.
Responding to requests from the development team.
Gathering information from consumers about program functionality.
Junior Software Developer Requirements: * Bachelor’s degree in computer science.
Knowledge of basic coding languages including C++, HTML5, and JavaScript.
Knowledge of databases and operating systems.
Good working knowledge of email systems and Microsoft Office software.
Ability to learn new software and technologies quickly.
Ability to follow instructions and work in a team environment.
Job Type: Full-time
Salary: $86,000.00 - $98,000.00 per year
Schedule:
Monday to Friday
Work Location: Remote"
5,Jr Software Developer,Certified Technical Experts IN,Remote,Remote,N,r - Full-time,"This role performs and implements activities that impacts components / processes of specified functional areas of an application system in an Agile environment. Work is typically received in short-term assignments that often require the application of independent judgment. Operates within the context of defined procedures that provide desired functionality to digital solutions, products and programs, typically for intermediary, basic to complex systems. Implements activities that influence entry to mid-level components of the functional area.
Job Responsibilities (include but are not limited to):
Writes code that meets specifications. Develops software applications and tools.
Completes programming and performs testing and debugging applications.
Develops software applications and tools using Agile development methodologies.
Participates actively in the design, architecture and create phases, to aim at producing high quality deliverables, working with existing architects where appropriate.
Participates in the evaluation of compatibility of programs with existing communications hardware and software features. Develops professional expertise, applies policies and procedures to resolve a variety of issues.
Works on problems of moderate scope where analysis of situations or data requires a review of a variety of factors. Exercises judgment within defined procedures and practices to determine appropriate action.
Strengthens productive internal/external working relationships.
Receives general instructions on routine work, detailed instructions on new projects or assignments. Usually works with some supervision, conferring with higher-ups on unusual or complex matters
Demonstrates proficiency in several areas of the professional function.
Effectively resolves problems and roadblocks as they occur. Has working knowledge of programming languages important to the organization.
Interacts with internal and external peers and/or managers to exchange semi-complex information related to assigned activities.
Acts as individual contributor as well as team member.
Utilizes experience in order to identify problematic relationships.
Anticipates, prevents and eliminates problems and creates efficient fixes.
Gathers and updates necessary information and communicates to appropriate parties."
6,Salesforce Lead Developer,Zurich Insurance Company Ltd.,"Schaumburg, IL 60159",Hybrid remote,Full-time,Full-time,"Zurich is currently searching for a Salesforce Lead Developer to work from our Schaumburg location.

This position will be part of a Core Platform Modernization team and will be responsible for focusing on developing, defining, configuring, supporting, and auditing Salesforce applications.

As a Salesforce Lead Developer, responsibilities will include:

Implementing Salesforce.com solutions using best practices through standard configuration and custom development
Developing clear functional requirement and technical specifications when custom development is required
Support the analysis of CRM information system needs through the organization including product evaluations, recommendations for system selection, implementation, enhancements, and support
Define and optimize process to help drive improvements to meet business needs in Salesforce
Build and manage dashboards, views, and report
Design security module
Develop custom components, triggers, and pages
Audit and resolve data quality issues; make recommendations to prevent issues from recurring in the future

Basic Qualifications:

Bachelors Degree and 5 or more years of experience in the Software Programming Applications area
OR
High School Diploma or Equivalent and 8 or more years of experience in the Software Programming Applications area
OR
Zurich Certified Insurance Apprentice including an Associate Degree and 5 or more years of experience in the Software Programming Applications area
AND
Experience assisting with design, coding benchmark testing, debugging and documentation of programs
Experience working with multiple phases of software systems programming applications
Experience working with multiple programming languages

Preferred Qualifications:

Five or more years of experience in Salesforce Development
Salesforce Certified Platform Developer I
Salesforce Certified Platform Developer II highly preferred
Three or more years of experience in the Lightning Aura Component
Three or more years of experience developing Classes, Controllers and Triggers
Three or more years of experience with Salesforce Batch Apex
Three or more years of experience with Rest API integration
One or more years of experience with Lightning Service Console
One or more years of experience in Lightning - specifically working with Lightning Web Components highly preferred
One or more years of experience with Web Services via Service Bus or equivalent with MuleSoft
Understanding of object-oriented programming principles, design patterns, relational database principles, and operating systems
Experience in design and development of enterprise systems
Execution experience in the Agile delivery model
Experience in working with various project stakeholder at various levels in a matrix organization

As a condition of employment at Zurich, employees must adhere to any COVID-related health and safety protocols in place at that time (https://www.zurichna.com/careers/faq).

A future with Zurich. What can go right when you apply at Zurich?

Now is the time to move forward and make a difference. At Zurich, we want you to share your unique perspectives, experiences and ideas so we can grow and drive sustainable change together. As part of a leading global organization, Zurich North America has over 150 years of experience managing risk and supporting resilience. Today, Zurich North America is a leading provider of commercial property-casualty insurance solutions and a wide range of risk management products and services for businesses and individuals. We serve more than 25 industries, from agriculture to technology, and we insure 90% of the Fortune 500®. Our growth strategy is not limited to our business. As an employer, we strive to provide ongoing career development opportunities, and we foster an environment where voices are diverse, behaviors are inclusive, actions drive equity, and our people feel a sense of belonging. Be a part of the next evolution of the insurance industry. Join us in building a brighter future for our colleagues, our customers and the communities we serve. Zurich maintains a comprehensive employee benefits package for employees as well as eligible dependents and competitive compensation. Please click here to learn more.

As a global company, Zurich recognizes the diversity of our workforce as an asset. We recruit talented people from a variety of backgrounds with unique perspectives that are truly welcome here. Taken together, diversity and inclusion bring us closer to our common goal: exceeding our customers’ expectations. Zurich does not discriminate on the basis of age, race, ethnicity, color, religion, sex, sexual orientation, gender expression, national origin, disability, protected veteran status or any other legally protected status. EOE disability/vet

Zurich does not accept unsolicited resumes from search firms or employment agencies. Any unsolicited resume will become the property of Zurich American Insurance. If you are a preferred vendor, please use our Recruiting Agency Portal for resume submission.

Location(s): AM - Schaumburg
Remote Working: Hybrid
Schedule: Full Time

Linkedin Recruiter Tag: #LI-RD1 #LI-ASSOCIATE"
7,Software Engineer I,"MISTRAS Group, Inc.",Remote,Remote,"$65,000 - $80,000 ",r - Full-time,"The Software Engineer I is responsible for understanding the business and how to apply/augment the IT application architecture to plan, design, build and integrate state of the art solutions for the MISTRAS customer facing client base. The role requires a strong understanding and experience with latest software technologies and relational database architecture and structure.
MAJOR RESPONSIBILITIES/ACTIVITIES:
Work with a focused software team of developers, QA, and product owners to develop and support MISTRAS customer facing industrial applications.
Collaborate with other developers to design, develop and test your code and the applications.
Deliver support for escalated tickets. Troubleshoot, debug and resolve client reported issues.
Timely response to communications from others, inside and outside the company.
Engage in continued independent learning of development practices.
Contribute to regular software team meetings through asking questions.
Other duties as assigned.
QUALIFICATIONS & SKILLS:
Ability to effectively test and document your own work.
Anticipate business needs and communicate/pitch new ideas.
Great organizational and time-management skills, including an ability to estimate project completion times.
Ability to juggle multiple projects, tasks, and deadlines.
Self-motivated and self-directed: Desire to proactively tackle challenges and propose innovative solutions.
Strong understanding of relational database concepts.
Ability to learn and pick up new technologies very quickly.
Ability to work in an Agile development environment.
Ability to participate, hands-on, across many phases of the SDLC: Business Analysis, IT Project Management, System design, Software Development, and QA Testing.
EDUCATION & EXPERIENCE REQUIREMENTS:
B.S. degree in a computer or engineering related field. Relevant work experience will also be considered.
Experience using an object-oriented language (Java, .NET)
o Experience with C# preferred.
Other desirable experience
o Experience with Oracle or SQL Server relational databases.
o Experience developing ESRI ArcMap/ArcPro, ArcGIS Server or ArcGIS Runtime applications.
o Experience with linear referencing systems.
o Knowledge of the Gas Pipeline Industry.
ESSENTIAL PHYSICAL FUNCTIONS:
Frequent lifting up to 30 lbs.
Target Hiring Range- 65k-80k
Benefits –
401K, Paid Time Off, Medical, Dental, Vision, Dependent Life Plan, and Supplemental Life Plan.
Please apply to the link below:
https://recruiting.ultipro.com/MIS1008/JobBoard/0e453acf-d578-055d-9df2-f788e73fadcf
Mistras Group, Inc. is an Equal Opportunity Employer.
Job Type: Full-time
Pay: $65,000.00 - $80,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Experience:
REST: 1 year (Preferred)
Java: 1 year (Preferred)
Work Location: Remote

Health insurance"
8,Senior HTML Email Developer,NewRez,"Fort Washington, PA",Onsite,Full-time,Full-time,"Exceed the expectations of our residential mortgage borrowers & business partners through superior service, simple processes, and effective communications.

We deliver on this mission by empowering our employees by encouraging and recognizing superior performance and innovative solutions, by promoting teamwork and divisional cooperation.

The Senior HTML Developer will partner with team members to build emails within distributed marketing platforms, as well as, straight code if needed. This role will need to collaborate with team members and key stakeholders to take design mockups and creatively build responsive emails to existing brand design systems specifications. The HTML Developer will perform quality assurance and troubleshoot code rendering across multiple desktop and mobile devices using email testing and analytics platforms.
Responsibilities:
Support internal & external partners, including marketing, analytics, and agency partners
Collaborate on the strategic vision for email marketing to support the overall business
Perform technical testing to ensure the best quality for our consumers
Contribute to our emails' overall design and development
Modify existing email template designs and revise content as necessary
Respond to common business requirements and perform basic administrative functions
Ensure design and email layout is optimized, renders and functions correctly across multiple email clients, and is mobile friendly
Design, develop and modify responsive HTML email campaigns
Design and build new features and functionality to improve the customer experience
Interpret analytics/trends and make creative suggestions based on email best practices
Collaborate with copywriters and visual designers to produce email creative that is on strategy, on target, in brand, and consistent with what is currently in the market
Stay knowledgeable of brand standards and creative best practices
Build, test and deploy personalized email marketing campaigns within email studio
Reviewing and conduct visual audits using Limtus
Other duties as assigned
Qualifications:
Required Bachelor's degree or equivalent experience
5+ years of experience with responsive HTML emails, HTML5, CSS3, and email testing
Experience writing AMPscript or manipulating dynamic content for emails
Experience with HTML/CSS, dynamic content, Journey Builder, customer data, and email best practices to develop a best-in-class customer experience
Experience with Adobe Suite (Photoshop, Illustrator, and Dreamweaver)
Preferred experience with Salesforce Marketing Cloud, Total Expert, Distribion, Marketo or other Email Marketing Automation Platform
AMPscript, Guide Template Language, Server-Side JavaScript, XML, Dreamweaver, Photoshop
Experience with responsive website design and various forms of online marketing, including but not limited to mobile, social, and email content
#LI-NT1
Company Perks:
15 Paid Time Off (PTO) days and 18 after 1st anniversary!
9 Paid Holidays
Casual Workplace
Employee Engagement Activities

Company Benefits:
Medical (including Health Savings Account & Flexible Savings Account)
Dental - RX – Vision – Life, Disability Insurance – 401(k) Plan with company match! – Employee Assistance Plan
Performance-based Incentives
Pet Insurance
Advancement Opportunities
Newrez NOW:
Our Corporate Social Responsibility program, Newrez NOW, empowers employees to become leaders in their communities through a robust program that includes volunteering, philanthropy, nonprofit grants, and more
1 Volunteer Time Off (VTO) day, company-paid volunteer day where all eligible employees may participate in a volunteer event with a nonprofit of their choice
Employee Matching Gifts Program: We will match monetary employee donations to eligible non-profit organizations, dollar-for-dollar, up to $1,000 per employee
Newrez Grants Program: Newrez hosts a giving portal where we provide employees an abundance of resources to search for an opportunity to donate their time or monetary contributions

Equal Employment Opportunity
We're proud to be an equal opportunity employer- and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. Different makes us better.
CA Privacy Policy
CA Notice at Collection"
9,R&D Software Engineer - Embedded System,Car Keys Express,"Louisville, KY 40299",Hybrid remote,N,Full-time,"R&D Software Engineer - Embedded Systems

We’re a successful, small company with over 300 employees based in Louisville, KY. We’re growing rapidly, undergoing a national expansion. We are currently recruiting to staff a firmware development team in Louisville Kentucky. To qualify for the position you must have advanced programming skills (C, C++, Python, etc.) and significant experience with embedded product development. Our hardware platforms are for RF products with limited power and very small memory footprints.

A significant portion of your efforts will be to research new technologies and apply what you learn to the development of new products. You’ll need a strong engineering background and must know how to handle problems quickly and efficiently. In addition, you’ll need to have great communication skills. We’re doing some pretty cool stuff but we have set some aggressive goals that will uniquely position us to have a dramatic impact on our industry. You’ll find your assignments here to be both challenging and rewarding.

Our company is automotive-related, so knowing and liking cars is a plus, but certainly not a requirement.

Primary Responsibilities: You will perform R&D tasks that lead to the development of future products or embedded sub-systems. The role involves the design and development of firmware modules, tools, and frameworks on custom hardware platforms which leverage a wide range of technologies. These may include RF modulation and transmission, transponder interfaces, encryption, Bluetooth protocols, and cellular data packet transmission. You will develop desktop or mobile applications in order to perform engineering analysis or develop customized production tools. Some projects may require the application of reverse engineering tools/procedures to identify key functions and processes in embedded software systems, and board-level systems. You will participate in team problem-solving and project planning.


Key Skills & Responsibilities:
Strong C/C++ programming knowledge
Experience in programming for memory constrained applications on embedded systems
Experience with RFID, NFC, Bluetooth or cellular network
Experience in debugging low level signal protocols (SPI, I2C,etc)
Experience with code profilers, heap/memory analysis, and debugging tools
Knowledge of RF signal transmission including modulation schemes, digital encoding techniques, packet data formatting, and error correction
Excellent communication and collaboration skills
Willingness to learn new emerging technologies and improve technical skills
Bachelor’s or Master’s degree in Computer Engineering, Computer Science, or Electrical Engineering

Desirable Skills:
Experience with IDA/Ghidra, ASM, Decompilers
Experience in scripting languages (e.g. Python, JavaScript etc.)
Familiarity with AWS database
Practical experience with cryptography including proper usage of block ciphers, stream ciphers, hashing algorithms, MACs
Revision control/code management systems (Git,SVN etc)
Usage of lab equipment including oscilloscopes, logic analyzers, and spectrum analyzers
We offer a hybrid work environment. Most work can be done remotely, but based on the needs of your project, use of our Louisville, KY lab will be most efficient during hardware development and testing.
Compensation: Salary is commensurate with experience."
10,Backend Software Engineer (All Skill Levels),Wolfjaw Studios,Remote,Remote,"$60,000 - $100,000 ",r - Full-time,"Wolfjaw Studios is looking to expand its team in Troy, NY. As a part of this team, you will be responsible for developing and supporting key features in multiplayer games.
About Wolfjaw Studios
Our Game Services Team partners with game development studios/publishers to build cloud based solutions that provide the infrastructure to support core game services, web applications, and marketing activities. Wolfjaw partners with studios and publishers on creating enterprise level services that are unique to each customer's needs.
Over the years, our team has been trusted to build the systems that power some of the most popular modern multiplayer games. Wolfjaw is relied upon by our customers throughout all stages of the development process as well as during deployment and active operations. On our team, you’ll have the ability to innovate and invent, helping define the technical foundations of groundbreaking systems.
Our immediate need is for engineers to join our Game Services Team.
What We Are Looking For:
Prior programming experience with Go, Python, C++, or C#
Experience with containerization and/or cloud-hosted services
Familiarity with web, database, and automation technologies
A strong understanding of testing methodologies
Demonstrated problem solving and debugging skills
Understanding software development life-cycle processes
Experience with version control and build systems
A passion for software development
The desire to learn
Minimum 1 year of experience working in a software engineering role
Pluses:
A passion for playing and making games
Video game industry experience, mainly using tools such as Unreal Engine, Unity, or custom game engines
In plain English:
We are looking for people with a passion for developing software. You have shipped a back end service or two. The ideal candidate will be a curious self starter. You should be willing to put in the time to figure things out but at the same time not afraid to consult the rest of the team for help when you need it. You can manage your own time. You believe in putting your head down and getting things done. At the same time, you know when it’s time to go home and enjoy your life.
What You Get:
Competitive salary and benefits
Friendly and supportive colleagues and managers
Relaxed environment
Fully Remote Availability
Opportunity to make key technical decisions which help define the future of product and infrastructure development
The chance to apply your existing knowledge while gaining experience with cutting edge technology and methodologies
Wolfjaw Studios is based in Troy, NY but we are thrilled to have talented developers all over the country. Wolfjaw embraces a flexible work environment, and all of our current positions are open for bring fully remote. Candidates based in the following states are eligible for full remote: AZ, CA, GA, FL, ID, MD, MA, NC, NJ, NY, PA, SC, TX, and VT. We are hoping to add more states in the future so don't hesitate to apply if you don't see your state listed!
Wolfjaw Studios is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law and will not be discriminated against on the basis of disability.
Job Type: Full-time
Pay: $60,000.00 - $100,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Paid time off
Professional development assistance
Referral program
Tuition reimbursement
Vision insurance
Compensation package:
Performance bonus
Yearly bonus
Experience level:
1 year
Schedule:
Monday to Friday
No nights
No weekends
People with a criminal record are encouraged to apply
Application Question(s):
We are only able to support remote employees in the following states: AZ, CA, GA, FL, ID, MD, MA, NC, NJ, NY, PA, SC, TX, and VT. Please confirm what state you currently reside in.
Experience:
C++, C# or Golang: 1 year (Required)
Microservices: 1 year (Preferred)
Game Engine: 1 year (Preferred)
Work Location: Remote

Health insurance"
